,State,District,Name,No_HH,TOT_P,EMP_AL_2011,EMP_NAL_2011,EMP_UN_2011,ELG_POP_2011,BF_RUD_2011,BF_INT_2011,BF_ADV_2011,CHH_RUD_2011,CHH_INT_2011,CHH_ADV_2011,FC_RUD_2011,FC_INT_2011,FC_ADV_2011,MSL_RUD_2011,MSL_INT_2011,MSL_ADV_2011,MSW_RUD_2011,MSW_INT_2011,MSW_ADV_2011,R11,TV11,T11,B11,211,411,N11
0,1,1,Kupwara,113929,870354,3.582831051,14.58691582,66.39102289,681556,69.6,9.2,21.2,34.8,57.3,7.9,79.9,4,15.8,7.9,11.5,80.6,48.2,4.7,47.1,55.7,25.1,49.9,2.8,1.7,2.8,25
1,1,2,Badgam,103363,753745,7.640720884,14.41333371,64.10182727,598543,60.1,7,32.9,51.6,44.7,3.8,55.8,26.2,16.7,1.6,6.1,92.3,16.3,9.9,73.9,67.3,54.6,64.9,10.1,5.9,5.1,11.8
2,1,3,Leh(Ladakh),21909,133487,9.687909048,37.33977657,38.1918318,121471,19.9,72.1,8,45.8,52.4,1.8,22.5,10.9,66.3,0.7,3.6,95.7,41,28.8,30.1,73.2,65.4,19.8,2.9,6.2,20.6,9.5
3,1,4,Kargil,18338,140802,1.950791734,21.99232258,57.08506379,120874,29.1,9.3,61.6,24.3,72.6,3.2,69,10.6,18.2,0.2,3,96.8,22.9,18.1,59.1,59.8,44,36.8,2.7,3.6,10.1,19.4
4,1,5,Punch,90261,476835,6.073780922,12.60400703,58.84521918,392161,82.5,0.6,16.9,40.8,56.9,2.3,77.9,6.6,15.3,7,21.9,71.1,46.2,4.6,49.1,42.1,18,34.8,1,2.7,1.9,37.1
5,1,6,Rajouri,130401,642415,9.219985622,15.18860083,45.53678409,534144,86.5,0.7,12.8,46.4,51,2.6,76.5,3.3,19.9,4.6,17.7,77.7,62.7,5.4,32,38.7,27.6,48.1,1.8,5.9,2.5,30.5
6,1,7,Kathua,119583,616435,10.6184237,16.20735438,62.3603049,532499,78.7,1.7,19.6,61.3,35.3,3.4,69.7,2,28,0.6,6.4,93,21.7,26.3,51.9,22.2,56.8,62.5,15,19.5,4,15.5
7,1,8,Baramula,152635,1008039,5.960344202,16.32399005,63.93418522,843458,54,8.6,37.4,50.8,44,5.2,63.9,11.5,23.9,1.9,3.2,94.9,18.7,3.3,78,61.5,51.5,66.1,9.2,5.6,6.9,13.4
8,1,9,Bandipore,58392,392232,6.112661055,16.63408759,54.81786987,330478,64.9,10.4,24.7,43.1,50,6.9,66.9,15.7,17.1,5.7,10.7,83.6,35.8,4.4,59.8,64.1,44.7,55.8,9.9,4,3.9,16.5
9,1,10,Srinagar,191678,1236829,1.2160081,29.43193924,62.24598504,1078529,25.6,2.7,71.7,74.3,23.5,2.2,6,6.3,87.4,0.8,0.3,98.9,0.8,0.9,98.2,77.2,91.3,64.9,26.6,23.8,20.7,1.3
10,1,11,Ganderbal,45361,297446,4.361317713,17.08837684,59.12935686,246852,62.1,8.3,29.6,47.7,43.5,8.8,68.8,4.4,26.2,6.7,4,89.3,14.4,3.3,82.1,67.2,47.1,58.2,13.9,6.3,5.3,13.2
11,1,12,Pulwama,86241,560440,5.573287609,15.65608358,59.31033589,463066,48.1,7.2,44.7,52.7,42.9,4.4,60.9,16,22,3.5,5.3,91.2,13.7,16.4,69.9,64,56.6,65.8,6.7,5.6,7.6,10
12,1,13,Shupiyan,44411,266215,14.66341446,9.684957359,60.95527623,224668,42,13.8,44.2,61,33.3,5.7,70.2,19.5,10.1,3.6,11.5,84.9,17.9,8.2,73.8,72,47.4,68.4,3.9,11.1,8.7,8.9
