census_code,EMP_2011,EMP_2001,MSW_2011,MSW_2001,BF_2011,BF_2001,MSL_2011,MSL_2001,FC_2011,FC_2001,CHH_2011,CHH_2001,F_EMP_2001,F_EMP_2011,ASSET_2011,ASSET_2001
1,1,1,1,1,1,2,3,2,1,1,1,1,1,1,1,1
2,1,1,3,3,1,2,3,3,1,2,2,1,2,1,2,1
3,3,3,1,1,2,2,3,3,3,3,2,1,3,1,2,1
4,3,3,3,1,3,2,3,3,1,2,1,1,3,1,1,1
5,1,2,1,1,1,1,3,2,1,1,1,1,3,1,1,1
6,1,1,1,1,1,1,3,2,1,1,2,1,3,1,1,1
7,1,1,3,3,1,1,3,3,1,1,3,2,2,1,2,1
8,1,1,3,1,1,2,3,3,1,1,2,1,1,1,2,1
10,3,3,3,3,3,2,3,3,3,3,3,2,1,1,3,2
12,1,1,3,3,3,2,3,3,1,2,2,1,1,1,2,1
14,1,1,3,1,1,2,3,3,1,1,2,1,1,1,2,1
16,1,2,3,3,1,1,3,2,1,1,2,1,3,1,1,1
19,1,2,1,1,1,1,3,2,1,1,2,2,3,1,2,1
21,3,3,3,3,3,2,3,3,3,3,3,2,1,1,3,2
23,2,2,3,3,3,1,3,3,1,1,3,2,3,1,2,1
24,3,1,3,3,3,1,3,3,1,1,3,3,3,1,3,2
25,2,2,3,3,3,2,3,3,1,1,3,2,3,1,3,1
26,2,2,3,3,3,1,3,3,1,1,3,3,3,1,2,1
27,2,2,3,3,3,1,3,3,1,1,3,3,3,1,3,2
28,2,2,3,3,3,1,3,3,1,1,3,3,2,1,3,2
29,3,1,3,3,3,1,3,3,1,1,3,2,3,1,3,2
30,2,2,3,3,3,1,3,3,1,1,3,3,3,1,3,2
31,2,2,3,3,3,1,3,3,3,1,3,2,3,1,3,2
32,2,2,3,3,3,1,3,3,1,1,3,2,3,1,2,1
33,2,2,3,3,3,1,3,3,3,3,3,3,3,1,3,2
34,2,2,3,3,3,1,3,3,3,3,3,2,3,1,2,2
35,3,3,2,2,3,1,3,3,3,3,2,2,1,1,3,3
36,3,3,3,2,3,2,3,3,3,3,2,3,1,1,3,3
37,3,3,3,2,3,2,3,3,3,3,2,2,1,1,3,3
38,3,3,3,2,3,1,3,3,3,3,2,3,1,1,3,3
39,3,3,2,2,3,1,3,3,3,2,2,3,2,1,3,3
40,3,3,2,2,3,2,3,3,3,2,2,2,1,1,3,3
41,3,3,3,2,3,2,3,3,3,3,2,2,1,1,3,3
42,1,1,2,2,2,2,3,3,3,2,2,2,2,1,3,2
43,1,1,2,2,2,2,3,3,3,2,2,2,1,1,3,2
44,1,1,3,2,2,2,3,3,3,2,1,2,2,1,3,2
45,1,1,2,2,2,2,3,3,3,3,2,2,1,1,3,2
46,1,1,3,2,2,2,3,3,3,3,2,2,2,1,3,2
47,1,1,2,2,2,2,3,3,2,2,2,2,2,1,3,2
48,3,3,3,2,3,2,3,3,3,3,2,2,1,1,3,3
49,3,3,2,2,3,2,3,3,3,2,2,2,1,1,3,3
51,3,3,3,3,3,2,3,3,3,3,3,3,2,1,3,3
53,1,1,2,2,2,2,3,3,3,2,2,2,2,1,3,2
55,3,3,3,3,3,3,3,3,3,3,3,3,1,1,3,3
56,2,2,3,3,1,1,3,2,1,1,3,3,3,1,2,1
57,2,1,3,3,2,1,3,2,1,1,3,3,3,1,2,1
58,2,2,3,3,2,1,3,2,1,1,3,3,3,1,2,1
59,2,2,3,3,3,1,3,2,1,1,3,3,3,1,2,1
60,3,3,3,3,3,2,3,3,3,3,3,3,1,1,3,3
61,1,1,3,3,3,1,3,2,1,1,3,3,3,1,2,1
62,2,1,3,3,2,1,3,2,1,1,3,3,3,1,2,1
63,2,2,3,3,2,1,3,2,1,1,3,3,3,1,2,1
64,2,2,3,3,3,1,3,2,1,1,3,3,3,1,2,1
65,1,1,3,3,1,1,3,2,1,1,2,3,3,1,2,1
66,1,1,3,3,3,2,3,2,3,3,3,3,2,1,3,2
67,1,1,2,2,3,2,3,2,1,1,2,2,1,1,3,2
68,3,1,2,2,3,2,3,2,3,2,2,2,1,1,3,2
69,3,3,3,3,3,2,3,3,3,3,3,2,1,1,3,3
70,3,3,3,3,3,2,3,3,3,3,2,2,1,1,3,3
71,3,3,3,2,3,2,3,3,3,3,2,2,1,1,3,2
72,1,1,3,3,3,2,3,3,3,3,2,2,1,1,3,3
73,1,1,3,2,2,1,3,3,2,2,2,2,2,1,3,2
74,1,1,3,2,3,2,3,3,3,3,2,2,1,1,3,2
75,3,3,3,2,3,2,3,3,3,3,2,1,2,1,3,2
76,1,1,3,2,3,1,3,3,3,3,2,2,2,1,3,2
77,1,2,3,2,2,1,3,3,2,2,2,2,2,1,3,2
78,1,2,3,2,2,2,3,3,2,2,2,2,2,1,3,1
79,1,2,3,3,2,2,3,3,2,2,2,2,2,1,3,2
80,1,2,3,3,2,2,3,3,2,2,2,2,2,1,3,2
81,1,1,3,3,2,1,3,3,2,2,2,2,3,1,2,1
82,3,1,3,1,3,2,3,3,3,3,2,2,2,1,3,2
83,1,1,3,2,3,1,3,3,3,2,2,1,2,1,3,2
84,1,1,3,3,1,1,3,3,2,2,2,2,3,1,2,1
85,3,1,3,3,3,1,3,3,2,2,2,2,3,1,3,2
86,3,3,3,3,3,1,3,2,3,3,2,2,2,1,3,2
88,3,3,3,3,3,2,3,3,3,3,2,2,1,1,3,2
90,3,3,3,3,3,2,3,3,3,3,3,2,1,1,3,3
91,3,3,3,3,3,3,3,3,3,3,2,2,1,1,3,3
92,3,3,3,3,3,2,3,3,3,3,3,2,1,1,3,3
93,3,3,3,3,3,3,3,3,3,3,3,3,1,1,3,3
94,3,3,3,3,3,3,3,3,3,3,3,2,1,1,3,3
95,3,3,3,3,3,3,3,3,3,3,2,2,1,1,3,3
96,3,3,3,3,3,3,3,3,3,3,3,2,1,1,3,3
97,3,3,3,3,3,3,3,3,3,3,3,3,1,1,3,3
98,3,3,3,3,3,3,3,3,3,3,3,2,1,1,3,3
99,2,1,3,3,2,2,3,2,2,2,2,2,2,1,2,2
100,2,2,3,3,2,2,3,2,2,1,3,2,2,1,2,1
101,2,1,3,3,1,1,2,2,1,2,2,2,2,1,2,1
102,2,2,3,3,3,1,2,2,1,1,2,2,3,1,2,1
103,1,1,3,3,3,1,3,2,1,1,3,3,2,1,2,1
104,2,2,2,2,1,1,3,2,2,2,2,2,3,1,2,1
105,2,2,2,1,1,1,2,2,2,2,2,1,2,1,2,1
106,2,2,2,1,1,1,2,1,2,2,1,1,3,1,1,1
107,2,2,2,1,1,1,2,1,2,2,1,1,3,1,1,1
108,2,2,2,1,1,1,2,2,2,2,2,2,3,1,2,1
109,2,2,2,1,1,1,2,2,1,1,2,2,3,1,2,1
110,3,3,3,3,3,2,3,3,3,3,3,2,2,1,3,2
111,1,1,3,3,1,1,3,2,1,1,3,2,2,1,2,1
112,2,2,1,1,1,1,2,2,1,1,2,2,3,1,2,1
113,1,1,1,3,1,1,2,2,1,1,2,2,2,1,2,1
114,2,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1
115,2,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1
116,2,2,1,1,1,1,2,1,1,1,1,1,3,1,1,1
117,1,1,2,2,1,1,2,2,1,1,2,2,2,1,2,1
118,1,1,1,1,1,1,3,2,1,1,2,2,2,1,2,1
119,3,1,3,3,1,1,3,2,1,1,2,2,2,1,2,1
120,2,2,2,1,1,1,2,2,1,1,2,2,3,1,2,1
121,2,2,2,2,1,1,2,2,1,1,2,1,3,1,2,1
122,2,2,2,2,1,1,3,2,1,1,2,2,3,1,2,1
123,2,1,2,2,1,1,3,2,1,1,2,1,2,1,2,1
124,1,2,2,2,1,1,2,1,1,1,1,1,3,1,1,1
125,2,2,2,2,1,1,1,1,1,1,1,1,3,1,1,1
126,2,2,2,2,1,1,3,2,1,1,2,1,3,1,2,1
127,3,3,3,3,3,1,3,3,3,2,3,2,1,1,3,2
128,2,2,2,2,1,1,2,2,1,2,2,2,3,1,2,1
129,2,2,2,2,1,1,3,2,1,1,1,2,3,1,2,1
130,1,1,2,2,1,1,2,2,1,1,2,1,2,1,1,1
132,1,1,2,2,3,2,2,2,2,2,2,2,1,1,2,1
133,1,1,2,2,3,2,2,2,2,2,2,2,1,1,2,1
134,1,1,2,2,3,2,2,2,1,2,2,2,1,1,2,1
135,1,1,2,2,3,2,1,1,2,2,1,1,1,1,2,1
136,1,1,2,2,3,2,1,1,2,2,1,1,1,1,2,1
137,1,1,2,2,1,2,1,1,2,2,1,1,1,1,2,1
138,3,3,2,2,3,2,3,2,3,2,2,2,1,1,3,2
139,1,1,2,2,3,2,2,2,2,2,2,2,1,1,2,1
140,3,3,2,2,3,2,3,2,3,3,2,2,1,1,3,2
141,3,3,3,2,3,2,3,2,3,3,3,2,1,1,3,2
142,1,1,2,2,1,1,1,1,2,2,1,2,2,1,2,1
143,1,1,2,2,1,1,2,1,2,2,2,1,1,1,2,1
144,1,1,2,2,1,1,2,1,2,2,1,1,1,1,2,1
145,1,1,2,2,1,1,2,2,2,2,2,2,2,1,2,1
146,1,1,2,2,1,1,3,2,3,2,2,2,1,1,3,2
147,1,1,2,2,1,1,2,1,2,2,1,1,1,1,2,1
148,1,1,2,2,1,1,1,1,2,2,1,2,1,1,2,1
149,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1
150,1,1,2,2,3,2,1,1,2,2,1,1,1,1,2,1
151,1,1,2,2,1,1,1,1,1,2,1,1,1,1,2,1
152,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1
153,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1
154,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1
155,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1
156,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1
157,3,3,3,3,3,2,2,2,3,3,2,2,1,1,3,2
158,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1
159,1,1,2,2,1,1,1,1,2,2,1,1,1,1,2,1
160,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1
161,1,1,2,2,1,1,2,1,1,1,1,1,1,1,2,1
162,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1
163,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1
164,3,3,2,2,3,2,2,2,3,3,2,2,1,1,2,2
165,1,1,2,2,1,1,1,1,2,2,1,2,1,1,2,1
166,1,1,2,2,1,1,2,2,2,2,2,2,2,1,2,1
167,2,2,2,1,1,1,1,1,1,1,2,2,3,1,1,1
168,1,1,2,2,1,1,1,1,2,2,2,2,3,1,1,1
169,1,2,2,1,1,1,1,1,2,2,2,2,2,1,2,1
170,1,2,2,2,1,1,1,1,1,2,2,2,2,1,1,1
171,2,2,2,2,1,1,1,1,1,1,2,2,3,1,1,1
172,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1
173,1,1,2,2,1,1,1,1,1,1,2,2,2,1,2,1
174,1,2,2,2,1,1,1,1,1,2,1,2,2,1,1,1
175,1,1,2,1,1,1,2,2,2,2,2,2,2,1,2,1
176,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1
177,1,1,2,2,1,1,1,1,1,2,2,2,2,1,2,1
178,1,1,2,2,1,1,1,1,2,2,2,2,2,1,1,1
179,1,1,2,2,1,1,1,1,1,1,2,2,1,1,2,1
180,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1
181,1,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1
182,1,2,2,2,1,1,1,1,1,2,1,2,2,1,1,1
183,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1
184,1,2,2,2,1,1,1,1,2,2,2,2,2,1,1,1
185,1,1,2,2,1,1,1,1,1,2,2,2,2,1,2,1
186,1,1,2,2,1,1,1,1,2,2,2,2,2,1,2,1
187,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1
188,1,1,2,2,1,1,2,1,1,1,2,2,1,1,2,1
189,1,1,2,2,1,1,1,1,2,2,1,2,2,1,1,1
190,1,1,2,2,1,1,1,1,1,2,2,2,1,1,2,1
191,1,1,2,2,1,1,1,1,2,2,2,2,2,1,2,1
192,1,1,2,2,1,1,2,1,2,2,2,2,2,1,2,1
193,1,1,2,2,1,1,1,1,2,2,2,2,1,1,2,1
194,1,1,2,2,1,1,1,1,2,2,2,2,2,1,2,1
195,1,1,2,2,1,1,1,1,2,2,1,2,2,1,2,1
196,1,1,2,2,1,1,1,1,2,2,2,2,1,1,2,1
197,3,3,2,2,3,2,2,2,3,2,2,2,1,2,2,2
198,1,1,2,2,1,1,1,2,2,2,2,2,1,1,2,1
199,1,1,2,2,1,1,1,1,2,2,2,2,2,1,2,1
200,1,1,2,2,1,1,1,1,1,2,2,2,2,1,1,1
201,1,1,2,2,1,1,1,1,2,2,1,1,1,1,2,1
203,1,2,2,2,1,1,1,1,2,2,1,1,2,1,1,1
204,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1
205,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1
206,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1
207,1,1,2,2,1,1,1,1,2,2,2,2,2,1,1,1
208,1,2,2,2,1,1,1,1,2,2,1,1,3,1,1,1
209,2,2,2,2,1,1,1,1,2,2,1,1,2,1,1,1
210,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1
211,1,2,2,2,1,1,1,1,2,2,1,1,2,2,1,1
212,1,2,2,2,1,1,1,1,2,2,1,1,2,1,1,1
213,2,2,2,2,1,1,1,1,2,2,1,1,3,1,1,1
214,1,2,2,2,1,1,1,1,2,2,1,1,2,1,1,1
215,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1
216,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1
217,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1
218,1,1,2,2,1,1,1,1,2,2,2,2,1,1,1,1
219,1,1,2,2,1,1,1,1,2,2,1,2,1,2,1,1
220,1,1,2,2,1,1,1,1,2,2,1,1,1,2,1,1
221,1,1,2,2,1,1,1,1,2,2,1,1,1,2,1,1
222,1,1,2,2,1,1,1,1,2,2,1,1,1,2,1,1
223,1,1,2,2,1,1,1,1,2,2,1,1,2,2,1,1
224,1,1,2,2,1,1,1,1,2,2,1,1,2,2,1,1
225,1,2,2,1,1,1,1,1,2,2,1,1,2,2,1,1
226,1,1,2,1,1,1,1,1,2,2,1,1,1,2,1,1
227,1,1,2,2,1,1,1,1,2,2,1,1,2,2,1,1
228,1,2,2,2,1,1,1,1,2,2,1,1,2,2,1,1
229,1,2,2,2,1,1,1,1,2,2,1,1,2,2,1,1
230,1,1,2,2,3,2,2,2,2,2,2,2,1,2,2,1
231,1,1,2,2,1,1,1,1,2,2,1,1,1,2,1,1
232,1,1,2,2,1,1,1,1,2,2,1,1,1,2,1,1
233,1,1,2,2,1,1,1,1,2,2,1,1,2,2,1,1
234,1,1,2,2,1,1,1,1,2,2,1,1,1,2,2,1
235,1,1,2,2,1,1,1,1,2,2,1,1,2,2,1,1
236,1,2,2,2,1,1,1,1,2,2,1,1,2,2,1,1
237,1,2,2,2,1,1,1,1,2,2,1,1,2,2,1,1
238,1,2,2,1,1,1,1,1,2,2,1,1,3,2,1,1
239,1,2,2,2,1,1,1,1,2,2,1,1,2,2,1,1
241,3,2,3,1,3,2,3,2,1,1,2,2,3,2,2,1
242,2,2,3,3,3,2,3,3,1,1,1,1,2,2,2,1
243,2,2,3,3,3,2,3,2,1,1,2,2,3,2,2,1
244,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2
245,3,2,3,3,3,2,3,2,1,1,2,2,3,2,1,1
246,3,3,3,3,3,2,3,3,1,1,2,1,2,2,2,1
247,2,2,3,3,1,1,2,2,1,1,1,1,3,2,1,1
248,3,3,3,3,3,2,3,3,3,3,2,2,2,2,3,2
249,2,2,3,3,1,2,2,2,1,1,1,1,3,2,1,1
250,2,2,3,3,3,2,3,2,1,1,2,2,3,2,2,1
251,1,1,3,3,3,2,3,2,1,1,2,2,2,2,2,1
252,2,2,3,3,1,1,3,2,1,1,3,1,3,2,1,1
253,2,2,3,1,2,2,2,2,1,1,2,1,3,2,1,1
254,2,2,3,3,2,2,3,2,1,1,2,2,3,2,1,1
255,1,2,3,3,1,2,2,3,1,1,2,2,3,2,1,1
257,2,2,3,3,2,2,2,2,1,1,2,2,2,2,2,1
259,2,2,2,3,2,2,2,1,1,1,1,1,2,2,1,1
261,2,2,1,1,2,2,1,1,1,1,1,1,3,2,1,1
262,2,2,1,1,2,2,3,3,1,1,3,2,3,2,2,1
263,2,1,3,1,2,2,3,2,1,1,2,1,3,2,1,1
264,2,1,1,1,2,2,3,2,1,1,2,1,2,2,1,1
265,3,3,1,1,3,2,3,3,3,1,2,2,1,2,2,1
266,2,2,3,3,2,2,3,3,1,1,2,2,3,2,1,1
267,2,2,3,3,2,2,2,2,1,1,1,1,3,2,1,1
270,2,2,1,1,3,2,3,3,1,1,2,2,3,2,2,1
272,2,2,1,1,2,2,3,2,1,1,1,1,3,2,1,1
273,2,2,1,1,2,2,2,1,1,1,1,1,3,2,1,1
274,2,2,1,1,2,2,2,2,1,1,2,1,3,2,1,1
275,3,1,1,1,2,2,3,2,1,1,3,2,3,2,2,1
276,2,2,1,1,2,2,2,2,1,1,3,2,3,2,2,1
277,3,3,1,3,3,2,3,3,3,3,3,3,2,2,3,2
278,3,3,1,1,3,2,3,3,3,1,3,2,2,2,3,1
279,2,2,1,1,2,2,2,2,1,1,1,1,3,2,1,1
280,2,2,1,1,2,2,2,2,1,1,1,1,3,2,1,1
281,2,2,1,1,2,2,2,2,1,1,2,1,3,2,2,1
282,2,2,3,1,2,2,3,3,3,1,2,2,3,2,2,1
283,3,3,3,1,3,2,3,3,3,3,3,2,3,2,3,1
284,2,2,3,1,2,2,3,2,1,1,2,2,3,2,2,1
285,2,2,3,1,2,2,3,3,1,1,2,1,3,2,2,1
286,2,2,1,1,2,2,3,2,1,1,2,2,3,2,2,1
287,2,2,1,1,2,2,2,1,1,1,2,2,3,2,1,1
288,1,2,3,1,2,2,2,1,3,1,3,3,3,2,2,1
289,3,3,2,1,2,2,3,2,1,1,2,2,1,2,2,1
290,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1
291,1,1,1,1,2,2,2,1,1,1,2,1,2,2,1,1
292,1,1,1,1,2,2,2,1,1,1,2,1,1,2,1,1
293,1,2,1,1,2,2,2,1,1,1,2,1,3,2,1,1
294,2,2,1,1,2,2,2,1,1,1,2,1,3,2,1,1
295,1,2,1,1,2,2,2,1,1,1,2,1,3,2,1,1
296,2,2,1,1,1,1,2,1,1,1,1,1,3,2,1,1
297,2,2,1,1,2,2,2,1,1,1,1,1,3,2,1,1
298,3,3,3,3,3,2,3,3,1,1,2,2,2,2,2,1
299,2,2,1,1,1,1,2,2,1,1,2,2,3,2,1,1
300,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1
301,1,1,2,2,1,2,1,1,1,1,1,1,1,2,1,1
302,1,1,2,1,2,2,1,1,1,1,1,1,1,2,1,1
303,1,1,2,2,2,2,1,1,2,2,1,1,1,2,1,1
304,1,1,2,2,2,2,1,1,1,1,1,1,1,2,1,1
305,1,1,2,2,2,2,1,1,1,1,1,1,1,2,1,1
306,1,1,1,1,2,2,1,1,1,1,1,1,2,2,1,1
307,1,2,2,1,2,2,1,1,1,1,1,1,3,2,1,1
308,2,2,2,2,1,1,1,1,1,1,1,1,3,2,1,1
309,3,3,2,2,2,2,2,1,1,1,2,1,2,2,2,1
310,3,3,2,2,2,2,2,1,1,1,2,1,2,2,2,1
