District_code,ASSET_Actual_2001,Formal_EMP_2001,LIT_2001,ASSET_change
1,1,2,1,0
2,1,2,1,1
3,1,3,1,1
4,1,3,1,0
5,1,2,1,0
6,1,2,1,0
7,1,2,1,1
8,1,2,1,1
10,2,3,1,1
12,1,2,1,1
14,1,2,1,1
16,1,2,1,0
19,1,3,1,1
21,2,3,2,1
23,1,2,1,1
24,2,2,3,1
25,1,3,2,1
26,1,2,2,1
27,2,2,2,1
28,2,2,3,1
29,2,2,3,1
30,2,2,2,1
31,2,3,2,1
32,1,2,2,1
33,2,3,3,1
34,2,3,2,0
35,3,3,2,0
36,3,3,2,0
37,3,3,2,0
38,3,3,3,0
39,3,3,2,0
40,3,3,2,0
41,3,3,2,0
42,2,2,1,1
43,2,2,1,1
44,2,2,1,1
45,2,3,1,1
46,2,3,1,1
47,2,2,1,1
48,3,3,2,0
49,3,3,1,0
51,3,3,2,0
53,2,3,1,1
55,3,3,3,0
56,1,2,1,1
57,1,2,2,1
58,1,2,2,1
59,1,2,1,1
60,3,3,3,0
61,1,2,2,1
62,1,2,2,1
63,1,1,2,1
64,1,2,2,1
65,1,2,2,1
66,2,3,3,1
67,2,2,1,1
68,2,3,1,1
69,3,3,2,0
70,3,3,2,0
71,2,3,2,1
72,3,3,2,0
73,2,2,1,1
74,2,3,1,1
75,2,3,2,1
76,2,3,2,1
77,2,2,1,1
78,1,2,1,1
79,2,2,1,1
80,2,3,1,1
81,1,2,1,1
82,2,3,2,1
83,2,3,2,1
84,1,2,2,1
85,2,2,2,1
86,2,3,1,1
88,2,3,2,1
90,3,3,3,0
91,3,3,3,0
92,3,3,2,0
93,3,3,3,0
94,3,3,3,0
95,3,3,3,0
96,3,3,3,0
97,3,3,3,0
98,3,3,3,0
99,2,2,1,0
100,1,1,1,1
101,1,2,1,1
102,1,2,1,1
103,1,2,2,1
104,1,2,1,1
105,1,2,1,1
106,1,2,1,0
107,1,2,1,0
108,1,2,1,1
109,1,2,1,1
110,2,3,2,1
111,1,2,2,1
112,1,2,1,1
113,1,2,1,1
114,1,3,1,0
115,1,1,1,0
116,1,1,1,0
117,1,3,1,1
118,1,2,1,1
119,1,3,1,1
120,1,2,1,1
121,1,2,1,1
122,1,2,1,1
123,1,3,1,1
124,1,1,1,0
125,1,1,1,0
126,1,2,1,1
127,2,3,2,1
128,1,1,1,1
129,1,1,1,1
130,1,2,1,0
132,1,2,1,1
133,1,2,1,1
134,1,2,1,1
135,1,2,1,1
136,1,1,1,1
137,1,1,1,1
138,2,3,1,1
139,1,2,1,1
140,2,3,2,1
