District_code,BF_Actual_2001,Formal_EMP_2001,LIT_2001,BF_change
1,2,2,1,0
2,2,2,1,0
3,2,3,1,0
4,2,3,1,1
5,1,2,1,0
6,1,2,1,0
7,1,2,1,0
8,2,2,1,0
10,2,3,1,1
12,2,2,1,1
14,2,2,1,0
16,1,2,1,0
19,1,3,1,0
21,2,3,2,1
23,1,2,1,1
24,1,2,3,1
25,2,3,2,1
26,1,2,2,1
27,1,2,2,1
28,1,2,3,1
29,1,2,3,1
30,1,2,2,1
31,1,3,2,1
32,1,2,2,1
33,1,3,3,1
34,1,3,2,1
35,1,3,2,1
36,2,3,2,1
37,2,3,2,1
38,1,3,3,1
39,1,3,2,1
40,2,3,2,1
41,2,3,2,1
42,2,2,1,0
43,2,2,1,0
44,2,2,1,0
45,2,3,1,0
46,2,3,1,0
47,2,2,1,0
48,2,3,2,1
49,2,3,1,1
51,2,3,2,1
53,2,3,1,0
55,3,3,3,0
56,1,2,1,0
57,1,2,2,1
58,1,2,2,1
59,1,2,1,1
60,2,3,3,1
61,1,2,2,1
62,1,2,2,1
63,1,1,2,1
64,1,2,2,1
65,1,2,2,0
66,2,3,3,1
67,2,2,1,1
68,2,3,1,1
69,2,3,2,1
70,2,3,2,1
71,2,3,2,1
72,2,3,2,1
73,1,2,1,1
74,2,3,1,1
75,2,3,2,1
76,1,3,2,1
77,1,2,1,1
78,2,2,1,0
79,2,2,1,0
80,2,3,1,0
81,1,2,1,1
82,2,3,2,1
83,1,3,2,1
84,1,2,2,0
85,1,2,2,1
86,1,3,1,1
88,2,3,2,1
90,2,3,3,1
91,3,3,3,0
92,2,3,2,1
93,3,3,3,0
94,3,3,3,0
95,3,3,3,0
96,3,3,3,0
97,3,3,3,0
98,3,3,3,0
99,2,2,1,0
100,2,1,1,0
101,1,2,1,0
102,1,2,1,1
103,1,2,2,1
104,1,2,1,0
105,1,2,1,0
106,1,2,1,0
107,1,2,1,0
108,1,2,1,0
109,1,2,1,0
110,2,3,2,1
111,1,2,2,0
112,1,2,1,0
113,1,2,1,0
114,1,3,1,0
115,1,1,1,0
116,1,1,1,0
117,1,3,1,0
118,1,2,1,0
119,1,3,1,0
120,1,2,1,0
121,1,2,1,0
122,1,2,1,0
123,1,3,1,0
124,1,1,1,0
125,1,1,1,0
126,1,2,1,0
127,1,3,2,1
128,1,1,1,0
129,1,1,1,0
130,1,2,1,0
132,2,2,1,1
133,2,2,1,1
134,2,2,1,1
135,2,2,1,1
136,2,1,1,1
137,2,1,1,0
138,2,3,1,1
139,2,2,1,1
140,2,3,2,1
141,2,3,2,1
142,1,2,1,0
143,1,2,1,0
144,1,2,1,0
145,1,2,1,0
146,1,2,1,0
147,1,2,1,0
148,1,1,1,0
149,1,1,1,0
150,2,2,1,1
151,1,1,1,0
152,1,1,1,0
153,1,1,1,0
154,1,1,1,0
155,1,1,1,0
156,1,1,1,0
157,2,3,2,1
158,1,1,1,0
159,1,1,1,0
160,1,1,1,0
161,1,1,2,0
162,1,1,2,0
163,1,1,1,0
164,2,3,2,1
165,1,1,1,0
166,1,2,1,0
167,1,1,1,0
168,1,1,1,0
169,1,1,1,0
170,1,1,1,0
171,1,1,1,0
172,1,1,1,0
173,1,1,1,0
174,1,1,1,0
175,1,2,1,0
176,1,1,1,0
177,1,1,1,0
178,1,1,1,0
179,1,1,1,0
180,1,1,1,0
181,1,1,1,0
182,1,1,1,0
183,1,1,1,0
184,1,1,1,0
185,1,1,1,0
186,1,1,1,0
187,1,1,1,0
188,1,1,1,0
189,1,1,1,0
190,1,1,1,0
191,1,1,1,0
192,1,1,1,0
193,1,1,1,0
194,1,1,1,0
195,1,1,1,0
196,1,1,1,0
197,2,2,1,1
198,1,1,1,0
199,1,1,1,0
200,1,1,1,0
201,1,1,1,0
203,1,1,1,0
204,1,1,1,0
205,1,1,1,0
206,1,1,1,0
207,1,1,1,0
208,1,1,1,0
209,1,1,1,0
210,1,1,1,0
211,1,1,1,0
212,1,1,1,0
213,1,1,1,0
214,1,1,1,0
215,1,1,1,0
216,1,1,1,0
217,1,1,1,0
218,1,1,1,0
219,1,1,1,0
220,1,1,1,0
221,1,1,1,0
222,1,1,1,0
223,1,1,1,0
224,1,1,1,0
225,1,1,1,0
226,1,2,1,0
227,1,1,1,0
228,1,1,1,0
229,1,1,1,0
230,2,2,1,1
231,1,1,1,0
232,1,1,1,0
233,1,1,1,0
234,1,1,1,0
235,1,1,1,0
236,1,1,1,0
237,1,1,1,0
238,1,1,1,0
239,1,1,1,0
241,2,3,1,1
242,2,2,1,1
243,2,2,1,1
244,3,3,2,0
245,2,3,1,1
246,2,3,1,1
247,1,2,1,0
248,2,3,2,1
249,2,2,1,0
250,2,2,1,1
251,2,3,1,1
252,1,3,1,0
253,2,2,1,0
254,2,2,1,0
255,2,2,1,0
257,2,3,1,0
259,2,3,1,0
261,2,1,1,0
262,2,2,3,0
263,2,2,2,0
264,2,2,3,0
265,2,3,2,1
266,2,2,2,0
267,2,1,1,0
270,2,3,2,1
272,2,1,1,0
273,2,1,1,0
274,2,2,2,0
275,2,3,1,0
276,2,2,1,0
277,2,3,3,1
278,2,3,2,1
279,2,2,2,0
280,2,1,1,0
