census_code,CHH_2001,CHH_change,F_EMP_2001,ASSET_2001,EMP_2001
1,1,0,1,1,1
2,1,1,2,1,1
3,1,1,3,1,3
4,1,0,3,1,3
5,1,0,3,1,2
6,1,1,3,1,1
7,2,1,2,1,1
8,1,1,1,1,1
10,2,1,1,2,3
12,1,1,1,1,1
14,1,1,1,1,1
16,1,1,3,1,2
19,2,0,3,1,2
21,2,1,1,2,3
23,2,1,3,1,2
24,3,0,3,2,1
25,2,1,3,1,2
26,3,0,3,1,2
27,3,0,3,2,2
28,3,0,2,2,2
29,2,1,3,2,1
30,3,0,3,2,2
31,2,1,3,2,2
32,2,1,3,1,2
33,3,0,3,2,2
34,2,1,3,2,2
35,2,0,1,3,3
36,3,0,1,3,3
37,2,0,1,3,3
38,3,0,1,3,3
39,3,0,2,3,3
40,2,0,1,3,3
41,2,0,1,3,3
42,2,0,2,2,1
43,2,0,1,2,1
44,2,0,2,2,1
45,2,0,1,2,1
46,2,0,2,2,1
47,2,0,2,2,1
48,2,0,1,3,3
49,2,0,1,3,3
51,3,0,2,3,3
53,2,0,2,2,1
55,3,0,1,3,3
56,3,0,3,1,2
57,3,0,3,1,1
58,3,0,3,1,2
59,3,0,3,1,2
60,3,0,1,3,3
61,3,0,3,1,1
62,3,0,3,1,1
63,3,0,3,1,2
64,3,0,3,1,2
65,3,0,3,1,1
66,3,0,2,2,1
67,2,0,1,2,1
68,2,0,1,2,1
69,2,1,1,3,3
70,2,0,1,3,3
71,2,0,1,2,3
72,2,0,1,3,1
73,2,0,2,2,1
74,2,0,1,2,1
75,1,1,2,2,3
76,2,0,2,2,1
77,2,0,2,2,2
78,2,0,2,1,2
79,2,0,2,2,2
80,2,0,2,2,2
81,2,0,3,1,1
82,2,0,2,2,1
83,1,1,2,2,1
84,2,0,3,1,1
85,2,0,3,2,1
86,2,0,2,2,3
88,2,0,1,2,3
90,2,1,1,3,3
91,2,0,1,3,3
92,2,1,1,3,3
93,3,0,1,3,3
94,2,1,1,3,3
95,2,0,1,3,3
96,2,1,1,3,3
97,3,0,1,3,3
98,2,1,1,3,3
99,2,0,2,2,1
100,2,1,2,1,2
101,2,0,2,1,1
102,2,0,3,1,2
103,3,0,2,1,1
104,2,0,3,1,2
105,1,1,2,1,2
106,1,0,3,1,2
107,1,0,3,1,2
108,2,0,3,1,2
109,2,0,3,1,2
110,2,1,2,2,3
111,2,1,2,1,1
112,2,0,3,1,2
113,2,0,2,1,1
114,1,0,2,1,2
115,1,0,3,1,2
116,1,0,3,1,2
117,2,0,2,1,1
118,2,0,2,1,1
119,2,0,2,1,1
120,2,0,3,1,2
121,1,1,3,1,2
122,2,0,3,1,2
123,1,1,2,1,1
124,1,0,3,1,2
125,1,0,3,1,2
126,1,1,3,1,2
127,2,1,1,2,3
128,2,0,3,1,2
129,2,0,3,1,2
130,1,1,2,1,1
132,2,0,1,1,1
133,2,0,1,1,1
134,2,0,1,1,1
135,1,0,1,1,1
136,1,0,1,1,1
137,1,0,1,1,1
138,2,0,1,2,3
139,2,0,1,1,1
140,2,0,1,2,3
141,2,1,1,2,3
142,2,0,2,1,1
143,1,1,1,1,1
144,1,0,1,1,1
145,2,0,2,1,1
146,2,0,1,2,1
147,1,0,1,1,1
148,2,0,1,1,1
149,1,0,1,1,1
150,1,0,1,1,1
151,1,0,1,1,1
152,1,0,1,1,1
153,1,0,1,1,1
154,1,0,1,1,1
155,1,0,1,1,1
156,1,0,1,1,1
157,2,0,1,2,3
158,1,0,2,1,1
159,1,0,1,1,1
160,1,0,1,1,1
161,1,0,1,1,1
162,1,0,1,1,1
163,1,0,1,1,1
164,2,0,1,2,3
165,2,0,1,1,1
166,2,0,2,1,1
167,2,0,3,1,2
168,2,0,3,1,1
169,2,0,2,1,2
170,2,0,2,1,2
171,2,0,3,1,2
172,2,0,2,1,1
173,2,0,2,1,1
174,2,0,2,1,2
175,2,0,2,1,1
176,1,0,1,1,1
177,2,0,2,1,1
178,2,0,2,1,1
179,2,0,1,1,1
180,1,0,1,1,1
181,1,0,2,1,2
182,2,0,2,1,2
183,2,0,1,1,1
184,2,0,2,1,2
185,2,0,2,1,1
186,2,0,2,1,1
187,2,0,2,1,1
188,2,0,1,1,1
189,2,0,2,1,1
190,2,0,1,1,1
191,2,0,2,1,1
192,2,0,2,1,1
193,2,0,1,1,1
194,2,0,2,1,1
195,2,0,2,1,1
196,2,0,1,1,1
197,2,0,1,2,3
198,2,0,1,1,1
199,2,0,2,1,1
200,2,0,2,1,1
201,1,0,1,1,1
203,1,0,2,1,2
204,1,0,1,1,1
205,1,0,1,1,1
206,1,0,1,1,1
207,2,0,2,1,1
208,1,0,3,1,2
209,1,0,2,1,2
210,1,0,1,1,1
211,1,0,2,1,2
212,1,0,2,1,2
213,1,0,3,1,2
214,1,0,2,1,2
215,1,0,1,1,1
216,1,0,1,1,1
217,1,0,1,1,1
218,2,0,1,1,1
219,2,0,1,1,1
220,1,0,1,1,1
221,1,0,1,1,1
222,1,0,1,1,1
223,1,0,2,1,1
224,1,0,2,1,1
225,1,0,2,1,2
226,1,0,1,1,1
227,1,0,2,1,1
228,1,0,2,1,2
229,1,0,2,1,2
230,2,0,1,1,1
231,1,0,1,1,1
