District_code,EMP_Actual_2001,EMP_change
1,1,0
2,1,0
3,3,0
4,3,0
5,2,0
6,1,0
7,1,0
8,1,0
10,3,0
12,1,0
14,1,0
16,2,0
19,2,0
21,3,0
23,2,0
24,1,1
25,2,0
26,2,0
27,2,0
28,2,0
29,1,1
30,2,0
31,2,0
32,2,0
33,2,0
34,2,0
35,3,0
36,3,0
37,3,0
38,3,0
39,3,0
40,3,0
41,3,0
42,1,0
43,1,0
44,1,0
45,1,0
46,1,0
47,1,0
48,3,0
49,3,0
51,3,0
53,1,0
55,3,0
56,2,0
57,1,1
58,2,0
59,2,0
60,3,0
61,1,0
62,1,1
63,2,0
64,2,0
65,1,0
66,1,0
67,1,0
68,1,1
69,3,0
70,3,0
71,3,0
72,1,0
73,1,0
74,1,0
75,3,0
76,1,0
77,2,0
78,2,0
79,2,0
80,2,0
81,1,0
82,1,1
83,1,0
84,1,0
85,1,1
86,3,0
88,3,0
90,3,0
91,3,0
92,3,0
93,3,0
94,3,0
95,3,0
96,3,0
97,3,0
98,3,0
99,1,1
100,2,0
101,1,1
102,2,0
103,1,0
104,2,0
105,2,0
106,2,0
107,2,0
108,2,0
109,2,0
110,3,0
111,1,0
112,2,0
113,1,0
114,2,0
115,2,0
116,2,0
117,1,0
118,1,0
119,1,1
120,2,0
121,2,0
122,2,0
123,1,1
124,2,0
125,2,0
126,2,0
127,3,0
128,2,0
129,2,0
130,1,0
132,1,0
133,1,0
134,1,0
135,1,0
136,1,0
137,1,0
138,3,0
139,1,0
140,3,0
141,3,0
142,1,0
143,1,0
144,1,0
145,1,0
146,1,0
147,1,0
148,1,0
149,1,0
150,1,0
151,1,0
152,1,0
153,1,0
154,1,0
155,1,0
156,1,0
157,3,0
158,1,0
159,1,0
160,1,0
161,1,0
162,1,0
163,1,0
164,3,0
165,1,0
166,1,0
167,2,0
168,1,0
169,2,0
170,2,0
171,2,0
172,1,0
173,1,0
174,2,0
175,1,0
176,1,0
177,1,0
178,1,0
179,1,0
180,1,0
181,2,0
182,2,0
183,1,0
184,2,0
185,1,0
186,1,0
187,1,0
188,1,0
189,1,0
190,1,0
191,1,0
192,1,0
193,1,0
194,1,0
195,1,0
196,1,0
197,3,0
198,1,0
199,1,0
200,1,0
201,1,0
203,2,0
204,1,0
205,1,0
206,1,0
207,1,0
208,2,0
209,2,0
210,1,0
211,2,0
212,2,0
213,2,0
214,2,0
215,1,0
