District_code,FC_Actual_2001,Formal_EMP_2001,FC_change
1,1,2,0
2,2,2,0
3,3,3,0
4,2,3,0
5,1,2,0
6,1,2,0
7,1,2,0
8,1,2,0
10,3,3,0
12,2,2,0
14,1,2,0
16,1,2,0
19,1,3,0
21,3,3,0
23,1,2,0
24,1,2,0
25,1,3,0
26,1,2,0
27,1,2,0
28,1,2,0
29,1,2,0
30,1,2,0
31,1,3,1
32,1,2,0
33,3,3,0
34,3,3,0
35,3,3,0
36,3,3,0
37,3,3,0
38,3,3,0
39,2,3,1
40,2,3,1
41,3,3,0
42,2,2,1
43,2,2,1
44,2,2,1
45,3,3,0
46,3,3,0
47,2,2,0
48,3,3,0
49,2,3,1
51,3,3,0
53,2,3,1
55,3,3,0
56,1,2,0
57,1,2,0
58,1,2,0
59,1,2,0
60,3,3,0
61,1,2,0
62,1,2,0
63,1,1,0
64,1,2,0
65,1,2,0
66,3,3,0
67,1,2,0
68,2,3,1
69,3,3,0
70,3,3,0
71,3,3,0
72,3,3,0
73,2,2,0
74,3,3,0
75,3,3,0
76,3,3,0
77,2,2,0
78,2,2,0
79,2,2,0
80,2,3,0
81,2,2,0
82,3,3,0
83,2,3,1
84,2,2,0
85,2,2,0
86,3,3,0
88,3,3,0
90,3,3,0
91,3,3,0
92,3,3,0
93,3,3,0
94,3,3,0
95,3,3,0
96,3,3,0
97,3,3,0
98,3,3,0
99,2,2,0
100,1,1,1
101,2,2,0
102,1,2,0
103,1,2,0
104,2,2,0
105,2,2,0
106,2,2,0
107,2,2,0
108,2,2,0
109,1,2,0
110,3,3,0
111,1,2,0
112,1,2,0
113,1,2,0
114,1,3,0
115,1,1,0
116,1,1,0
117,1,3,0
118,1,2,0
119,1,3,0
120,1,2,0
121,1,2,0
122,1,2,0
123,1,3,0
124,1,1,0
125,1,1,0
126,1,2,0
127,2,3,1
128,2,1,0
129,1,1,0
130,1,2,0
132,2,2,0
133,2,2,0
134,2,2,0
135,2,2,0
136,2,1,0
137,2,1,0
138,2,3,1
139,2,2,0
140,3,3,0
141,3,3,0
142,2,2,0
143,2,2,0
144,2,2,0
145,2,2,0
146,2,2,1
147,2,2,0
148,2,1,0
149,2,1,0
150,2,2,0
151,2,1,0
152,2,1,0
153,1,1,0
154,2,1,0
155,2,1,0
156,1,1,0
