village_code,predicted_y_resnet,predicted_y_inception,actual_y
564644,1,0,2
379970,1,1,1
602044,2,2,1
614466,2,2,2
614276,2,2,1
553461,2,0,2
615814,2,2,2
244062,1,1,1
387648,1,1,1
508419,2,2,1
507629,2,2,1
252312,1,1,1
256320,1,1,1
243681,2,1,1
224849,1,1,1
520090,0,0,1
412582,0,1,2
541120,0,2,1
612910,2,2,1
401312,0,1,0
401069,1,1,0
520756,2,2,2
233076,1,1,1
255009,1,1,1
555074,2,2,2
382988,0,2,1
257535,0,1,1
549949,0,0,0
607200,0,0,0
381232,1,1,1
417907,0,0,0
410734,0,0,1
385322,0,0,0
517503,2,2,2
383586,0,1,0
598559,0,0,1
520785,2,2,2
408705,1,1,1
602621,0,0,0
386868,0,1,1
617469,0,0,0
406173,0,0,0
623103,2,2,2
546614,0,0,0
550034,0,0,0
245384,1,1,1
561036,2,0,2
246878,1,1,1
390289,0,1,0
392701,1,1,1
400944,1,1,1
615193,2,2,2
533959,2,2,1
241922,0,2,0
611927,2,2,1
408357,0,0,0
422975,0,1,1
427554,1,1,1
557294,0,0,0
531681,0,0,0
545861,0,2,0
520160,0,2,1
253965,1,1,1
544202,0,0,0
418334,1,1,1
554674,0,2,1
540552,2,2,2
249670,1,1,1
547083,0,0,1
562822,0,2,1
554695,1,0,0
250786,1,1,1
423673,1,1,1
556743,0,0,0
536675,0,1,1
219612,1,1,1
425604,1,1,1
236636,1,1,1
256365,1,1,0
404105,0,0,0
568693,2,2,2
424648,1,0,1
221896,1,1,1
534913,2,2,2
624580,2,2,2
220337,1,1,1
517379,2,2,2
425308,0,0,1
415511,0,0,0
509417,2,2,2
382537,0,0,0
220253,1,1,1
393674,1,1,1
237069,1,1,1
385485,1,1,1
600166,2,2,2
607190,0,0,0
614151,2,2,2
614692,2,2,2
254372,1,1,1
526158,2,2,2
527938,2,2,2
244290,0,1,1
516821,2,2,2
516082,2,2,2
231388,1,1,1
238336,1,1,1
601289,2,2,2
623099,2,2,2
219305,1,1,1
541818,2,0,2
540205,2,2,0
532253,0,2,2
240399,1,1,1
242652,1,1,1
548331,2,2,2
409340,1,1,1
229554,1,1,1
538917,1,1,1
619314,2,0,2
612817,2,2,2
510742,2,2,2
597961,0,0,0
536217,2,2,2
235085,1,1,1
395143,1,1,1
615705,2,2,2
537513,2,0,2
244947,1,1,1
395366,1,1,1
242403,1,1,1
566742,0,0,0
536527,2,2,2
604896,2,1,1
524525,0,1,1
413491,0,0,0
517407,0,2,1
389935,0,1,0
428238,0,2,1
222937,1,1,1
386765,1,1,1
617251,2,0,1
386736,0,0,1
385243,0,2,1
551948,2,2,2
405039,0,2,1
416362,0,0,0
255366,1,0,1
417608,0,1,0
604246,2,2,2
522992,0,2,2
258519,1,1,1
250860,0,1,1
226185,1,1,1
248752,1,1,1
627225,0,0,0
222443,1,1,1
388408,0,0,1
516157,2,2,2
619131,2,2,2
548027,0,2,2
232305,1,1,1
415741,0,0,0
395170,1,1,1
527276,2,2,2
406987,0,0,0
217609,1,1,1
514642,0,0,0
224177,1,0,1
537632,0,2,2
529572,2,0,2
509672,0,2,2
230816,1,1,1
423924,0,1,1
393949,0,1,1
400132,1,1,1
543416,2,2,2
407302,0,0,0
421508,1,1,0
216765,1,1,1
388528,0,0,0
543752,0,2,1
602947,0,2,2
519129,0,1,0
538646,0,0,0
225746,1,1,1
389498,1,1,0
253026,1,1,1
233723,1,1,1
406411,0,1,1
395789,1,1,1
255099,1,1,1
608261,0,0,0
547648,2,2,2
612366,2,2,2
225045,0,1,1
415202,0,0,0
383500,0,0,0
526672,2,2,2
515041,0,0,0
602159,2,0,0
231802,1,1,1
619011,2,1,2
564660,0,2,2
216448,1,1,1
526505,2,2,2
393366,1,1,1
624240,2,2,2
412070,1,1,1
388029,0,1,2
253980,1,1,1
626024,2,2,1
554083,2,0,1
567775,0,2,2
563333,2,0,2
543321,2,2,2
392805,1,0,1
564332,2,0,0
522047,2,2,2
233033,1,1,1
515380,0,1,1
550273,2,1,0
528155,1,1,1
252241,1,1,1
519351,0,0,0
255500,1,1,1
392964,2,2,2
623120,2,2,1
533150,0,0,1
398836,1,1,1
232695,1,1,1
260742,1,1,1
231343,1,1,1
626026,2,2,1
429076,0,0,1
243653,1,1,1
420658,1,1,1
241347,0,0,0
508565,2,2,1
612880,2,2,2
241181,1,1,1
620216,2,1,2
566597,0,2,0
255964,1,1,1
250031,1,1,1
387760,0,0,1
417953,1,1,1
255221,1,1,1
382731,1,0,1
392685,1,1,1
252377,1,1,1
612543,2,2,2
226765,1,1,1
598013,0,2,2
391075,1,1,1
257473,1,1,1
395634,0,1,1
249683,1,0,1
403871,0,1,1
217667,1,1,1
507309,0,2,2
544438,0,0,1
390500,0,1,0
565784,0,0,0
558477,0,0,0
557054,0,0,0
386867,0,1,0
563969,0,0,1
621920,2,2,1
542160,2,0,2
604578,2,2,2
229656,1,1,1
612221,2,2,2
402017,0,2,0
538820,0,0,0
608450,2,0,2
252993,1,1,1
420473,2,2,1
381250,0,1,1
519963,2,2,1
626065,2,2,2
540357,0,2,1
536125,2,2,2
221492,1,1,1
233869,1,1,1
233577,1,1,1
597843,2,2,1
548417,2,2,2
564509,2,2,2
619568,2,2,2
534695,2,2,2
610424,0,2,1
511826,2,2,1
407896,0,0,0
388693,0,1,1
507903,2,2,2
391764,2,2,2
613537,0,2,1
555166,2,2,2
560389,0,0,0
615055,0,0,0
232365,1,1,1
543036,2,2,1
253761,1,1,1
426958,0,0,0
603952,2,2,2
254627,1,0,2
619679,2,2,1
548215,2,2,1
517789,0,1,1
537023,0,2,0
426155,0,0,0
623371,2,2,2
390207,0,1,0
415118,0,0,0
386539,0,0,1
526841,2,2,2
508296,0,0,1
507573,2,2,2
567185,0,2,2
535847,2,2,2
226602,1,1,1
389628,0,0,0
519945,0,2,1
256462,1,1,1
404634,0,0,0
427077,0,0,1
410160,0,0,0
235183,1,1,1
538870,0,0,0
615863,2,2,2
410113,0,0,0
548317,0,2,2
414862,2,0,2
606939,2,2,2
614532,2,2,2
544823,2,2,2
259088,1,0,0
524265,2,2,2
566918,0,0,0
417194,0,0,1
610969,2,2,2
425463,0,0,1
221788,1,1,1
604671,2,2,2
625937,2,2,1
254738,1,1,2
417687,1,0,1
393772,1,1,1
221519,1,1,1
398005,1,1,1
535341,0,0,1
527587,2,2,2
217646,1,1,1
626347,2,2,2
619457,2,0,1
512294,0,0,0
241438,0,0,1
549519,0,0,1
520852,2,2,1
615717,2,2,2
399795,0,1,1
234227,1,1,1
397874,1,1,1
241400,0,0,1
617753,0,0,0
559787,1,0,1
616724,2,2,2
413363,0,0,0
620753,0,0,1
233412,1,1,1
387250,0,1,1
531480,0,2,1
259347,0,0,0
535958,1,2,1
547721,2,2,2
383145,0,0,1
221833,1,1,1
605021,2,2,2
599484,0,0,1
617721,0,0,0
414401,0,0,0
531735,2,2,2
597912,2,2,2
226920,1,1,1
421754,0,1,1
407009,0,0,0
561452,0,2,2
614178,2,2,2
385845,1,0,1
560714,1,0,1
542186,0,0,0
542908,0,0,0
605593,2,2,1
239648,1,1,1
546525,2,2,0
552045,0,0,1
616769,2,1,2
617955,0,2,2
392152,1,1,1
562007,0,0,1
232634,1,1,1
509194,2,1,1
527512,2,2,1
249234,1,2,1
559942,2,2,2
506574,2,2,2
387896,1,1,1
413750,0,0,0
238210,1,1,1
523354,0,0,0
406657,0,0,1
603889,2,2,2
230815,1,1,1
219439,1,1,1
552710,0,0,2
428776,0,0,2
406491,0,0,0
555266,0,0,0
526027,2,2,2
567089,0,2,2
255032,1,1,1
620231,2,2,2
382621,2,2,1
557998,0,0,2
390768,0,1,0
554518,2,0,1
242128,0,0,0
381395,1,0,1
229290,0,1,1
257929,1,1,1
247207,1,1,1
230144,1,1,1
423301,1,0,1
382559,1,0,1
527143,0,2,2
255976,0,1,1
227432,1,1,1
555803,0,0,0
620500,0,2,2
242442,1,1,1
217982,1,1,1
412536,0,1,1
384004,0,0,0
244198,1,1,1
416550,0,0,0
418015,1,1,1
389671,0,0,0
601200,0,0,0
519843,2,2,2
517768,0,2,2
237520,1,1,1
253857,1,1,1
402665,0,0,0
563994,2,2,2
430001,0,0,1
388049,0,0,1
508238,2,2,1
566330,0,0,0
613568,2,2,2
394542,1,1,1
616579,2,2,2
520968,2,2,2
622058,2,2,2
511388,2,2,2
397796,1,1,1
536337,2,2,2
544864,2,2,1
616521,2,2,2
412276,1,1,1
560631,2,2,2
612028,2,2,2
623682,2,2,2
528900,2,2,2
243445,1,1,1
424771,0,0,1
527672,0,2,2
541451,0,2,2
540817,1,0,1
556516,2,0,2
425606,1,1,1
534145,2,0,0
224193,1,1,1
430339,0,0,0
420605,0,2,1
544753,0,2,2
620013,2,2,1
547841,0,0,1
621832,2,2,2
255884,1,1,1
607779,2,2,1
604376,2,2,2
539530,0,0,0
534854,0,0,0
381543,0,1,1
228465,1,1,2
618198,1,1,1
507861,0,0,0
221867,1,1,1
624906,2,2,2
611813,2,2,2
256075,0,0,1
389060,0,1,1
431177,0,0,1
618929,2,2,1
401458,1,1,1
256590,1,0,1
399816,1,1,1
523978,1,1,1
521057,2,2,2
387793,0,1,1
556173,2,2,2
225993,1,1,1
620923,0,0,0
403458,0,2,1
393477,0,1,1
226449,1,1,1
555062,0,1,1
622790,2,2,1
380726,0,0,0
411538,0,0,0
231180,1,1,1
535561,0,1,1
536020,2,2,2
519314,1,2,1
549181,0,2,2
510698,2,2,2
510528,2,2,2
555264,2,2,2
420938,1,1,1
601086,2,2,2
560749,0,0,0
393985,0,1,1
518545,0,0,0
519887,2,2,2
518315,0,0,0
567026,2,2,2
529724,2,2,1
392291,1,1,1
400763,1,1,1
232605,1,1,1
416179,0,0,1
416090,0,0,0
601761,2,0,2
226595,1,1,1
567584,2,2,2
544326,0,0,0
552709,2,2,1
617432,0,0,0
404686,1,1,1
393795,1,1,1
600890,2,2,2
558150,0,2,0
409499,0,1,1
217437,1,1,1
242761,0,2,0
221048,1,1,1
560719,0,2,2
607674,2,2,2
382036,0,0,1
234542,1,0,0
396874,1,1,1
226461,1,1,1
552192,0,1,2
625596,2,2,2
626387,2,2,2
257760,1,1,1
510356,1,1,0
607045,2,2,2
607491,2,2,2
540232,2,2,2
412728,1,1,1
533261,0,0,0
405135,0,0,0
256115,1,1,1
625387,2,2,2
408585,0,1,1
611759,2,2,1
610030,0,0,1
620285,0,2,2
626117,2,2,2
386290,0,0,0
398164,0,1,1
423644,1,1,1
404826,0,1,1
510354,0,0,0
385326,0,0,1
389394,0,0,0
218638,1,1,1
221825,1,1,1
395601,1,1,1
227481,1,1,1
238126,1,1,1
407378,0,1,0
428173,2,0,1
232141,1,1,2
625569,2,2,2
546413,0,0,1
603747,0,0,0
525405,2,2,2
558190,0,0,0
216827,1,1,1
260228,1,1,1
235237,1,1,1
420589,1,1,1
387446,1,0,0
627367,0,0,0
417694,0,0,1
387643,1,1,1
556680,2,2,2
517794,1,0,1
381266,1,1,1
255388,1,1,1
240246,1,0,1
244346,0,1,1
515455,2,2,2
604879,2,2,2
394228,1,1,1
260669,1,1,1
391418,1,1,1
385454,0,1,1
246526,1,1,1
562819,0,2,1
384085,0,1,1
558957,0,0,1
600034,2,1,1
220541,1,1,1
428802,0,0,1
619575,2,2,2
597741,1,0,1
