,Unnamed: 0_x,STATE_x,NAME_x,District,EMP_2011_x,EMP_2001_x,MSW_2011_x,MSW_2001_x,BF_2011_x,BF_2001_x,MSL_2011_x,MSL_2001_x,FC_2011_x,FC_2001_x,CHH_2011,CHH_2001,F_EMP_2001,F_EMP_2011,Unnamed: 0.1,Unnamed: 0_x,district_id_x,BF_2001_y,BF_2003,BF_2005,BF_2007,BF_2009,BF_2011_y,Unnamed: 0_y,EMP_2001_y,EMP_2003,EMP_2005,EMP_2007,EMP_2009,EMP_2011_y,Unnamed: 0_x.1,FC_2001_y,FC_2003,FC_2005,FC_2007,FC_2009,FC_2011_y,Unnamed: 0_y.1,MSL_2001_y,MSL_2003,MSL_2005,MSL_2007,MSL_2009,MSL_2011_y,Unnamed: 0.1.1,MSW_2001_y,MSW_2003,MSW_2005,MSW_2007,MSW_2009,MSW_2011_y,STATE_y,Name,NAME_y,ASSET_2011_x,ASSET_2001_x,Unnamed: 0_y,district_id_y,ASSET_2001_y,ASSET_2003,ASSET_2005,ASSET_2007,ASSET_2009,ASSET_2011_y
0,0,1,Kupwara,1,1,1,1,1,1,2,3,2,1,1,1,1,1,1,0,0,1,2,2,2,2,2,2,0,3,3,1,3,1,1,0,1,1,1,1,1,1,0,3,3,3,3,3,3,0,3,3,3,3,3,1,1,JAMMU & KASHMIR,Kupwara,1,1,0,1,2,3,1,1,1,3
1,1,1,Badgam,2,1,1,3,3,1,2,3,3,1,2,2,1,2,1,1,1,2,2,2,3,2,2,2,1,3,3,3,1,3,1,1,3,1,1,1,1,1,1,3,3,3,3,3,3,1,3,3,3,3,3,3,1,JAMMU & KASHMIR,Badgam,2,1,1,2,3,3,1,1,1,2
2,2,1,Leh (Ladakh),3,3,3,1,1,2,2,3,3,3,3,2,1,3,1,2,2,3,2,2,2,2,2,2,2,3,3,3,3,3,3,2,3,3,3,3,3,3,2,2,2,3,3,3,3,2,3,1,1,1,1,1,1,JAMMU & KASHMIR,Leh (Ladakh),2,1,2,3,2,2,2,2,2,2
3,3,1,Kargil,4,3,3,3,1,3,2,3,3,1,2,1,1,3,1,3,3,4,3,1,2,3,3,3,3,3,3,2,2,3,3,3,1,1,1,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,JAMMU & KASHMIR,Kargil,1,1,3,4,1,3,2,2,2,1
4,4,1,Punch,5,1,2,1,1,1,1,3,2,1,1,1,1,3,1,4,4,5,2,2,2,2,2,1,4,3,3,3,2,3,1,4,1,1,1,1,1,1,4,3,3,3,3,3,3,4,3,3,3,3,3,1,1,JAMMU & KASHMIR,Punch,1,1,4,5,3,3,3,3,1,2
5,5,1,Rajauri,6,1,1,1,1,1,1,3,2,1,1,2,1,3,1,5,5,6,3,1,2,2,2,1,5,3,1,1,2,1,1,5,3,1,1,1,1,1,5,3,3,2,3,2,3,5,3,3,3,3,3,1,1,JAMMU & KASHMIR,Rajauri,1,1,5,6,3,3,1,3,1,1
6,6,1,Kathua,7,1,1,3,3,1,1,3,3,1,1,3,2,2,1,6,6,7,2,3,2,2,3,2,6,3,3,1,3,3,1,6,1,1,1,1,1,1,6,3,3,3,2,3,3,6,3,3,3,3,3,3,1,JAMMU & KASHMIR,Kathua,2,1,6,7,1,3,1,3,3,2
7,7,1,Baramula,8,1,1,3,1,1,2,3,3,1,1,2,1,1,1,7,7,8,2,2,2,2,2,2,7,3,3,1,3,1,1,7,1,1,1,1,1,1,7,3,3,3,3,3,3,7,3,3,3,3,3,3,1,JAMMU & KASHMIR,Baramula,2,1,7,8,1,3,1,2,1,3
8,8,1,Srinagar,10,3,3,3,3,3,2,3,3,3,3,3,2,1,1,9,9,10,3,2,2,3,3,3,9,3,3,3,3,3,3,9,1,1,1,1,1,3,9,3,3,3,3,3,3,9,3,3,3,3,3,3,1,JAMMU & KASHMIR,Srinagar,3,2,9,10,3,3,1,3,1,3
9,9,1,Pulwama,12,1,1,3,3,3,2,3,3,1,2,2,1,1,1,11,11,12,3,2,3,2,3,2,11,3,3,3,3,3,1,11,1,1,1,1,1,1,11,3,3,3,3,3,3,11,3,3,3,3,3,3,1,JAMMU & KASHMIR,Pulwama,2,1,11,12,3,3,1,3,3,3
10,10,1,Anantnag,14,1,1,3,1,1,2,3,3,1,1,2,1,1,1,13,13,14,2,2,2,2,2,2,13,3,3,1,1,3,1,13,1,1,1,1,1,1,13,3,3,3,3,3,3,13,3,3,3,3,3,3,1,JAMMU & KASHMIR,Anantnag,2,1,13,14,1,3,1,2,2,2
11,11,1,Doda,16,1,2,3,3,1,1,3,2,1,1,2,1,3,1,15,15,16,2,2,2,2,2,2,15,1,3,1,1,1,1,15,1,1,1,1,1,1,15,3,3,3,3,3,3,15,3,3,3,3,3,3,1,JAMMU & KASHMIR,Doda,1,1,15,16,3,3,1,3,1,1
12,12,1,Udhampur,19,1,2,1,1,1,1,3,2,1,1,2,2,3,1,18,18,19,2,2,2,2,2,1,18,3,3,1,1,2,1,18,1,1,1,1,1,1,18,3,2,2,3,3,3,18,3,3,3,3,3,1,1,JAMMU & KASHMIR,Udhampur,2,1,18,19,2,3,1,3,1,2
13,13,1,Jammu,21,3,3,3,3,3,2,3,3,3,3,3,2,1,1,20,20,21,3,3,3,1,1,2,20,3,3,3,3,1,3,20,3,3,1,3,3,3,20,3,3,3,3,1,3,20,3,3,3,3,3,3,1,JAMMU & KASHMIR,Jammu,3,2,20,21,3,3,3,3,3,3
14,14,2,Chamba,23,2,2,3,3,3,1,3,3,1,1,3,2,3,1,22,22,23,2,2,2,2,2,2,22,2,3,2,2,2,2,22,1,1,1,1,1,1,22,3,3,3,3,3,3,22,3,3,3,3,3,3,2,HIMACHAL PRADESH,Chamba,2,1,22,23,2,2,2,2,2,2
15,15,2,Kangra,24,3,1,3,3,3,1,3,3,1,1,3,3,3,1,23,23,24,2,3,3,2,2,3,23,1,3,1,3,3,3,23,1,1,1,1,1,1,23,3,3,3,3,3,3,23,3,3,3,3,3,3,2,HIMACHAL PRADESH,Kangra,3,2,23,24,2,3,2,3,3,3
16,16,2,Lahul & Spiti,25,2,2,3,3,3,2,3,3,1,1,3,2,3,1,24,24,25,3,3,3,2,3,3,24,3,3,3,3,3,2,24,1,1,1,1,1,1,24,3,3,3,3,3,3,24,3,3,3,3,3,3,2,HIMACHAL PRADESH,Lahul & Spiti,3,1,24,25,3,3,2,1,2,3
17,17,2,Kullu,26,2,2,3,3,3,1,3,3,1,1,3,3,3,1,25,25,26,2,3,2,2,2,2,25,2,2,2,2,2,2,25,1,1,1,1,1,1,25,3,3,3,3,3,3,25,3,3,3,3,3,3,2,HIMACHAL PRADESH,Kullu,2,1,25,26,2,3,2,2,2,2
18,18,2,Mandi,27,2,2,3,3,3,1,3,3,1,1,3,3,3,1,26,26,27,2,3,2,2,2,3,26,1,2,1,1,2,2,26,1,3,1,3,1,1,26,3,3,3,3,3,3,26,3,3,1,3,3,3,2,HIMACHAL PRADESH,Mandi,3,2,26,27,1,3,1,1,1,3
19,19,2,Hamirpur,28,2,2,3,3,3,1,3,3,1,1,3,3,2,1,27,27,28,3,3,3,3,3,3,27,3,3,2,1,3,2,27,3,1,1,3,1,1,27,3,3,2,2,2,3,27,1,1,1,1,1,3,2,HIMACHAL PRADESH,Hamirpur,3,2,27,28,3,3,1,3,1,3
20,20,2,Una,29,3,1,3,3,3,1,3,3,1,1,3,2,3,1,28,28,29,3,2,2,3,3,3,28,3,3,3,3,3,3,28,1,1,1,1,3,1,28,3,3,3,3,3,3,28,3,3,1,3,3,3,2,HIMACHAL PRADESH,Una,3,2,28,29,3,3,1,3,3,3
21,21,2,Bilaspur,30,2,2,3,3,3,1,3,3,1,1,3,3,3,1,29,29,30,3,3,3,2,3,3,29,3,2,2,2,3,2,29,1,1,1,1,1,1,29,3,3,2,2,3,3,29,1,3,1,3,1,3,2,HIMACHAL PRADESH,Bilaspur,3,2,29,30,3,3,1,3,3,3
22,22,2,Solan,31,2,2,3,3,3,1,3,3,3,1,3,2,3,1,30,30,31,2,2,2,2,3,3,30,1,3,2,2,3,2,30,1,1,1,1,1,3,30,3,3,3,2,3,3,30,3,3,1,3,3,3,2,HIMACHAL PRADESH,Solan,3,2,30,31,3,3,1,1,3,3
23,23,2,Sirmaur,32,2,2,3,3,3,1,3,3,1,1,3,2,3,1,31,31,32,2,2,2,2,2,2,31,3,2,1,1,2,3,31,1,1,1,1,1,1,31,3,3,3,2,3,3,31,3,3,3,3,3,3,2,HIMACHAL PRADESH,Sirmaur,2,1,31,32,1,3,1,3,3,2
24,24,2,Shimla,33,2,2,3,3,3,1,3,3,3,3,3,3,3,1,32,32,33,2,2,2,2,2,3,32,2,2,2,1,2,2,32,1,1,1,1,1,3,32,3,3,3,3,3,3,32,3,3,3,3,3,3,2,HIMACHAL PRADESH,Shimla,3,2,32,33,2,2,2,2,2,3
25,25,2,Kinnaur,34,2,2,3,3,3,1,3,3,3,3,3,2,3,1,33,33,34,3,2,2,3,2,3,33,1,3,2,1,2,2,33,1,1,1,1,1,1,33,3,3,3,3,3,3,33,3,3,3,3,3,3,2,HIMACHAL PRADESH,Kinnaur,2,2,33,34,3,3,2,2,2,2
26,26,3,Gurdaspur,35,3,3,2,2,3,1,3,3,3,3,2,2,1,1,34,34,35,2,3,1,2,2,2,34,3,1,1,1,1,3,34,1,3,3,1,3,3,34,3,3,1,2,2,3,34,3,3,1,3,3,2,3,PUNJAB,Gurdaspur,3,3,34,35,3,3,1,3,1,3
27,27,3,Kapurthala,36,3,3,3,2,3,2,3,3,3,3,2,3,1,1,35,35,36,2,3,1,1,1,3,35,1,3,1,1,1,3,35,3,3,3,3,3,3,35,3,3,3,3,3,3,35,3,3,2,3,3,3,3,PUNJAB,Kapurthala,3,3,35,36,3,3,1,3,3,3
28,28,3,Jalandhar,37,3,3,3,2,3,2,3,3,3,3,2,2,1,1,36,36,37,2,2,1,1,1,3,36,3,1,1,1,1,3,36,1,3,2,1,3,3,36,3,3,3,3,2,3,36,3,3,3,2,3,3,3,PUNJAB,Jalandhar,3,3,36,37,3,3,3,3,3,3
29,29,3,Hoshiarpur,38,3,3,3,2,3,1,3,3,3,3,2,3,1,1,37,37,38,2,1,1,2,2,3,37,3,3,1,1,1,3,37,1,1,1,1,1,1,37,3,3,3,3,2,1,37,3,3,1,2,3,2,3,PUNJAB,Hoshiarpur,3,3,37,38,3,3,3,3,3,3
30,30,3,Nawanshahr ,39,3,3,2,2,3,1,3,3,3,2,2,3,2,1,38,38,39,2,3,3,3,1,3,38,3,1,1,1,3,3,38,3,3,3,3,3,3,38,3,3,3,3,3,3,38,3,3,3,3,3,2,3,PUNJAB,Nawanshahr ,3,3,38,39,3,3,3,3,3,3
31,31,3,Fatehgarh Sahib,40,3,3,2,2,3,2,3,3,3,2,2,2,1,1,39,39,40,2,3,3,3,1,3,39,2,1,3,1,3,3,39,3,3,3,3,3,3,39,3,3,3,3,3,3,39,1,3,3,3,3,2,3,PUNJAB,Fatehgarh Sahib,3,3,39,40,3,3,1,3,3,3
32,32,3,Ludhiana,41,3,3,3,2,3,2,3,3,3,3,2,2,1,1,40,40,41,2,1,1,1,1,3,40,1,1,1,1,1,3,40,1,2,2,2,3,3,40,3,2,3,2,2,3,40,3,2,2,2,3,3,3,PUNJAB,Ludhiana,3,3,40,41,3,1,3,1,1,3
33,33,3,Moga,42,1,1,2,2,2,2,3,3,3,2,2,2,2,1,41,41,42,2,1,1,1,1,3,41,3,1,1,1,3,1,41,3,2,2,3,3,3,41,3,1,2,3,3,3,41,1,3,3,2,3,2,3,PUNJAB,Moga,3,2,41,42,3,1,3,3,3,3
34,34,3,Firozpur,43,1,1,2,2,2,2,3,3,3,2,2,2,1,1,42,42,43,2,1,2,1,2,2,42,1,1,1,1,1,1,42,2,3,3,3,3,3,42,3,3,3,3,2,3,42,3,3,3,2,3,2,3,PUNJAB,Firozpur,3,2,42,43,3,2,2,3,3,3
35,35,3,Muktsar,44,1,1,3,2,2,2,3,3,3,2,1,2,2,1,43,43,44,1,2,2,3,2,2,43,1,1,1,1,1,1,43,1,2,3,3,3,3,43,3,3,3,3,2,3,43,3,3,3,3,3,3,3,PUNJAB,Muktsar,3,2,43,44,3,3,3,3,3,3
36,36,3,Faridkot,45,1,1,2,2,2,2,3,3,3,3,2,2,1,1,44,44,45,3,1,2,3,3,3,44,3,1,1,3,1,1,44,3,3,3,3,3,3,44,3,3,3,3,3,3,44,3,3,3,3,3,2,3,PUNJAB,Faridkot,3,2,44,45,3,3,3,3,3,3
37,37,3,Bathinda,46,1,1,3,2,2,2,3,3,3,3,2,2,2,1,45,45,46,2,1,1,2,2,2,45,3,1,1,1,1,1,45,1,1,3,3,3,3,45,3,1,3,3,2,3,45,3,2,3,3,3,3,3,PUNJAB,Bathinda,3,2,45,46,3,1,3,3,3,3
38,38,3,Mansa,47,1,1,2,2,2,2,3,3,2,2,2,2,2,1,46,46,47,2,1,2,1,1,3,46,1,1,1,1,1,1,46,1,2,2,3,3,3,46,3,3,3,3,3,3,46,3,3,3,3,3,2,3,PUNJAB,Mansa,3,2,46,47,3,3,3,3,3,3
39,39,3,Patiala,48,3,3,3,2,3,2,3,3,3,3,2,2,1,1,47,47,48,2,1,1,1,1,3,47,1,1,1,1,1,3,47,1,1,2,2,3,3,47,3,3,1,3,2,3,47,3,3,2,2,3,3,3,PUNJAB,Patiala,3,3,47,48,3,1,1,1,1,3
40,40,3,Amritsar,49,3,3,2,2,3,2,3,3,3,2,2,2,1,1,48,48,49,2,1,1,1,1,3,48,1,1,1,1,3,1,48,3,3,2,2,3,3,48,3,3,3,3,3,1,48,3,3,2,2,3,2,3,PUNJAB,Amritsar,3,3,48,49,3,3,3,1,3,3
41,41,3,Rupnagar,51,3,3,3,3,3,2,3,3,3,3,3,3,2,1,50,50,51,1,3,2,3,3,3,50,3,3,3,3,3,3,50,3,3,1,1,3,3,50,3,3,3,3,3,3,50,3,3,2,3,3,2,3,PUNJAB,Rupnagar,3,3,50,51,3,3,1,3,3,3
42,42,3,Sangrur,53,1,1,2,2,2,2,3,3,3,2,2,2,2,1,52,52,53,2,2,1,1,2,2,52,3,1,1,1,1,1,52,1,2,2,2,3,3,52,3,3,1,3,2,3,52,1,2,2,2,2,3,3,PUNJAB,Sangrur,3,2,52,53,3,1,2,3,3,3
43,43,4,Chandigarh,55,3,3,3,3,3,3,3,3,3,3,3,3,1,1,54,54,55,3,3,3,3,3,3,54,3,3,3,2,2,3,54,3,3,3,1,1,3,54,3,3,3,3,3,3,54,3,3,3,3,3,3,4,CHANDIGARH,Chandigarh,3,3,54,55,3,3,3,3,3,3
44,44,5,Uttarkashi,56,2,2,3,3,1,1,3,2,1,1,3,3,3,1,55,55,56,2,2,2,2,2,2,55,2,2,2,2,3,2,55,1,1,1,1,1,1,55,3,3,3,3,3,3,55,3,3,3,3,3,3,5,UTTARAKHAND,Uttarkashi,2,1,55,56,2,3,2,2,2,2
45,45,5,Chamoli,57,2,1,3,3,2,1,3,2,1,1,3,3,3,1,56,56,57,2,2,3,2,3,2,56,2,2,2,2,2,2,56,1,1,1,1,1,1,56,3,3,3,3,2,3,56,3,3,3,3,3,3,5,UTTARAKHAND,Chamoli,2,1,56,57,2,2,1,3,3,2
46,46,5,Rudraprayag,58,2,2,3,3,2,1,3,2,1,1,3,3,3,1,57,57,58,3,2,2,2,3,2,57,3,2,2,2,2,2,57,1,1,1,1,1,1,57,3,3,3,3,2,3,57,3,3,3,3,3,3,5,UTTARAKHAND,Rudraprayag,2,1,57,58,3,3,1,1,3,2
