,ASSET_change,ASSET,MSL_change,MSL,MSW_change,MSW,BF_change,BF,FC_change,FC,EMP_change,EMP,District,Asset_corr,MSL_corr,MSW_corr,BF_corr,FC_corr,EMP_corr,correct_prediction,Unnamed: 0,cloud_01,cloud_03,cloud_05,cloud_07,cloud_09,cloud_11,sum_cloud,wrong_prediction,cloud_cover,,
0,0,1,1,0,0,0,-1,0,0,0,0,0,1,0,0,1,0,1,1,3,104,1.134969325,0.593047035,1.433104719,3.660531697,0.778449247,1.095738794,8.695840817,3,3,,
1,1,1,0,0,0,0,-1,0,-1,0,0,0,2,1,1,1,0,0,1,4,310,9.042553191,7.559638943,2.901353965,6.689232753,4.029658285,14.29038053,44.51281767,2,4,,
2,1,1,0,1,0,0,0,0,0,1,0,0,3,1,0,1,1,0,1,4,379,5.088181934,3.962168959,3.089908161,4.959421508,3.819430488,3.338601219,24.25771227,2,4,,
3,0,0,0,0,1,0,1,-1,-1,0,0,0,4,1,1,0,0,0,1,3,72,4.269622345,2.118143812,2.624109528,2.444715101,2.805577656,2.378128164,16.64029661,3,4,,
4,0,1,1,0,0,0,0,0,0,0,-1,0,5,0,0,1,1,1,0,3,508,2.145514318,3.469158232,2.067652911,0.995154033,2.141866112,0.380655766,11.20000137,3,4,,
5,0,0,1,0,0,0,0,0,0,0,0,0,6,1,0,1,1,1,1,5,38,0.389063007,0.572787204,0.475521453,0.043229223,0.518862826,0.064843834,2.064307546,1,3,,
6,1,1,0,1,0,0,0,1,0,0,0,-1,7,1,0,1,0,1,0,3,184,0.089174246,0.267522739,0.035884094,0.14747903,0.046227811,0.285765315,0.872053236,3,1,0.0776309564,
7,1,0,0,0,1,0,-1,0,0,0,0,0,8,0,1,0,0,1,1,3,250,2.975014526,2.3474724,0.732132481,2.115787026,1.162115049,5.179181968,14.51170345,3,4,,
8,1,0,0,0,0,0,1,-1,0,0,0,0,10,0,1,1,0,1,1,4,274,0.676851673,0.309417908,0.5028041,0.038692204,0.135370335,2.958963283,4.622099501,2,3,0.0776309564,
9,1,1,0,0,0,0,1,0,-1,0,0,0,12,1,1,1,0,0,1,4,142,0.269905533,0.101214575,0.40526849,0.033738192,1.552480594,1.434350864,3.796958248,2,3,,
10,1,1,0,0,1,0,-1,0,0,0,0,-1,14,1,1,0,0,1,0,3,136,2.280516741,1.509359346,2.66076852,4.884370016,8.197701455,5.12145749,24.65417357,3,4,,
11,0,0,1,0,0,0,0,0,0,0,-1,0,16,1,0,1,1,1,0,4,167,1.215713855,0.371747212,0.3614209,1.184299571,2.293064877,1.276725099,6.702971515,2,3,,
12,1,1,1,0,0,0,0,0,0,0,-1,0,19,1,0,1,1,1,0,4,81,0.531914894,0.479595396,0.196815173,0.39817975,0.902024758,0.921699438,3.430229408,2,3,,
13,1,1,0,0,0,0,1,0,0,1,0,0,21,1,1,1,0,0,1,4,35,0,0,0,0.083655757,0.073855244,0.062676277,0.220187277,2,1,,
14,1,1,0,0,0,0,1,0,0,0,0,0,23,1,1,1,0,1,1,5,476,6.461648142,3.774021,5.62158583,5.271839989,6.147401403,7.487054322,34.76355069,1,4,,
15,1,1,0,0,0,0,1,1,0,0,1,0,24,1,1,1,1,1,0,5,608,1.756781694,1.681676162,2.690533309,2.537169909,3.88374676,3.21221457,15.76212241,1,4,,0.1416836065
16,1,1,0,0,0,0,1,1,0,0,0,0,25,1,1,1,1,1,1,6,469,3.856560866,1.426887919,4.034476993,5.346853763,4.956508469,1.435321242,21.05660925,0,4,,
17,1,1,0,0,0,0,1,0,0,0,0,0,26,1,1,1,0,1,1,5,239,2.709860669,2.067381317,6.03279444,7.143132048,6.499535747,4.785343177,29.2380474,1,4,,
18,1,0,0,0,0,1,1,1,0,0,0,0,27,0,1,0,1,1,1,4,587,0,0,0.005367398,0.096623544,0.021540118,0,0.123531061,2,1,,
19,1,0,0,0,0,0,1,0,0,0,0,0,28,0,1,1,0,1,1,4,634,0,0,0,0.473305566,0.170745589,0.343824385,0.98787554,2,1,,
20,1,1,0,0,0,1,1,-1,0,0,1,0,29,1,1,0,0,1,0,3,255,0,0,0,0,0.068936992,0.140331182,0.209268173,3,1,,
21,1,1,0,0,0,1,1,1,0,0,0,0,30,1,1,0,1,1,1,5,625,0,1.204819277,0,2.626299471,0,0.13986014,3.970978888,1,3,,
22,1,0,0,1,0,1,1,1,1,0,0,0,31,0,0,0,1,0,1,2,630,0.206971678,0.042747221,0,0,0,0.029726516,0.279445415,4,1,,
23,1,1,0,1,0,0,1,0,0,0,0,0,32,1,0,1,0,1,1,4,164,0.007614986,0.007614986,0,0.007614986,0.663564945,0.175144685,0.861554589,2,1,,
24,1,1,0,0,0,0,1,1,0,0,0,0,33,1,1,1,1,1,1,6,577,0.26560425,0.129259087,0.307487742,0.698051274,0.74436499,0.588015181,2.732782523,0,3,,
25,0,1,0,0,0,0,1,0,0,0,0,0,34,0,1,1,0,1,1,4,116,1.739872628,1.775983192,3.361565229,2.84954532,3.869204426,1.786948366,15.38311916,2,4,,
26,0,0,0,0,0,0,1,0,0,1,0,0,35,1,1,1,0,0,1,4,94,0,0,0,0.029202196,0,0.33862681,0.367829006,2,1,,
27,0,1,0,0,1,0,1,1,0,1,0,0,36,0,1,0,1,0,1,3,301,0,0,0,0,0,0.025614754,0.025614754,3,1,,
28,0,1,0,1,1,0,1,1,0,0,0,0,37,0,0,0,1,1,1,3,328,0,0,0,0,0,0,0,3,0,,
29,0,1,0,0,1,0,1,1,0,0,0,0,38,0,1,0,1,1,1,4,79,0,0,0,0,0,0,0,2,0,,
30,0,1,0,0,0,0,1,1,1,1,0,0,39,0,1,1,1,1,1,5,103,0.836751436,0,0,0,0,0.016450074,0.85320151,1,1,,
31,0,1,0,0,0,0,1,1,1,1,0,0,40,0,1,1,1,1,1,5,192,0.131233596,0.018747657,0,0,0,0.037495313,0.187476565,1,1,,
32,0,1,0,0,1,0,1,1,0,1,0,0,41,0,1,0,1,0,1,3,204,0.005973002,0.011946004,0,0.005973002,0,0,0.023892008,3,1,,
33,1,1,0,0,0,0,0,1,1,0,0,0,42,1,1,1,0,0,1,4,541,0,0.009123255,0,0.036493021,0,0,0.045616276,2,1,,
34,1,1,0,1,0,0,0,1,1,0,0,0,43,1,0,1,0,0,1,3,169,0,0.012368584,0,0.020614306,0,0,0.03298289,3,1,,
35,1,1,0,1,1,0,0,0,1,0,0,0,44,1,0,0,1,0,1,3,505,0,0,0,0.049627792,0,0,0.049627792,3,1,,
36,1,1,0,0,0,0,0,-1,0,1,0,0,45,1,1,1,0,0,1,4,177,0,0,0,0.088560886,0,0,0.088560886,2,1,,
37,1,1,0,0,1,0,0,0,0,0,0,0,46,1,1,0,1,1,1,5,132,0,0.012781186,0,0.006390593,0,0,0.019171779,1,1,,
