,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
0,0,27712,35153,19791,13756,11204,11746,12779,13754,22247,254756,19781,28106,19754,12765,12830,13098,13269,18539,44364,240392,11831,27814,22165,15265,14043,14611,17419,24521,55874,219355,121009,31398,16639,13008,11210,11853,12353,14565,17053,173810,208509,50215,29231,24668,21190,19140,19615,19983,17848,12499,320167,55079,8362,10022,5727,6113,4801,4511,3917,4198,321235,51796,12790,7634,6240,4831,5394,4997,3842,4139,107337,62309,45103,32941,27921,24558,25378,29431,38119,29801,69677,24430,17410,12949,11692,10759,13835,17317,36587,208190,300647,46585,14686,10296,9255,9724,11426,11911,6866,1502,227569,22324,18865,19319,20496,20955,20177,20102,18698,34393,2051,4557,8136,11115,13832,16479,19117,21612,29584,296415
1,1,179,792,555,438,546,709,1206,915,672,3768,937,987,599,653,833,926,601,506,867,2871,982,1076,672,616,922,900,680,615,998,2319,4289,1191,499,284,277,235,285,291,408,2021,5982,886,537,600,706,590,334,112,25,8,9771,9,0,0,0,0,0,0,0,0,9769,11,0,0,0,0,0,0,0,0,4725,1173,723,488,574,764,769,457,97,10,2819,1067,896,544,358,258,273,353,757,2455,2585,2097,1906,986,640,462,474,445,180,5,6364,535,295,257,241,314,508,756,382,128,3,41,80,185,248,371,550,567,542,7193
2,2,0,4,3,8,13,51,518,1278,1320,3009,4,16,26,36,177,964,983,897,366,2735,7,36,26,52,273,789,1355,755,376,2535,2816,569,110,83,59,48,81,96,104,2238,2931,324,508,841,920,477,172,30,1,0,6188,16,0,0,0,0,0,0,0,0,6192,12,0,0,0,0,0,0,0,0,2209,584,199,191,336,844,1076,664,101,0,298,837,1061,611,290,154,122,93,226,2512,2959,2954,264,25,1,1,0,0,0,0,2947,43,46,72,107,250,792,1199,651,97,0,0,2,13,39,110,484,1021,1091,3444
3,3,14558,15646,15584,12288,14838,16715,23028,28488,49279,199429,7345,6989,6229,5140,6228,7785,11666,20150,79862,238459,3812,4153,4462,4281,5118,6275,9545,19987,93684,238536,85752,26984,16568,13722,13879,16243,17132,23324,33323,142926,93345,31595,19794,16987,17250,19071,22803,31887,48697,88424,373160,11794,1178,1015,706,572,595,438,267,128,373563,11299,1390,894,722,543,594,461,264,123,34535,28254,22532,17587,17005,17664,21154,32374,61978,136770,32764,11260,9138,7537,8559,9858,13435,21657,69434,206211,376825,12074,571,145,62,45,41,49,22,19,98631,16971,13601,13726,16815,21869,28884,39610,51683,88063,2753,7057,13585,16910,18724,23546,29656,36703,49872,191047
4,4,1621,2444,2923,2037,2499,2453,3739,4793,6816,42672,579,932,1132,1155,1521,1596,2604,4467,13290,44721,185,657,777,1052,1238,1751,2606,4763,16958,42010,17247,5251,3263,2753,2115,2620,2560,3197,3430,29561,31248,8382,5098,3864,3423,3677,4068,4654,4950,2633,53803,7498,1239,1717,1085,1468,1381,1500,1371,935,53937,7050,1954,1295,1199,1096,1548,1677,1337,904,13333,9591,6612,5248,4232,4720,4782,6689,9541,7249,5971,2611,2151,1854,1773,2066,2713,4591,10960,37307,62224,8489,584,236,143,95,90,64,59,13,33864,3625,2806,2878,3381,4186,4972,5218,5132,5935,20,100,300,646,1209,1951,3033,4124,7637,52977
5,5,3532,3586,685,344,267,182,135,160,251,2417,2647,3082,1483,656,455,302,174,259,445,2056,1245,2917,2025,975,658,513,444,468,568,1746,4173,1590,852,664,624,579,578,510,428,1561,4540,1970,1420,1133,822,595,511,370,188,10,5518,4427,474,527,272,190,105,36,10,0,5607,4185,735,404,300,144,128,46,10,0,3152,1707,1859,1284,1216,658,762,546,365,10,4011,1750,911,722,603,284,645,421,463,1749,2123,1124,716,643,619,884,1422,2125,1646,257,3290,1118,1637,1804,1410,924,574,403,223,176,358,826,941,1073,975,1030,952,821,724,3859
6,6,3344,4498,392,235,91,82,35,34,54,488,2519,3383,1540,528,307,203,130,104,111,428,935,3484,2205,793,528,329,275,194,146,364,3474,1503,667,646,539,489,563,527,373,472,2013,2129,1674,1265,769,543,436,274,137,13,892,4586,1511,1449,491,282,35,7,0,0,862,4053,2471,1015,549,235,59,9,0,0,753,1401,2183,1301,1449,712,760,436,241,17,3643,1821,786,744,572,262,584,304,206,331,379,233,197,329,507,964,1844,2592,1822,386,719,1214,1923,1916,1677,1008,420,230,108,38,161,573,878,1151,1288,1418,1269,1068,654,793
7,7,1605,3042,2271,972,645,1172,926,374,148,59,690,2391,2200,1723,1514,1333,750,383,181,49,552,2022,2261,1735,1773,1273,870,521,167,40,791,1555,1586,1210,1517,1474,1837,874,312,58,542,908,1561,2090,2093,1894,1328,671,127,0,133,511,303,640,1222,1586,1973,1892,1101,1849,134,494,331,588,1271,1344,2109,1978,1111,1849,295,747,1363,1925,2182,1881,1484,1045,290,2,960,1614,1828,1703,1589,1698,1071,576,131,44,221,333,413,779,1221,1652,1943,2202,1900,550,246,714,1484,2519,2748,2080,1097,284,39,3,235,606,1416,2083,1954,1470,1220,1045,743,442
8,8,32,137,145,139,161,230,650,2413,2823,1875,212,297,235,422,869,2372,1757,563,379,1499,237,343,286,464,1405,2381,1278,543,333,1335,5638,1096,221,109,79,48,71,78,124,1141,2746,821,995,1101,1172,963,532,222,52,1,8597,8,0,0,0,0,0,0,0,0,8596,9,0,0,0,0,0,0,0,0,2073,555,524,632,1089,1401,1328,835,160,8,1891,2193,1475,735,308,204,137,117,199,1346,2209,3787,1844,395,117,96,87,61,9,0,2523,162,110,125,194,417,1106,2023,1530,415,4,30,105,240,406,650,952,1130,1447,3641
9,9,94,296,316,222,264,309,542,781,618,7733,599,465,358,415,416,535,478,307,500,7102,627,529,547,432,459,478,431,382,689,6601,3125,578,308,181,149,136,189,229,305,5975,7701,1134,568,475,388,295,259,223,121,11,11158,17,0,0,0,0,0,0,0,0,11157,18,0,0,0,0,0,0,0,0,4956,2085,1165,738,598,546,447,377,250,13,2084,500,405,278,220,191,161,215,528,6593,7547,1712,944,432,252,146,83,51,7,1,9209,357,152,117,120,158,314,309,171,268,51,100,94,76,83,107,188,273,310,9893
