,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
1,1,808,1324,826,886,695,801,430,362,350,3298,1790,1202,1153,1102,662,313,231,229,518,2580,1595,1153,841,1051,1074,603,351,326,586,2200,3331,1167,857,591,449,340,390,325,302,2028,6042,1295,935,623,390,239,135,73,42,6,9777,3,0,0,0,0,0,0,0,0,9777,3,0,0,0,0,0,0,0,0,4838,1316,1170,914,621,477,266,105,67,6,3260,951,864,647,460,361,240,241,458,2298,2222,777,655,770,1152,1174,1027,1004,915,84,6287,945,825,548,493,378,199,66,26,13,10,47,90,177,227,358,478,681,1054,6658
2,2,48,287,625,725,587,538,446,492,510,1946,236,378,753,972,758,608,421,174,132,1772,188,272,369,780,1154,892,517,219,113,1700,2770,1008,334,130,77,90,90,58,46,1601,2410,943,1065,737,502,329,169,45,4,0,6181,23,0,0,0,0,0,0,0,0,6183,21,0,0,0,0,0,0,0,0,1571,810,635,648,764,767,571,369,69,0,1177,1521,865,474,212,90,47,44,80,1694,1985,1038,1147,1050,490,298,149,47,0,0,2389,225,206,373,632,684,666,656,304,69,2,14,62,196,298,442,514,759,951,2966
3,3,10016,11778,11271,9863,11374,15059,18089,26382,45500,230521,4467,3598,3973,4001,4472,5614,7883,15134,68880,271831,3567,1422,2327,2768,3519,4697,7193,15052,78018,271290,65106,22254,14111,12899,13458,15807,16912,23341,32563,173402,88333,35623,22077,19460,18112,21101,24562,32249,46886,81450,233740,64485,13997,14927,12149,11235,13596,13704,8297,3713,234667,61271,18269,12852,12196,10606,13942,14006,8415,3622,32864,25123,20718,19891,19204,20244,23828,35150,64522,128309,21843,8806,6363,6847,6698,7648,10049,18874,64702,236699,375696,12710,672,235,142,119,97,89,52,41,135921,16630,11271,10859,12693,15925,21618,32819,48855,83262,1348,4399,11695,17614,19227,22619,27699,31818,40414,213020
4,4,1890,3911,4016,2589,2569,2786,3881,3875,6603,39877,73,866,1495,1399,1436,1722,2812,4471,13697,44026,1,134,667,1044,1352,1807,2838,5465,17531,41158,15622,6014,3608,2659,2611,3085,2923,3299,4046,28130,22431,9761,6078,5022,4510,5113,5268,5682,5646,2486,41892,9261,1648,2273,1458,2130,2188,2681,3023,5410,42071,8684,2578,1715,1616,1604,2410,2950,3039,5302,7001,7498,6681,5622,5354,5617,6170,8536,12065,7453,4100,2780,2544,2037,2219,2342,3354,4615,11487,36519,59916,9122,1314,529,293,234,175,163,177,74,31106,3450,2785,3156,3741,4375,4921,5179,5438,7846,68,382,861,1463,2115,2992,3794,4597,7589,48134
5,5,4593,4024,1094,406,127,67,95,71,95,987,3986,3664,1733,674,215,153,99,63,195,777,2307,3228,1974,1298,808,581,270,198,198,697,5233,2003,917,789,658,640,384,225,110,600,3764,2192,1648,1178,848,645,647,451,179,7,4635,4431,948,860,416,214,47,8,0,0,4684,4107,1382,685,416,209,66,10,0,0,2396,1864,1862,1630,1158,949,757,650,289,4,5554,1869,1053,774,660,336,325,142,148,698,806,361,473,697,1112,1797,2500,2429,1248,136,2021,1078,1500,1905,1905,1419,839,473,279,140,730,1115,864,1045,1113,1113,1165,1007,837,2570
6,6,2932,4324,1095,549,179,31,23,15,15,90,2631,3686,1692,675,216,161,74,26,30,62,1301,3191,1954,1203,655,571,207,78,44,49,3573,2105,870,781,623,529,362,275,79,56,1801,1854,1628,1161,993,665,579,388,170,14,757,3775,1599,1902,728,411,77,4,0,0,790,3285,2564,1359,802,328,119,6,0,0,737,1603,1582,1580,1171,959,786,595,229,11,4293,1912,889,704,583,282,305,149,87,49,60,51,100,207,638,1461,2675,2978,1037,46,217,821,1583,1946,2125,1379,710,325,101,46,558,975,1028,1187,1122,1207,995,904,794,483
7,7,1509,2201,2522,1233,742,1219,870,420,229,269,1986,2817,1838,960,661,1072,933,463,285,199,1374,3038,1711,1113,786,1150,1018,552,307,165,3030,1796,1205,1090,1064,1260,1035,456,104,174,2024,1475,1429,1402,1468,1461,1032,596,258,69,3598,1878,760,1200,1394,1248,643,382,111,0,3701,1729,812,1271,1328,1151,732,391,99,0,1435,1394,1648,1442,1359,1412,1236,838,402,48,3087,1853,1106,974,788,1128,1159,759,181,179,333,579,718,933,1273,1565,1822,2234,1595,162,666,843,1475,1905,2105,1970,1205,560,251,234,597,550,864,1214,1373,1683,1568,1190,808,1367
8,8,185,412,333,293,429,1047,992,2010,1432,1472,599,557,896,1762,1194,907,1033,248,155,1254,519,515,658,1282,1838,1362,858,277,132,1164,2371,572,585,570,695,662,819,712,491,1128,2854,1802,1991,1040,458,248,137,61,13,1,8605,0,0,0,0,0,0,0,0,0,8605,0,0,0,0,0,0,0,0,0,1872,1391,1988,1416,814,616,343,138,25,2,1711,1445,1112,946,749,558,457,239,242,1146,1696,786,458,589,708,1102,1327,1460,457,22,2834,1997,1313,807,591,379,303,254,102,25,4,13,35,97,152,330,540,1256,2510,3668
9,9,188,443,345,167,149,396,273,751,570,7893,703,503,446,601,345,259,388,253,456,7221,679,687,536,384,467,331,356,385,621,6729,2159,491,348,262,256,283,354,447,528,6047,7153,1560,917,520,366,278,195,127,58,1,11080,57,6,8,8,7,3,3,1,2,11080,51,14,7,7,6,4,3,2,1,4299,2238,1520,1050,674,554,454,256,116,14,1890,451,344,247,219,332,248,317,498,6629,7115,727,467,352,360,395,511,657,501,90,9463,722,341,217,130,106,94,57,30,15,3,32,59,70,112,143,187,270,506,9793
10,10,245,314,366,208,254,569,382,587,1062,1184,649,509,409,619,356,410,644,425,326,824,549,539,416,436,575,560,599,460,315,722,1990,590,473,310,250,235,246,218,151,708,2071,1062,619,393,302,251,163,166,109,35,5160,10,1,0,0,0,0,0,0,0,5162,9,0,0,0,0,0,0,0,0,1417,908,840,576,345,329,275,217,220,44,1682,681,521,404,290,316,178,174,158,767,941,899,611,515,499,474,429,395,329,79,2051,737,508,409,362,334,267,197,131,175,76,71,85,99,123,183,234,391,865,3044
11,11,175,198,164,119,102,173,74,99,168,3920,346,221,183,133,80,91,106,101,328,3603,329,228,182,108,125,126,159,194,477,3264,870,232,183,115,113,133,153,212,268,2913,2702,933,529,340,261,222,120,67,15,3,5056,104,14,13,1,3,1,0,0,0,5058,100,20,9,1,1,3,0,0,0,1407,945,837,577,479,400,309,166,68,4,678,150,142,92,96,113,98,156,379,3288,3231,547,252,209,193,191,198,193,148,30,4458,365,147,89,67,37,18,7,3,1,3,8,16,16,28,58,54,71,141,4797
12,12,67,198,255,618,540,344,249,252,252,189,214,300,543,820,405,214,165,110,55,138,190,284,478,716,529,276,152,165,73,101,1622,647,216,102,57,69,43,43,55,110,518,612,601,455,305,198,116,79,67,13,2916,30,1,1,1,5,3,7,0,0,2914,32,1,1,3,2,4,7,0,0,330,309,426,492,451,332,285,200,120,19,990,894,453,188,107,94,57,20,43,118,125,540,556,531,448,260,185,181,117,21,359,266,204,344,428,398,294,250,209,212,41,81,84,126,148,219,368,558,630,709
13,13,44,773,466,412,161,99,103,63,77,428,96,454,919,419,102,59,85,57,87,348,80,127,554,900,274,151,80,70,65,325,1174,818,225,53,19,13,7,12,14,291,697,222,572,555,304,139,108,27,2,0,1863,763,0,0,0,0,0,0,0,0,1907,719,0,0,0,0,0,0,0,0,518,148,158,401,631,370,195,168,37,0,1159,807,139,68,41,17,21,19,31,324,394,346,389,366,409,367,291,56,8,0,615,70,94,259,493,378,220,190,158,149,18,85,159,202,277,341,378,258,144,764
14,14,1340,1599,1232,1492,898,641,484,235,335,6916,2318,1542,1706,1385,547,328,253,260,575,6258,1781,1527,1363,1618,981,579,402,414,800,5707,7034,1129,405,263,226,203,222,285,423,4982,7766,2290,1841,1220,762,529,362,269,110,23,15030,117,14,7,3,0,1,0,0,0,15032,113,17,6,3,0,1,0,0,0,4796,2371,1727,1673,1650,1242,803,520,340,50,5416,1804,606,288,223,182,176,246,573,5658,6003,2083,2267,1452,875,735,692,643,393,29,8818,1125,496,445,633,888,945,769,490,563,146,270,290,363,367,564,784,1050,1241,10097
15,15,96,595,806,561,199,95,92,80,157,3711,185,550,1183,408,100,80,91,104,313,3378,138,289,924,854,246,160,117,143,393,3128,2027,750,269,138,84,89,88,98,160,2689,3482,797,578,619,532,233,104,39,8,0,5704,682,5,1,0,0,0,0,0,0,5750,636,6,0,0,0,0,0,0,0,2194,932,772,646,793,514,308,184,48,1,1588,919,132,79,74,63,82,120,274,3061,3469,642,527,510,440,426,275,89,14,0,3981,144,152,212,334,408,467,425,210,59,16,80,177,325,353,335,282,246,279,4299
16,16,4605,1640,849,500,235,250,161,126,189,1398,4935,1356,721,535,257,340,230,199,318,1062,3610,1973,866,633,424,455,344,350,404,894,6815,769,374,312,221,228,165,151,132,786,6444,1009,482,348,282,286,293,294,350,165,9411,533,5,4,0,0,0,0,0,0,9421,522,6,4,0,0,0,0,0,0,5026,1371,875,496,441,377,341,414,441,171,6487,766,258,333,187,301,130,253,299,939,1369,1178,1509,1269,1183,1103,908,795,562,77,3933,940,658,621,668,695,613,512,449,864,844,469,402,369,309,431,444,613,838,5234
