Unnamed: 0,Unnamed: 0_x,STATE_x,NAME_x,District,EMP_2011_x,EMP_2001_x,MSW_2011_x,MSW_2001_x,BF_2011_x,BF_2001_x,MSL_2011_x,MSL_2001_x,FC_2011_x,FC_2001_x,CHH_2011,CHH_2001,F_EMP_2001,F_EMP_2011,Unnamed: 0.1,Unnamed: 0_x.1,district_id_x,BF_2001_y,BF_2003,BF_2005,BF_2007,BF_2009,BF_2011_y,Unnamed: 0_y,EMP_2001_y,EMP_2003,EMP_2005,EMP_2007,EMP_2009,EMP_2011_y,Unnamed: 0_x.1.1,FC_2001_y,FC_2003,FC_2005,FC_2007,FC_2009,FC_2011_y,Unnamed: 0_y.1,MSL_2001_y,MSL_2003,MSL_2005,MSL_2007,MSL_2009,MSL_2011_y,Unnamed: 0.1.1,MSW_2001_y,MSW_2003,MSW_2005,MSW_2007,MSW_2009,MSW_2011_y,STATE_y,Name,NAME_y,ASSET_2011_x,ASSET_2001_x,Unnamed: 0_y.1.1,district_id_y,ASSET_2001_y,ASSET_2003,ASSET_2005,ASSET_2007,ASSET_2009,ASSET_2011_y
187,187,10,Pashchim Champaran,203,1,2,2,2,1,1,1,1,2,2,1,1,2,1,202,202,203,1,2,1,1,1,1,202,1,1,1,1,1,1,202,2,3,3,1,1,2,202,3,1,3,3,2,1,202,2,3,2,3,2,2,10,BIHAR,Pashchim Champaran,1,1,202,203,1,1,1,1,1,1
188,188,10,Purba Champaran,204,1,1,2,2,1,1,1,1,2,2,1,1,1,1,203,203,204,2,1,1,1,1,1,203,3,1,1,1,1,1,203,2,2,3,1,3,2,203,1,2,3,1,2,1,203,2,3,2,2,3,2,10,BIHAR,Purba Champaran,1,1,203,204,1,1,1,1,2,1
189,189,10,Sheohar,205,1,1,2,2,1,1,1,1,2,2,1,1,1,1,204,204,205,3,3,3,3,3,1,204,1,2,1,3,3,1,204,3,3,1,1,1,2,204,3,3,3,3,3,1,204,1,3,3,3,3,2,10,BIHAR,Sheohar,1,1,204,205,3,3,3,3,3,3
190,190,10,Sitamarhi,206,1,1,2,2,1,1,1,1,2,2,1,1,1,1,205,205,206,1,1,1,1,1,1,205,3,3,1,1,1,1,205,2,2,2,1,3,2,205,2,2,1,1,2,1,205,3,2,2,3,3,2,10,BIHAR,Sitamarhi,1,1,205,206,1,1,1,1,1,1
191,191,10,Madhubani,207,1,1,2,2,1,1,1,1,2,2,2,2,2,1,206,206,207,1,1,1,1,1,1,206,1,2,1,1,1,1,206,2,2,1,1,3,2,206,1,3,1,1,2,1,206,2,2,2,2,3,2,10,BIHAR,Madhubani,1,1,206,207,1,1,1,1,1,1
192,192,10,Supaul,208,1,2,2,2,1,1,1,1,2,2,1,1,3,1,207,207,208,1,1,1,2,1,1,207,1,1,1,1,1,1,207,2,1,2,1,3,2,207,1,2,1,3,3,1,207,2,3,2,1,3,2,10,BIHAR,Supaul,1,1,207,208,1,1,1,1,1,1
193,193,10,Araria,209,2,2,2,2,1,1,1,1,2,2,1,1,2,1,208,208,209,1,2,1,1,1,1,208,2,3,1,3,1,2,208,2,1,1,1,3,2,208,1,2,1,1,1,1,208,2,3,2,3,3,2,10,BIHAR,Araria,1,1,208,209,1,1,1,1,1,1
194,194,10,Kishanganj,210,1,1,2,2,1,1,1,1,2,2,1,1,1,1,209,209,210,2,1,1,1,1,1,209,1,1,1,2,3,1,209,2,1,2,1,3,2,209,3,3,3,3,3,1,209,3,1,2,2,1,2,10,BIHAR,Kishanganj,1,1,209,210,1,1,1,1,1,1
195,195,10,Purnia,211,1,2,2,2,1,1,1,1,2,2,1,1,2,2,210,210,211,1,2,1,1,1,1,210,1,1,1,1,1,1,210,2,2,2,1,3,2,210,1,2,1,1,2,1,210,2,3,2,2,2,2,10,BIHAR,Purnia,1,1,210,211,1,1,1,1,1,1
196,196,10,Katihar,212,1,2,2,2,1,1,1,1,2,2,1,1,2,1,211,211,212,1,2,1,1,1,1,211,1,1,1,1,1,1,211,3,1,3,1,3,2,211,2,2,2,2,1,1,211,2,2,2,2,2,2,10,BIHAR,Katihar,1,1,211,212,1,1,1,1,1,1
197,197,10,Madhepura,213,2,2,2,2,1,1,1,1,2,2,1,1,3,1,212,212,213,2,2,1,1,1,1,212,1,1,1,1,1,2,212,3,2,2,3,1,2,212,3,2,1,3,2,1,212,3,3,2,1,3,2,10,BIHAR,Madhepura,1,1,212,213,1,3,1,1,1,1
198,198,10,Saharsa,214,1,2,2,2,1,1,1,1,2,2,1,1,2,1,213,213,214,2,2,1,2,1,1,213,1,1,1,1,1,1,213,2,1,2,1,1,2,213,3,2,1,3,2,1,213,3,3,2,3,1,2,10,BIHAR,Saharsa,1,1,213,214,3,3,1,1,1,1
199,199,10,Darbhanga,215,1,1,2,2,1,1,1,1,2,2,1,1,1,1,214,214,215,1,2,1,2,1,1,214,1,1,1,1,1,1,214,2,2,2,3,3,2,214,1,2,1,3,3,1,214,2,3,2,3,1,2,10,BIHAR,Darbhanga,1,1,214,215,1,1,1,1,3,1
200,200,10,Muzaffarpur,216,1,1,2,2,1,1,1,1,2,2,1,1,1,1,215,215,216,2,1,1,1,3,1,215,1,1,3,1,3,1,215,1,2,3,3,3,2,215,1,2,3,1,2,1,215,2,3,2,2,3,2,10,BIHAR,Muzaffarpur,1,1,215,216,1,1,1,1,3,1
