ASSET,MSL,MSW,BF,FC,EMP,District
0,0,0,0,0,0,203
0,0,0,0,0,0,204
1,0,0,0,0,0,205
0,0,0,0,0,0,206
0,0,0,0,0,0,207
0,0,0,0,0,0,208
0,0,0,0,0,0,209
0,0,0,0,0,0,210
0,0,0,0,0,0,211
0,0,0,0,0,0,212
0,1,0,0,0,0,213
0,1,0,0,0,0,214
0,0,0,0,0,0,215
0,0,0,0,0,0,216
0,0,0,0,0,0,217
0,0,0,0,0,0,218
0,0,0,0,0,0,219
0,0,0,0,0,0,220
0,1,0,0,0,0,221
0,0,1,0,0,0,222
0,0,0,0,0,0,223
0,0,0,0,0,0,224
0,1,0,0,0,0,225
0,0,0,0,0,0,226
0,0,0,0,0,0,227
1,0,0,0,0,0,228
0,0,0,0,0,0,229
1,0,0,0,0,0,230
0,0,0,0,0,0,231
0,0,0,0,0,0,232
0,0,0,0,0,0,233
1,0,0,0,0,0,234
0,0,0,0,0,0,235
0,0,0,0,0,0,236
0,0,0,0,0,0,237
0,0,0,0,0,0,238
1,0,0,0,0,0,239
0,0,0,0,0,0,370
0,0,0,0,0,0,371
0,0,0,0,0,0,372
0,0,0,0,0,0,373
0,0,0,0,0,0,374
0,0,0,0,0,0,375
0,0,0,0,0,0,376
0,0,0,0,0,0,377
0,0,0,0,0,0,378
0,0,0,0,0,0,379
1,0,0,0,0,0,380
1,0,0,0,0,0,381
0,0,0,0,0,0,382
0,0,0,0,0,0,383
0,0,0,0,0,0,384
0,0,0,0,0,0,385
0,1,0,0,0,0,386
0,0,0,0,0,0,387
0,0,0,0,0,0,388
0,0,0,0,0,0,389
0,0,0,0,0,0,390
0,0,1,0,0,0,391
0,0,0,0,0,0,392
0,0,0,0,0,0,393
0,0,0,0,0,0,394
0,0,0,0,0,0,395
0,1,0,0,0,0,396
0,0,0,0,0,0,397
0,0,0,0,0,0,398
0,0,0,0,0,0,399
1,0,0,1,0,0,468
1,0,0,0,0,0,469
1,0,0,1,0,0,470
1,0,0,0,0,0,471
1,1,0,0,0,0,472
0,0,0,1,0,0,473
1,0,0,1,0,0,474
1,0,0,0,0,0,475
1,0,0,1,0,0,476
1,0,0,1,0,0,477
0,0,0,0,0,0,478
1,0,0,1,0,0,479
1,0,0,0,0,0,480
1,0,0,0,0,0,481
1,0,0,1,0,0,482
0,0,0,0,0,0,483
0,1,0,0,0,0,484
0,0,0,0,0,0,485
1,0,0,1,0,0,486
0,0,0,0,0,0,487
1,0,0,0,0,0,488
0,1,1,0,0,0,489
1,0,0,1,0,0,490
1,0,0,0,0,1,491
1,0,0,0,0,0,492
1,0,0,0,0,0,497
1,0,0,0,0,0,498
1,0,0,1,0,0,499
1,0,0,0,0,0,500
1,0,0,1,0,0,501
1,0,0,1,0,0,502
1,1,0,1,0,0,503
1,0,0,1,0,0,504
1,0,0,1,0,1,505
0,0,0,1,0,0,506
0,1,0,0,0,0,507
0,1,0,0,0,0,508
1,1,0,1,0,0,509
1,1,0,0,0,0,510
1,0,0,0,0,0,511
1,1,0,0,0,0,512
1,0,0,0,0,0,513
1,0,0,0,0,0,514
1,0,0,1,0,0,515
1,0,0,1,0,0,516
1,0,0,0,0,1,517
1,0,0,1,0,0,520
1,0,0,1,1,0,521
1,0,0,0,0,0,522
1,0,0,0,0,0,523
1,0,0,0,0,0,524
1,0,0,0,0,0,525
1,0,0,1,0,0,526
1,0,0,1,0,0,527
1,0,0,0,0,0,528
1,0,0,0,0,0,529
1,0,0,0,0,0,530
1,0,0,0,0,0,531
1,0,0,0,0,0,555
1,0,0,0,0,0,556
1,0,0,0,0,0,557
1,0,0,0,0,0,558
1,0,0,0,0,0,559
1,0,0,0,0,0,560
1,0,0,0,0,0,561
1,0,0,1,0,0,562
1,0,1,1,0,0,563
0,0,0,0,0,0,564
1,0,0,0,0,0,565
1,0,0,0,0,0,566
1,0,0,1,0,0,567
1,0,0,1,0,0,568
0,1,1,1,0,0,569
1,0,0,0,0,0,570
1,0,0,0,0,0,571
1,0,0,0,0,0,579
1,0,0,0,0,0,581
