----------------------------------------------------------------------------



ASSET
     ASSET_change  ASSET_2001_x  ASSET_2011_x
0               0             1             1
1               1             1             2
2               1             1             2
3               0             1             1
4               0             1             1
5               0             1             1
6               1             1             2
7               1             1             2
8               1             2             3
9               1             1             2
10              1             1             2
11              0             1             1
12              1             1             2
13              1             2             3
14              1             1             2
15              1             2             3
16              1             1             3
17              1             1             2
18              1             2             3
19              1             2             3
20              1             2             3
21              1             2             3
22              1             2             3
23              1             1             2
24              1             2             3
25              0             2             2
26              0             3             3
27              0             3             3
28              0             3             3
29              0             3             3
..            ...           ...           ...
563             1             1             3
564             1             1             3
565             1             1             3
566             1             1             3
567             1             1             3
568             1             1             3
569             1             2             3
570             1             1             3
571             1             1             3
572             1             1             3
573             1             1             3
574             1             1             3
575             1             1             3
576             1             1             3
577             1             1             3
578             1             2             3
579             1             1             3
580             1             1             3
581             1             1             3
582             1             1             3
583             1             1             3
584             1             1             3
585             1             1             3
586             1             2             3
587             0             2             2
588             1             2             3
589             1             2             3
590             1             2             3
591             1             1             2
592             1             2             3

[593 rows x 3 columns]
----------------------------------------------------------------------------



MSL
     MSL_change  MSL_2001_x  MSL_2011_x
0             1           2           3
1             0           3           3
2             0           3           3
3             0           3           3
4             1           2           3
5             1           2           3
6             0           3           3
7             0           3           3
8             0           3           3
9             0           3           3
10            0           3           3
11            1           2           3
12            1           2           3
13            0           3           3
14            0           3           3
15            0           3           3
16            0           3           3
17            0           3           3
18            0           3           3
19            0           3           3
20            0           3           3
21            0           3           3
22            0           3           3
23            0           3           3
24            0           3           3
25            0           3           3
26            0           3           3
27            0           3           3
28            0           3           3
29            0           3           3
..          ...         ...         ...
563           0           3           3
564           0           3           3
565           0           3           3
566           0           3           3
567           1           2           3
568           0           3           3
569           0           3           3
570           0           3           3
571           1           2           3
572           0           3           3
573           1           2           3
574           1           2           3
575           1           2           3
576           1           2           3
577           1           2           3
578           0           3           3
579           0           3           3
580           0           3           3
581           1           2           3
582           0           3           3
583           0           3           3
584           0           3           3
585           1           2           3
586           0           3           3
587           0           3           3
588           0           3           3
589           0           3           3
590           0           3           3
591           0           3           3
592           0           3           3

[593 rows x 3 columns]
----------------------------------------------------------------------------



MSW
     MSW_change  MSW_2001_x  MSW_2011_x
0             0           1           1
1             0           3           3
2             0           1           1
3             1           1           3
4             0           1           1
5             0           1           1
6             0           3           3
7             1           1           3
8             0           3           3
9             0           3           3
10            1           1           3
11            0           3           3
12            0           1           1
13            0           3           3
14            0           3           3
15            0           3           3
16            0           3           3
17            0           3           3
18            0           3           3
19            0           3           3
20            0           3           3
21            0           3           3
22            0           3           3
23            0           3           3
24            0           3           3
25            0           3           3
26            0           2           2
27            1           2           3
28            1           2           3
29            1           2           3
..          ...         ...         ...
563           0           3           3
564           0           3           3
565           0           3           3
566           0           3           3
567           0           3           3
568           0           3           3
569           0           3           3
570           0           3           3
571           0           3           3
572           0           3           3
573           1           2           3
574           1           2           3
575           0           3           3
576           0           3           3
577           0           3           3
578           0           3           3
579           0           3           3
580           0           3           3
581           1           1           3
582           0           3           3
583           0           3           3
584           1           1           3
585           0           3           3
586           0           3           3
587           0           3           3
588           0           3           3
589           0           1           1
590           0           3           3
591           1           1           3
592           0           3           3

[593 rows x 3 columns]
----------------------------------------------------------------------------



BF
     BF_change  BF_2001_x  BF_2011_x
0           -1          2          1
1           -1          2          1
2            0          2          2
3            1          2          3
4            0          1          1
5            0          1          1
6            0          1          1
7           -1          2          1
8            1          2          3
9            1          2          3
10          -1          2          1
11           0          1          1
12           0          1          1
13           1          2          3
14           1          1          3
15           1          1          3
16           1          2          3
17           1          1          3
18           1          1          3
