,census_code,change
0,4,1
1,10,1
2,14,1
3,24,1
4,27,1
5,28,1
6,30,1
7,37,0
8,45,1
9,46,1
10,49,0
11,55,0
12,57,1
13,63,0
14,66,1
15,67,0
16,78,0
17,80,1
18,86,1
19,90,0
20,99,1
21,122,1
22,125,0
23,128,1
24,132,1
25,135,1
26,137,0
27,144,1
28,147,1
29,148,0
30,165,0
31,166,1
32,168,0
33,172,0
34,175,1
35,177,0
36,181,0
37,186,0
38,189,0
39,191,0
40,195,0
41,197,1
42,200,0
43,214,0
44,217,0
45,224,0
46,225,0
47,226,1
48,229,0
49,232,0
50,235,0
51,237,0
52,243,1
53,247,1
54,255,0
55,264,1
56,267,0
57,280,0
58,281,0
59,290,1
60,291,1
61,292,1
62,302,1
63,308,0
64,309,1
65,311,1
66,318,1
67,319,1
68,325,1
69,328,1
70,330,1
71,334,1
72,348,1
73,354,1
74,360,1
75,364,1
76,376,0
77,377,0
78,397,0
79,404,1
80,410,1
81,423,0
82,424,0
83,427,1
84,433,0
85,438,0
86,439,0
87,442,0
88,448,0
89,450,1
90,455,1
91,462,0
92,464,0
93,478,1
94,485,0
95,488,1
96,494,1
97,495,1
98,509,1
99,514,0
100,518,0
101,532,1
102,539,1
103,548,1
104,554,1
105,560,1
106,589,1
107,598,1
108,604,1
109,605,1
110,608,1
111,610,1
112,614,1
113,615,0
114,632,1
115,639,1
0,5,0
1,7,1
2,12,1
3,21,1
4,25,1
5,39,0
6,44,1
7,83,1
8,84,1
9,97,0
10,98,0
11,103,1
12,104,1
13,106,1
14,117,1
15,127,1
16,136,0
17,138,1
18,141,1
19,143,1
20,145,1
21,153,0
22,155,0
23,157,1
24,170,0
25,173,0
26,174,0
27,178,0
28,183,0
29,192,0
30,201,0
31,207,0
32,212,0
33,219,0
34,242,1
35,252,1
36,253,1
37,254,1
38,262,1
39,273,0
40,284,1
41,288,1
42,289,1
43,296,0
44,299,1
45,300,1
46,305,1
47,310,1
48,315,1
49,323,1
50,339,1
51,340,1
52,341,1
53,342,1
54,347,0
55,350,1
56,355,1
57,356,0
58,362,0
59,371,1
60,374,1
61,380,1
62,383,1
63,384,1
64,386,1
65,387,1
66,389,1
67,391,0
68,393,0
69,394,0
70,399,0
71,401,0
72,416,0
73,420,0
74,432,1
75,434,1
76,435,1
77,441,0
78,443,0
79,449,1
80,458,0
81,468,1
82,470,1
83,472,1
84,473,1
85,474,0
86,479,1
87,486,1
88,500,0
89,503,1
90,506,1
91,508,0
92,516,1
93,519,0
94,527,1
95,529,1
96,543,1
97,546,1
98,547,1
99,551,1
100,559,1
101,563,1
102,567,1
103,574,1
104,575,1
105,583,1
106,594,1
107,600,1
108,607,1
109,618,1
110,619,1
111,621,1
112,627,0
113,630,1
114,634,1
115,637,1
0,6,0
1,29,1
2,32,1
3,34,1
4,38,0
5,41,0
6,43,1
7,51,0
8,53,1
9,60,0
10,64,1
11,65,1
12,68,1
13,69,0
14,70,0
15,74,1
16,88,1
17,92,0
18,93,0
19,94,0
20,96,0
21,102,1
22,108,1
23,111,1
24,130,1
25,151,0
26,159,0
27,160,0
28,161,0
29,176,0
30,179,0
31,185,0
32,196,0
33,203,0
34,210,0
35,216,0
36,222,0
37,223,0
38,230,1
39,233,0
41,234,0
42,239,0
43,245,1
44,248,1
45,249,1
46,250,1
47,257,1
48,261,0
49,263,0
50,265,1
51,270,1
52,276,1
53,286,1
54,297,1
55,303,1
56,307,1
57,313,1
58,316,1
59,331,1
60,343,1
61,346,0
62,349,0
63,353,1
64,357,1
65,358,0
66,375,1
67,381,1
68,382,1
69,398,1
70,408,1
71,412,0
72,414,0
73,444,0
74,445,0
75,446,0
76,451,1
77,453,0
78,460,1
79,480,1
80,481,1
81,482,1
82,487,0
83,491,1
84,498,1
85,502,0
86,505,1
87,507,1
88,510,0
89,512,0
90,513,1
91,523,0
92,530,1
93,537,1
94,544,1
95,549,1
96,557,1
97,564,1
98,565,1
99,568,1
100,572,0
101,579,1
102,581,1
103,585,0
104,588,1
105,596,1
106,597,1
107,602,1
108,603,0
109,606,1
110,609,1
111,616,1
112,617,1
113,620,1
114,623,1
115,635,1
0,1,1
1,2,1
2,8,1
3,16,1
4,23,1
5,26,1
6,31,1
7,33,1
8,36,0
9,40,0
10,58,1
11,59,0
12,61,1
13,71,1
14,72,0
15,75,1
16,79,1
17,81,1
18,95,0
19,100,1
20,105,1
21,109,1
22,110,1
23,114,1
24,133,1
25,140,1
26,146,1
27,149,0
28,154,0
29,163,0
30,164,1
31,169,0
32,171,1
33,182,0
34,187,0
35,190,0
36,199,1
37,205,1
38,206,0
39,209,0
40,218,0
41,220,0
42,221,0
43,227,0
44,228,1
45,231,0
47,236,0
48,241,1
49,244,1
50,251,1
51,266,0
52,272,0
53,274,1
54,275,1
55,282,1
56,283,1
57,287,0
58,294,0
59,298,1
60,304,0
61,312,1
62,314,0
63,321,1
64,332,1
65,333,1
66,336,1
67,338,1
68,344,1
69,351,0
70,352,1
71,370,0
72,390,1
73,392,0
74,395,0
75,400,1
76,402,0
77,405,0
78,406,1
79,407,0
80,411,0
81,422,1
82,429,1
83,430,0
84,431,0
85,436,0
86,437,1
87,440,0
88,452,1
89,454,0
90,457,0
91,466,1
92,483,1
93,496,1
94,501,1
95,517,1
96,521,0
97,524,1
98,528,1
99,534,1
100,535,1
101,552,1
102,555,1
104,561,1
105,566,1
106,570,1
107,571,0
