,census_code,change
0,6,1
1,12,0
2,33,1
3,35,0
4,38,0
5,42,0
6,44,1
7,46,0
8,53,1
9,57,1
10,63,0
11,66,1
12,68,0
13,70,0
14,73,0
15,86,1
16,93,0
17,95,0
18,101,0
19,102,0
20,105,0
21,111,1
22,124,0
23,127,0
24,137,0
25,138,1
26,142,0
27,143,0
28,144,0
29,145,0
30,159,0
31,161,0
32,162,0
33,166,0
34,169,0
35,170,0
36,171,0
37,185,0
38,192,0
39,193,0
40,194,0
41,195,0
42,197,0
43,199,0
44,206,0
45,211,0
46,217,0
47,219,0
48,221,0
49,229,0
50,234,0
51,239,0
52,242,0
53,255,0
54,261,0
55,262,1
56,266,0
57,277,1
58,282,0
59,285,0
60,289,1
61,295,0
62,308,0
63,314,0
64,317,0
65,332,0
66,339,0
67,341,1
68,342,0
69,349,0
70,356,0
71,357,1
72,364,0
73,385,0
74,393,0
75,394,0
76,396,0
77,397,0
78,404,0
79,422,1
80,427,0
81,428,0
82,445,0
83,454,0
84,457,0
85,482,1
86,486,0
87,489,0
88,497,0
89,499,1
90,500,0
91,505,1
92,506,1
93,514,0
94,516,1
95,524,0
96,537,1
97,543,0
98,549,0
99,557,0
100,568,0
101,574,1
102,579,0
103,588,0
104,589,0
105,591,0
106,594,0
107,601,0
108,605,1
109,610,1
110,611,1
111,622,1
112,627,1
113,632,1
114,634,0
115,637,1
0,14,0
1,16,0
2,24,1
3,32,1
4,36,1
5,47,0
6,55,0
7,56,0
8,59,0
9,62,1
10,77,0
11,81,0
12,84,1
13,90,1
14,91,0
15,97,0
16,103,1
17,118,0
18,122,0
19,125,0
20,136,0
21,141,1
22,151,0
23,154,0
24,158,0
25,160,0
26,173,0
27,175,0
28,178,0
29,183,0
30,189,0
31,201,0
32,204,0
33,210,0
34,218,0
35,225,0
36,230,0
37,233,0
39,237,0
40,245,0
41,247,0
42,249,1
43,254,0
44,265,1
45,267,0
46,276,0
47,279,0
48,281,0
49,283,1
50,294,0
51,298,1
52,302,0
53,304,0
54,310,1
55,313,0
56,315,0
57,335,1
58,336,0
59,338,0
60,340,0
61,343,1
62,346,0
63,353,0
64,354,0
65,360,0
66,366,0
67,374,0
68,377,0
69,380,1
70,392,0
71,395,0
72,403,0
73,408,1
74,409,1
75,412,0
76,429,0
77,437,0
78,452,0
79,453,0
80,456,0
81,464,0
82,468,0
83,472,0
84,478,1
85,480,0
86,483,1
87,485,0
88,487,0
89,498,1
90,502,0
91,507,1
92,508,0
93,510,1
94,520,1
95,527,1
96,530,1
97,539,0
98,545,0
99,548,0
100,550,0
101,552,0
103,559,0
104,563,1
105,576,1
106,577,0
107,586,1
108,590,0
109,600,0
110,602,1
111,603,0
112,617,0
113,619,0
114,624,1
115,626,1
0,25,1
1,26,1
2,34,1
3,39,1
4,40,1
5,43,0
6,45,1
7,64,1
8,69,1
9,71,1
10,83,1
11,85,0
12,94,0
13,104,0
14,108,0
15,114,1
16,117,1
17,128,0
18,129,0
19,133,1
20,139,1
21,140,1
22,149,0
23,152,0
24,155,0
25,156,0
26,172,0
27,176,0
28,177,0
29,182,0
30,186,0
31,187,0
32,188,0
33,205,0
34,207,0
35,212,0
36,214,0
37,216,0
38,223,0
39,224,0
40,226,0
41,227,0
42,228,0
44,235,0
45,241,0
46,243,1
47,244,0
48,248,1
49,250,0
50,251,0
51,264,0
52,273,0
53,274,0
54,278,1
55,291,0
56,303,0
57,306,0
58,307,1
59,316,0
60,318,0
61,319,0
62,327,1
63,334,0
64,344,0
65,352,0
66,368,0
67,372,0
68,376,0
69,382,0
70,391,0
71,399,0
72,400,0
73,405,0
74,407,0
75,413,0
76,416,0
77,430,0
78,431,0
79,433,0
80,438,0
81,439,1
82,441,0
83,443,0
84,444,0
85,446,0
86,447,0
87,448,0
88,449,0
89,451,1
90,455,0
91,458,0
92,469,0
93,471,1
94,492,0
95,512,0
96,515,0
97,526,0
98,529,1
99,544,1
100,560,0
101,561,0
102,572,0
103,573,0
104,578,1
105,592,0
106,595,0
107,596,0
108,606,0
109,616,0
110,620,0
111,621,0
112,623,1
113,630,0
114,638,1
115,639,1
0,1,0
1,4,0
2,5,0
3,8,0
4,10,0
5,19,0
6,21,1
7,23,0
8,28,0
9,29,0
10,30,1
11,37,1
12,48,1
13,49,0
14,51,1
15,58,0
16,65,0
17,72,1
18,76,1
19,78,0
20,80,0
21,82,1
22,98,0
23,99,0
24,100,0
25,107,0
26,112,0
27,113,0
28,115,0
29,116,0
30,119,1
31,126,0
32,134,1
33,147,0
34,153,0
35,157,1
36,163,0
37,164,1
38,165,0
39,174,0
40,184,0
41,190,0
42,198,0
43,200,0
44,231,0
45,232,0
46,236,0
47,238,0
48,246,1
49,252,1
50,257,1
51,270,1
52,287,0
53,292,1
54,293,0
55,296,0
56,299,0
57,300,0
58,301,0
59,305,0
60,311,1
61,312,1
62,323,0
63,325,0
64,329,0
65,330,0
66,331,0
67,333,0
68,348,0
69,350,0
70,358,0
71,373,0
72,375,0
73,378,0
74,381,1
75,383,0
76,386,1
77,388,0
78,389,0
79,390,0
80,398,0
81,414,0
82,423,0
83,425,0
84,426,0
85,432,0
86,434,0
87,442,0
88,466,0
89,479,0
90,481,1
91,490,1
92,494,1
93,503,1
94,513,0
95,517,0
96,518,1
97,519,1
98,525,0
99,532,0
100,534,0
101,535,0
102,536,0
103,546,1
104,547,1
105,555,0
106,558,0
107,562,1
108,564,0
109,565,0
110,569,1
111,587,0
112,597,0
113,612,1
114,635,0
115,636,0
0,2,0
1,7,0
2,27,1
3,31,1
4,41,0
5,60,1
6,61,0
7,67,0
8,74,1
9,75,1
10,79,0
11,88,1
12,92,1
13,96,0
14,106,0
15,109,0
16,110,1
17,120,0
18,121,0
19,123,1
20,130,0
21,132,1
22,135,1
23,146,0
24,148,0
25,150,1
26,167,0
27,168,0
28,179,0
29,181,0
30,191,0
31,196,0
32,203,0
33,209,0
34,215,0
35,220,0
36,222,0
38,253,1
39,263,0
40,272,0
41,275,0
42,280,0
43,284,0
44,286,1
45,288,0
46,290,0
47,297,0
48,309,0
49,321,1
50,328,0
51,337,1
52,347,0
53,351,0
54,355,0
55,362,0
56,370,0
57,371,0
58,379,0
59,384,1
60,387,1
61,401,0
62,402,0
63,406,0
64,410,1
65,411,0
66,420,0
67,421,1
68,424,0
69,435,1
70,436,0
71,440,0
72,450,0
73,460,0
74,462,0
75,470,0
76,473,1
77,474,0
78,475,0
79,476,0
80,477,1
81,484,0
82,488,1
83,491,1
84,495,1
85,496,1
86,501,1
87,504,1
88,509,1
89,521,1
90,523,0
91,528,1
92,531,1
93,533,0
94,551,0
95,554,0
96,556,0
97,566,0
98,567,0
99,570,1
100,571,0
101,575,0
102,581,0
103,583,0
104,585,1
105,593,0
106,598,0
107,599,0
108,604,1
109,607,0
110,608,1
111,609,0
112,613,1
113,614,1
114,615,0
115,618,0
