,census_code,change
0,1,1
1,5,1
2,33,0
3,34,1
4,37,0
5,40,0
6,47,0
7,49,0
8,56,0
9,58,0
10,65,0
11,69,1
12,73,0
13,74,1
14,75,1
15,85,0
16,93,0
17,96,1
18,101,0
19,105,0
20,112,0
21,113,0
22,118,0
23,125,0
24,132,0
25,139,0
26,144,1
27,153,0
28,154,0
29,164,1
30,169,0
31,178,0
32,182,0
33,185,0
34,186,0
35,187,0
36,188,0
37,192,0
38,214,0
39,216,0
40,227,0
41,229,0
42,231,0
43,232,0
44,238,0
45,244,1
46,249,0
47,253,0
48,255,0
49,263,0
50,264,1
51,270,1
52,273,0
53,281,0
54,286,1
55,291,1
56,296,1
57,298,1
58,300,0
59,301,1
60,317,1
61,327,0
62,328,1
63,331,0
64,349,0
65,351,0
66,366,0
67,368,0
68,378,0
69,379,0
70,382,0
71,396,1
72,400,0
73,413,0
74,414,0
75,416,0
76,420,0
77,421,1
78,422,0
79,432,0
80,434,1
81,447,0
82,448,0
83,452,0
84,456,0
85,468,1
86,474,0
87,476,0
88,477,1
89,478,0
90,481,0
91,482,1
92,485,0
93,486,1
94,494,0
95,497,0
96,500,0
97,507,1
98,533,0
99,535,0
100,544,1
101,548,1
102,550,0
103,561,0
104,567,0
105,568,0
106,569,1
107,570,1
108,586,1
109,587,1
110,592,1
111,601,0
112,606,0
113,619,0
114,622,0
115,634,0
0,4,1
1,7,1
2,16,1
3,21,1
4,26,0
5,43,0
6,44,0
7,46,1
8,55,0
9,59,0
10,66,0
11,67,0
12,70,0
13,81,0
14,88,1
15,91,1
16,102,1
17,103,0
18,107,0
19,110,1
20,117,1
21,121,1
22,122,1
23,123,1
24,124,0
25,138,0
26,141,1
27,145,0
28,146,0
29,165,0
30,167,0
31,171,0
32,173,0
33,184,0
34,191,0
35,196,0
36,204,0
37,222,0
38,225,0
39,233,0
43,237,0
44,243,1
45,246,0
46,248,1
47,252,0
48,267,0
49,276,0
50,282,0
51,299,0
52,302,1
53,307,0
54,312,1
55,329,0
56,332,0
57,334,0
58,337,0
59,338,0
60,340,1
61,341,1
62,352,0
63,364,0
64,372,1
65,374,1
66,383,1
67,385,0
68,386,0
69,394,0
70,397,0
71,398,1
72,408,1
