,census_code,change
0,4,0
1,5,0
2,21,0
3,24,0
4,28,0
5,34,0
6,46,0
7,55,0
8,57,1
9,64,1
10,75,0
11,79,0
12,81,0
13,88,0
14,90,0
15,91,0
16,92,0
17,93,0
18,99,0
19,120,1
20,125,0
21,126,0
22,136,0
23,141,1
24,155,0
25,160,0
26,161,0
27,173,0
28,176,0
29,188,0
30,189,0
31,191,0
32,192,0
33,196,0
34,200,0
35,207,0
36,214,0
37,218,0
38,230,0
39,232,0
40,234,0
41,237,0
42,244,0
43,246,0
44,249,0
45,275,1
46,279,1
47,289,1
48,297,1
49,299,0
50,304,0
51,312,1
52,314,0
53,316,1
54,321,1
55,329,0
56,330,0
57,351,0
58,353,0
59,366,0
60,370,0
61,372,1
62,380,1
63,382,1
64,395,0
65,398,1
66,400,1
67,402,0
68,403,0
69,404,1
70,414,1
71,429,1
72,432,0
73,439,0
74,449,0
75,453,0
76,460,0
77,468,0
78,469,0
79,472,0
80,475,0
81,482,0
82,483,1
83,488,0
84,494,0
85,504,0
86,508,1
87,509,1
88,510,1
89,512,1
90,513,1
91,515,0
92,537,0
93,543,0
94,549,0
95,551,0
96,554,1
97,556,1
98,561,0
99,564,0
100,575,1
101,576,1
102,586,0
103,588,1
104,597,0
105,604,0
106,607,0
107,608,0
108,609,0
109,613,0
110,618,1
111,624,0
112,627,0
113,630,1
114,632,0
115,635,0
0,2,0
1,7,0
2,10,0
3,16,1
4,32,0
5,38,0
6,39,0
7,40,0
8,61,1
9,70,0
10,71,0
11,72,0
12,76,0
13,84,0
14,107,0
15,108,1
16,110,0
17,113,1
18,114,1
19,115,0
20,117,1
21,121,1
22,127,0
23,129,0
24,130,1
25,133,1
26,137,1
27,140,1
28,153,0
29,156,0
30,165,0
31,169,0
32,172,0
33,174,0
34,181,0
35,183,0
36,184,0
37,201,0
38,203,0
39,204,0
40,217,0
41,219,0
42,220,0
43,223,0
44,226,0
45,228,0
46,229,0
47,233,0
48,235,0
49,236,0
50,239,0
51,242,0
52,243,1
53,245,1
54,247,1
55,261,0
56,264,1
57,265,0
58,273,0
59,278,0
60,283,0
61,286,1
62,287,1
63,292,1
64,294,1
65,300,0
66,315,0
67,328,0
68,334,0
69,335,1
70,339,1
71,346,0
72,368,0
73,379,1
74,381,1
75,384,1
76,387,1
77,391,0
78,394,0
79,405,1
80,409,1
81,420,1
82,423,1
83,427,1
84,431,0
85,434,0
86,456,1
87,457,0
88,458,0
89,462,0
90,466,0
91,481,0
92,486,0
93,487,0
94,490,0
95,500,1
96,503,1
97,530,0
98,534,0
99,544,1
100,547,0
101,550,1
102,558,0
103,574,0
104,577,0
105,581,0
106,585,0
107,587,0
108,590,1
109,593,1
110,595,0
111,596,1
112,606,0
113,612,1
114,617,0
115,638,0
0,26,0
1,27,0
2,29,0
3,43,0
4,44,0
5,45,0
6,49,0
7,53,0
8,56,1
9,58,1
10,63,0
11,66,1
12,73,0
13,82,0
14,83,0
15,100,0
16,101,0
17,102,1
18,103,0
19,109,0
20,116,0
21,124,0
22,128,1
23,132,1
24,135,1
25,138,1
26,146,0
27,147,1
28,152,0
29,154,0
30,157,0
31,158,0
32,163,0
33,167,0
34,168,0
35,175,0
36,178,0
37,193,0
38,198,0
39,206,0
40,210,0
41,212,0
42,222,0
43,225,0
44,231,0
47,248,0
48,253,1
49,262,0
50,270,0
51,272,0
52,282,0
53,290,0
54,291,1
55,298,0
56,302,0
57,313,1
58,319,1
59,323,1
60,325,1
61,327,0
62,332,1
63,337,0
64,338,0
65,347,0
66,352,1
67,354,1
68,355,1
69,356,0
70,357,1
71,358,0
72,364,0
73,377,1
74,399,0
75,416,1
76,438,0
77,440,0
78,441,1
79,445,0
80,448,0
81,450,1
82,474,0
83,477,0
84,478,0
85,491,0
86,492,0
87,498,0
88,501,1
89,507,1
90,514,0
91,517,0
92,518,0
93,521,0
94,525,1
95,527,0
96,532,1
97,535,0
98,546,1
99,557,1
100,560,1
101,563,0
102,565,0
103,567,0
104,571,0
105,572,0
106,589,1
107,594,0
108,598,0
109,599,1
110,610,0
111,614,0
112,620,1
113,621,1
114,626,0
115,639,0
0,1,1
1,8,0
2,14,0
3,19,1
4,23,0
5,25,0
6,35,0
7,36,0
8,41,0
9,60,0
10,62,1
11,65,1
12,78,0
13,85,0
14,86,1
15,95,0
16,96,0
17,97,0
18,104,0
19,106,1
20,111,1
21,118,0
22,119,1
23,122,0
24,123,1
25,142,1
26,143,1
27,145,0
28,149,0
29,151,0
30,162,1
31,166,1
32,170,0
33,171,0
34,177,0
35,190,0
36,197,0
37,199,0
38,205,0
39,215,0
40,221,0
41,224,0
42,241,1
43,250,1
44,251,1
45,252,1
46,255,0
47,257,1
48,263,1
49,277,0
50,296,1
51,303,0
52,305,0
53,307,1
54,309,1
55,310,1
56,318,1
57,333,0
58,336,0
59,340,1
60,342,0
61,348,0
62,349,0
63,360,0
64,371,1
65,373,0
66,374,1
67,375,1
68,385,1
69,386,1
70,388,1
71,396,1
72,401,1
73,406,0
74,407,1
75,408,1
76,411,0
77,412,0
78,413,0
79,421,0
80,422,0
81,430,1
82,443,0
83,444,0
84,446,0
85,447,0
86,454,1
87,464,0
88,471,0
89,473,0
90,476,0
91,479,0
92,484,0
93,485,0
94,505,0
95,516,1
96,519,0
97,520,0
98,523,0
99,524,0
100,536,0
101,539,1
102,548,0
103,552,0
104,555,0
105,566,0
106,569,1
107,570,0
108,573,0
109,601,0
110,602,0
111,611,0
112,615,0
113,622,1
114,634,0
115,637,0
0,6,1
1,12,0
2,30,0
3,31,0
4,33,0
5,37,0
6,42,0
7,47,0
8,48,0
9,51,0
10,59,1
11,67,0
12,68,1
13,69,0
14,74,0
15,77,0
16,80,0
17,94,0
18,98,0
19,105,0
20,112,1
21,134,0
22,139,0
23,144,0
24,148,0
25,150,1
26,159,0
27,164,0
28,179,0
29,182,0
30,185,0
31,186,0
32,187,0
33,194,0
34,195,0
35,209,0
36,211,0
37,216,0
38,227,0
40,238,0
41,254,1
42,266,0
43,267,0
44,274,1
45,276,1
46,280,1
47,281,1
48,284,1
49,285,0
50,288,1
51,293,0
52,295,0
53,301,0
54,306,1
55,308,0
56,311,1
57,317,1
58,331,0
59,341,1
60,343,1
61,344,1
62,350,1
63,362,0
64,376,0
65,378,1
66,383,1
67,389,0
68,390,0
69,392,0
70,393,0
71,397,0
72,410,1
73,424,0
74,425,0
75,426,0
76,428,0
77,433,0
78,435,0
79,436,0
80,437,0
81,442,0
82,451,0
83,452,0
84,455,0
85,470,0
86,480,0
87,489,1
88,495,0
89,496,0
90,497,1
91,499,0
92,502,0
93,506,1
94,526,1
95,528,0
96,529,0
97,531,0
98,533,0
99,545,1
101,559,0
102,562,0
103,568,0
104,578,1
105,579,0
106,583,0
107,591,1
108,592,1
109,600,0
110,603,0
111,605,0
112,616,0
113,619,1
114,623,0
115,636,0
