census_code,predictions_2001,predictions_2003,predictions_2005,predictions_2007,predictions_2009,predictions_2011
80,2,2,2,2,2,2
178,2,2,2,2,1,2
339,2,2,1,1,3,2
469,2,2,2,2,2,2
352,1,1,1,1,1,1
69,2,2,3,2,3,3
256,2,2,2,2,2,2
598,2,3,1,1,1,1
22,1,3,3,3,3,3
574,2,2,2,2,2,1
474,3,3,2,3,2,3
281,1,2,2,1,1,3
569,1,2,3,1,3,3
229,1,1,2,2,2,2
237,1,3,2,1,1,2
567,1,1,1,1,1,2
315,1,1,1,1,1,1
582,1,2,2,2,2,2
52,2,2,2,1,2,3
26,3,2,1,1,1,2
453,2,2,2,2,2,2
135,1,2,2,2,2,2
203,1,1,2,2,2,2
383,1,3,1,3,1,1
528,2,1,2,2,2,2
285,1,1,3,3,1,1
81,2,1,2,2,2,2
518,2,2,2,2,2,2
501,1,2,2,2,2,2
476,3,3,3,2,3,3
8,1,3,1,1,1,1
458,2,1,1,1,1,2
337,2,2,2,2,1,1
487,1,2,1,2,1,3
640,2,2,2,2,2,2
365,1,1,1,3,1,1
588,2,3,3,2,3,3
300,1,1,1,1,1,1
362,1,2,2,2,2,2
76,2,2,2,2,2,2
461,3,1,3,1,1,3
248,2,1,2,3,2,3
600,3,2,3,3,3,3
624,3,1,3,3,1,1
390,1,3,3,3,2,3
513,2,2,2,2,2,2
176,1,1,2,2,2,2
277,3,2,1,1,2,1
133,2,2,2,3,2,2
71,2,2,2,2,2,2
286,2,1,2,3,1,2
486,2,3,3,3,3,3
66,3,3,3,1,3,3
578,3,2,2,2,2,2
227,1,1,2,1,1,1
313,1,2,1,1,1,1
23,2,3,3,3,3,3
217,1,1,2,2,2,2
305,1,2,1,1,1,1
296,1,3,1,1,3,3
5,1,3,3,3,3,3
321,1,2,1,1,1,1
416,2,3,1,1,1,2
247,1,2,3,2,2,1
618,3,2,3,3,2,2
191,2,2,1,2,2,2
460,2,2,1,1,1,2
497,2,2,2,2,2,2
407,1,2,1,3,2,2
187,2,1,2,2,1,1
371,1,1,1,1,1,1
120,2,2,2,2,2,2
163,1,2,2,2,1,2
166,2,2,2,1,2,2
35,2,2,2,2,2,2
295,1,1,1,3,2,3
506,2,1,1,1,1,1
19,2,3,3,2,2,2
100,2,2,2,2,2,2
470,2,2,2,2,2,2
555,1,3,1,2,1,1
556,1,1,1,2,2,1
311,1,1,3,3,1,3
441,1,2,1,2,2,2
381,1,1,1,3,1,1
503,2,2,2,1,1,3
130,1,2,3,3,2,2
158,1,3,2,2,2,2
172,2,1,2,2,2,2
54,2,2,2,2,2,2
490,2,2,2,2,2,2
233,1,2,1,1,1,2
233,1,2,1,1,1,2
233,1,2,1,1,1,2
233,1,2,1,1,1,2
215,1,2,2,1,1,2
153,1,1,2,2,2,2
307,1,1,3,2,1,3
278,2,2,2,1,2,2
438,1,2,2,2,2,3
547,2,1,3,1,1,2
451,2,2,2,2,2,3
145,2,2,2,2,2,2
481,2,2,2,2,2,2
253,1,1,2,1,1,1
534,2,2,2,2,2,2
27,3,3,3,3,3,3
484,1,2,1,3,1,3
293,1,1,1,1,1,3
319,1,1,1,1,1,1
103,3,2,1,1,2,1
159,1,2,2,2,1,2
263,1,1,2,2,2,1
491,2,2,2,2,2,2
493,1,2,2,2,2,2
440,1,2,2,2,2,3
51,3,2,1,2,2,3
39,3,2,3,2,2,3
394,1,1,3,1,1,3
393,1,3,2,1,2,2
586,2,3,3,3,2,3
165,2,1,2,2,2,2
482,2,2,2,2,2,2
55,3,3,3,3,3,3
335,2,1,1,1,2,2
17,1,1,1,2,1,1
269,2,2,2,3,2,1
537,2,2,2,2,2,2
444,2,1,1,2,1,1
251,2,3,2,2,1,1
128,2,2,2,2,2,2
244,2,2,2,3,2,2
24,3,3,3,3,3,3
632,3,3,3,3,3,3
116,1,2,2,2,2,2
49,2,2,2,2,2,2
446,2,2,2,2,2,2
602,3,1,1,3,1,3
514,2,2,2,2,2,2
183,2,2,2,2,1,2
638,1,2,2,2,2,2
56,3,3,3,3,2,3
400,2,2,3,2,2,2
235,1,1,2,2,2,2
57,3,3,1,2,1,3
425,2,3,3,2,3,2
331,1,1,1,2,1,1
421,2,2,2,2,2,2
426,2,2,2,2,2,3
546,2,2,1,1,1,2
202,2,2,2,2,1,2
581,3,1,3,2,2,3
596,3,3,3,3,3,3
450,2,3,1,2,1,3
616,3,3,3,3,3,2
189,2,1,2,2,2,2
525,2,2,2,2,2,3
457,2,2,2,2,2,2
261,1,3,1,3,2,3
590,2,3,3,3,3,1
47,2,2,2,2,1,2
85,2,2,1,2,1,2
485,1,2,2,2,1,2
15,1,1,1,3,1,1
127,2,2,2,2,2,2
139,2,1,2,2,2,2
164,2,2,2,2,2,2
214,1,1,1,1,1,1
494,3,3,3,3,3,3
583,1,2,2,2,2,2
367,1,1,1,1,1,1
147,1,2,2,2,1,2
252,1,1,1,1,2,1
194,2,3,2,2,2,2
79,2,2,2,2,2,2
270,2,2,2,1,2,2
257,2,2,2,2,2,1
119,2,2,2,2,1,2
225,1,2,2,2,2,2
445,2,2,2,1,1,1
516,3,3,2,3,3,3
262,2,2,1,1,2,1
53,2,2,2,2,2,2
563,1,1,3,1,1,1
634,3,3,3,3,3,3
358,1,1,2,2,2,2
422,2,1,2,1,2,2
91,2,2,2,2,2,2
639,2,2,2,2,2,2
515,2,2,2,2,2,3
603,3,3,3,3,3,3
46,2,2,2,2,1,2
6,1,3,1,3,3,3
576,1,3,3,3,3,3
350,1,2,2,2,2,2
222,1,1,2,2,1,2
571,2,2,2,2,2,1
11,1,3,2,1,1,1
455,2,2,2,2,2,3
589,3,3,3,3,3,2
606,3,2,3,3,2,2
573,1,1,2,1,2,3
326,1,1,1,1,1,1
612,3,1,3,1,1,1
131,2,2,1,3,3,2
619,3,2,3,3,2,2
195,2,2,2,2,2,2
124,1,2,2,2,1,2
475,2,2,2,2,2,2
536,3,3,3,3,3,3
21,2,3,3,3,3,3
559,1,1,1,1,1,1
427,2,2,2,2,2,3
471,2,2,2,2,2,2
101,2,3,2,1,1,1
297,1,1,2,1,2,1
299,2,1,1,1,1,2
478,3,1,3,1,1,1
190,2,2,2,2,2,2
369,1,1,1,1,1,1
507,1,2,1,1,1,1
432,2,1,1,1,1,2
231,1,2,2,2,2,2
74,2,2,2,2,2,2
245,2,2,1,2,2,2
218,2,2,2,2,1,2
328,1,1,1,1,1,1
162,1,1,2,2,1,1
94,2,2,2,2,2,2
566,1,1,2,1,1,2
527,2,2,2,2,2,2
169,2,2,2,2,1,2
287,2,1,3,2,1,1
615,3,3,3,3,2,3
406,2,2,2,2,2,2
73,2,1,2,2,2,2
637,1,3,3,3,2,3
480,2,2,2,2,2,3
141,2,3,3,3,1,3
621,3,3,1,3,3,1
241,2,3,2,2,2,3
276,2,2,1,2,1,2
273,1,1,1,1,1,1
420,2,1,2,2,2,2
223,1,1,2,1,1,1
368,1,1,2,3,2,1
524,2,2,3,1,3,2
395,1,2,2,3,2,3
502,2,2,2,2,2,2
594,2,3,3,3,2,2
392,1,1,1,1,1,1
599,2,1,3,3,3,3
170,2,2,2,2,2,2
7,2,3,3,3,3,3
550,3,2,2,2,3,2
150,1,2,2,2,2,2
16,1,3,1,1,1,1
610,3,2,3,2,1,1
521,2,3,1,1,1,1
508,2,3,2,2,2,2
75,1,2,2,2,2,2
68,2,3,1,1,3,1
442,2,2,2,2,2,2
152,1,1,2,3,2,2
224,1,2,2,2,2,2
249,1,1,1,1,1,1
112,2,2,2,2,1,1
312,1,1,3,1,1,1
20,1,3,3,3,3,3
199,2,2,1,2,1,1
309,1,3,3,3,1,1
405,2,1,1,1,2,2
33,3,3,1,1,2,2
467,1,2,2,1,1,3
479,2,2,3,2,2,3
266,2,2,1,1,2,2
613,3,2,3,3,3,3
267,1,1,1,3,3,3
144,1,2,2,3,1,3
288,3,1,3,2,2,1
123,1,1,2,1,1,3
325,1,1,1,1,1,1
107,1,1,2,1,2,2
104,2,2,2,2,2,2
301,1,2,1,1,1,1
136,1,1,2,2,2,2
468,2,2,2,2,2,2
87,3,3,2,2,2,1
557,2,2,2,2,2,2
557,2,2,2,2,2,2
388,1,2,3,2,2,2
363,3,2,2,2,2,2
43,2,2,2,2,2,2
37,2,2,2,2,2,1
134,2,1,1,2,2,2
86,2,2,2,2,2,3
228,1,1,3,1,2,2
291,1,3,2,1,1,3
398,1,2,3,3,3,3
283,2,1,2,3,1,1
530,2,1,2,2,2,2
554,2,2,1,2,2,2
344,2,2,3,1,1,2
412,2,1,3,1,1,1
543,3,2,3,1,2,1
342,2,2,2,2,2,2
44,2,2,2,1,2,2
320,1,1,1,1,1,1
34,2,2,2,2,2,3
142,2,2,2,2,2,2
459,2,3,2,2,3,1
488,2,2,2,2,2,2
310,1,3,3,1,1,3
428,2,3,2,2,1,2
114,1,2,2,2,2,2
378,1,2,2,2,2,2
154,1,1,1,1,2,2
272,1,3,1,1,2,1
148,2,2,2,2,1,2
410,2,2,2,2,2,2
284,2,1,2,3,2,1
341,2,2,2,2,2,2
384,1,1,2,1,3,1
198,2,2,1,2,2,3
48,2,2,2,2,2,2
338,2,1,2,1,2,1
132,2,2,2,2,2,2
544,2,2,2,2,2,2
526,2,2,2,2,2,3
593,3,3,3,3,3,2
355,2,1,1,1,2,1
264,1,1,1,1,2,1
572,1,2,3,3,3,2
449,2,2,2,2,3,3
317,1,2,1,2,2,1
31,2,2,3,3,2,3
232,1,2,1,1,2,1
207,2,1,2,1,1,2
290,2,3,2,2,1,1
374,1,1,2,2,2,2
545,2,1,2,2,2,2
608,3,1,3,3,3,3
179,2,2,2,2,2,2
376,1,1,1,2,2,1
336,1,1,2,2,1,1
636,2,2,2,2,2,2
424,2,2,2,2,2,2
385,1,3,3,3,1,3
377,1,2,1,1,1,1
483,2,3,2,3,2,2
561,2,1,1,2,1,2
411,2,1,1,1,1,1
391,1,1,1,3,1,1
250,2,1,3,3,3,3
353,1,1,1,1,1,1
303,1,1,1,1,1,1
192,2,2,1,2,1,1
88,2,1,2,2,2,2
327,1,1,3,3,1,3
318,1,2,2,2,2,3
234,1,1,2,2,1,2
466,2,2,2,2,2,2
366,1,1,1,1,1,1
340,2,2,2,2,2,2
205,1,3,1,1,2,1
386,1,1,1,1,1,1
268,1,3,1,3,1,1
308,1,1,3,1,1,3
230,2,1,1,1,2,2
1,1,3,1,1,1,1
155,1,2,2,2,2,2
447,2,2,2,2,2,3
143,1,2,3,3,1,2
161,1,2,2,2,1,2
592,2,2,3,3,3,3
577,1,2,2,1,1,3
436,2,2,2,2,2,2
549,3,2,2,2,2,3
40,2,2,2,2,2,2
167,2,3,2,2,3,1
243,2,2,2,2,2,2
32,2,1,2,1,2,3
226,1,1,1,1,1,1
489,1,2,1,2,2,2
380,1,1,1,1,1,1
417,2,2,1,3,2,3
126,1,1,2,2,2,1
95,2,2,2,2,2,2
330,2,2,1,1,2,1
77,2,1,2,2,2,2
333,1,1,1,1,2,2
151,1,1,1,1,1,1
18,2,2,1,2,2,2
382,1,1,1,1,1,1
595,2,3,3,3,3,2
193,2,2,2,2,1,2
520,3,2,1,1,1,1
174,2,2,2,2,2,2
323,1,1,1,1,1,1
173,2,1,2,2,2,2
204,1,1,2,2,1,2
354,2,1,1,1,2,1
140,2,2,3,2,2,1
584,2,2,2,2,2,2
25,2,1,1,1,1,3
562,1,1,1,2,2,2
61,3,3,3,3,3,3
10,2,3,1,1,1,1
240,1,3,1,1,2,1
402,3,1,2,2,1,3
13,3,3,1,1,1,1
84,2,3,2,2,2,2
42,2,2,2,2,2,2
149,1,2,2,1,2,1
500,2,2,2,2,2,2
78,2,2,2,2,1,2
255,2,1,2,3,1,3
184,2,2,2,2,1,2
558,2,1,1,1,1,1
397,1,2,2,1,1,1
4,1,2,2,2,2,2
41,2,2,2,2,2,2
