census_code,predictions_2001,predictions_2003,predictions_2005,predictions_2007,predictions_2009,predictions_2011
80,3,2,1,1,1,3
178,1,1,1,1,1,1
339,1,3,3,2,2,3
469,2,2,2,2,2,2
352,1,1,1,1,1,1
69,3,3,3,3,3,3
256,2,2,3,3,2,3
598,3,3,1,3,1,1
22,1,3,3,3,3,3
574,3,3,3,3,2,3
474,3,3,3,3,3,3
281,2,2,3,3,3,2
569,2,2,2,2,2,2
229,1,1,1,1,2,1
237,1,1,1,1,1,1
567,3,3,3,3,3,3
315,1,2,3,2,1,2
582,1,2,2,2,2,2
52,3,3,3,3,3,3
26,3,3,3,1,1,3
453,1,3,2,2,3,3
135,1,1,1,1,1,1
203,1,2,1,1,1,1
383,1,2,1,2,2,1
528,3,1,3,3,3,3
285,3,3,3,3,3,3
81,3,2,3,2,2,2
518,3,3,3,3,3,3
501,2,2,2,2,2,2
476,3,3,3,3,3,3
8,3,2,3,2,3,3
458,2,2,2,2,3,3
337,2,3,2,2,1,1
487,2,3,3,3,3,3
640,3,3,3,3,3,3
365,1,1,2,2,1,1
588,2,3,3,2,2,3
300,1,2,1,2,1,2
362,1,1,2,2,1,1
76,3,3,1,1,1,1
461,2,2,2,1,3,3
248,3,1,3,3,3,3
600,3,3,3,2,3,2
624,3,1,2,1,1,1
390,1,2,1,1,1,1
513,2,2,3,3,3,3
176,1,1,1,1,1,1
277,3,3,3,3,3,2
133,2,2,2,2,2,2
71,3,2,2,2,2,2
286,2,2,3,2,2,3
486,3,3,3,3,2,3
66,2,2,2,2,2,2
578,2,2,2,2,2,3
227,1,1,2,1,2,1
313,1,2,1,1,1,1
23,3,3,3,2,3,3
217,1,1,1,1,1,1
305,1,2,2,1,1,1
296,1,2,2,2,2,2
5,2,2,2,3,2,2
321,2,2,2,2,1,2
416,1,2,2,2,2,2
247,2,2,1,3,3,1
618,2,3,3,2,3,2
191,1,3,1,1,1,1
460,2,2,2,1,1,1
497,2,3,2,3,3,3
407,2,2,1,1,1,2
187,1,1,1,1,1,1
371,2,1,2,2,2,2
120,2,2,2,2,1,2
163,1,3,1,2,1,1
166,2,2,2,2,2,2
35,3,3,3,2,2,2
295,1,3,3,3,3,3
506,2,1,1,1,1,1
19,2,2,3,2,2,3
100,2,2,2,2,3,1
470,2,2,2,2,2,2
555,3,1,3,3,3,2
556,2,1,3,3,3,3
311,1,2,3,1,3,2
441,2,3,3,3,3,3
381,2,2,2,2,2,2
503,2,2,2,3,1,2
130,2,2,3,3,2,3
158,1,3,1,1,1,1
172,1,2,1,2,1,1
54,3,3,3,3,3,3
490,3,3,3,3,3,3
233,1,1,1,1,1,1
233,1,1,1,1,1,1
233,1,1,1,1,1,1
233,1,1,1,1,1,1
215,1,2,1,1,1,1
153,1,2,2,2,3,2
307,1,2,2,2,3,3
278,3,3,3,3,2,3
438,3,3,2,3,3,3
547,3,1,2,2,3,3
451,3,3,2,3,3,3
145,2,2,2,1,2,1
481,3,3,3,3,3,3
253,2,1,3,1,1,1
534,3,3,2,2,2,1
27,3,3,3,3,2,3
484,2,3,2,2,2,3
293,1,1,1,1,1,2
319,1,1,1,1,1,2
103,2,2,1,1,2,1
159,1,1,2,1,1,2
263,2,1,3,3,3,3
491,3,3,3,3,3,3
493,3,3,3,3,3,3
440,3,3,3,3,3,3
