census_code,predictions_2011,predictions_2013,predictions_2015,predictions_2017,predictions_2019
80,3,1,3,3,3
178,1,1,1,1,1
339,2,2,2,2,2
469,2,3,2,2,3
352,1,3,1,1,1
69,3,3,3,3,3
256,3,3,3,3,3
598,3,3,3,3,3
22,3,3,3,3,3
574,3,3,3,3,3
474,3,3,3,3,3
281,2,3,2,3,3
569,3,3,3,3,3
229,1,1,1,1,1
237,1,1,1,1,1
567,3,3,3,3,3
315,2,3,3,2,2
582,3,3,3,3,2
52,3,3,3,3,3
26,3,3,3,3,3
180,1,1,1,3,1
453,1,2,2,3,3
135,1,1,1,1,3
203,1,3,1,1,1
383,2,2,2,2,2
528,3,3,3,3,3
285,3,3,3,3,3
81,3,3,3,3,3
518,3,3,3,3,3
501,3,3,3,3,3
476,3,3,3,3,3
8,3,3,3,2,2
458,2,3,2,3,2
337,2,2,2,1,1
487,3,3,3,3,3
640,3,3,3,3,3
365,1,1,1,1,1
588,3,3,3,3,3
300,1,1,1,1,2
362,1,1,1,2,1
76,3,3,3,3,3
461,2,2,2,1,2
248,3,3,3,3,3
540,3,3,3,3,3
600,3,3,3,3,3
624,3,3,3,3,3
390,1,1,1,1,2
513,3,3,3,3,3
176,1,1,1,1,1
277,3,3,3,3,3
133,2,1,3,1,3
71,3,3,3,3,3
286,3,2,2,3,2
486,3,3,3,3,3
66,3,3,2,2,3
578,3,3,1,3,3
227,1,1,1,1,1
313,1,1,1,1,2
23,3,3,3,3,3
217,1,3,1,1,1
305,1,1,2,1,1
296,2,2,3,2,2
5,3,3,3,3,2
321,1,1,1,1,1
416,1,2,2,3,3
247,2,2,3,2,3
618,3,3,3,3,1
191,1,1,1,1,1
460,2,2,2,2,2
497,2,3,3,3,3
407,3,2,3,3,3
187,1,3,1,1,2
371,2,2,3,2,1
120,2,3,2,2,2
163,1,1,1,3,2
166,2,1,2,3,1
35,3,3,1,3,3
295,2,2,2,2,3
506,3,3,3,3,3
19,3,3,3,3,3
100,3,1,3,3,3
470,3,3,3,3,3
555,3,3,3,3,3
556,3,3,3,3,3
311,2,2,1,2,2
441,3,3,3,3,3
381,2,2,2,2,2
503,3,3,3,3,3
130,2,2,2,2,2
158,1,1,1,1,1
172,1,1,1,1,1
54,3,3,1,3,3
490,3,3,3,3,3
233,1,1,1,1,1
215,1,1,1,1,1
153,1,1,2,3,3
307,1,1,1,3,2
278,3,3,1,3,3
438,3,3,3,3,3
547,3,3,3,3,3
451,3,3,3,3,3
145,2,1,1,3,3
481,3,3,3,3,3
253,2,3,3,3,3
534,3,3,3,3,3
27,3,3,3,3,3
484,3,3,3,3,3
293,2,2,2,2,2
319,1,1,1,1,1
103,3,2,2,2,2
159,1,2,1,1,3
263,3,3,3,3,3
491,3,3,3,3,3
493,3,3,3,3,3
440,3,3,3,3,2
51,3,3,3,3,3
39,3,3,3,3,3
394,1,1,3,2,1
393,1,2,1,2,2
586,3,3,3,3,3
165,1,1,1,1,1
482,3,3,3,3,3
55,3,3,3,3,3
418,2,3,3,3,3
335,2,2,2,3,2
17,2,3,2,3,3
269,3,3,3,3,3
3,3,3,3,3,3
537,3,3,3,3,1
444,3,3,3,3,3
251,3,3,3,3,3
128,2,2,2,3,3
244,3,3,2,3,3
24,3,2,3,3,3
632,3,3,1,2,3
116,2,3,2,2,2
49,3,1,1,3,3
446,2,3,3,3,3
602,3,3,3,2,2
514,3,3,3,3,3
183,1,1,1,1,1
638,3,3,3,3,3
56,3,3,3,3,3
