census_code,predictions_2011,predictions_2013,predictions_2015,predictions_2017,predictions_2019
80,3,2,3,3,2
178,2,2,2,2,2
339,2,2,2,2,2
469,3,3,3,3,3
352,2,2,2,2,2
69,3,3,3,3,3
256,3,3,3,1,3
598,1,3,1,3,3
22,3,3,2,3,3
574,3,3,2,2,1
474,3,2,3,3,3
281,1,1,1,1,1
569,1,3,1,1,1
229,2,2,2,2,2
237,2,2,2,2,2
567,3,2,2,3,2
315,1,1,1,1,1
582,3,2,2,3,2
52,3,2,3,2,3
26,3,3,3,3,1
180,2,2,2,2,2
453,2,2,2,2,2
135,2,2,2,2,2
203,2,1,2,2,2
383,1,1,1,1,1
528,3,3,2,3,2
285,3,3,1,1,3
81,3,2,3,3,3
518,3,3,3,3,3
501,3,2,3,3,3
476,3,3,3,3,3
8,3,3,3,3,3
458,2,2,2,3,2
337,2,2,2,2,2
487,2,2,2,3,2
640,3,3,3,3,3
365,1,2,2,2,2
588,1,3,1,1,1
300,2,2,1,2,1
362,2,2,2,2,1
76,3,2,3,2,3
461,1,2,2,2,1
248,3,1,1,1,3
540,3,2,3,2,2
600,1,3,1,1,3
624,3,3,3,3,1
390,1,1,1,1,1
513,2,2,3,3,3
176,2,2,2,2,2
277,3,3,1,3,3
133,2,2,3,2,2
71,3,2,2,2,3
286,1,1,1,1,1
486,3,3,3,3,3
66,3,1,1,1,2
578,3,3,1,3,2
227,2,2,2,2,2
313,2,2,2,2,1
23,3,3,3,3,3
217,2,2,2,2,2
305,2,2,2,2,2
296,1,1,1,1,1
5,1,3,1,1,1
321,2,2,2,2,2
416,2,2,2,3,2
247,3,3,1,3,3
618,3,3,3,3,2
191,2,2,2,2,2
460,1,2,2,2,2
497,3,2,2,2,3
407,2,2,2,2,2
187,2,3,2,2,1
371,2,2,2,2,2
120,2,2,2,2,2
163,2,2,2,3,2
166,2,2,2,2,2
35,2,2,2,2,1
295,1,1,1,1,1
506,1,2,2,2,2
19,1,3,1,1,1
100,3,3,3,3,3
470,3,3,3,3,3
555,3,3,3,3,3
556,3,2,3,3,2
311,2,2,2,1,1
441,2,2,2,2,2
381,2,2,1,2,1
503,3,2,3,3,3
130,2,2,2,2,2
158,2,2,2,3,2
172,2,2,2,2,2
54,3,3,2,3,3
490,3,2,2,3,2
233,2,2,2,2,2
215,2,2,2,2,2
153,2,2,2,2,2
307,2,2,2,1,1
278,1,1,1,1,1
438,2,3,3,3,3
547,3,3,3,3,2
451,2,2,2,3,2
145,2,2,2,2,3
481,3,3,3,3,3
253,1,1,3,3,3
534,3,2,3,3,2
27,3,3,3,1,1
484,2,2,2,2,2
293,1,1,1,1,1
319,2,2,1,1,2
103,3,3,3,3,1
159,2,2,2,2,3
263,3,3,3,3,3
491,2,2,2,2,2
493,2,2,2,2,2
440,3,3,2,3,2
51,3,3,3,3,3
39,2,2,3,3,3
394,2,1,2,2,2
393,2,2,2,2,2
586,3,3,1,1,1
165,2,2,2,2,2
482,3,3,3,3,3
55,3,3,3,3,3
418,2,2,2,3,2
335,2,2,2,2,2
17,3,3,1,1,3
269,3,3,3,3,3
3,1,3,3,3,3
537,3,3,2,3,2
444,3,2,2,3,3
251,3,1,1,3,1
128,2,2,2,2,2
244,3,3,3,3,3
24,3,3,1,1,3
632,3,3,1,2,1
116,1,3,1,3,3
49,2,2,2,2,1
446,2,2,3,2,3
602,3,3,2,3,1
514,1,3,2,2,2
183,2,2,2,2,2
638,3,3,3,3,3
56,3,3,3,3,3
400,1,2,1,2,1
235,2,2,2,2,2
57,3,3,3,3,3
425,2,2,2,2,2
331,2,2,2,2,2
421,2,2,2,3,2
426,2,2,2,2,2
546,3,3,3,3,3
202,2,2,2,3,3
581,3,2,3,3,1
596,1,1,1,3,1
450,2,2,2,2,2
616,3,3,3,3,2
189,2,2,2,2,2
525,3,2,3,3,2
457,2,2,2,2,2
261,1,1,1,1,1
590,1,1,1,1,1
47,2,2,2,3,3
85,3,2,3,3,3
485,1,2,2,2,1
15,3,3,3,1,3
127,3,2,2,2,2
139,2,2,3,2,3
164,2,2,2,2,2
214,2,2,2,2,2
494,3,3,3,3,3
583,3,2,3,3,2
367,1,1,2,1,2
147,2,2,2,2,2
252,3,3,3,3,3
194,2,2,2,2,2
79,3,2,2,3,3
270,1,1,1,3,3
257,3,3,3,3,3
119,3,2,2,2,2
225,2,2,2,2,2
445,2,3,3,3,3
516,3,3,3,3,3
553,3,2,3,3,2
262,1,1,1,1,1
53,2,3,2,2,3
563,1,1,1,1,1
634,3,3,3,3,3
358,2,2,2,2,2
422,2,2,2,3,2
91,3,3,3,3,3
639,3,3,3,3,3
515,3,3,3,3,3
603,3,3,3,3,3
46,3,2,2,3,3
6,1,1,1,1,3
576,1,1,1,1,1
350,2,2,2,2,1
222,2,2,2,2,2
571,3,3,2,3,2
11,3,3,3,3,3
455,1,2,2,2,2
589,1,3,1,1,1
606,3,3,3,3,2
573,3,3,2,2,1
326,2,2,1,2,1
612,3,3,3,3,1
131,2,2,2,2,2
619,3,3,3,3,2
195,2,2,2,2,2
124,2,2,2,2,2
475,3,3,3,3,3
536,3,3,3,3,3
21,3,3,2,3,3
559,3,3,2,3,3
427,2,2,2,3,3
471,3,3,3,3,3
101,3,1,3,3,3
297,1,1,1,1,1
299,1,1,1,1,1
478,3,3,3,3,3
190,2,2,2,2,2
369,2,2,2,2,1
507,1,2,2,2,2
432,1,2,2,2,2
231,2,2,2,2,2
74,3,2,3,2,3
245,3,3,3,3,3
218,2,2,2,2,2
328,1,1,2,2,1
162,2,2,3,3,2
94,3,3,3,3,3
566,3,2,3,3,2
527,3,3,3,3,3
169,2,2,2,2,2
287,1,1,1,1,1
615,3,3,3,3,3
406,2,2,2,2,2
73,3,3,3,2,3
637,3,3,3,3,3
480,3,3,3,3,3
141,3,2,3,3,3
621,3,3,2,3,2
241,3,3,3,3,3
276,1,1,1,1,1
273,1,1,1,1,1
420,2,2,2,2,2
223,2,2,2,2,3
368,2,2,2,2,1
524,3,2,3,3,3
395,2,2,2,2,2
502,1,2,3,3,3
594,1,1,1,3,1
392,2,2,2,2,2
599,1,3,1,3,1
170,2,2,2,2,2
7,3,3,1,1,3
550,3,3,3,3,3
150,2,2,2,2,2
16,3,3,3,3,3
610,3,3,1,3,3
521,3,3,3,3,3
508,1,2,2,2,2
75,3,2,3,2,3
68,2,2,2,1,3
442,2,2,3,3,2
152,2,2,2,2,2
224,2,2,2,2,2
249,3,3,3,3,3
112,1,1,1,1,1
312,2,2,2,2,2
20,3,3,1,1,1
199,2,2,2,2,2
309,2,2,2,1,1
