census_code,predictions_2001,predictions_2003,predictions_2005,predictions_2007,predictions_2009,predictions_2011
80,2,2,2,2,1,2
178,2,2,2,2,2,2
339,2,1,1,1,1,1
469,2,1,2,1,2,1
352,1,1,1,1,1,1
69,1,3,2,2,3,3
256,2,1,2,2,2,2
598,1,2,2,2,2,2
22,1,3,2,3,3,2
574,1,2,2,2,2,2
474,3,2,1,3,3,3
281,3,2,2,1,2,1
569,2,3,3,3,2,2
229,1,1,1,1,1,1
237,1,2,1,1,1,1
567,2,2,2,2,1,2
315,1,1,2,1,1,1
582,2,2,2,2,2,2
52,1,1,1,1,3,3
26,1,2,2,2,2,2
453,1,1,1,1,1,1
135,2,1,1,1,2,2
203,1,2,2,1,1,1
383,1,1,1,1,1,1
528,1,2,1,1,1,1
285,2,2,1,2,1,2
81,1,2,1,1,1,2
518,3,3,3,3,3,3
501,2,1,1,1,1,1
476,2,2,2,2,2,2
8,2,2,1,2,1,2
458,1,1,1,2,1,1
337,2,2,2,2,2,2
487,2,1,1,1,1,1
640,2,2,2,2,2,2
365,1,1,1,1,1,1
588,2,3,3,3,2,2
300,1,1,1,1,1,1
362,2,1,1,1,1,1
76,2,2,1,2,2,2
461,1,1,1,1,1,1
248,2,2,2,2,2,3
600,2,2,2,2,3,2
624,1,2,2,2,1,2
390,1,1,1,1,1,1
513,2,1,2,1,2,1
176,2,2,2,2,2,1
277,3,3,2,3,3,3
133,2,3,2,1,2,2
71,2,2,2,3,1,2
286,1,1,2,1,1,2
486,1,1,1,3,1,3
66,1,3,2,1,1,2
578,3,1,2,2,2,1
227,1,1,1,1,3,1
313,1,2,1,1,1,1
23,2,2,2,2,2,2
217,1,2,1,1,2,2
305,1,2,2,1,1,1
296,1,1,2,1,1,1
5,1,2,2,2,2,1
321,1,2,1,1,1,1
416,1,1,1,1,1,1
247,1,2,1,2,2,1
618,1,2,3,2,2,2
191,2,1,2,2,1,2
460,1,1,1,1,1,1
497,1,1,1,1,1,1
407,1,1,1,1,1,1
187,1,1,2,2,1,2
371,1,1,1,1,1,2
120,2,2,2,2,2,2
163,2,2,2,1,2,1
166,1,1,1,2,1,2
35,1,3,2,3,3,2
295,1,2,1,2,1,1
506,1,1,1,1,1,1
19,1,2,2,2,1,2
100,2,2,2,2,2,2
470,2,2,2,2,2,2
555,2,1,1,1,1,2
556,2,2,2,2,1,2
311,2,2,1,1,3,2
441,1,1,1,1,1,1
381,1,2,1,2,1,2
503,1,1,1,1,1,1
130,1,2,1,2,1,2
158,2,1,2,1,2,2
172,2,1,2,1,2,1
54,2,2,2,3,2,2
490,2,2,2,2,2,2
233,1,1,1,1,1,1
233,1,1,1,1,1,1
233,1,1,1,1,1,1
233,1,1,1,1,1,1
215,1,2,1,1,1,1
153,2,1,2,2,2,1
307,2,2,1,2,2,1
278,2,2,2,2,2,2
438,1,1,1,1,1,1
547,2,2,2,2,2,2
451,1,2,1,1,1,2
145,1,1,1,2,2,2
481,2,2,2,2,2,2
253,2,2,2,2,2,1
534,2,2,2,2,2,2
27,1,1,1,2,1,2
484,2,2,1,1,2,1
293,1,1,1,1,1,1
319,2,1,1,1,1,1
103,3,1,2,2,2,2
159,2,2,2,1,1,2
263,2,2,1,1,1,1
491,2,1,1,1,1,2
493,1,1,1,2,2,1
440,1,1,1,1,1,1
51,2,3,1,1,3,3
39,2,2,1,1,3,2
