census_code,predictions_2001,predictions_2003,predictions_2005,predictions_2007,predictions_2009,predictions_2011
80,2,2,1,2,1,2
178,2,1,1,1,1,1
339,1,1,1,1,1,1
469,1,1,1,1,1,1
352,2,2,2,2,1,1
69,2,2,2,2,3,3
256,2,2,3,3,3,3
598,2,3,1,3,2,3
22,2,3,2,3,3,1
574,1,1,1,1,1,1
474,3,1,1,3,1,3
281,2,2,2,3,3,2
569,1,3,3,3,3,3
229,2,2,1,1,2,1
237,2,2,1,1,1,1
567,1,1,1,1,1,2
315,2,2,2,2,2,2
582,3,1,1,1,1,1
52,2,1,2,2,3,3
26,1,3,1,2,2,3
453,1,2,3,2,1,1
135,2,2,1,1,1,2
203,1,2,1,1,2,1
383,1,1,1,1,1,1
528,2,2,2,1,1,3
285,3,2,3,3,3,3
81,1,2,1,1,1,2
518,3,2,2,2,3,2
501,1,3,3,3,3,2
476,1,3,3,2,2,3
8,1,3,2,2,2,2
458,1,1,1,1,1,1
337,2,3,3,2,2,2
487,1,1,1,1,1,1
640,3,3,3,3,3,3
365,1,1,1,1,1,1
588,1,3,3,3,3,3
300,2,2,2,2,2,1
362,1,1,1,1,1,1
76,2,2,1,2,2,3
461,1,1,1,1,1,1
248,2,3,3,3,3,3
600,3,3,3,3,3,3
624,1,1,1,3,1,1
390,1,1,2,2,1,1
513,1,1,2,2,2,1
176,1,1,1,1,1,1
277,3,3,3,3,3,3
133,1,3,1,3,3,3
71,1,2,1,1,2,2
286,3,2,2,3,2,2
486,1,1,1,1,1,3
66,2,3,3,3,3,3
578,3,2,3,1,3,1
227,2,2,1,1,3,1
313,2,1,2,2,2,2
23,2,2,2,2,2,2
217,1,1,1,1,3,1
305,2,1,2,2,2,2
296,2,2,2,2,2,2
5,1,1,1,1,2,1
321,2,3,2,2,2,2
416,1,1,3,1,3,1
247,2,3,3,1,3,1
618,1,3,2,3,3,1
191,2,1,1,1,1,1
460,1,1,1,1,1,1
497,1,1,1,1,1,1
407,1,1,1,1,1,1
187,1,2,2,1,2,1
371,1,1,1,1,1,1
120,1,2,1,1,1,1
163,2,2,1,2,1,1
166,1,1,1,1,1,1
35,2,3,2,2,1,2
295,2,3,3,3,2,2
506,1,1,1,1,1,2
19,2,1,2,3,2,1
100,2,2,2,2,2,2
470,1,2,2,2,1,2
555,1,1,1,1,1,1
556,1,3,1,1,1,1
311,3,2,3,2,3,2
441,1,1,1,1,2,1
381,1,1,1,2,2,1
503,1,1,1,1,1,2
130,1,1,1,1,1,1
158,2,3,1,1,1,1
172,2,1,1,1,1,1
54,3,1,3,3,3,2
490,2,2,2,3,2,2
233,1,1,1,1,1,1
233,1,1,1,1,1,1
233,1,1,1,1,1,1
233,1,1,1,1,1,1
215,1,1,1,1,2,1
