census_code,predictions_2001,predictions_2003,predictions_2005,predictions_2007,predictions_2009,predictions_2011
80,2,2,2,2,2,2
178,2,2,2,2,2,2
339,1,1,1,1,2,2
469,1,1,1,1,1,1
352,1,1,1,1,2,2
69,3,3,3,3,3,3
256,1,1,1,1,1,1
598,2,3,3,3,3,3
22,3,3,3,3,3,3
574,1,1,1,1,1,1
474,3,3,3,3,3,3
281,1,3,1,1,3,1
569,1,1,1,1,1,1
229,1,2,2,2,2,2
237,1,1,2,1,1,2
567,1,1,1,1,1,1
315,1,1,1,1,1,1
582,1,1,1,2,1,1
52,3,2,3,3,3,3
26,1,1,1,1,1,1
453,1,1,1,1,1,1
135,2,2,2,2,2,2
203,1,1,1,3,1,2
383,1,1,1,1,1,1
528,1,1,1,1,1,1
285,3,1,1,3,1,1
81,2,2,2,2,2,2
518,3,3,3,3,3,3
501,2,1,1,1,1,1
476,1,3,3,3,3,3
8,1,1,1,1,1,1
458,2,1,1,1,1,1
337,1,1,1,1,1,3
487,1,1,1,1,1,1
640,1,1,1,1,1,1
365,1,1,1,1,1,1
588,1,3,3,1,1,1
300,1,1,1,1,1,1
362,1,1,3,2,1,1
76,2,2,2,2,2,3
461,1,1,1,1,1,1
248,1,1,1,1,1,3
600,1,1,1,1,3,1
624,2,1,3,1,1,3
390,1,1,1,1,1,1
513,1,1,1,1,1,1
176,2,2,2,1,2,1
277,1,3,3,3,3,3
133,1,1,1,2,2,2
71,1,3,1,1,3,3
286,1,1,1,1,1,1
486,3,3,3,3,3,3
66,1,1,1,1,1,3
578,3,1,1,1,1,1
227,1,1,2,2,3,2
313,1,1,1,2,2,1
23,1,1,1,1,1,1
217,2,2,2,2,2,2
305,1,1,1,1,2,1
296,1,1,1,1,1,1
5,1,1,1,1,1,1
321,1,1,1,1,1,1
416,1,1,3,1,3,1
247,1,1,1,1,1,1
618,1,1,3,3,1,1
191,1,2,1,1,1,2
460,1,1,1,1,1,1
497,1,1,1,1,1,1
407,1,1,1,1,1,1
187,2,1,3,1,1,1
371,1,1,1,1,1,1
120,1,1,1,1,1,1
163,2,2,2,2,2,2
166,1,2,2,2,3,2
35,1,3,3,3,3,3
295,1,1,1,1,1,1
506,1,1,1,1,1,1
19,1,1,1,1,1,1
100,2,2,2,2,2,2
470,2,2,2,1,1,1
555,1,1,1,1,1,1
556,1,3,1,1,1,1
311,3,1,1,3,3,1
441,1,1,1,1,1,1
381,1,1,1,1,1,2
503,1,1,1,1,1,1
130,1,1,1,1,1,1
158,3,3,1,2,1,1
172,3,1,1,2,1,1
54,3,2,3,3,3,3
490,1,1,1,1,1,1
233,1,1,1,1,2,2
233,1,1,1,1,2,2
233,1,1,1,1,2,2
233,1,1,1,1,2,2
215,2,1,2,2,2,2
153,1,1,1,1,1,1
307,3,1,1,2,1,1
278,1,1,1,2,1,3
438,1,1,1,1,1,1
547,3,2,3,1,1,3
451,1,1,1,1,1,1
145,1,2,3,1,3,2
481,1,3,3,3,3,3
253,1,1,1,1,1,1
534,1,1,1,1,1,1
27,1,3,1,1,1,1
484,1,1,1,1,1,1
293,1,1,1,1,1,1
319,1,1,2,1,2,1
103,1,2,1,1,1,1
159,2,2,2,2,2,2
263,1,1,1,3,1,1
491,1,1,1,1,1,1
493,1,1,1,1,1,1
440,1,1,1,1,1,2
51,3,3,3,3,3,3
39,3,3,3,3,3,3
394,1,1,1,1,1,1
393,1,1,1,1,1,1
586,1,3,3,3,3,3
165,2,2,2,2,1,2
482,3,3,3,3,3,1
55,3,3,3,3,3,3
335,1,1,1,3,2,2
17,1,1,1,3,1,1
269,1,1,1,1,1,1
537,1,1,1,3,1,3
444,2,3,1,3,1,3
251,1,1,1,1,1,1
128,1,2,1,1,1,1
244,1,1,1,1,1,3
24,1,1,1,1,1,1
632,1,1,1,1,1,3
116,2,2,1,2,1,1
49,3,3,2,2,2,3
446,1,1,1,1,1,1
602,3,1,1,1,1,3
514,1,1,1,1,1,1
183,1,2,2,2,3,1
638,1,1,1,1,1,1
56,1,1,1,1,1,1
400,1,1,1,1,1,1
235,1,1,2,3,2,2
57,1,1,1,1,1,1
425,1,1,1,1,1,1
331,2,2,2,2,2,2
421,3,1,2,1,3,3
426,1,1,1,1,1,1
546,3,1,1,1,1,1
202,2,2,2,2,2,2
581,1,1,1,1,1,1
596,1,1,1,1,1,1
450,1,1,1,1,1,1
616,3,3,3,3,3,1
189,3,2,2,2,2,2
525,2,1,1,1,1,1
457,1,1,1,1,1,1
261,1,1,1,1,1,1
590,1,1,1,1,1,1
47,1,2,3,2,2,2
85,1,2,2,2,2,2
485,1,1,1,1,1,1
15,1,1,1,1,1,1
127,2,2,3,3,2,3
139,1,1,2,2,2,2
164,2,3,2,2,2,3
214,1,2,2,2,2,2
494,3,3,3,3,3,3
583,2,1,1,1,1,1
367,1,1,1,1,1,1
147,2,2,2,2,2,2
252,1,1,1,1,1,1
194,1,3,1,1,2,2
79,2,2,2,2,2,2
270,1,1,1,1,1,1
257,1,1,1,1,1,1
119,1,2,1,1,1,1
225,1,3,2,2,1,2
445,2,1,1,1,1,1
516,1,3,3,3,3,3
262,1,1,1,1,1,1
53,1,2,2,2,2,3
563,1,1,1,1,1,1
634,3,3,3,3,3,3
358,1,1,2,1,1,1
422,2,2,2,1,3,2
91,3,3,3,3,3,3
639,1,1,1,1,1,1
515,1,3,1,1,3,1
603,3,3,3,3,3,3
46,1,2,2,2,2,3
6,1,1,1,1,1,1
576,1,1,1,1,1,1
350,1,2,2,2,2,2
222,1,2,2,2,2,2
571,1,1,1,1,1,1
11,1,1,1,1,1,1
455,1,1,1,1,1,1
589,1,3,3,1,1,1
606,1,1,1,1,1,1
573,1,1,1,1,1,1
326,1,1,1,1,2,1
612,1,1,1,1,1,1
131,1,1,1,1,1,1
619,1,1,3,3,3,1
195,2,2,2,1,2,2
124,1,1,1,1,1,1
475,1,1,3,1,1,1
536,3,3,3,3,3,3
21,3,3,3,3,3,3
559,1,1,1,1,1,1
427,1,1,1,1,1,1
471,3,3,3,3,1,3
101,1,2,1,1,1,1
297,1,1,1,1,1,1
299,1,1,1,1,1,1
478,3,3,3,3,3,3
190,2,1,2,2,2,1
369,1,1,1,1,1,1
507,1,1,1,1,1,1
432,1,1,1,1,1,1
231,1,2,2,2,2,2
74,3,2,2,2,3,3
245,1,1,1,1,1,1
218,2,2,2,2,2,2
328,1,1,1,1,1,1
162,2,2,2,2,2,1
94,3,3,3,3,3,3
566,1,1,1,1,1,1
527,3,3,1,1,1,3
169,2,2,2,2,2,2
287,1,3,3,1,1,1
615,3,1,3,3,3,1
406,1,1,1,1,1,1
73,3,2,2,2,2,2
637,1,3,3,3,1,3
480,1,1,1,1,1,2
141,2,3,3,3,3,3
621,1,1,1,1,1,1
241,1,1,1,1,1,1
276,1,1,1,1,1,1
273,1,1,1,1,1,1
420,2,1,2,2,2,2
223,1,2,2,2,2,2
368,1,1,1,1,1,1
524,3,1,1,1,1,1
395,1,1,1,1,1,1
502,3,1,1,1,1,1
594,1,3,1,3,1,3
392,1,1,1,1,1,1
599,1,1,1,1,1,1
170,1,1,1,2,1,1
7,1,3,1,1,3,1
550,1,1,1,1,1,1
150,1,2,2,2,2,2
16,1,1,1,1,1,1
610,1,3,3,1,3,3
521,1,3,3,3,3,3
508,1,1,1,1,1,1
75,3,2,2,3,3,3
68,3,3,1,1,3,3
442,1,1,1,1,1,1
152,3,2,2,2,2,2
224,2,2,2,2,1,2
249,1,1,1,1,1,1
112,1,2,1,1,1,1
312,1,2,1,2,2,1
20,1,1,1,3,1,1
199,1,2,2,2,2,2
309,1,1,1,1,1,1
405,1,1,1,1,1,1
33,1,1,1,1,1,3
467,1,1,1,1,1,1
479,1,1,1,1,1,1
266,1,1,1,1,1,1
613,3,1,3,1,3,3
267,1,1,1,1,1,1
144,3,2,2,2,2,2
288,1,1,1,1,1,3
123,1,1,1,1,1,1
325,2,2,2,2,2,1
107,1,2,2,1,3,2
104,1,3,2,2,2,2
301,1,2,2,1,1,1
136,3,2,2,2,2,2
468,1,1,1,1,1,1
87,3,2,2,2,2,2
557,1,1,1,1,1,1
557,1,1,1,1,1,1
388,1,1,1,1,1,1
363,3,3,3,3,1,2
43,1,1,1,3,1,3
