District_name,District_code,State_code,State_name,ASSET_2001,ASSET_2003,ASSET_2005,ASSET_2007,ASSET_2009,ASSET_2011,ASSET_Actual_2001,Formal_EMP_2001,LIT_2001,ASSET_change
Kupwara,1,1,JAMMU & KASHMIR,2,3,1,1,1,3,1,2,1,0
Badgam,2,1,JAMMU & KASHMIR,3,3,1,1,1,2,1,2,1,1
Leh (Ladakh),3,1,JAMMU & KASHMIR,2,2,2,2,2,2,1,3,1,1
Kargil,4,1,JAMMU & KASHMIR,1,3,2,2,2,1,1,3,1,0
Punch,5,1,JAMMU & KASHMIR,3,3,3,3,1,2,1,2,1,0
Rajauri,6,1,JAMMU & KASHMIR,3,3,1,3,1,1,1,2,1,0
Kathua,7,1,JAMMU & KASHMIR,1,3,1,3,3,2,1,2,1,1
Baramula,8,1,JAMMU & KASHMIR,1,3,1,2,1,3,1,2,1,1
Srinagar,10,1,JAMMU & KASHMIR,3,3,1,3,1,3,2,3,1,1
Pulwama,12,1,JAMMU & KASHMIR,3,3,1,3,3,3,1,2,1,1
Anantnag,14,1,JAMMU & KASHMIR,1,3,1,2,2,2,1,2,1,1
Doda,16,1,JAMMU & KASHMIR,3,3,1,3,1,1,1,2,1,0
Udhampur,19,1,JAMMU & KASHMIR,2,3,1,3,1,2,1,3,1,1
Jammu,21,1,JAMMU & KASHMIR,3,3,3,3,3,3,2,3,2,1
Chamba,23,2,HIMACHAL PRADESH,2,2,2,2,2,2,1,2,1,1
Kangra,24,2,HIMACHAL PRADESH,2,3,2,3,3,3,2,2,3,1
Lahul & Spiti,25,2,HIMACHAL PRADESH,3,3,2,1,2,3,1,3,2,1
Kullu,26,2,HIMACHAL PRADESH,2,3,2,2,2,2,1,2,2,1
Mandi,27,2,HIMACHAL PRADESH,1,3,1,1,1,3,2,2,2,1
Hamirpur,28,2,HIMACHAL PRADESH,3,3,1,3,1,3,2,2,3,1
Una,29,2,HIMACHAL PRADESH,3,3,1,3,3,3,2,2,3,1
Bilaspur,30,2,HIMACHAL PRADESH,3,3,1,3,3,3,2,2,2,1
Solan,31,2,HIMACHAL PRADESH,3,3,1,1,3,3,2,3,2,1
Sirmaur,32,2,HIMACHAL PRADESH,1,3,1,3,3,2,1,2,2,1
Shimla,33,2,HIMACHAL PRADESH,2,2,2,2,2,3,2,3,3,1
Kinnaur,34,2,HIMACHAL PRADESH,3,3,2,2,2,2,2,3,2,0
Gurdaspur,35,3,PUNJAB,3,3,1,3,1,3,3,3,2,0
Kapurthala,36,3,PUNJAB,3,3,1,3,3,3,3,3,2,0
Jalandhar,37,3,PUNJAB,3,3,3,3,3,3,3,3,2,0
Hoshiarpur,38,3,PUNJAB,3,3,3,3,3,3,3,3,3,0
Nawanshahr ,39,3,PUNJAB,3,3,3,3,3,3,3,3,2,0
Fatehgarh Sahib,40,3,PUNJAB,3,3,1,3,3,3,3,3,2,0
Ludhiana,41,3,PUNJAB,3,1,3,1,1,3,3,3,2,0
Moga,42,3,PUNJAB,3,1,3,3,3,3,2,2,1,1
Firozpur,43,3,PUNJAB,3,2,2,3,3,3,2,2,1,1
Muktsar,44,3,PUNJAB,3,3,3,3,3,3,2,2,1,1
Faridkot,45,3,PUNJAB,3,3,3,3,3,3,2,3,1,1
Bathinda,46,3,PUNJAB,3,1,3,3,3,3,2,3,1,1
Mansa,47,3,PUNJAB,3,3,3,3,3,3,2,2,1,1
Patiala,48,3,PUNJAB,3,1,1,1,1,3,3,3,2,0
Amritsar,49,3,PUNJAB,3,3,3,1,3,3,3,3,1,0
Rupnagar,51,3,PUNJAB,3,3,1,3,3,3,3,3,2,0
Sangrur,53,3,PUNJAB,3,1,2,3,3,3,2,3,1,1
Chandigarh,55,4,CHANDIGARH,3,3,3,3,3,3,3,3,3,0
Uttarkashi,56,5,UTTARAKHAND,2,3,2,2,2,2,1,2,1,1
Chamoli,57,5,UTTARAKHAND,2,2,1,3,3,2,1,2,2,1
Rudraprayag,58,5,UTTARAKHAND,3,3,1,1,3,2,1,2,2,1
Tehri Garhwal,59,5,UTTARAKHAND,1,3,1,3,3,2,1,2,1,1
Dehradun,60,5,UTTARAKHAND,1,3,1,3,3,3,3,3,3,0
Garhwal,61,5,UTTARAKHAND,1,3,1,2,1,2,1,2,2,1
Pithoragarh,62,5,UTTARAKHAND,2,2,2,3,2,2,1,2,2,1
Bageshwar,63,5,UTTARAKHAND,1,2,3,3,3,2,1,1,2,1
Almora,64,5,UTTARAKHAND,1,2,1,1,1,2,1,2,2,1
Champawat,65,5,UTTARAKHAND,3,3,1,1,1,3,1,2,2,1
Nainital,66,5,UTTARAKHAND,1,3,3,1,1,3,2,3,3,1
Udham Singh Nagar,67,5,UTTARAKHAND,3,1,1,1,1,1,2,2,1,1
Hardwar,68,5,UTTARAKHAND,1,3,1,3,1,1,2,3,1,1
Panchkula,69,6,HARYANA,3,3,1,3,1,3,3,3,2,0
Ambala,70,6,HARYANA,3,3,1,1,3,3,3,3,2,0
Yamunanagar,71,6,HARYANA,3,3,1,3,3,3,2,3,2,1
Kurukshetra,72,6,HARYANA,3,3,1,1,3,3,3,3,2,0
Kaithal,73,6,HARYANA,3,3,1,1,1,3,2,2,1,1
Karnal,74,6,HARYANA,3,1,1,1,3,3,2,3,1,1
Panipat,75,6,HARYANA,3,3,1,3,3,3,2,3,2,1
Sonipat,76,6,HARYANA,3,3,3,3,3,3,2,3,2,1
Jind,77,6,HARYANA,3,3,1,1,3,3,2,2,1,1
Fatehabad,78,6,HARYANA,3,3,3,3,3,3,1,2,1,1
Sirsa,79,6,HARYANA,3,2,2,2,2,3,2,2,1,1
Hisar,80,6,HARYANA,2,1,3,2,2,3,2,3,1,1
Bhiwani,81,6,HARYANA,2,2,2,2,2,2,1,2,1,1
Rohtak,82,6,HARYANA,3,3,3,3,3,3,2,3,2,1
Jhajjar,83,6,HARYANA,3,3,3,3,2,3,2,3,2,1
Mahendragarh,84,6,HARYANA,3,3,3,3,2,2,1,2,2,1
Rewari,85,6,HARYANA,3,3,3,3,2,3,2,2,2,1
Gurgaon,86,6,HARYANA,3,3,3,3,3,3,2,3,1,1
Faridabad,88,6,HARYANA,3,3,3,3,3,3,2,3,2,1
North West ,90,7,NCT OF DELHI,3,3,3,3,3,3,3,3,3,0
North,91,7,NCT OF DELHI,3,3,3,3,3,3,3,3,3,0
North East,92,7,NCT OF DELHI,3,3,3,3,3,3,3,3,2,0
East,93,7,NCT OF DELHI,3,3,3,3,3,3,3,3,3,0
New Delhi,94,7,NCT OF DELHI,3,3,3,3,3,3,3,3,3,0
Central,95,7,NCT OF DELHI,3,3,3,3,3,3,3,3,3,0
West,96,7,NCT OF DELHI,3,3,3,3,3,3,3,3,3,0
South West,97,7,NCT OF DELHI,3,3,3,3,3,3,3,3,3,0
South,98,7,NCT OF DELHI,3,3,3,3,3,3,3,3,3,0
Ganganagar,99,8,RAJASTHAN,2,2,2,2,2,2,2,2,1,0
Hanumangarh,100,8,RAJASTHAN,2,2,2,2,2,2,1,1,1,1
Bikaner,101,8,RAJASTHAN,2,2,2,2,2,2,1,2,1,1
Churu,102,8,RAJASTHAN,2,2,2,2,2,2,1,2,1,1
Jhunjhunun,103,8,RAJASTHAN,2,2,2,2,2,2,1,2,2,1
Alwar,104,8,RAJASTHAN,2,2,2,2,2,2,1,2,1,1
Bharatpur,105,8,RAJASTHAN,2,2,2,2,1,2,1,2,1,1
Dhaulpur,106,8,RAJASTHAN,2,2,2,3,2,1,1,2,1,0
Karauli,107,8,RAJASTHAN,2,2,2,2,1,1,1,2,1,0
Sawai Madhopur,108,8,RAJASTHAN,2,2,2,2,2,2,1,2,1,1
Dausa,109,8,RAJASTHAN,2,2,2,2,2,2,1,2,1,1
Jaipur,110,8,RAJASTHAN,2,2,2,2,2,2,2,3,2,1
Sikar,111,8,RAJASTHAN,2,2,2,2,2,2,1,2,2,1
Nagaur,112,8,RAJASTHAN,2,2,2,2,2,2,1,2,1,1
Jodhpur,113,8,RAJASTHAN,2,2,2,2,2,2,1,2,1,1
Jaisalmer,114,8,RAJASTHAN,2,2,2,2,2,1,1,3,1,0
Barmer,115,8,RAJASTHAN,2,2,2,2,2,1,1,1,1,0
Jalor,116,8,RAJASTHAN,2,2,2,2,2,2,1,1,1,0
Sirohi,117,8,RAJASTHAN,2,2,2,2,2,2,1,3,1,1
Pali,118,8,RAJASTHAN,2,2,2,2,2,2,1,2,1,1
Ajmer,119,8,RAJASTHAN,2,2,2,2,2,2,1,3,1,1
Tonk,120,8,RAJASTHAN,2,2,2,2,2,2,1,2,1,1
Bundi,121,8,RAJASTHAN,2,2,2,2,2,2,1,2,1,1
Bhilwara,122,8,RAJASTHAN,2,2,2,2,2,2,1,2,1,1
Rajsamand,123,8,RAJASTHAN,2,2,2,2,2,2,1,3,1,1
Dungarpur,124,8,RAJASTHAN,2,1,2,1,2,1,1,1,1,0
Banswara,125,8,RAJASTHAN,2,1,2,2,2,1,1,1,1,0
Chittaurgarh,126,8,RAJASTHAN,2,2,2,2,2,2,1,2,1,1
Kota,127,8,RAJASTHAN,2,2,2,2,2,3,2,3,2,1
Baran,128,8,RAJASTHAN,2,2,2,2,2,2,1,1,1,1
Jhalawar,129,8,RAJASTHAN,2,2,2,2,2,2,1,1,1,1
Udaipur,130,8,RAJASTHAN,2,2,2,2,2,1,1,2,1,0
Saharanpur,132,9,UTTAR PRADESH,1,1,1,3,3,2,1,2,1,1
Muzaffarnagar,133,9,UTTAR PRADESH,3,3,2,3,2,2,1,2,1,1
Bijnor,134,9,UTTAR PRADESH,3,3,1,2,1,2,1,2,1,1
Moradabad,135,9,UTTAR PRADESH,2,1,3,1,1,2,1,2,1,1
Rampur,136,9,UTTAR PRADESH,3,1,1,1,1,2,1,1,1,1
Jyotiba Phule Nagar,137,9,UTTAR PRADESH,3,3,3,3,3,3,1,1,1,1
Meerut,138,9,UTTAR PRADESH,3,3,3,3,1,3,2,3,1,1
Baghpat,139,9,UTTAR PRADESH,3,3,3,3,3,3,1,2,1,1
Ghaziabad,140,9,UTTAR PRADESH,3,3,3,3,1,3,2,3,2,1
Gautam Buddha Nagar,141,9,UTTAR PRADESH,3,3,3,3,1,3,2,3,2,1
Bulandshahar ,142,9,UTTAR PRADESH,3,3,3,3,1,2,1,2,1,1
Aligarh,143,9,UTTAR PRADESH,3,3,1,2,1,2,1,2,1,1
Hathras ,144,9,UTTAR PRADESH,3,3,3,2,3,2,1,2,1,1
Mathura,145,9,UTTAR PRADESH,3,2,3,2,1,2,1,2,1,1
Agra,146,9,UTTAR PRADESH,2,2,2,2,3,2,2,2,1,1
Firozabad,147,9,UTTAR PRADESH,3,3,2,2,3,2,1,2,1,1
Mainpuri,148,9,UTTAR PRADESH,2,1,2,2,3,2,1,1,1,1
Budaun,149,9,UTTAR PRADESH,2,1,2,2,2,1,1,1,1,0
Bareilly,150,9,UTTAR PRADESH,2,1,1,1,2,2,1,2,1,1
Pilibhit,151,9,UTTAR PRADESH,3,1,1,1,1,2,1,1,1,1
