District_name,District_code,State_code,State_name,MSL_2001,MSL_2003,MSL_2005,MSL_2007,MSL_2009,MSL_2011,MSL_Actual_2001,MSL_change,MSL_change_old
Kupwara,1,1,JAMMU & KASHMIR,3,3,3,3,3,3,2,1,1
Badgam,2,1,JAMMU & KASHMIR,3,3,3,3,3,3,3,0,0
Leh (Ladakh),3,1,JAMMU & KASHMIR,2,2,3,3,3,3,3,0,0
Kargil,4,1,JAMMU & KASHMIR,3,3,3,3,3,3,3,0,0
Punch,5,1,JAMMU & KASHMIR,3,3,3,3,3,3,2,1,1
Rajauri,6,1,JAMMU & KASHMIR,3,3,2,3,2,3,2,1,1
Kathua,7,1,JAMMU & KASHMIR,3,3,3,2,3,3,3,0,0
Baramula,8,1,JAMMU & KASHMIR,3,3,3,3,3,3,3,0,0
Srinagar,10,1,JAMMU & KASHMIR,3,3,3,3,3,3,3,0,0
Pulwama,12,1,JAMMU & KASHMIR,3,3,3,3,3,3,3,0,0
Anantnag,14,1,JAMMU & KASHMIR,3,3,3,3,3,3,3,0,0
Doda,16,1,JAMMU & KASHMIR,3,3,3,3,3,3,2,1,1
Udhampur,19,1,JAMMU & KASHMIR,3,2,2,3,3,3,2,1,1
Jammu,21,1,JAMMU & KASHMIR,3,3,3,3,1,3,3,0,0
Chamba,23,2,HIMACHAL PRADESH,3,3,3,3,3,3,3,0,0
Kangra,24,2,HIMACHAL PRADESH,3,3,3,3,3,3,3,0,0
Lahul & Spiti,25,2,HIMACHAL PRADESH,3,3,3,3,3,3,3,0,0
Kullu,26,2,HIMACHAL PRADESH,3,3,3,3,3,3,3,0,0
Mandi,27,2,HIMACHAL PRADESH,3,3,3,3,3,3,3,0,0
Hamirpur,28,2,HIMACHAL PRADESH,3,3,2,2,2,3,3,0,0
Una,29,2,HIMACHAL PRADESH,3,3,3,3,3,3,3,0,0
Bilaspur,30,2,HIMACHAL PRADESH,3,3,2,2,3,3,3,0,0
Solan,31,2,HIMACHAL PRADESH,3,3,3,2,3,3,3,0,0
Sirmaur,32,2,HIMACHAL PRADESH,3,3,3,2,3,3,3,0,0
