band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_1_12,band_1_13,band_1_14,band_1_15,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_2_12,band_2_13,band_2_14,band_2_15,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_3_12,band_3_13,band_3_14,band_3_15,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_4_12,band_4_13,band_4_14,band_4_15,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_5_12,band_5_13,band_5_14,band_5_15,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_6_12,band_6_13,band_6_14,band_6_15,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_7_12,band_7_13,band_7_14,band_7_15,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_8_12,band_8_13,band_8_14,band_8_15,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_9_12,band_9_13,band_9_14,band_9_15,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_10_12,band_10_13,band_10_14,band_10_15,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_11_12,band_11_13,band_11_14,band_11_15,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11,band_12_12,band_12_13,band_12_14,band_12_15,census_code
0,0,13,157,1567,8207,27030,57450,76653,89710,61654,51489,67939,40959,161,0,16,439,1382,4656,12595,24027,51472,77726,79919,68710,54055,64028,43908,56,8,708,6274,19833,42570,61390,63304,59007,46893,38113,31944,33208,42891,36688,158,318,410,626,935,1483,2449,3888,6345,12379,26290,57859,123134,154978,84521,7374,342,851,8167,21121,36435,55129,67662,65450,55370,41598,33295,30093,33744,27406,6326,0,1,5495,71486,119343,99957,69834,49323,25173,26018,14508,1844,7,0,0,0,1,6206,77466,138776,74023,66300,49174,32279,23276,13667,1819,2,0,0,161,1383,12605,40474,63932,65419,56945,43545,31919,25853,22331,24089,29633,39281,25419,138,238,282,327,611,1018,1863,4385,12774,39555,114874,161587,100405,44754,178,31,4175,22918,25826,19936,17955,18811,21515,28998,41974,64810,89712,87712,35490,3126,9,43,230,1263,6558,23762,39506,49238,68829,83580,85526,76349,41082,6856,158,300,25175,84882,99129,75937,47633,28671,20068,17016,17566,21718,24392,18107,2383,12,80
0,9,59,340,2756,8536,9871,7683,15747,26321,48289,59793,71122,6818,2271,0,109,601,2375,10952,12130,21036,36523,51401,54147,36362,23751,6715,2655,858,0,971,11842,31173,49166,53365,44757,28292,19053,9921,4872,2275,1736,2192,0,2904,2334,2866,3331,6686,9023,10855,15687,23450,34949,50544,58215,34125,4611,35,2378,3825,22465,39779,40461,40647,34509,29221,20456,11654,7149,3660,2112,1236,63,0,73,1031,3012,23923,75168,73236,60257,16339,5516,880,151,28,1,0,0,82,1046,4137,33243,60448,71124,63998,20154,4383,831,135,34,0,0,1786,7170,33942,43573,42094,36735,29000,23138,15870,10010,6692,4474,2455,1756,920,1173,1256,2263,3260,7571,15095,24299,34301,42463,63327,46972,12547,3133,1955,0,2952,3446,1176,1357,1558,2213,3921,8166,15872,27797,44219,64167,61352,20486,933,1,42,266,818,1839,3508,6492,10408,15938,23611,36217,53180,69127,36287,1881,375,22681,63854,60921,43584,26432,15292,8887,5269,3737,2683,2005,2183,1627,85,178
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,6,7,5,2,3,3,6,6,12,1,0,0,1,9,20,34,26,24,10,14,14,16,28,14,0,199,23,19,7,3,0,1,0,0,0,0,0,0,0,0,31,135,38,21,19,12,7,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,45,26,1,0,0,0,0,0,0,0,0,2,0,0,5,48,24,1,0,0,0,0,10,56,65,27,28,35,12,19,19,16,0,0,132,33,25,15,8,10,3,10,7,8,5,15,19,4,0,233,11,2,0,0,0,0,0,0,0,0,0,0,0,60,300,0,0,0,0,0,0,0,0,0,0,0,0,76,1,0,0,1,2,5,18,51,117,39,28,14,2,4,3,32,339
25,899,2880,16656,54920,76178,94834,99655,108043,109394,105698,104706,161102,226587,12925,514,1904,2469,6340,20688,44508,59554,78785,86633,101545,121895,148577,220997,266522,13571,746,1045,3122,12775,27851,42058,55084,64144,72368,84123,111816,157067,231226,294293,16784,4927,5615,6116,8024,9798,13915,17488,21060,26834,32256,54066,100834,257505,439919,176145,2214,1341,1279,1794,3640,9129,21571,41627,64656,86448,110455,148875,209450,278996,193027,0,0,470,2417,3211,8286,26186,56727,133165,165317,164926,193353,214253,198502,7689,0,0,434,2702,3638,6634,21883,65961,132901,159778,171018,198347,198304,205414,7488,1741,499,1067,3579,10294,21058,33488,44483,55498,67390,85471,123589,187916,301065,237364,4939,3295,3105,3332,4083,4553,8031,12336,22253,48116,98016,193282,356979,386612,25570,2465,17474,94121,169048,140996,118975,95177,81253,75382,74026,77511,86337,88079,47454,6204,65717,116341,136896,173423,224666,215975,133248,55311,24896,12810,6707,3515,1696,1790,1511,864,6229,39936,70933,81039,82641,81582,81390,82886,91534,117699,143216,134958,91960,67635,469
34,10165,34166,28313,16230,36181,23790,38810,23367,12334,7888,6058,2773,2078,831,10228,44280,33992,42247,33217,16971,20249,12373,8101,8916,6671,2415,1985,1101,272,16576,41064,34282,38864,27819,30327,18951,18030,7740,5235,1920,848,667,688,7,16084,22297,45266,43932,45215,28123,19896,8641,6393,3055,1885,1133,765,288,45,14283,15140,27762,32890,28095,30971,25141,22449,16288,13646,9035,5006,1822,382,108,0,13777,96290,102261,25810,4051,726,94,7,1,1,0,0,0,0,0,16861,92971,109485,20618,2238,733,95,15,1,1,0,0,0,0,17896,30921,28831,28930,27471,25382,22768,20354,16334,10489,6236,4590,1796,518,502,13842,22549,38752,53025,41227,23894,18186,13232,8184,5704,2015,1350,551,507,0,11695,2037,1304,1156,1648,3743,7994,16830,30347,37765,32533,31079,32123,27852,4912,1488,5931,11679,16316,21620,25395,26372,24267,22312,20619,18260,15487,11462,10471,11339,10414,2872,11339,27514,33823,34556,30282,24795,20896,15598,11164,7759,5970,4833,1203,352
3842,13471,12850,9823,7707,7687,8377,8119,7875,6925,5637,3898,2379,420,0,8092,17136,11767,9098,8680,7879,7367,6865,6134,5892,4869,3491,1532,208,0,5155,15104,14674,11625,9047,7894,6896,6594,6350,6258,5173,3028,1125,87,0,10049,12487,10971,9531,8551,8193,7845,6896,6298,6200,5658,4175,1791,340,25,4151,10964,11606,11465,10615,10144,9673,8903,8355,6790,4277,1784,271,12,0,0,7035,32823,33266,14397,8402,2663,394,30,0,0,0,0,0,0,0,7740,31978,34521,14167,7046,2956,564,38,0,0,0,0,0,0,4049,9527,12260,12255,10346,8802,8090,7181,7071,6573,5863,4565,2098,324,6,14470,12115,8715,6497,6935,7337,8258,9221,8945,7511,5177,2847,922,60,0,39,592,1523,2255,3682,6000,7741,8647,9651,10793,11880,13074,13489,8552,1092,133,838,1877,3189,5252,7488,9201,9688,10109,10364,10873,11715,10985,7224,74,64,4534,9438,12871,13395,12873,11474,10726,9201,7050,4479,1899,771,224,11,69
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,27,14,0,0,0,0,0,0,0,0,0,0,0,0,0,35,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,10,256
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,1,0,0,0,0,1,2,10,13,2,0,15,0,3,1,6,1,1,5,9,16,10,11,3,7,3,86,25,5,3,3,4,1,1,0,0,0,2,3,0,0,21,50,19,29,8,8,3,2,4,2,2,2,1,2,1,0,8,6,3,2,7,18,6,0,0,0,0,0,0,0,0,8,6,0,0,10,24,5,3,0,0,0,0,0,0,21,3,0,0,9,15,27,34,29,24,12,23,12,11,4,96,44,18,14,13,19,15,13,4,6,7,14,8,13,10,77,6,3,4,1,2,2,1,0,1,0,0,2,1,62,174,0,0,0,0,1,1,0,2,0,0,1,0,35,0,0,0,2,2,10,16,22,60,11,3,4,4,4,3,37,598
2718,11338,13980,8865,11523,12279,12124,10881,9894,10067,5939,3582,1863,1785,42,9090,14687,10372,11446,11304,10532,8084,9739,10441,7090,6580,3862,2209,1444,0,6561,10555,12738,13404,12660,10522,9917,9850,9514,8519,6478,3689,1891,582,0,9575,16335,13743,14368,11603,11535,9864,11041,8356,5179,3149,1357,536,181,58,5271,8269,7270,9123,11070,11808,12386,12048,11959,11562,9797,5258,1004,52,3,0,6050,39786,36146,19654,11138,3486,539,62,17,2,0,0,0,0,0,7761,38413,39261,19751,7606,3363,616,92,15,2,0,0,0,0,4778,5558,7956,8946,10580,10880,10117,10872,11059,10410,10460,9230,5265,762,7,13880,14740,10816,7276,9272,9286,12337,11075,9167,8079,6420,2883,1345,304,0,335,2487,1648,2294,4661,8772,12446,14442,14339,13696,13143,12257,10769,5075,516,207,1033,3058,6328,9984,13320,14860,14120,13044,11538,9823,7399,5294,6407,465,327,2966,6804,9787,11166,11905,12433,12546,12132,11127,9248,7227,5058,3126,1028,22
128529,141086,115123,90496,64316,44613,35557,26948,19555,14263,8957,4601,2890,2656,3834,86131,63645,72217,67705,61815,56100,52696,50309,49493,47219,40445,32686,16258,3765,2940,73949,43125,58386,58880,53114,51404,52076,52483,52436,55657,56019,51670,36399,6074,1752,15018,8408,9939,11638,15105,21394,32805,47987,71206,94267,114413,118055,95401,40311,7477,15804,38843,42051,32398,29274,30613,32862,35829,41078,47515,57749,77818,97693,76157,47740,0,1929,43909,94458,82371,109189,140000,101310,69644,44736,13378,2251,185,64,0,0,2166,42558,96234,85903,90957,127104,120969,77134,41272,16527,2336,229,35,0,26034,52975,39842,36724,36221,37456,39456,42922,47936,53495,64403,85833,89417,44680,6030,22132,25037,35092,43588,51073,57379,60073,55627,59484,57541,64990,77058,78471,13151,2728,7826,1462,1329,4243,12359,23964,37215,57828,80132,89925,87758,82391,74199,54054,88739,242749,108530,66807,53151,45447,39172,31458,24200,19772,16635,14801,12277,9432,10467,8526,1665,69515,49204,42542,43321,45685,48402,50458,51527,54838,53417,48641,50948,55367,37894,574
