band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,census_code
13,9931,161133,202853,109059,455,18633,153225,202684,107992,6990,123793,169204,103265,79737,1354,4867,22612,207283,246873,9360,112685,188482,104986,67476,5496,290786,144330,42370,7,6207,290265,147753,38762,2,14149,169825,132409,72273,94333,658,1956,19022,316016,145337,27124,63717,69324,196496,126328,282,31583,157573,245455,48096,110357,222699,65755,63676,20502,80
68,11632,33301,134403,80211,710,25457,108960,114260,10228,12813,133704,92102,17068,3928,8104,19040,49992,143708,38771,28668,120887,84186,22463,3411,1104,102103,149832,6547,29,1128,97828,155276,5349,34,42898,122402,68008,21176,5131,4692,25926,101063,122846,5088,7574,5128,27959,136183,82771,309,6165,32838,113008,107295,86910,130937,29448,8425,3895,178
0,0,0,0,0,3,15,14,12,19,1,63,60,44,42,241,10,1,0,0,204,52,15,2,0,0,0,3,50,27,0,0,2,53,25,0,131,90,50,16,190,33,20,28,23,246,0,0,0,60,300,0,0,0,77,1,25,207,44,39,339
3804,147754,302532,319798,400614,4887,71536,224972,372017,501090,4913,82684,191596,353006,542303,16658,31737,65382,187156,873569,4834,14563,127854,345778,681473,470,13914,216078,523596,420444,434,12974,220745,529143,411206,3307,34931,133469,276450,726345,11339,11968,42620,339414,769161,114060,429019,251812,237874,141737,318954,614064,213455,23032,4997,47029,234613,245858,352449,294553,469
44365,80724,85967,26280,5682,88500,92435,40723,18002,3358,91922,97010,44721,8003,1362,83647,117270,34930,6073,1098,57185,91956,63878,27687,2312,110067,132122,827,2,0,109832,132341,843,2,0,77648,81783,59456,21315,2816,75143,118146,39602,9069,1058,15036,6547,55171,101377,64887,19098,63331,72951,54366,33272,24625,95893,75973,34521,12006,352
30163,25217,24371,16460,2799,36995,25657,20366,14252,1740,34933,28566,19840,14459,1212,33507,26275,21039,16033,2156,26721,32224,26931,12851,283,39858,56065,3087,0,0,39718,55734,3558,0,0,25836,31403,22342,17001,2428,35300,20769,26424,15535,982,2154,11937,26039,35747,23133,2848,15929,28998,32952,18283,14036,39139,31401,13428,1006,69
0,0,0,0,0,2,0,0,0,5,3,1,0,0,10,4,0,0,0,10,6,0,0,0,15,8,0,0,0,0,10,0,0,0,0,12,0,0,0,27,14,0,0,0,35,11,0,0,0,0,20,0,0,0,6,0,0,8,0,10,256
0,0,0,0,0,5,2,0,13,15,18,8,15,37,13,116,10,2,2,3,90,45,9,6,4,14,12,24,0,0,14,10,32,0,0,24,24,90,59,27,158,46,32,27,31,86,7,3,1,65,174,1,3,1,35,2,28,93,11,44,598
28036,32667,32899,19588,3690,34149,33282,28264,17532,3653,29854,36586,29281,18686,2473,39653,37506,29261,9685,775,20810,32001,36393,26617,1059,45836,66938,4087,19,0,46174,66618,4071,17,0,18292,30406,32048,30100,6034,39436,25834,32579,17382,1649,4470,15727,41227,39096,16360,4298,29632,42024,28760,12166,10097,32858,37111,27602,9212,22
384738,199425,82060,27821,9380,221993,185620,152498,120350,22963,175460,163398,156995,163346,44225,33365,48137,151998,326735,143189,96698,92285,109769,183082,221590,45838,286018,310954,60365,249,44724,273094,325207,60135,264,118851,110401,130314,203731,140127,82261,152040,175184,199589,94350,10617,40566,175175,260074,216992,418086,137770,75430,43713,28425,120384,131548,150387,156896,144209,574
