band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,census_code
0,1737,58880,200170,141683,80519,73,6420,57976,187763,149790,80967,2544,66849,153755,114952,83548,61341,986,2786,9200,42151,257112,170754,3652,63264,157724,127485,78829,52035,54,196271,189947,80358,16359,0,77,222372,171616,73436,15488,0,5164,113391,145540,78141,60727,80026,480,1116,4739,54856,332425,89373,13570,59316,47028,82225,202260,78590,117,7986,86271,178644,188656,21315,61716,223707,86984,43970,57006,9606,80
20,3144,19906,48252,145279,43014,278,13759,49494,125743,64865,5476,4756,88396,114553,40835,8003,3072,6587,11534,27188,66776,130310,17220,14535,94373,91193,45294,11945,2275,277,27762,175694,54822,1046,14,302,38206,173821,46286,992,8,23269,105296,78627,36126,12628,3669,3500,12023,55655,123830,61347,3260,6971,3518,9487,48482,143361,47796,118,2848,14657,45300,122535,74157,53369,138046,46687,12930,5721,2862,178
0,0,0,0,0,0,2,10,15,8,12,16,0,30,73,35,45,27,237,14,1,0,0,0,191,53,21,8,0,0,0,0,0,7,65,8,0,0,2,0,75,3,0,66,108,59,49,5,177,36,16,22,27,16,245,1,0,0,0,60,300,0,0,0,0,77,1,7,119,134,19,36,339
1997,73383,213205,274899,269134,341884,3547,28368,145419,225606,359008,412554,2723,42816,128545,189232,370771,440415,13678,20802,40946,70607,256703,771766,4205,6063,48793,174638,353745,587058,0,6098,56361,333320,460657,318066,0,6774,56513,330644,467300,313271,2662,14518,75336,146581,293880,641525,9894,8860,17472,77817,451780,608679,43396,380708,256250,188563,209480,96105,247191,469852,383161,59079,11196,4023,21753,177248,204859,215174,332151,223317,469
30811,58097,80036,54446,15479,4149,76636,87328,43828,22782,9850,2594,77084,81521,60043,20240,3111,1019,59861,112933,52945,13163,3529,587,41024,77146,66392,42103,15370,983,45939,192199,4837,42,1,0,49712,190223,3051,31,1,0,65024,69025,58479,36848,12180,1462,57214,112181,48349,20851,3660,763,14403,3437,18715,77964,79279,49220,12734,44300,64329,54636,39935,27084,16963,68999,77405,48722,21977,8952,352
23801,23892,20243,18740,10973,1361,31445,23328,18685,15452,9324,776,27901,27704,18064,15928,8970,443,28174,23415,19628,15804,11017,972,20853,27948,24433,19432,6279,65,21587,65934,11321,168,0,0,21472,66934,10460,144,0,0,19388,29049,20500,17217,11832,1024,31372,17360,20383,20889,8622,384,1325,6766,18071,24761,31841,16246,1749,9540,21586,25264,28382,12489,8824,31478,29773,21551,6852,532,69
0,0,0,0,0,0,2,0,0,0,0,5,3,1,0,0,0,10,4,0,0,0,0,10,6,0,0,0,0,15,8,0,0,0,0,0,10,0,0,0,0,0,7,5,0,0,0,27,14,0,0,0,0,35,11,0,0,0,0,0,20,0,0,0,0,6,0,0,5,3,0,10,256
0,0,0,0,0,0,4,3,0,1,20,7,16,9,3,29,23,11,114,8,6,0,3,2,80,47,13,6,5,3,14,5,28,3,0,0,14,0,38,4,0,0,24,9,65,64,41,21,155,30,41,16,26,26,85,6,5,1,1,64,174,0,2,2,1,35,2,12,65,47,8,44,598
20716,27708,30216,25029,10489,2722,30130,26769,24672,21214,11558,2537,23990,31928,25663,22659,11108,1532,33213,32411,27456,18519,4860,421,17006,23997,30710,29053,15883,231,21612,80024,14962,280,2,0,23250,81936,11482,210,2,0,13924,23894,26583,26755,23209,2515,34285,21699,25878,24066,10153,799,3628,7797,28160,35535,31145,10615,2454,18156,35401,31481,20016,9372,6155,24895,30577,29566,19182,6505,22
329580,209970,94582,46354,15004,7934,184277,167236,135043,120774,83756,12338,145345,142109,129748,134308,129690,22224,28281,31827,75158,192501,284935,90722,77273,81097,80934,106963,182998,174159,14968,207699,294906,169973,15706,172,14558,212303,294317,163119,18968,159,99654,92142,97698,123567,197639,92724,63516,113406,144375,145729,185650,50748,9871,17348,87101,201963,209171,177970,387246,129438,83547,47690,32280,23223,97567,108680,119222,131688,126987,119280,574
0,11342,74798,196091,433511,157525,476,41346,109826,220328,393442,107849,1040,25049,133617,269039,368966,75556,255365,137522,126599,155295,163889,34597,34386,96715,153232,209384,285280,94270,21,6609,37379,191906,378188,259164,23,7401,39010,192220,386401,248212,10015,26821,115533,228292,326748,165858,113161,105154,99702,200735,283244,71271,222342,344628,167155,91345,42885,4912,10154,171204,244033,154565,212449,80862,5570,37735,108167,229307,298852,193636,474
289965,39155,2662,869,331,51,319549,9795,1928,1082,585,94,319535,9286,2266,1124,697,125,49435,46945,50792,56079,69169,60613,160086,108747,50814,10055,2652,679,252874,79451,650,46,9,3,262333,70166,479,44,8,3,273027,51200,5830,2142,793,41,148986,88037,52739,33475,8877,919,7,104,548,3059,15130,314185,38573,59129,59382,55894,62246,57809,238621,81890,9690,2057,562,213,281
108209,141021,83994,45237,17090,4410,108826,138737,81225,45388,21992,3793,122167,131132,78155,45055,21220,2232,13342,31628,121049,152253,71673,10016,81818,75145,78432,75936,66366,22264,657,78201,139929,136724,41620,2830,623,91402,137250,127763,40582,2341,113739,105764,77484,54308,39371,9295,39180,148796,133405,56006,20303,2271,5520,11162,30184,70520,128540,154035,71597,86550,70018,61498,79823,30475,96070,97474,76189,51158,34224,44846,569
684,21751,152144,75270,8249,934,2930,120038,115252,16236,3877,699,30519,179791,39360,7298,1612,452,21392,72193,79477,59362,24410,2198,7376,118138,105354,22005,4965,1194,7448,243204,8318,62,0,0,9309,242167,7507,49,0,0,11908,121316,97474,21920,5043,1371,24938,114482,88839,27156,3113,504,494,1696,11548,60299,127013,57982,1348,7760,37861,102968,100262,8833,15225,112701,93487,29877,5758,1984,229
10517,46348,80863,90637,40951,5257,31649,55370,87143,63544,32740,4127,29163,101707,74670,46644,19215,3174,33248,52296,79562,75954,29856,3657,10523,52359,90029,70399,36978,14285,1740,195348,70812,6629,44,0,1997,199550,67048,5919,59,0,12615,60603,85377,63194,36896,15888,39471,34822,103986,70234,22391,3669,2330,7644,48328,86850,96318,33103,19857,49410,75622,78726,44844,6114,9449,63122,80221,60998,32425,28358,237
134134,180677,155745,98693,43242,5104,56292,118100,122399,148372,143598,28834,60719,73731,67536,118406,207917,89286,42620,71523,101403,151211,183642,67196,60193,31994,30593,59816,151801,283198,0,16909,83464,72788,209838,234596,0,19004,81649,72453,211590,232899,67435,34250,34849,62825,160536,257700,34583,83871,109945,124180,184188,80828,8708,228363,145787,77794,67053,89890,422003,72964,27361,18095,33225,43947,76552,32956,36445,45005,57565,369072,567
92508,182222,145257,110006,11546,3676,266921,234084,34147,5649,1515,2899,411633,115137,11558,3580,1057,2250,172423,155503,91774,62037,44906,18572,263410,183256,71528,18772,6477,1772,504449,39554,1123,86,3,0,508167,36160,810,77,1,0,376771,126762,25443,10579,4197,1463,318243,132622,62627,23906,4625,3192,3067,4997,15889,42641,193263,285358,10432,29629,58936,94530,167488,184200,194055,240119,64401,23095,11966,11579,315
0,0,0,0,0,0,14,6,3,5,13,99,13,10,10,9,8,125,53,1,0,4,5,126,43,9,2,2,0,129,58,0,0,0,0,0,58,0,0,0,0,0,20,14,15,11,10,75,52,5,3,4,6,147,204,9,3,1,0,20,87,1,2,1,9,161,3,12,88,99,10,24,582
4088,19176,44662,41129,18587,1587,11642,36552,40715,26890,12665,765,20158,48084,31159,20287,9094,447,12983,14145,19722,32634,40502,9243,22239,47761,32069,20393,6580,187,73502,51955,3763,9,0,0,73484,52401,3337,7,0,0,17880,45999,29473,21026,13645,1206,12992,9510,27251,58620,20313,543,751,6564,15621,24710,45067,36516,187,4071,16127,29059,56285,23500,37993,40673,26429,17672,5823,639,52
1,4,0,4,7,12,2,4,6,9,10,25,0,4,14,19,13,20,57,13,1,6,6,1,39,16,18,15,3,0,0,24,8,0,0,0,0,28,8,0,0,0,0,2,53,31,42,19,66,27,13,14,26,36,90,0,0,0,0,20,50,0,0,0,1,71,0,0,40,55,8,15,26
273749,247632,84275,15625,723,1,231537,202234,132031,48736,7434,33,149417,136255,156960,143551,35689,133,247492,243883,92333,30458,7433,406,76191,159177,175026,147197,59450,4964,129,115782,137099,277173,90573,1249,125,121932,135604,257655,105561,1128,77685,156993,168290,157553,59119,2365,275418,197316,100275,38933,9923,140,3108,131846,197139,85855,102501,101556,75505,188431,172232,105598,69353,10886,13996,119444,117943,157262,150156,63204,453
0,884,13668,158059,223171,19339,52,11143,104211,202412,91975,5328,2987,132512,169208,85260,23663,1491,3232,8622,37315,163996,196218,5738,8301,110404,166063,96193,32256,1904,5,92319,288523,33293,981,0,7,99546,282869,31736,963,0,15386,144596,134196,78232,37833,4878,1465,7798,39304,211605,152514,2435,1846,6297,24384,101028,223756,57810,59,3299,42280,114110,211821,43552,40125,221090,110157,33230,9591,928,135
2787,45215,44351,86036,350883,62436,20125,82223,88438,189470,185488,25964,42262,141236,152397,180101,62453,13259,126055,275781,156030,26176,6945,721,70189,160083,133640,146613,70533,10650,39696,105385,76153,203086,75006,92382,43576,118627,61948,199012,78427,90118,49088,159820,121106,139771,97894,24029,107511,163443,179454,104013,27495,9792,32174,87354,223294,141105,88361,19420,2443,24975,76451,137881,207612,142346,17831,116109,158769,156598,99375,43026,203
