band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,census_code
0,418,18130,116854,171233,123972,52382,18,2733,23298,108086,169855,123945,55054,1089,36971,118989,123511,80293,77222,44914,825,1754,5128,14535,69851,279911,110985,1649,38026,109951,138531,88345,67556,38931,3,111062,209827,108981,48457,4659,0,6,120682,215089,96982,44985,5245,0,2247,69080,138318,94988,53267,55956,69133,400,800,1938,11101,118900,293069,56781,6367,52482,39945,47710,99668,188100,48717,66,2476,45257,109193,177295,138923,9779,34219,199886,112962,44558,39740,47746,3878,80
13,468,11578,24795,66564,139298,16899,156,5381,26559,80592,103366,39524,4037,1766,55376,111374,63651,20073,4944,2431,5633,7618,17218,36737,78972,106672,6765,7705,71302,85924,60776,25189,7127,1592,103,8713,120961,118164,11387,286,1,122,10658,122017,116687,9827,302,2,12064,87104,79437,48359,21464,8280,2907,2785,7031,30106,74139,119340,23971,2243,6571,2793,4699,18731,65199,133909,27713,62,1463,7305,22855,55475,124331,48124,31048,131165,63258,19868,7714,4486,2076,178
0,0,0,0,0,0,0,0,8,14,10,6,11,14,0,18,56,45,30,43,18,226,23,2,1,0,0,0,172,60,29,9,3,0,0,0,0,0,1,7,70,2,0,0,0,2,1,76,1,0,26,118,63,37,42,1,168,41,16,16,12,34,7,244,2,0,0,0,0,60,300,0,0,0,0,0,77,0,3,38,180,49,11,35,339
1093,30699,162714,216101,224700,258908,280287,2782,12302,84841,163019,223400,358639,329519,2021,22129,85700,136929,190937,381868,354918,11236,16291,27674,45944,80534,323985,668838,3713,3591,19183,90440,193203,355652,508720,0,3693,16375,155858,347062,406358,245156,0,3957,16602,153057,342985,413660,244241,2339,6440,42265,95943,151793,305549,570173,8723,6651,11519,27856,120014,524203,475536,24029,300328,261808,176557,161464,185396,64920,200091,351371,450960,135553,26488,6556,3483,10167,130381,176165,174723,208253,297871,176942,469
18908,54129,73110,55590,26472,11624,3185,64293,68408,59532,26157,17319,5681,1628,64134,75688,55838,35574,9265,1726,793,43526,99244,69824,21415,6357,2263,389,32303,64743,60961,47630,27825,8987,569,21636,204281,16686,410,5,0,0,26584,204238,11933,257,6,0,0,50261,66170,54422,42159,21515,7369,1122,39198,105630,58377,27860,9455,1903,595,13922,2665,7684,37420,76345,66660,38322,8882,32257,52651,52461,42913,30612,23242,13979,47639,72155,54070,32645,15735,6795,352
18918,23258,17022,17304,14478,7400,630,26956,21859,17003,14563,12184,6105,340,22429,26905,17184,14107,12832,5386,167,24313,21439,17443,14903,12992,7405,515,16650,24452,22095,19241,13603,2948,21,10693,67904,18668,1745,0,0,0,10871,67852,18699,1588,0,0,0,15050,26040,19834,15661,13881,8075,469,28132,15958,15778,19093,14976,4952,121,821,4433,12021,18520,23508,28265,11442,1151,6110,15368,20706,22505,24587,8583,5729,25062,27566,22446,14320,3578,309,69
0,0,0,0,0,0,0,2,0,0,0,0,0,5,3,1,0,0,0,0,10,4,0,0,0,0,0,10,6,0,0,0,0,0,15,8,0,0,0,0,0,0,10,0,0,0,0,0,0,6,6,0,0,0,0,27,14,0,0,0,0,0,35,11,0,0,0,0,0,0,20,0,0,0,0,0,6,0,0,0,8,0,0,10,256
0,0,0,0,0,0,0,4,2,1,0,3,23,2,15,5,6,10,29,16,10,112,8,6,2,0,5,0,75,46,15,5,6,4,3,8,10,22,10,0,0,0,8,6,28,13,1,0,0,24,0,39,55,53,35,18,145,31,36,23,12,21,26,83,8,3,2,1,1,64,174,0,1,2,1,1,35,1,4,33,78,14,7,41,598
19426,21169,24587,24559,18602,6480,2057,25325,23408,21867,20604,16322,7603,1751,18571,27603,24460,21089,17269,7031,857,28107,29282,24485,21351,10865,2534,256,14561,18356,25123,25890,24298,8565,87,9934,79655,25007,2245,38,1,0,12843,80302,22230,1474,31,0,0,11421,18677,23033,22620,22874,17139,1116,29754,19961,22003,22684,16666,5378,434,3054,4720,17469,30057,29406,25242,6932,1513,11618,27014,30363,24125,14703,7544,4024,19004,25236,26665,22987,14169,4795,22
286591,208772,105523,57811,28568,9205,6954,158141,149516,121955,109821,97211,58942,7838,125160,124656,111443,112004,118166,101123,10872,24791,24216,44390,106968,207400,237418,58241,61529,75876,65259,77919,105382,179205,138254,5227,160324,210916,243588,78123,5182,64,4298,159929,212997,240099,80796,5243,62,85724,80316,79666,92689,119281,183849,61899,51387,92666,116407,124152,127180,168174,23458,9447,7961,47854,124416,190203,171313,152230,362188,122536,85477,53016,35474,24629,20104,79316,95722,97315,107575,115836,106688,100972,574
