band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,census_code
0,71,6408,54138,145589,131651,116083,29049,6,1323,11103,52037,139145,131461,115439,32475,580,19304,85617,117647,92347,62005,76617,28872,677,1303,3092,7900,22797,100864,272306,74050,947,22666,75749,125278,103250,65354,61211,28534,1,50379,218640,117252,63805,31721,1191,0,1,53938,224563,115563,59898,28358,668,0,1086,40168,119071,103770,62959,42767,52630,60538,338,581,1250,4166,24706,183301,235227,33420,2762,44566,36752,35834,53949,113901,164619,30606,40,952,19259,74123,125380,159805,98574,4856,19035,167034,131889,54449,32681,39039,37514,1348,80
8,269,6747,16046,31286,80370,118057,6832,84,2812,16973,43662,92470,77061,23432,3121,520,33082,94291,79812,35493,10814,3663,1940,4911,5613,12567,22218,43424,89546,78612,2724,4930,51632,77755,65784,38716,14857,4872,1069,42,2590,69368,131733,52347,3379,156,0,51,2699,73484,136095,44452,2711,123,0,6677,68597,76453,55465,30707,13388,5871,2457,2206,5351,15336,48285,85926,89485,11374,1652,6227,2361,3139,8249,29425,77802,115791,16621,33,795,4113,12682,29455,63655,119499,29383,16784,117261,75673,28384,10703,5483,3924,1403,178
0,0,0,0,0,0,0,0,0,5,12,10,5,8,12,11,0,5,47,51,27,26,47,7,219,28,4,1,0,0,0,0,160,62,29,14,8,0,0,0,0,0,0,0,4,5,71,0,0,0,0,2,0,10,68,0,0,8,102,64,49,36,28,0,165,38,15,11,17,11,34,3,243,3,0,0,0,0,0,60,300,0,0,0,0,0,0,77,0,2,17,108,118,30,7,34,339
654,13391,107424,167116,206624,196848,297344,185101,2245,6561,48649,119879,157781,222412,390803,226172,1639,11748,57098,103599,134155,201191,397922,267150,9655,12412,20886,32473,49671,93102,388200,568103,3396,2648,8799,44218,118335,199816,357843,439447,0,2085,8574,51800,227899,319279,384437,180428,0,2297,8352,52638,224555,331985,372269,182406,2143,3429,23387,63557,102980,156519,313766,508721,8040,5917,7716,14553,40321,170415,574738,352802,17115,228386,255970,178883,142111,144949,162827,44261,166129,277775,415574,240726,52068,14827,4303,3100,5143,93539,152077,153101,156091,211194,258157,145200,469
9920,48851,47377,62796,42887,22202,6331,2654,52606,62899,63991,28296,16949,13194,3930,1153,51770,70413,53122,43343,17652,4823,1313,582,33674,87791,72718,31556,11427,3949,1610,293,26873,53790,56539,47360,33827,18390,5806,433,8580,183879,49038,1478,42,1,0,0,10088,189891,41839,1168,31,1,0,0,43822,56239,47880,44587,29364,15299,4890,937,35709,82377,70237,29421,18617,4768,1451,438,13559,2331,3855,16810,54014,64246,58842,29361,6353,24686,40383,49941,42188,34931,24030,20506,12788,31009,64109,55461,39273,22847,12181,5350,352
15202,22222,15131,15381,14673,10728,5417,256,23194,20651,16025,13588,11841,9550,4036,125,18213,25748,16732,12976,12114,9959,3238,30,20902,19712,16325,14278,11994,10580,4944,275,13687,21589,19875,18083,15444,8944,1383,5,4650,62041,27175,4976,168,0,0,0,4866,62432,26378,5190,144,0,0,0,12017,23225,18824,14871,13221,11239,5383,230,25744,15081,12660,15630,16667,10356,2843,29,497,3231,7825,14609,17812,21997,25030,8009,816,4229,10676,17154,18765,20270,21140,5960,3712,19919,24887,21557,17368,9307,2077,183,69
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,2,2,0,0,0,0,0,10,4,0,0,0,0,0,0,10,6,0,0,0,0,0,0,15,8,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,6,6,0,0,0,0,0,27,14,0,0,0,0,0,0,35,11,0,0,0,0,0,0,0,20,0,0,0,0,0,0,6,0,0,0,5,3,0,0,10,256
0,0,0,0,0,0,0,0,4,2,1,0,0,4,22,2,15,4,6,3,18,24,13,8,110,9,4,5,0,2,3,0,64,50,17,9,4,4,3,3,3,11,6,27,3,0,0,0,8,6,5,33,4,0,0,0,24,0,14,60,51,32,29,14,133,36,25,32,11,15,19,23,83,7,2,4,0,1,2,63,174,0,0,2,2,0,1,35,0,3,22,54,44,8,8,39,598
13657,22276,21764,20943,19304,13169,4212,1555,22283,21255,19592,18441,16123,12800,5244,1142,14867,24983,22502,19229,17460,13010,4458,371,23485,26359,23192,20044,15711,6332,1554,203,12711,14949,20473,23580,21787,18865,4479,36,3690,69958,36331,6619,270,12,0,0,4457,72220,34551,5440,201,11,0,0,9936,14959,19738,19768,19869,19846,12212,552,26605,18936,16387,19934,19295,12030,3496,197,2621,3409,10299,23256,27166,24680,20853,4596,1040,7615,20072,27284,24427,18846,11348,6248,2710,14600,21026,23291,22652,18195,10730,3676,22
252000,204576,112090,65466,38493,18235,6449,6115,138098,135244,113713,99501,91434,78753,40697,5984,111174,108751,100157,97120,99306,104677,76240,5999,22213,19502,30969,62582,131253,207892,189587,39426,48958,72542,55716,62088,76437,105500,169909,112274,399,115652,175259,226263,143744,40755,1328,24,377,115620,168298,236883,141386,39684,1157,19,73193,73378,68517,74406,89251,118006,164643,42030,43313,72998,98596,106390,108650,120671,142038,10768,9123,3993,27690,73514,145530,165694,143328,134552,341032,117561,83491,58147,37509,28239,19567,17878,63419,89094,81806,91150,96840,100700,94088,86327,574
