census_code,MSW_2001,BF_2001,MSL_2001,FC_2001,CHH_2001,ASSET_2001,band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10
1,1,2,2,1,1,1,115844,39836,22263,11713,6265,4182,3405,3322,7163,30426,93987,29268,23662,17405,15718,12785,9815,7214,9132,25433,75934,29276,25390,22366,20912,18478,13405,8692,10719,19247,92723,40118,28032,21934,15946,10946,7338,4734,4676,17972,108884,23346,18461,21462,20729,18275,17241,12330,3377,314,83988,75689,56607,16850,7348,2715,941,263,18,0,85814,74116,56501,16293,8068,2452,886,270,19,0,91932,26645,21472,20965,22398,19982,18445,16008,6270,302,106535,28485,21992,16374,15511,10657,8686,7122,7572,21485,15826,12566,14666,22618,30410,32412,30734,31540,40709,12938,10016,15954,19485,18560,15440,12940,12518,14372,27661,97473,80109,36920,20732,19962,21133,20132,18646,13995,9541,3249
2,3,2,3,2,1,1,33329,29096,20857,14184,9008,6017,4342,2961,2472,32898,21054,15955,17488,16076,14568,13076,10890,8487,6326,31244,15662,13003,15881,17466,17886,16610,13565,9699,7139,28253,27034,22933,21857,18784,13168,8834,6038,4064,3382,29070,36219,14785,14948,16488,18355,19238,18727,12523,3724,157,46532,17328,43725,22895,12826,7444,3317,961,136,0,46959,17035,43464,22413,13771,7259,3189,972,102,0,25068,14910,14496,14730,16540,18461,18793,19459,11904,803,27344,17716,17284,15371,14029,11087,8482,7429,6483,29939,7354,7313,12305,23005,29533,25576,21592,18696,8055,1735,3412,8180,17593,21237,18234,13471,9632,8147,9115,46143,37875,11028,10586,13537,15646,17344,19564,16025,10055,3504
3,1,2,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,11,7,14,19,0,0,2,6,17,13,15,12,23,17,85,10,8,8,7,6,7,6,1,9,15,74,16,17,14,14,17,8,7,0,0,0,0,49,11,0,0,0,0,0,0,0,0,46,18,0,0,0,0,0,0,0,0,15,68,25,32,26,52,20,56,45,16,10,11,10,18,10,43,33,112,4,2,3,1,0,1,0,0,60,170,0,0,0,0,0,0,1,5,65,0,0,1,10,91,49,10,1,1,51
4,1,2,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,2,0,0,0,0,3,4,2,2,8,2,13,2,3,0,3,3,2,0,0,2,3,15,4,5,4,4,4,3,0,0,0,0,0,0,0,9,4,1,0,0,0,0,0,0,0,10,4,2,0,0,0,0,0,4,16,6,5,8,13,4,20,7,3,4,3,2,4,6,14,7,17,5,3,1,0,0,0,0,0,10,50,0,0,0,0,0,0,1,1,7,0,0,2,4,25,4,0,0,0,20
5,1,1,2,1,1,1,151056,72302,30609,10844,4506,2640,2102,1931,2538,10399,111990,59471,41174,30893,17849,8206,4285,2766,3265,9028,75319,54231,46273,40834,33350,18847,7015,2559,2982,7517,80180,43259,34586,31212,28030,25950,20694,12237,5082,7697,72336,42106,36711,36376,33903,30184,23418,11910,1967,16,46051,58230,60037,51213,43546,22774,6287,768,21,0,46788,57553,59531,49459,47290,21613,5897,780,16,0,54578,39192,39775,39556,39841,37186,26602,10909,1276,12,108905,37571,30760,28761,29149,23139,14302,5331,2856,8153,3892,4402,4721,6707,14055,35147,71618,80087,54938,13360,13806,26952,35287,37452,33638,27228,23780,22642,27694,40448,24244,37076,45415,70947,63394,31567,11643,3285,1091,265
6,1,1,2,1,1,1,101961,63632,33726,16309,8100,3994,1787,846,398,717,81716,54412,32880,25333,17481,10440,5739,2262,588,619,44072,53959,35399,31095,29487,23040,10980,2539,389,510,44338,57034,41678,31516,23186,15679,10191,5833,1431,584,36649,41495,33375,32762,30684,26814,19111,8685,1831,64,5315,15560,35156,53875,68519,42705,9574,759,7,0,5417,15450,33911,50864,74833,41025,9181,780,9,0,21920,36070,34111,31310,31692,32391,27048,14287,2604,37,81074,42852,29953,25094,22534,15273,9383,4123,625,559,434,1279,1789,5441,19230,40519,57548,61052,39847,4331,4698,14412,29389,40886,37728,28259,23393,23191,23846,5668,1749,23865,39546,57732,56321,32162,13688,4460,1589,358
7,3,1,3,1,2,1,84359,65454,34109,34188,19670,15532,11328,6678,6095,3048,97484,55485,36094,26088,21942,16880,10856,8141,5414,2077,80856,54039,36362,27263,24786,22086,17952,10221,5137,1759,86769,43313,34516,29841,22462,20380,13646,12083,11372,6079,68998,43354,35630,30134,29296,25220,21246,13609,7543,5431,74419,154273,47499,3362,702,162,40,4,0,0,77216,152502,46671,3168,742,125,36,1,0,0,60157,42598,36012,32971,29002,25960,22859,18931,9853,2118,97145,41300,29115,30210,28699,21217,14605,9111,6896,2163,14462,9829,7716,15248,30505,42899,43745,43555,46286,26216,22118,21382,26262,29385,26544,22899,23318,29181,35519,43853,35412,39219,34613,36769,38461,34194,27138,18046,12468,4141
8,1,2,3,1,1,1,61224,51603,30883,18572,11707,6910,3888,2387,3041,24652,36587,33114,29143,26036,23026,18798,12896,7368,5753,22146,27729,29200,29453,29147,28062,23543,14796,7883,5686,19368,41473,33006,33715,31364,23134,15268,9033,5294,3364,19216,47013,18567,22540,27468,29905,28423,23806,13760,3227,158,42489,26346,81254,34356,18059,7624,2737,1328,662,12,42997,26106,79857,33866,20143,7234,2636,1409,611,8,36614,17351,20070,24684,28568,29062,26955,21933,9241,389,44127,32626,31677,25470,21058,16294,10461,7256,5385,20513,8212,7908,13995,21210,31469,34712,32322,31332,28852,4855,3598,10483,26674,35183,30346,20871,15281,11822,13645,46964,40228,15520,18370,25591,29022,29576,26404,17134,9864,3158
10,3,2,3,3,2,2,60859,20883,10595,6611,4622,3057,2129,1490,1954,17015,43001,22445,13098,9391,7746,6056,4673,3459,3645,15701,29068,24541,17545,12761,10156,7927,5491,4139,5232,12355,39235,21093,17347,13657,10051,6787,4219,2545,2293,11988,37619,19677,14940,13076,11719,11323,11285,7556,1961,59,36380,31690,31311,11018,8316,6264,3158,952,126,0,36596,31793,30694,10819,8944,6250,3030,992,97,0,27170,18392,16840,15274,13390,11779,11199,10524,4543,104,46824,19014,14452,10503,7797,5746,4011,3428,3055,14385,8717,5083,6037,10592,15673,19824,20803,20730,18322,3434,10707,11870,11706,10800,9074,8507,9425,10940,11392,34794,26243,14232,15052,15155,12997,12057,11672,9486,8207,4114
12,3,2,3,2,1,1,19196,17060,12115,9216,6313,3532,1970,982,706,3004,14137,12311,11471,9617,7834,6356,5137,3340,1336,2555,9536,9820,11893,11200,9963,8267,6227,3769,1171,2248,15868,13431,12944,11129,7991,4979,3353,1531,794,2074,11977,5581,7638,9077,9902,10348,10912,7435,1185,39,11171,11943,22167,11902,7852,6525,2206,325,3,0,11327,11845,21939,11826,8384,6362,2104,303,4,0,9262,4896,6431,8312,9149,9464,9878,11060,5516,126,18582,13291,10207,8044,6644,5223,4627,3674,1426,2376,2968,1367,3395,8455,14562,14331,11884,10151,6485,496,2269,6188,11661,14598,10395,6755,5037,3776,4234,9181,5519,5137,6395,9163,9546,10186,11346,7692,5398,3712
