census_code,MSW_2001,BF_2001,MSL_2001,FC_2001,CHH_2001,ASSET_2001,band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11
1,1,2,2,1,1,1,110721,39045,23591,12634,7095,4869,3229,3002,3552,7082,29599,91576,27535,21104,17910,15130,13228,10503,7914,6066,9081,24372,73045,26838,24184,20764,19292,18749,14771,11043,6952,11874,16907,88052,38089,27562,22165,17286,11284,7930,6071,4109,4281,17590,105621,23334,16521,18530,18722,18698,16549,14404,9476,2332,232,71805,74857,59944,22452,8585,4537,1512,562,157,8,0,71742,76658,56592,24184,9079,3876,1541,577,168,2,0,89579,25186,19122,19140,19799,19709,17604,15968,13842,4231,239,103036,27224,20480,16922,14678,11555,9162,7469,6107,7140,20646,14530,11571,12280,17889,25237,29575,28655,27727,29972,37443,9540,8862,13849,17469,17558,15133,12569,11459,11638,13841,33365,88676,73536,38975,19832,18065,18818,19004,17920,15851,11626,8153,2639
2,3,2,3,2,1,1,30876,26554,21037,14343,9917,6721,4749,3550,2409,2354,32654,19764,13982,15713,15501,13564,12648,11398,9059,7266,5487,30782,14700,11248,14036,15491,16369,16049,13854,11448,7865,8429,25675,24937,20872,20173,18254,14122,9701,7041,4709,3537,3032,28786,34528,13843,13346,14395,15805,17750,17596,15912,9384,2510,95,42223,17953,33781,29860,14009,9852,4555,2227,645,59,0,42440,18149,33868,29817,14098,9138,4822,2165,621,46,0,23586,13679,13268,13107,14234,16038,16939,17456,17349,8980,528,25808,15627,16300,14703,12930,11830,8984,7219,6623,5670,29470,6825,6238,9602,17769,25257,26338,21286,18690,15799,5884,1476,2975,6462,14013,19686,17903,14238,10702,8136,7133,9977,43939,36662,10411,9217,11569,13502,14874,16833,17494,13282,8507,2813
3,1,2,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,9,9,4,15,18,0,0,2,4,7,19,10,17,11,20,15,84,7,9,7,8,6,5,6,6,0,9,11,70,21,16,12,14,13,13,5,7,0,0,0,0,28,28,4,0,0,0,0,0,0,0,0,32,29,3,0,0,0,0,0,0,0,0,8,38,53,20,37,17,47,18,45,52,16,10,7,12,11,18,10,48,23,112,4,2,2,2,0,1,0,0,0,60,170,0,0,0,0,0,0,0,1,11,59,0,0,0,5,51,88,11,6,2,0,51
4,1,2,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,2,0,0,0,0,1,3,5,1,3,6,2,12,3,3,0,0,4,2,2,0,0,2,2,16,3,5,2,5,5,2,2,0,0,0,0,0,0,0,5,7,2,0,0,0,0,0,0,0,0,2,12,2,0,0,0,0,0,0,2,14,9,2,8,7,10,4,17,10,2,4,4,2,3,2,6,15,5,17,5,3,1,0,0,0,0,0,0,10,50,0,0,0,0,0,0,0,1,5,3,0,0,1,3,16,14,1,0,0,0,20
5,1,1,2,1,1,1,141836,71546,35423,12946,5866,3027,2140,1773,1758,2469,10143,104657,58278,39817,30704,21088,11286,5641,3265,2351,3135,8705,70169,49713,43990,38577,33618,24574,11733,4330,2078,3723,6422,75154,41729,31852,29622,26773,23915,22081,16828,9598,3911,7464,67521,39973,33366,33620,31687,29520,25675,18109,8372,1073,11,36264,57176,52499,51339,42282,33553,12204,3259,345,6,0,37168,57293,51143,52476,43794,30779,12722,3221,326,5,0,51411,34914,36732,35434,36476,35765,30718,19701,7047,722,7,103411,36870,29830,26074,25593,24797,18046,10201,3577,2665,7863,3480,3968,4163,5231,9007,20253,44843,72712,69234,45525,10511,12002,23025,30684,34613,32491,27100,23333,21194,20454,28837,35194,20934,33704,37194,58328,65509,43229,19585,7140,2220,875,209
6,1,1,2,1,1,1,92194,63861,35971,18534,10164,5215,2629,1226,661,321,694,72567,55922,32521,24978,18746,12288,7896,3965,1560,437,590,38176,51533,34819,28754,27933,24775,16408,6889,1393,352,438,39164,53530,39678,31469,24658,17109,11667,8361,4311,963,560,31487,40027,31082,29888,28739,26804,21883,14282,6069,1164,45,3622,13229,23797,45233,58655,60529,21939,4127,334,5,0,3820,13257,24641,45792,58102,57733,23612,4202,309,2,0,19116,32165,31841,29008,28586,29255,28318,21638,9964,1557,22,74371,43433,29068,23562,21239,17576,11594,6942,2733,420,532,342,1108,1450,3140,11040,26880,44351,54825,54478,30680,3176,3952,11488,23451,35561,36790,29681,23501,20683,21045,21902,3416,1153,18548,32951,47693,55690,40718,21135,8976,3043,1276,287
7,3,1,3,1,2,1,81382,49791,45898,28359,25992,15510,9788,9316,6635,5001,2789,94461,53343,37387,19553,22580,14751,13854,11457,6870,4206,1999,73160,52328,37886,26256,24880,17843,20467,13266,8905,3808,1662,82558,40350,33089,30066,22445,18359,15095,12027,11626,9420,5426,64840,40173,34358,27614,27233,24750,22426,16711,11015,6318,5023,61655,136235,75435,5805,921,308,85,17,0,0,0,60324,143533,68330,6899,1062,216,79,18,0,0,0,57379,37574,34501,30647,25858,26706,22478,20353,15814,7534,1617,95455,30787,31796,31624,23908,24164,14766,11358,8965,5648,1990,13435,9442,6853,10477,21823,34467,40425,39317,40202,41548,22472,20507,18925,22800,26506,25367,22182,20550,22377,27861,34649,38737,31623,36376,32011,32764,34537,33309,28775,22293,14640,10890,3243
8,1,2,3,1,1,1,56431,48403,32170,19503,12875,8266,4890,3005,2049,2933,24342,33628,30678,26870,24368,22074,19206,15467,9657,6053,5161,21705,25731,25407,27389,26363,26201,24286,18225,11034,6152,6209,17870,38416,29897,30634,29690,24488,17407,11139,7003,4305,2942,18946,44951,17251,19110,23766,26652,27032,24834,19164,9884,2111,112,39022,23110,64197,47091,21893,11946,4134,1873,1122,472,7,39050,23718,65633,45962,21607,11056,4366,1890,1155,423,7,34988,15656,17509,21182,24703,26527,25964,23452,18252,6379,255,41207,29778,29122,24698,21651,16924,12305,8474,5824,4770,20114,7668,6419,11602,16736,24787,31465,30839,28730,28864,24213,3544,3093,8055,20924,31115,30607,22896,16595,12612,10418,14469,44083,38253,14954,15055,21440,25692,26701,26616,21821,13430,8423,2482
10,3,2,3,3,2,2,58169,20759,11107,6819,5015,3219,2382,1777,1250,1919,16799,39768,22803,12938,9165,7692,6104,5158,3910,2920,3412,15345,26857,22818,17338,12475,10261,8349,6141,4542,3438,6695,10301,37051,19921,16217,13654,10342,7622,5158,3223,2184,2083,11760,35339,18824,14207,12390,11037,10438,10373,9673,5611,1287,36,31431,29746,31161,14112,8464,7150,4442,2001,645,63,0,32003,29940,31117,13684,8277,6790,4705,2015,634,50,0,25612,16649,15771,14463,12780,11236,10376,10129,9140,2982,77,44557,18124,13953,10549,8379,6075,4247,3486,2918,2851,14076,8177,4690,5031,7964,12574,16343,18621,18990,18880,15443,2502,9562,10942,10678,10166,8830,7853,7938,9073,9853,11793,32527,24806,13160,13195,14173,12720,11089,10985,10157,8042,7478,3410
12,3,2,3,2,1,1,17581,16020,11660,9566,6428,4760,2199,1499,838,581,2962,13145,10943,11046,9114,7745,6377,5297,4423,2469,1034,2501,8764,8595,10689,10362,9800,8202,6791,4913,2913,856,2209,14799,12047,11851,10967,8556,5524,4040,2466,1174,621,2049,11402,5032,6487,7907,8521,9488,9679,9817,4960,775,26,9577,10931,17900,15175,7725,7324,4146,1170,145,1,0,9667,11066,17943,15121,8022,6677,4340,1140,118,0,0,8825,4412,5326,7194,8110,8405,8620,9540,9930,3644,88,17384,11647,10335,8055,6373,5468,4497,3936,3033,1053,2313,2845,1171,2450,5781,11481,13816,12097,10197,8941,5011,304,1909,5045,9401,13509,11199,7345,5473,4193,3213,4586,8221,5016,4687,5347,7611,8818,8529,10443,9219,6390,4802,3232
14,1,2,3,1,1,1,91329,45342,26604,18754,9339,8657,4223,3778,4276,8547,158608,84101,36418,33578,21929,15454,11230,7021,6440,5699,13791,143796,68496,28090,34788,29957,23531,17648,12808,8924,8009,15943,131263,105233,43568,33477,23534,14880,9845,7455,5966,6338,8092,121069,200092,45329,32029,27255,22323,18908,14093,10703,6014,2523,188,292327,38520,31317,8374,3505,3421,1577,354,60,2,0,291840,40350,28413,9879,4387,2687,1484,373,41,3,0,149219,49512,42631,36495,28660,23337,19527,14620,10542,4624,290,111226,34796,25902,17885,13139,11896,7024,5972,6456,12943,132218,104058,25079,27724,30013,34466,36528,35942,34736,25926,20587,4398,6641,11135,14047,15147,15650,15309,16138,16273,16892,26279,225946,208556,31938,20169,22079,22215,18206,15276,12765,10382,10488,7383
