census_code,MSW_2001,BF_2001,MSL_2001,FC_2001,CHH_2001,ASSET_2001,band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_1_12,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_2_12,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_3_12,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_4_12,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_5_12,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_6_12,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_7_12,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_8_12,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_9_12,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_10_12,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_11_12,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11,band_12_12
1,1,2,2,1,1,1,107655,36896,23700,14172,8141,5357,3637,2998,2650,3241,7014,28958,89115,25703,20459,17046,14684,13033,10890,9136,6362,5640,8680,23671,70122,25914,22299,19823,18437,17283,15934,11988,8948,6039,12495,15137,84118,37685,26148,21213,17341,12248,9855,5856,5159,3637,3930,17229,102566,23516,15269,16183,17358,17990,15742,14594,12169,7249,1583,200,56550,83800,52224,29193,13748,4967,2455,1028,355,97,2,0,57437,83976,53856,28947,10903,5673,2216,912,408,90,1,0,86374,24680,18407,17209,18358,18384,16414,15528,14609,11537,2719,200,100213,25774,19669,16939,14049,12253,9156,7687,6313,5403,6897,20066,13250,10895,10860,14448,20947,25686,27231,25792,25439,28656,34255,6960,7899,12177,15788,16080,14879,12632,10820,10348,11140,13564,40522,78570,67131,41317,19397,16405,16910,17696,16915,15947,13553,9905,7065,2178
2,3,2,3,2,1,1,28701,24222,21176,14366,10655,7354,5166,3997,2882,1961,2263,32421,18971,12388,14179,14265,12999,12339,11028,9596,7687,6532,4741,30439,13913,9945,12477,13924,14789,14850,14143,11882,9580,6606,10114,22941,23376,18760,18837,17268,14727,10808,7623,5356,4000,3116,2778,28515,33077,13153,12090,12878,14067,15530,16161,15980,13373,7062,1732,61,37100,21312,25610,30579,18970,9735,6338,3706,1351,444,19,0,37444,21108,26987,31095,16650,10358,6306,3425,1380,393,18,0,22204,12752,12310,12070,12460,13948,15164,15641,16132,15428,6719,336,24345,14722,14852,13626,12581,11618,9413,7534,6332,5968,5039,29134,6316,5461,8004,13781,20977,24971,21701,18590,16723,12988,4373,1279,2625,5288,11251,17471,17176,14845,11515,8625,7205,6357,11330,41476,35643,9846,8352,9898,11777,13156,14206,16259,15242,11102,7360,2323
3,1,2,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,7,8,4,15,17,0,0,2,1,7,15,9,13,15,9,23,11,82,9,9,3,10,5,4,4,6,6,1,8,4,72,24,15,9,12,12,12,10,5,7,0,0,0,0,5,48,7,0,0,0,0,0,0,0,0,0,11,43,10,0,0,0,0,0,0,0,0,0,3,18,62,21,22,35,19,41,17,40,53,20,5,11,9,10,11,12,14,47,20,111,5,1,2,2,1,0,1,0,0,0,60,170,0,0,0,0,0,0,0,0,2,41,28,0,0,0,4,15,83,47,8,4,2,0,51
4,1,2,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,2,0,0,0,0,1,2,4,2,2,3,5,2,11,4,3,0,0,3,2,2,1,0,0,2,1,14,6,4,2,4,3,5,1,2,0,0,0,0,0,0,0,0,7,6,1,0,0,0,0,0,0,0,0,0,8,6,2,0,0,0,0,0,0,0,6,14,6,2,8,8,9,3,12,15,2,2,5,1,2,3,3,6,15,4,17,4,2,3,0,0,0,0,0,0,0,10,50,0,0,0,0,0,0,0,0,1,8,0,0,0,0,3,7,21,4,0,0,0,0,20
5,1,1,2,1,1,1,133367,70496,38644,16002,7321,3487,2304,1777,1631,1590,2353,9955,99862,54656,38834,31229,22295,14501,7378,4000,2663,2064,2991,8454,66058,46054,41686,36286,32524,27399,16858,7498,2959,1773,4808,5024,70296,40240,31215,26939,25603,22974,21953,18292,13537,7494,3123,7261,63358,37980,31522,30255,29936,28381,25467,21571,13993,5848,605,11,26258,60925,45574,43693,49471,33156,20040,7939,1734,134,3,0,26993,60576,46920,46709,43465,35958,19224,7233,1736,110,3,0,48262,32307,33519,32618,32886,33350,31453,24968,14660,4483,417,4,98487,37031,27357,24601,23259,24411,19653,14180,7113,2692,2472,7671,3057,3741,3826,4261,6362,12530,26987,52260,69498,60147,37910,8348,10593,20006,26995,30991,30976,27574,22951,20324,19111,18863,30920,29623,18285,30866,32086,46982,61733,51124,28011,12719,4601,1627,721,172
6,1,1,2,1,1,1,84074,63851,36493,21246,11777,6287,3601,1774,897,537,256,677,67551,54052,32149,25038,18642,14390,9195,5566,2897,1065,353,572,33931,48630,34483,27032,25266,24670,20084,11519,4292,839,368,356,33714,51003,39365,30110,24775,18785,13445,9439,6598,3061,637,538,27417,38521,29083,27629,26813,25502,22833,17766,10821,4276,779,30,2149,12529,19986,31821,58422,53518,38389,12940,1604,111,1,0,2223,12469,20436,33950,50613,60784,37362,11573,1960,100,0,0,16504,29171,29810,27011,26138,26469,27049,24230,17132,6982,965,9,68165,44310,27961,22363,20258,18450,13086,9081,5113,1889,280,514,264,970,1240,2132,6302,17265,32310,45476,51203,48377,23474,2457,3407,9303,19010,29817,34871,30705,24066,20108,19012,19371,19560,2240,864,14334,28327,39144,50721,45823,28249,14472,5997,2275,1030,234
7,3,1,3,1,2,1,75712,51898,46722,25776,20984,16688,15042,8508,7196,5269,3996,2670,92947,50593,36046,20929,16830,19748,11215,12467,8145,6307,3332,1902,71070,51052,32600,25962,21242,21380,18551,15673,10851,7674,2820,1586,79385,38646,29914,29158,23901,15897,16194,12953,10549,10662,8412,4790,60570,38513,31425,28152,24095,24657,21270,18673,14303,8633,5588,4582,47055,134622,83187,12742,2246,403,162,36,8,0,0,0,48424,137593,81030,11301,1539,412,114,41,7,0,0,0,54237,33938,33929,27601,25966,25069,21401,20550,17721,12603,6213,1233,92450,32982,28218,25444,25614,21761,18694,12869,8211,8221,4128,1869,12169,9316,6511,7721,15305,26738,35626,36579,35771,37760,37273,19692,19083,16824,20330,23414,24370,21670,19231,18933,21771,26741,35108,32986,27964,34476,29878,28834,31293,32029,28794,24434,18344,12361,9426,2628
8,1,2,3,1,1,1,51519,46391,32632,20335,13787,9325,6056,3738,2340,1813,2841,24090,31641,27177,25778,22590,21487,19233,16171,12000,7619,5097,4722,21352,24111,22252,25720,24071,23972,23465,20268,14148,8527,5018,6856,16459,35537,27928,27387,28126,25013,18701,13103,8549,5579,3648,2597,18699,43138,16282,16604,20722,23656,25091,23907,21335,15409,7183,1453,87,34202,24836,50598,50691,29492,12685,6700,3051,1329,976,303,4,34490,24767,52575,50575,25711,14851,6464,2739,1450,963,276,6,33611,14387,15424,18621,21241,24003,24022,23510,20416,15029,4427,176,38791,27187,27116,24406,20729,16729,14124,9674,6996,5110,4198,19807,7111,5516,9836,13690,19597,27044,29039,27657,25780,26745,20268,2584,2707,6371,16344,26777,29559,24526,17914,13725,10657,9491,15974,40822,36345,14685,12903,18028,22458,24312,24620,23492,17815,10925,7336,1948
10,3,2,3,3,2,2,55078,21380,11433,6956,5127,3596,2611,1979,1377,1207,1858,16613,37949,21459,13291,8937,7595,6450,5135,4200,3341,2577,3240,15041,25047,21069,17328,12316,9939,8372,6826,4979,3905,2928,7693,8813,35044,18891,15316,13363,10673,8096,5809,3983,2617,1914,1953,11556,33276,18157,13682,11610,10653,9653,9390,9680,8025,4247,817,25,26311,30670,30290,15163,9608,6673,4992,3709,1364,405,30,0,26554,30651,30816,14910,8830,7085,5269,3277,1424,373,26,0,24276,15125,14839,13672,12070,11084,9814,9362,9299,7583,2035,56,42469,17661,13354,10599,8389,6118,5025,3459,3072,2597,2625,13847,7669,4460,4395,6227,10036,13315,16384,17226,17427,17286,12924,1866,8590,10077,9898,9418,8660,7514,7120,7443,8875,8764,12954,29902,23406,12525,11754,12954,12373,10667,10030,10063,8758,7031,6795,2859
12,3,2,3,2,1,1,15989,14722,12212,8583,7555,4839,3151,1895,1109,588,530,2921,12422,9839,10116,8995,7411,6587,5220,4674,3635,1910,820,2465,8224,7639,9304,9921,9173,8151,6987,5685,4010,2166,655,2179,13922,10900,10850,10443,8792,6456,4291,3093,1900,930,503,2014,10902,4664,5619,6941,7629,8420,8737,8993,8415,3251,502,21,8157,11053,14433,15155,10144,6093,5432,2935,627,65,0,0,8284,10995,15008,15544,9090,6400,5452,2643,628,50,0,0,8369,4099,4639,6088,7204,7651,7806,8100,8903,8905,2283,47,16329,11415,9434,7647,6407,5536,4399,4031,3344,2462,804,2286,2700,1068,1869,4153,8531,12426,12139,10315,8978,7884,3847,184,1637,4225,7706,11440,11770,8333,5767,4490,3603,2798,5080,7245,4631,4313,4588,6389,7886,7953,8189,9969,7572,5381,4386,2837
