census_code,MSW_2001,BF_2001,MSL_2001,FC_2001,CHH_2001,ASSET_2001,band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_1_12,band_1_13,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_2_12,band_2_13,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_3_12,band_3_13,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_4_12,band_4_13,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_5_12,band_5_13,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_6_12,band_6_13,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_7_12,band_7_13,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_8_12,band_8_13,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_9_12,band_9_13,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_10_12,band_10_13,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_11_12,band_11_13,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11,band_12_12,band_12_13
1,1,2,2,1,1,1,103986,36128,23733,14871,8885,6613,3555,3028,2570,2353,3529,6853,28315,85983,24186,20896,16516,13915,12450,11449,9552,7339,5564,5217,8249,23103,68447,24063,20811,18493,17958,16557,15396,12668,10870,6883,5666,12909,13698,80110,36305,26275,19879,17975,13135,9841,7703,4852,4400,3386,3579,16979,99402,23913,14893,14484,15622,16442,15269,14154,12874,10695,5403,1087,181,45902,88179,47946,34257,15105,7347,3254,1495,636,245,53,0,0,45573,88907,48462,35827,12342,7549,3345,1425,654,276,59,0,0,84585,23343,17518,15931,16461,17398,15439,15036,14537,12980,9245,1784,162,96620,26380,19395,15361,14053,11960,9083,8548,6549,5443,4983,6462,19582,12040,10572,9771,12043,17189,22186,24860,24529,23755,23433,28143,30846,5052,7109,10793,14107,15291,14118,12559,10606,9818,9517,10566,13617,48738,67580,60866,43659,19427,15236,15394,16147,16141,15183,14246,11536,8655,6097,1832
2,3,2,3,2,1,1,26795,23044,19880,15029,10857,7907,5469,4356,3285,2384,1761,2170,32227,18035,11094,12979,13457,12231,11689,10666,10034,8111,6817,5675,4192,30184,13223,8818,11349,12445,13346,14062,13391,12170,10419,8047,5592,10952,21350,21979,17168,17521,16651,14478,11392,8345,6173,4409,3450,2737,2609,28252,31670,12802,10879,11704,12487,13803,14836,14949,14357,11028,5421,1187,41,32287,24665,19441,31192,19540,12311,7445,4618,2418,971,268,8,0,32020,24944,18651,33465,18302,12254,7203,4713,2318,994,290,10,0,21098,12045,11306,11218,11294,12062,13563,14244,14730,14963,13348,5067,226,23368,13319,13670,13251,12366,10718,9583,7966,6567,5703,5343,4481,28829,5797,4977,6931,10660,17357,22191,22256,18499,16397,15076,10504,3402,1117,2299,4511,9163,14910,16507,14891,12062,9530,7288,6372,5757,13182,38692,34738,9378,7834,8492,10377,11652,12582,13862,15203,13319,9395,6424,1908
3,1,2,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,7,7,7,6,11,17,0,0,1,1,5,9,16,8,13,11,10,23,8,80,10,5,8,6,6,5,4,7,4,3,1,8,3,69,25,11,11,11,13,11,13,6,3,6,0,0,0,0,0,45,13,2,0,0,0,0,0,0,0,0,0,0,45,16,3,0,0,0,0,0,0,0,0,0,0,9,43,44,15,20,31,22,38,16,39,51,18,10,9,3,10,8,16,9,15,47,17,110,6,0,2,3,1,0,0,1,0,0,0,60,170,0,0,0,0,0,0,0,0,1,2,60,8,0,0,0,1,8,52,83,9,7,1,2,0,51
4,1,2,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,3,1,0,0,0,0,0,1,2,4,2,2,4,4,2,11,4,1,2,0,0,4,2,2,0,0,0,2,0,15,5,2,4,2,5,3,3,2,1,0,0,0,0,0,0,0,0,5,6,2,1,0,0,0,0,0,0,0,0,0,2,10,2,2,0,0,0,0,0,0,0,4,13,6,3,3,7,11,6,3,11,15,3,1,4,3,2,1,3,2,7,14,4,15,6,2,3,0,0,0,0,0,0,0,0,10,50,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,2,2,16,14,1,0,0,0,0,20
5,1,1,2,1,1,1,126454,68774,41375,18589,8477,4262,2508,1911,1570,1442,1538,2264,9763,94420,52520,38117,30316,24135,16495,9424,5052,3157,2234,1958,2834,8265,62774,42107,40028,33849,31884,27823,20887,11192,5060,2158,1625,5464,4076,67209,37728,29759,25761,24437,21979,20799,19239,15215,11153,5970,2588,7090,59144,37084,29468,27985,28003,26840,24918,22448,17741,10913,4037,335,11,19888,61361,42464,40605,41712,39951,24950,12764,4206,977,47,2,0,19688,61314,41582,44906,38616,39852,25147,12593,4140,1029,58,2,0,45960,29573,30611,30402,30613,30765,30054,26873,20266,10712,2855,239,4,94464,36601,25424,23807,22808,20980,20435,16659,10822,4932,2132,2352,7511,2698,3512,3561,3636,5041,8406,16977,33694,56591,63588,52642,31856,6725,9463,17443,24047,27909,29085,27238,22784,20169,18301,17482,17654,33145,24207,16241,28275,28483,38332,54647,54090,36506,18850,8360,3157,1253,582,151
6,1,1,2,1,1,1,75682,65359,37013,22806,12925,7592,4356,2443,1263,701,445,223,662,60013,55572,31541,24490,19147,15338,10288,7160,4202,2086,781,295,557,29971,45672,34406,25833,23831,23550,21069,15204,8077,2634,543,359,321,30210,46748,39402,29345,24891,19196,15049,10420,7623,5300,2316,451,519,23251,37713,27546,25616,25051,23985,22811,19408,14348,8103,3067,548,23,1398,11427,17248,25958,37578,59622,46868,24985,5582,761,43,0,0,1363,11291,16208,28319,39297,56995,46440,24172,6376,963,46,0,0,14295,26958,27562,25822,24184,24020,24753,24483,20704,13270,4845,568,6,63301,44122,26430,22915,19649,16975,14612,10682,7076,3773,1217,214,504,197,866,1094,1549,3830,10956,22703,35462,44955,47127,42817,17918,1996,2938,7766,15689,24949,31680,30845,25106,20383,17783,17704,18010,17035,1582,708,10653,24915,32754,44267,46735,34330,20018,10057,4203,1789,843,198
7,3,1,3,1,2,1,64585,59192,34222,36902,21680,15849,12863,10980,6680,6176,5318,3430,2584,84373,47369,37581,26981,17319,13955,13563,13523,9291,6883,5158,2622,1843,67903,45184,32626,27764,23251,18062,17186,18022,12072,8559,6335,1951,1546,74511,39112,31104,23157,22231,19029,17077,12036,11298,9385,9725,7523,4273,57450,36651,29119,26341,24505,21460,20852,19888,16308,11381,7382,4825,4299,38559,126890,90890,19852,3344,643,181,73,25,4,0,0,0,38869,129084,90361,18841,2189,804,216,67,29,1,0,0,0,51726,30744,32734,28376,22834,22716,21323,19597,18509,15412,10338,5094,1058,86673,31021,26547,26852,24453,22129,18083,16161,8873,7882,6676,3317,1794,11148,9142,6319,6195,11147,20342,29380,33600,33621,33310,35499,33373,17385,17941,15168,18091,20925,22750,21115,18747,17619,17793,21351,24972,35415,28574,24966,32609,28131,26415,28071,29352,28889,24828,20763,15102,10926,8278,2131
8,1,2,3,1,1,1,46393,46236,31267,21933,14221,10256,6787,4667,2844,1897,1835,2701,23830,29601,24554,24269,22172,20230,18375,16358,13596,9706,6155,4494,4224,21133,22818,19510,24048,22092,22492,22137,20600,16356,11068,6748,4320,7082,15596,33342,25818,25763,25243,25193,19464,14596,10102,6845,4530,3075,2390,18506,41468,15653,14590,18274,20985,22895,22849,21417,18046,12418,5205,994,73,29631,26878,37756,55824,27580,19790,9006,4428,1845,1146,806,173,4,29490,26946,35015,59774,27784,18598,8791,4369,1893,1166,839,199,3,32364,13600,13629,16340,18878,21169,22408,22207,20724,18058,12339,3036,115,36988,24571,25436,23162,20334,16945,14304,11508,8088,5721,4502,3737,19571,6589,4996,8391,11422,16014,22102,26701,26453,24741,23873,24798,16798,1989,2401,5200,12925,22747,27195,25457,19305,14550,11625,9395,8865,17745,37457,34570,14596,11425,15291,19602,21991,22563,22621,20296,14663,9326,6355,1568
10,3,2,3,3,2,2,51896,22610,11051,7646,4999,3998,2687,2183,1530,1226,1141,1780,16468,35610,20631,13606,9330,7350,6284,5304,4436,3572,2819,2434,2985,14854,23398,19484,17084,12233,9791,8464,7036,5435,4247,3409,2568,8354,7712,33470,17783,14870,12645,10825,8407,6291,4656,3169,2111,1727,1864,11397,31450,17548,13080,11240,10047,9225,8829,8756,8663,6623,3151,585,18,21478,31989,28655,17259,8695,7794,5419,4428,2265,991,233,9,0,21130,32148,27828,18440,8968,7505,5235,4508,2154,1019,265,15,0,23154,13915,13808,12855,11812,10622,9492,8914,8549,8480,6219,1353,42,40823,17030,12829,10382,8346,6438,5183,4043,3047,2690,2287,2451,13666,7210,4259,4003,4965,8070,11078,13809,15681,16061,15883,16073,10736,1387,7770,9357,9153,8894,8343,7355,6588,6614,7218,8437,7892,14182,27412,22188,11980,10770,11780,11747,10477,9337,9381,8921,7657,6419,6114,2444
12,3,2,3,2,1,1,14776,14488,11355,8707,7026,5368,3585,2692,1278,851,577,503,2888,11726,8913,9494,8530,7529,6185,5402,4781,3908,3023,1494,672,2437,7732,6723,8395,9271,8634,8167,6925,5993,4695,3228,1675,503,2153,13082,9984,10146,9916,8651,6887,4764,3545,2503,1446,764,427,1979,10414,4498,4857,6024,6926,7382,7978,8146,8400,6936,2175,343,15,6763,11327,11842,15349,10249,6918,5507,4233,1505,374,27,0,0,6753,11303,11295,16555,9684,6949,5407,4322,1429,377,20,0,0,8068,3814,3982,5360,6453,6757,7178,7265,7671,8509,7553,1454,30,15187,10526,9311,7857,6528,5039,4279,4049,3586,2928,1901,651,2252,2574,1025,1436,3123,6250,10365,11752,10483,9137,7960,6911,2964,114,1410,3648,6323,9849,11488,9030,6185,4811,3831,3079,2593,5522,6325,4330,3955,4091,5304,7035,7422,7182,8526,8739,6388,4599,4021,2502
