census_code,MSW_2001,BF_2001,MSL_2001,FC_2001,CHH_2001,ASSET_2001,band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_1_12,band_1_13,band_1_14,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_2_12,band_2_13,band_2_14,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_3_12,band_3_13,band_3_14,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_4_12,band_4_13,band_4_14,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_5_12,band_5_13,band_5_14,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_6_12,band_6_13,band_6_14,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_7_12,band_7_13,band_7_14,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_8_12,band_8_13,band_8_14,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_9_12,band_9_13,band_9_14,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_10_12,band_10_13,band_10_14,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_11_12,band_11_13,band_11_14,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11,band_12_12,band_12_13,band_12_14
1,1,2,2,1,1,1,99570,35677,23974,16468,9307,6880,4045,3165,2745,2145,2395,3681,6531,27836,84666,23658,18903,15531,14793,11259,11230,9819,7657,6588,4675,5294,7718,22628,66909,22263,20364,17934,16025,14951,15432,13618,11275,8708,6001,5280,13181,12478,76024,35943,25736,19879,16927,13770,10474,8222,6380,4105,3612,3299,3385,16663,95943,24913,14187,13501,13861,15223,15254,13445,12690,11474,9038,3931,796,163,35808,91633,42273,39961,16588,9336,4883,2242,1060,427,183,25,0,0,36253,93538,40715,41479,15208,9064,4535,1946,997,467,190,27,0,0,81478,23267,17236,15145,15077,15293,15916,14148,13582,13179,11542,7157,1260,139,94856,25245,17685,15475,13019,12069,10548,7910,6829,5932,4953,4677,6023,19198,10799,10489,8993,10215,14183,19167,22240,23412,22239,21910,22462,27125,27468,3717,6450,9716,12671,14059,13517,12353,10689,9297,8994,9009,10275,13560,57408,56421,55039,45765,19540,14574,14173,14677,15088,14510,13961,12616,9952,7643,5352,1529
2,3,2,3,2,1,1,25580,20921,19156,15346,11095,8339,6037,4511,3613,2799,2046,1568,2122,32031,17458,9735,11969,12822,11722,11038,10397,9427,8615,7326,5933,5058,3728,29936,12674,7930,10114,11455,12190,12662,12873,12161,10643,9026,6970,4882,11402,20182,20843,15805,16718,15683,13992,11850,8885,6607,5086,3737,2973,2452,2550,27983,30239,12665,10168,10645,11306,12399,13373,13726,13887,12675,9066,4164,820,31,26626,28948,12790,31637,20707,13665,8933,6109,3203,1696,697,147,6,0,26843,28962,12050,33454,20476,13119,8738,5811,3201,1654,692,159,5,0,19983,11586,10523,10380,10309,10788,12175,13036,13347,13822,13838,11389,3832,156,22401,12427,12835,12153,11175,11244,9509,8250,6642,5756,5394,4787,3974,28617,5276,4726,6020,8514,14360,19162,21452,18900,16343,14769,13633,8291,2739,979,2040,3916,7532,12584,15591,14474,12519,9976,7970,6376,5854,5333,15628,35371,33832,9071,7399,7478,9138,10443,11311,12027,13635,13909,11523,8144,5671,1583
3,1,2,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,6,9,3,8,9,17,0,0,1,1,4,5,14,8,11,12,9,12,22,6,72,17,6,7,5,6,5,4,4,5,6,1,1,8,2,59,31,12,13,8,11,11,12,10,5,4,4,0,0,0,0,0,16,37,7,0,0,0,0,0,0,0,0,0,0,0,27,32,5,0,0,0,0,0,0,0,0,0,0,0,6,19,58,21,15,27,17,24,39,12,31,57,18,7,10,6,9,7,8,13,9,18,45,14,110,6,0,2,2,1,1,0,1,0,0,0,0,60,170,0,0,0,0,0,0,0,0,0,1,3,66,1,0,0,0,0,5,26,71,44,10,5,0,2,1,50
4,1,2,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,1,1,0,0,0,0,0,1,2,4,2,0,2,4,5,1,10,5,1,2,0,0,3,1,3,1,0,0,0,2,0,15,3,3,5,2,3,2,5,2,1,1,0,0,0,0,0,0,0,0,0,6,6,2,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,0,0,0,0,1,6,13,5,2,7,3,14,2,3,11,15,2,2,3,3,1,2,3,2,3,7,13,3,14,6,3,2,1,0,0,0,0,0,0,0,0,10,50,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,1,3,9,18,4,0,0,0,0,0,20
5,1,1,2,1,1,1,120483,67265,41899,22039,9780,4971,2880,1991,1635,1392,1359,1468,2162,9603,90863,49121,36879,30511,24038,18249,11716,6565,3776,2632,1926,1930,2631,8090,59705,39287,37822,32857,29626,27739,22971,15091,7781,3460,1773,1616,5713,3486,63189,37467,28517,24297,22825,21648,19324,18674,17013,12834,9094,4862,2252,6931,55266,36562,27830,26037,25897,25826,24014,21989,19565,14390,8652,2695,195,9,14602,60921,37036,40509,36215,38651,31143,19116,7823,2389,499,22,1,0,14770,61108,36108,43258,36395,38643,30339,17677,7609,2491,500,27,2,0,43615,27443,28313,28876,27899,28330,28466,27298,22875,16087,7767,1815,142,1,91212,35747,24126,22139,20930,21791,19201,16839,13813,8134,3578,1855,2178,7384,2338,3435,3172,3299,4178,6157,11198,21820,39850,57234,57466,46366,26926,5488,8495,15307,21556,25202,26967,26313,23295,19815,17808,16594,16188,16727,35784,18876,14484,25956,26122,32071,46695,53271,42477,25219,13033,5697,2269,1009,496,128
6,1,1,2,1,1,1,69358,65051,36289,25034,14128,8873,4995,3167,1788,1031,552,351,203,650,56826,52119,31888,23893,19598,15663,11835,8056,5380,3261,1554,611,239,547,26357,43676,33567,25442,22330,21874,20766,17624,11620,5500,1692,380,343,299,25958,44675,38106,29008,24458,20026,15521,11887,8632,6339,4267,1767,323,503,19935,36686,26536,23676,23485,22915,21732,19894,16404,11429,6196,2182,380,20,953,10355,13036,23145,31575,47876,51485,35974,13780,2761,515,15,0,0,962,10199,12647,23887,32560,48072,52148,33622,13595,3271,490,17,0,0,12846,24189,25998,24511,22685,22172,22702,23307,21699,17397,10185,3410,363,6,59315,42986,26332,21149,18941,18108,14676,11414,8783,5397,2942,759,174,494,129,797,979,1264,2535,6823,15646,26811,37004,43023,43759,37317,13763,1620,2615,6581,13142,21058,28033,29825,25859,20925,17911,16100,16534,16778,15065,1044,613,8009,21781,27982,38074,44356,38398,25270,14392,7217,3074,1420,726,158
7,3,1,3,1,2,1,63335,59153,31311,28407,22170,19212,14192,11574,8538,7858,5154,4299,2769,2489,78900,48425,36962,21787,17632,20130,13257,10575,8915,9140,6330,4654,1914,1840,62904,41140,38823,21910,23952,17815,16762,15926,15682,9811,7666,5267,1297,1506,69862,38483,29096,25821,20259,18262,15118,14959,10533,10773,7919,8846,6697,3833,55060,34130,28459,25242,22442,21001,21078,17678,17943,13352,9491,6244,4321,4020,31081,118516,93953,30336,4650,1317,402,136,54,16,0,0,0,0,31841,126053,87502,29772,3614,1223,294,98,46,17,1,0,0,0,50238,27000,31092,25092,24990,21381,20947,17929,18425,15476,14301,8279,4394,917,85234,29102,25161,23396,22397,25526,15653,16127,10940,9356,7479,5894,2452,1744,9881,9533,5823,5523,8372,14927,23701,30239,31423,31174,31148,33139,30123,15455,16992,13627,16506,18548,21037,20204,18777,16746,16000,17592,20567,23912,35139,24814,22490,30828,26502,24369,25470,27333,27482,24855,21832,17809,12783,9728,7235,1745
8,1,2,3,1,1,1,43342,43037,31640,22486,15234,10585,7665,5358,3547,2320,1681,1739,2620,23613,28447,21917,23767,20888,18791,17937,16159,13885,11214,7920,5118,4109,3819,20896,21696,17445,22087,21102,20777,20520,19964,17631,13458,8722,5580,3706,7181,14998,31071,24835,23126,24471,23446,19872,15871,11701,7913,5543,3825,2650,2210,18333,39632,15499,13150,16194,18762,20721,21535,20541,19138,15279,9850,3791,717,58,24363,29818,23593,60678,30866,21060,12126,6354,2856,1374,1041,570,166,2,24637,29700,22074,62752,31122,20611,12073,5883,2776,1471,1006,603,157,2,31209,12827,12578,14468,16856,18593,20756,20894,20085,18640,15778,9943,2151,89,35523,22178,24028,21876,20226,17136,13991,12136,9097,6833,5069,4052,3347,19375,6093,4662,7113,9914,13210,18292,23510,24766,24115,22683,22240,22968,13765,1536,2165,4361,10280,19254,24509,25247,20468,15629,12470,9880,8396,8274,19881,34053,32945,14596,10371,13136,16993,19863,20827,21183,20687,17269,12122,8012,5593,1270
10,3,2,3,3,2,2,49624,22536,11352,7733,5433,3997,2895,2293,1794,1364,1034,1142,1720,16298,34529,19450,13845,9206,7086,6237,5328,4388,3793,3174,2398,2363,2773,14645,22102,18072,16418,12472,9683,8330,6994,5957,4587,3557,2986,2396,8798,6863,31936,17109,13932,12448,10632,8420,6906,5144,3741,2568,1768,1570,1833,11208,29660,17151,12686,10678,9709,8959,8188,8076,8261,7664,5447,2323,399,14,15731,34772,24084,21360,9339,7409,6020,4877,3263,1488,738,131,3,0,15920,34287,23415,22567,9445,7080,6132,4711,3263,1525,720,143,7,0,22074,12829,13189,12094,11384,10129,9367,8499,8013,8050,7649,4969,932,37,39348,16537,12363,9989,8587,6617,5149,4271,3243,2765,2493,2048,2307,13498,6762,4138,3689,4185,6371,9323,11634,13899,14812,14850,14777,14837,8906,1032,7072,8754,8446,8391,7925,7246,6323,6083,6296,7051,7939,7174,15970,24545,20906,11723,9901,10676,11188,10311,8974,8581,8637,8049,6730,5872,5593,2074
12,3,2,3,2,1,1,13751,13750,10350,9366,6977,5790,3916,2718,1737,1294,694,446,456,2849,10990,8404,8469,8781,7005,6243,5478,4553,4136,3509,2310,1301,500,2415,7448,5896,7590,8525,8435,7621,6897,6058,5238,3828,2745,1257,422,2134,12361,9130,9745,9353,8413,6911,5450,3706,2919,2009,1076,694,379,1948,9906,4419,4239,5410,6268,6645,7288,7349,7682,7773,5354,1517,232,12,5334,11625,8792,15705,10519,7436,5624,5208,2741,913,190,7,0,0,5418,11612,8407,16643,10449,7311,5481,4958,2728,877,202,8,0,0,7775,3593,3574,4614,5671,6189,6634,6693,6801,7496,7913,6160,962,19,14752,9605,8900,7375,6173,5729,4234,3670,3546,3201,2660,1519,484,2246,2471,1004,1161,2371,4670,8285,10785,10549,9126,8054,7281,6004,2259,74,1223,3196,5304,8408,10577,9526,6877,5022,4054,3329,2719,2371,5976,5512,4044,3656,3713,4528,6132,6935,6752,6872,8638,7317,5443,4122,3707,2235
