census_code,MSW_2001,BF_2001,MSL_2001,FC_2001,CHH_2001,ASSET_2001,band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_1_12,band_1_13,band_1_14,band_1_15,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_2_12,band_2_13,band_2_14,band_2_15,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_3_12,band_3_13,band_3_14,band_3_15,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_4_12,band_4_13,band_4_14,band_4_15,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_5_12,band_5_13,band_5_14,band_5_15,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_6_12,band_6_13,band_6_14,band_6_15,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_7_12,band_7_13,band_7_14,band_7_15,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_8_12,band_8_13,band_8_14,band_8_15,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_9_12,band_9_13,band_9_14,band_9_15,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_10_12,band_10_13,band_10_14,band_10_15,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_11_12,band_11_13,band_11_14,band_11_15,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11,band_12_12,band_12_13,band_12_14,band_12_15
1,1,2,2,1,1,1,97815,34091,23774,16043,10700,7233,4700,3324,2423,2453,2039,2235,3888,6442,27259,82663,21934,18658,15213,13855,11999,10758,9549,8196,7241,5094,4694,5171,7178,22216,64201,22467,18542,17138,15810,14808,14297,13578,11515,9444,7371,5282,5209,13172,11585,74313,33487,25041,20028,16295,13643,11429,8663,6800,4765,4133,3174,2961,3260,16427,92343,25884,14003,12696,12608,14619,13861,12994,12149,12061,9938,7572,2941,601,149,27617,92750,39310,42292,19798,11367,6122,2635,1306,768,309,127,18,0,0,27258,95945,36727,44626,19660,8508,5936,3092,1492,676,360,120,19,0,0,79654,23308,15615,14552,13541,14344,14788,14156,13436,11960,12063,10430,5610,843,119,92055,24620,18345,14847,12728,10791,10708,8414,7046,6186,5355,4267,4467,5713,18877,9581,10500,8311,9114,11947,16223,19784,21623,21415,20611,20116,21547,26787,24205,2655,5883,8775,11312,13155,12819,12071,10711,9128,8541,8228,8784,9878,13698,64948,46488,49600,47571,19858,14067,13154,13473,14057,14031,13177,12730,11191,8720,6795,4683,1312
2,3,2,3,2,1,1,24281,19483,18661,14708,11332,9001,6395,4801,3829,3146,2364,1793,1447,2140,31783,16917,8766,11326,11413,11381,10770,9594,9462,8588,7548,6333,5496,4474,3362,29734,12030,7342,9293,10302,11292,11753,11900,11899,10697,9415,7877,5972,4437,11596,19359,19889,14690,15388,14822,13452,12367,9274,7268,5460,4145,3351,2606,2274,2411,27767,28700,12810,9494,9867,10327,11242,11864,12852,12877,12903,11149,7198,3268,593,20,22300,31926,9634,28126,22615,15879,10059,5495,4716,2600,1147,531,135,1,0,22310,32446,9238,29037,23603,13237,9765,6768,4497,2472,1173,516,102,0,0,18954,11205,9819,9738,9620,9868,10604,11724,12673,12344,12944,12964,9707,2885,115,21673,11378,12009,11463,11022,10170,9588,8508,7020,5860,5189,4862,4433,3573,28416,4761,4623,5283,7181,11714,16415,19516,19309,16284,14715,13310,12263,6625,2299,866,1833,3449,6310,10684,14359,13787,12716,10457,8532,6669,5845,5265,4996,19860,30402,32884,8923,7096,6731,8105,9287,10239,10945,11806,13121,12443,10025,7254,4983,1322
3,1,2,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,4,7,7,4,10,7,16,0,0,0,2,1,5,8,16,6,9,13,5,12,22,6,68,21,6,5,3,8,5,4,4,2,6,5,1,1,8,1,54,34,12,14,7,9,12,7,10,10,5,4,3,0,0,0,0,0,5,44,10,1,0,0,0,0,0,0,0,0,0,0,0,11,35,15,3,0,0,0,0,0,0,0,0,0,0,0,3,12,48,31,14,18,31,9,27,34,11,28,54,19,12,5,9,4,9,8,11,12,5,21,41,14,107,8,1,2,1,2,1,0,0,1,0,0,0,0,60,170,0,0,0,0,0,0,0,0,0,0,1,3,67,0,0,0,0,0,4,7,56,74,10,6,4,1,1,1,50
4,1,2,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,1,1,0,0,0,0,0,0,1,2,4,2,1,1,5,4,1,10,5,0,3,0,0,1,3,2,1,1,0,0,0,2,0,14,4,3,4,2,1,4,3,4,1,2,0,0,0,0,0,0,0,0,0,0,4,5,4,1,0,0,0,0,0,0,0,0,0,0,0,2,8,4,2,0,0,0,0,0,0,0,0,0,4,13,5,4,2,7,4,12,2,3,10,14,3,2,2,3,3,2,0,3,2,5,9,9,3,14,5,3,2,2,0,0,0,0,0,0,0,0,0,10,50,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,1,2,3,15,13,1,0,0,0,0,0,20
5,1,1,2,1,1,1,114749,66208,42401,23910,11241,6302,3319,2130,1697,1441,1312,1280,1452,2089,9396,86745,48163,36553,28858,24262,18947,12921,8642,4492,3172,2128,1751,1891,2477,7925,57139,36265,36146,31659,28875,26573,23551,18037,10609,5509,2550,1515,1607,5753,3139,60078,36272,27089,24255,20996,20547,19018,18168,16794,14295,11196,7440,4001,1984,6794,51316,36165,26961,24431,24242,24414,22610,21587,19890,16854,11850,6624,1866,109,8,9991,59811,34479,38423,33746,39081,33987,19447,12886,5205,1529,321,21,0,0,10153,61322,32866,40184,36673,32133,32627,23366,12910,4844,1573,260,16,0,0,41162,26425,26183,26916,26020,26395,26587,26494,23946,19235,12661,5615,1197,90,1,88270,33972,24234,20314,20686,18521,20142,17028,15118,10694,6195,2744,1738,2016,7255,2017,3330,2947,3078,3513,4837,7919,14659,26624,44100,55757,51848,40845,22834,4619,7682,13718,19358,22756,25071,24912,23321,19694,17851,16047,15410,14965,15882,38164,14096,12987,23829,24504,27448,39451,49463,45431,31701,17829,9163,4061,1704,819,426,111
6,1,1,2,1,1,1,63375,65444,36774,24484,15587,9964,5907,3874,2313,1381,761,491,292,191,632,50582,53876,31670,23156,19506,15551,12408,9176,6337,4321,2450,1230,463,205,539,23833,40284,33914,24755,21290,20449,19918,18524,14085,8563,3891,1065,285,331,283,23482,42293,35597,29860,22960,20374,16740,12604,9521,7205,5486,3333,1278,245,492,16225,36271,25648,22503,22003,21631,20618,19564,17316,13785,9265,4746,1614,267,14,677,9305,10893,19583,26027,43421,51742,35469,24013,8624,1480,229,7,0,0,685,9574,10608,19967,28244,36564,47831,43292,24735,7910,1817,234,9,0,0,10781,22878,24331,23189,21317,20915,21101,21530,21452,18888,14508,7939,2396,239,6,55993,41555,26378,19727,19146,16174,15742,12208,9857,6894,4314,2298,542,153,489,95,712,906,1056,1837,4337,10647,19666,29436,37267,40770,40563,32160,10654,1364,2340,5667,11103,17880,24547,27848,26327,21687,17973,15915,15181,15488,15268,13550,696,533,6048,19033,24458,32597,40223,39829,29852,18802,10559,5249,2340,1199,614,134
7,3,1,3,1,2,1,61950,44536,43327,26780,23515,18002,15181,11243,8778,8018,5455,4533,4444,2283,2416,78734,46584,27651,29653,17893,14636,12538,11657,14627,6802,6896,5299,4192,1503,1796,61453,40801,32641,26299,19490,17836,16336,16176,14360,12138,8974,7061,4325,1089,1482,67263,37220,25599,25639,21382,17336,15170,16503,11169,8767,9121,7841,7820,6015,3616,52069,32622,27661,23596,22712,19456,19370,18270,16876,14723,12130,8002,5319,3759,3896,26210,108009,94473,41681,7233,1947,625,181,58,36,8,0,0,0,0,25257,116462,87999,42293,6337,1209,591,203,73,30,7,0,0,0,0,47985,25151,29619,25179,21771,22033,19101,18261,17600,15991,14222,11577,7592,3710,669,80136,33648,24661,17036,23613,18676,21471,16002,12443,10346,7706,5664,5421,1907,1731,8898,9436,5957,4907,6519,11538,18632,25601,29171,29306,28546,29448,31657,26801,14044,16104,12478,14918,16924,19227,19496,18165,16261,15017,15265,17165,20069,22645,34815,21912,19990,29474,25167,23251,23270,24861,25615,24760,22280,19034,15174,10976,8734,6375,1500
8,1,2,3,1,1,1,40275,41604,30948,22466,15584,11405,8382,6009,4226,2884,1914,1477,1781,2544,23368,27078,20393,22230,19422,18063,17694,15406,14356,12062,9373,6351,4540,3733,3473,20693,20713,15507,20709,19981,19244,19375,18923,17985,14697,10873,7210,4596,3386,7129,14539,29626,23255,21598,22638,21861,20580,16411,12515,9476,6384,4712,3231,2335,2101,18144,37892,15488,12200,14315,16851,18842,19920,19621,18787,16819,12963,7784,2814,524,47,20237,31646,16952,56052,35440,24118,14789,6706,4188,2127,1043,895,564,108,2,20156,32409,16538,56848,36456,20419,14781,8271,4325,1969,1165,911,497,120,2,30081,12498,11386,12974,15104,16676,18724,19549,19357,18470,16583,13835,8008,1554,68,34465,19532,22756,21204,19543,16400,14741,12496,10115,7504,5717,4496,3639,3046,19213,5590,4574,5956,8665,11368,15172,19914,23222,23045,21984,20593,21077,21132,11374,1201,1975,3747,8359,16174,21944,23739,21420,16705,13092,10768,8665,7670,7978,22422,30209,31333,14726,9689,11317,14896,17748,19254,19574,19770,18536,14885,10117,7006,4973,1043
10,3,2,3,3,2,2,47264,23109,11369,7717,5388,4101,3329,2396,1954,1533,1165,921,1155,1691,16123,32706,19344,13396,9105,7085,6299,5330,4479,3993,3279,2719,2134,2307,2567,14472,20846,16768,15995,12523,9628,8155,7010,6148,4925,3878,3186,2566,2290,8974,6323,30785,16306,13237,12141,10145,8718,7099,5508,4231,3005,2198,1561,1486,1733,11062,27866,16941,12489,10266,9163,8587,7913,7536,7593,7747,6724,4370,1731,279,10,10133,37648,20289,23918,10446,7965,6353,3887,4340,2437,1101,572,125,1,0,10296,38256,19837,23739,10803,6971,6117,4872,4205,2296,1186,540,95,2,0,21166,11972,12424,11505,10845,9764,9174,8265,7730,7397,7451,6875,3991,621,35,38048,15780,12010,9824,8421,6710,5505,4470,3568,2738,2409,2292,1915,2188,13337,6360,4046,3394,3730,5221,7678,9992,11999,13506,13786,13867,13880,13585,7354,817,6443,8297,7837,7920,7486,7100,6253,5675,5653,6056,6993,7316,6578,18226,21382,19817,11534,9124,9762,10402,10043,8889,8062,8103,8036,7099,6023,5463,5058,1800
12,3,2,3,2,1,1,13035,12255,10966,8289,6961,6081,4390,3192,2263,1514,874,564,443,460,2807,10550,7714,8184,7424,7500,6164,5186,4691,4313,3538,3004,1935,1063,436,2392,6958,5471,6927,7665,8067,7361,6871,5999,5360,4405,3289,2302,944,364,2111,11958,8203,9138,8704,8112,7257,5700,4151,3119,2405,1628,851,601,339,1928,9335,4490,3733,4920,5648,6147,6404,6886,6960,7382,6982,3983,1053,163,8,4344,11562,7208,14430,11254,8385,5874,4200,4303,1842,583,106,3,0,0,4321,11951,6900,14791,11868,7106,5602,4994,4150,1733,581,93,4,0,0,7445,3485,3228,4040,4997,5706,6029,6218,6366,6442,7113,7383,4984,646,12,13754,9266,8853,6991,5961,5299,4649,3783,3435,3207,2818,2276,1175,405,2222,2361,997,977,1886,3569,6395,9319,10281,9293,8123,7223,6689,5198,1731,52,1073,2823,4561,7140,9411,9708,7492,5333,4325,3502,2927,2384,2305,6262,4848,3760,3466,3430,3986,5279,6293,6407,6210,7115,7972,6242,4824,3664,3434,2012
