census_code,MSW_2001,BF_2001,MSL_2001,FC_2001,CHH_2001,ASSET_2001,band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5
1,1,2,2,1,1,1,155680,33976,10447,6727,37589,123255,41067,28503,17029,34565,105210,47756,39390,22097,29966,132841,49966,26892,12072,22648,132230,39923,39004,29571,3691,159677,73457,10063,1204,18,159930,72794,10520,1156,19,118577,42437,42380,34453,6572,135020,38366,26168,15808,29057,28392,37284,62822,62274,53647,25970,38045,28380,26890,125134,117029,40694,41265,32641,12790
2,3,2,3,2,1,1,62425,35041,15025,7303,35370,37009,33564,27644,19377,37570,28665,33347,34496,23264,35392,49967,40641,22002,10102,32452,51004,31436,37593,31250,3881,63860,66620,20270,4278,136,63994,65877,21030,4161,102,39978,29226,35001,38252,12707,45060,32655,25116,15911,36422,14667,35310,55109,40288,9790,11592,38830,31705,17779,55258,48903,24123,32990,35589,13559
3,1,2,3,3,1,1,0,0,0,0,0,0,0,12,18,33,0,8,30,27,40,95,16,13,13,10,89,33,28,25,7,0,49,11,0,0,0,46,18,0,0,0,15,93,58,72,101,26,21,28,76,116,5,1,1,60,170,0,0,1,70,0,11,140,11,52
4,1,2,3,2,1,1,0,0,0,0,0,0,0,1,2,4,0,0,7,4,10,15,3,6,2,2,18,9,8,7,0,0,0,9,5,0,0,0,10,6,0,0,4,22,13,17,27,7,5,10,21,22,4,0,0,10,50,0,0,1,8,0,6,29,0,20
5,1,1,2,1,1,1,223358,41453,7146,4033,12937,171461,72067,26055,7051,12293,129550,87107,52197,9574,10499,123439,65798,53980,32931,12779,114442,73087,64087,35328,1983,104281,111250,66320,7055,21,104341,108990,68903,6677,16,93770,79331,77027,37511,1288,146476,59521,52288,19633,11009,8294,11428,49202,151705,68298,40758,72739,60866,46422,68142,61320,116362,94961,14928,1356
6,1,1,2,1,1,1,165593,50035,12094,2633,1115,136128,58213,27921,8001,1207,98031,66494,52527,13519,899,101372,73194,38865,16024,2015,78144,66137,57498,27796,1895,20875,89031,111224,10333,7,20867,84775,115858,9961,9,57990,65421,64083,41335,2641,123926,55047,37807,13506,1184,1713,7230,59749,118600,44178,19110,70275,65987,46584,29514,25614,97278,88483,18148,1947
7,3,1,3,1,2,1,149813,68297,35202,18006,9143,152969,62182,38822,18997,7491,134895,63625,46872,28173,6896,130082,64357,42842,25729,17451,112352,65764,54516,34855,12974,228692,50861,864,44,0,229718,49839,867,37,0,102755,68983,54962,41790,11971,138445,59325,49916,23716,9059,24291,22964,73404,87300,72502,43500,55647,49443,52499,79372,74631,71382,72655,45184,16609
8,1,2,3,1,1,1,112827,49455,18617,6275,27693,69701,55179,41824,20264,27899,56929,58600,51605,22679,25054,74479,65079,38402,14327,22580,65580,50008,58328,37566,3385,68835,115610,25683,4065,674,69103,113723,27377,4045,619,53965,44754,57630,48888,9630,76753,57147,37352,17717,25898,16120,35205,66181,63654,33707,14081,61857,51217,27103,60609,55748,43961,58598,43538,13022
10,3,2,3,3,2,2,81742,17206,7679,3619,18969,65446,22489,13802,8132,19346,53609,30306,18083,9630,17587,60328,31004,16838,6764,14281,57296,28016,23042,18841,2020,68070,42329,14580,4110,126,68389,41513,15194,4022,97,45562,32114,25169,21723,4647,65838,24955,13543,7439,17440,13800,16629,35497,41533,21756,22577,22506,17581,20365,46186,40475,30207,25054,21158,12321
12,3,2,3,2,1,1,36256,21331,9845,2952,3710,26448,21088,14190,8477,3891,19356,23093,18230,9996,3419,29299,24073,12970,4884,2868,17558,16715,20250,18347,1224,23114,34069,14377,2531,3,23172,33765,14746,2407,4,14158,14743,18613,20938,5642,31873,18251,11867,8301,3802,4335,11850,28893,22035,6981,8457,26259,17150,8813,13415,10656,15558,19732,19038,9110
