census_code,MSW_2001,BF_2001,MSL_2001,FC_2001,CHH_2001,ASSET_2001,band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6
1,1,2,2,1,1,1,144551,37872,13498,6635,5891,35972,114818,37505,27717,20026,12002,32351,96036,42122,35720,27922,14987,27632,121803,47361,29589,15711,8796,21159,126082,31452,35348,30336,19418,1783,140350,81417,18715,3483,452,2,141413,82803,16576,3128,498,1,111054,35616,36742,31942,26146,2919,125987,36608,26302,16843,11716,26963,24145,25308,46633,53023,54095,41215,20076,31868,27511,21168,24704,119092,108448,35802,34606,32862,23458,9243
2,3,2,3,2,1,1,52923,35542,18009,9163,4843,34684,31359,28444,25338,20624,14219,35180,23858,26401,29639,26025,16186,33055,42136,36105,25535,12979,7116,31293,46230,24968,29597,32141,20435,1793,58412,56189,28705,10044,1795,19,58552,58082,27008,9731,1773,18,34956,24380,26408,30805,31560,7055,39067,28478,24199,16947,12300,34173,11777,21785,45948,40291,29711,5652,7913,28722,32021,20140,13562,52806,45489,18250,24933,30465,26344,9683
3,1,2,3,3,1,1,0,0,0,0,0,0,0,0,3,16,12,32,0,3,22,22,24,34,91,12,15,8,12,9,76,39,21,24,15,7,0,5,55,0,0,0,0,11,53,0,0,0,0,3,80,43,54,58,93,25,20,21,26,67,116,3,3,1,0,60,170,0,0,0,2,69,0,4,98,55,6,51
4,1,2,3,2,1,1,0,0,0,0,0,0,0,0,1,2,0,4,0,0,3,6,5,7,15,3,3,4,1,2,15,10,6,8,3,0,0,0,0,13,1,0,0,0,0,14,2,0,0,0,20,8,16,12,27,4,6,5,9,19,21,5,0,0,0,10,50,0,0,0,1,8,0,3,28,4,0,20
5,1,1,2,1,1,1,203863,54646,10808,4081,3221,12308,154518,70063,36796,11378,4727,11445,112112,77972,59923,24356,4732,9832,110536,58154,48577,40245,21031,10384,101338,61777,58317,47038,19841,616,87183,89267,82627,27979,1868,3,87569,93629,79423,26457,1846,3,80569,66137,66236,56421,19143,421,135518,51958,47670,33833,9805,10143,6798,8087,18892,79247,129645,46258,30599,57986,58550,43275,37974,60543,49151,79068,112857,40730,6228,893
6,1,1,2,1,1,1,147925,57739,18064,5375,1434,933,121603,57187,33032,14761,3962,925,82561,61515,49936,31603,5131,724,84717,69475,43560,22884,9659,1175,65938,56712,52315,40599,15097,809,14678,51807,111940,51329,1715,1,14692,54386,111397,48935,2060,0,45675,56821,52607,51279,24114,974,112475,50324,38708,22167,7002,794,1234,3372,23567,77786,99580,25931,12710,48827,65576,44174,38383,21800,15198,67471,96544,42721,8272,1264
7,3,1,3,1,2,1,127610,72498,37672,23550,12465,6666,143540,56975,36578,23682,14452,5234,122122,58562,42622,34224,18525,4406,118031,59072,39798,29147,21211,13202,99083,59577,48752,39943,22936,10170,181677,95929,2649,198,8,0,186017,92331,1951,155,7,0,88175,61530,51035,41951,30324,7446,125432,53662,47375,31563,16432,5997,21485,14232,42043,72205,73531,56965,35907,43744,46040,38164,48512,68094,62440,58712,63322,53228,30705,12054
8,1,2,3,1,1,1,97910,52967,23112,9794,4153,26931,58818,48368,40720,28171,12716,26074,46363,49791,47437,34416,13545,23315,63465,55513,43714,21652,9227,21296,59420,37326,48747,45242,22592,1540,59038,101289,42177,9751,2305,307,59257,103150,40562,9203,2413,282,47998,34045,45244,47532,35445,4603,65978,51522,37458,23798,12106,24005,12627,23526,46641,56696,52525,22852,9078,43121,54085,31639,20148,56796,51030,30931,46770,48112,28740,9284
10,3,2,3,3,2,2,76458,18389,8723,4590,2584,18471,59408,22228,14045,9335,5918,18281,46116,29644,18311,11805,6833,16506,53935,28679,18769,9792,4531,13509,51433,25292,20306,19070,12272,842,56981,45453,16281,8701,1769,30,57205,45726,15915,8546,1797,26,39401,28511,23154,19176,16882,2091,60130,23953,14507,8484,5669,16472,12129,10622,23351,33610,34713,14790,18667,19316,16174,14563,17639,42856,35931,24708,23040,20093,15789,9654
12,3,2,3,2,1,1,30711,20795,12394,5046,1697,3451,22261,19111,13998,9894,5545,3285,15863,19225,17324,12672,6176,2834,24822,21293,15248,7384,2830,2517,15566,12560,16049,17730,11666,523,19210,29588,16237,8367,692,0,19279,30552,15490,8095,678,0,12468,10727,14855,15906,17808,2330,27744,17081,11943,8430,5806,3090,3768,6022,20957,22454,16862,4031,5862,19146,20103,10257,6401,12325,8944,10977,15839,18158,12953,7223
14,1,2,3,1,1,1,126245,49258,20923,9448,7517,166066,115360,52669,29665,14558,10778,156427,92081,59899,42067,24399,15489,145522,143552,54992,27641,13707,11510,128055,239610,56531,41413,26640,13206,2057,327605,39839,8503,3275,233,2,328483,40449,7463,2851,209,2,190473,76091,52773,35260,21201,3659,144372,39720,25694,14276,11687,143708,125356,51396,63013,66062,52642,20988,15709,26133,28493,28964,30661,249497,236754,38481,39364,28360,20315,16183
16,3,1,2,1,1,1,155264,28902,17121,13215,11466,22943,160303,21861,18066,15242,13744,19695,145962,25441,19538,18663,22021,17286,160167,22452,18059,17352,15441,15440,165882,18880,15160,14504,18682,15803,240363,8169,379,0,0,0,240809,7862,240,0,0,0,152921,24622,18761,16592,21367,14648,165077,16999,14791,15071,17638,19335,47965,28408,52931,45905,40888,32814,33749,18903,14881,13730,19074,148574,137243,25710,22578,21244,17251,24885
19,1,1,2,1,2,1,167603,60180,28762,9821,3420,16756,163311,47982,34266,19422,6904,14657,126995,54851,43401,31779,16203,13313,137295,46715,36823,26834,20695,18180,130352,42930,41730,37435,26058,8037,205333,75563,5557,89,0,0,208143,74430,3910,59,0,0,110854,48807,46396,41783,32931,5771,157636,40127,31149,24230,18261,15139,22921,12397,46856,90456,69151,44761,35626,46821,46118,32695,31709,93573,87458,48120,64522,57313,23643,5486
21,3,2,3,3,2,2,32953,71826,55707,42955,28699,7282,45653,72656,48383,36756,29563,6411,50219,73059,45159,38809,28540,3636,39172,47209,58953,63123,26810,4155,31410,71600,58085,46607,30565,1155,31487,74311,39217,63025,27604,3778,33465,74424,38716,60142,28998,3677,27529,65508,51764,44712,42514,7395,42304,42272,69544,56954,25931,2417,10148,15272,38666,57838,73291,44207,3013,34896,51969,58308,71033,20203,25320,73342,61998,52660,23099,3003
23,3,1,3,1,2,1,286383,64390,40482,31574,30365,318163,294137,56005,45764,42459,49541,283451,263229,69180,55820,57456,73156,252516,342190,51037,42276,45404,54540,235910,511061,77771,53235,44949,51137,33204,731257,36645,3300,155,0,0,732635,35928,2667,127,0,0,429746,116668,83119,58732,60192,22900,326742,47563,41837,46048,62426,246741,362964,65747,88279,113442,85472,55453,82927,43886,31699,27028,37799,548018,511128,69803,65891,58428,41373,24734
24,3,1,3,1,3,2,401658,140519,53392,26975,19985,34486,405655,121558,55488,34817,28003,31494,326344,160785,85515,49013,29639,25719,365175,146679,66569,44679,27594,26319,249274,154218,128445,86337,44821,13920,446157,222369,7153,1226,108,2,453332,216685,5816,1076,104,2,220082,164956,125722,91551,59432,15272,403597,113823,71749,44078,20147,23621,91735,31206,76534,161815,191540,124185,87409,111438,132500,103336,94287,148045,120684,132740,161484,124415,73541,64151
25,3,2,3,1,2,1,0,0,0,0,2,5,0,0,0,6,18,39,0,0,4,25,25,51,71,21,16,15,15,16,44,58,36,32,24,16,0,6,66,24,0,0,0,16,108,36,0,0,9,10,97,189,135,183,149,107,53,60,90,227,129,1,2,0,0,70,210,0,0,1,4,76,0,0,126,62,4,82
26,3,1,3,1,3,1,1,4,0,4,7,12,2,4,6,9,10,25,0,4,14,19,13,20,57,13,1,6,6,1,39,16,18,15,3,0,0,24,8,0,0,0,0,28,8,0,0,0,0,2,53,31,42,19,66,27,13,14,26,36,90,0,0,0,0,20,50,0,0,0,1,71,0,0,40,55,8,15
27,3,1,3,1,3,2,406519,45006,9730,3245,1061,382,362209,63000,22747,13110,4540,337,294710,96963,45279,19761,8892,338,161803,85200,54274,65637,72564,26465,186161,78989,77955,64420,46821,11597,155780,190262,86048,28233,5239,381,159651,200288,75443,25106,5135,320,192865,103896,75706,54663,34094,4719,253142,69603,65128,52964,22779,2327,1499,3017,14009,46792,136540,264086,138650,83764,64298,47400,48281,83550,132802,145451,102378,54841,23920,6551
