census_code,MSW_2001,BF_2001,MSL_2001,FC_2001,CHH_2001,ASSET_2001,band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7
1,1,2,2,1,1,1,135247,40442,16187,7210,4890,6076,34367,108324,34434,26052,21049,14245,9969,30346,89172,38298,30976,29050,19983,11281,25659,111967,45615,30697,18696,10485,6911,20048,120856,27688,29084,28699,24164,12969,959,127441,82234,25924,7125,1487,208,0,129791,82194,24272,6481,1464,217,0,104745,32381,30370,30064,26761,18699,1399,120101,33160,25088,18458,12761,9630,25221,21288,19208,33350,45652,44149,49587,31185,16166,26730,25870,19986,18003,23835,113829,100804,34114,28850,29598,26577,17595,6881
2,3,2,3,2,1,1,46501,34502,19434,10548,6412,3614,34153,27193,24791,22760,19824,15941,10991,33664,20604,21569,24852,25034,19669,11852,31584,36648,32401,25842,15492,8823,5425,30533,42904,20813,23705,27099,26562,13230,851,55574,44427,34372,15042,4899,844,6,55805,45504,33595,14549,4855,851,5,31569,20903,21097,25211,27169,25227,3988,34828,24988,22419,17759,12398,10181,32591,10002,14534,33522,40352,31112,21924,3718,5956,20116,30065,22495,14346,11187,50999,42903,14877,19581,23338,27544,19667,7254
3,1,2,3,3,1,1,0,0,0,0,0,0,0,0,0,1,10,15,11,26,0,2,9,22,23,21,28,89,13,11,9,9,7,9,61,43,21,22,22,9,4,0,0,53,7,0,0,0,0,0,59,5,0,0,0,0,0,25,79,42,41,51,88,25,16,16,21,27,59,116,2,3,1,1,0,60,170,0,0,0,0,4,67,0,0,31,115,15,2,51
4,1,2,3,2,1,1,0,0,0,0,0,0,0,0,0,1,0,2,2,2,0,0,1,6,2,6,6,15,3,0,4,4,0,2,15,6,7,5,7,2,0,0,0,0,6,8,0,0,0,0,0,7,9,0,0,0,0,7,18,9,17,5,26,4,6,3,5,10,16,20,5,1,0,0,0,10,50,0,0,0,0,1,8,0,1,12,22,0,0,20
5,1,1,2,1,1,1,187748,63938,14751,4871,3027,2827,11765,139984,67390,42287,18281,6408,3856,10721,98992,70679,57365,38062,11241,3389,9199,100656,52814,44473,37998,29847,13956,9183,91828,53867,51723,46003,33955,11347,204,75523,77545,74866,50259,10212,521,1,75878,79366,75038,48016,10100,527,2,71058,57189,56229,55764,38962,9582,143,126959,46265,42721,36040,21947,5433,9562,5773,6471,10335,33018,97084,103832,32414,23802,46758,53280,43110,34402,32915,54660,40440,58193,99966,67696,18730,3278,624
6,1,1,2,1,1,1,134409,61323,23001,8162,2819,903,853,108945,55781,35261,19891,8641,2165,786,70033,59009,44204,38390,17120,2072,642,70633,67114,44484,27408,14971,6034,826,56621,50212,46400,41626,27833,8378,400,11308,36181,79451,87459,16541,530,0,11161,36534,80632,85770,16866,507,0,37035,50509,44857,46009,39096,13595,369,102301,47481,37049,26090,14180,3701,668,926,2243,9358,42457,80027,81076,15383,9196,34200,57858,46784,34011,33312,16109,8622,49763,82430,63668,21609,4494,884
7,3,1,3,1,2,1,122488,59718,41382,25766,16396,9453,5258,127325,58749,37762,23832,18055,10984,3754,104044,60733,41767,32688,25493,12933,2803,108345,54917,38521,30077,21306,16765,10530,89190,53701,43443,38756,31295,15735,8341,149597,124289,5967,538,70,0,0,157894,117274,4837,392,63,1,0,77238,56184,46371,38876,33901,22580,5311,114336,48557,47923,31780,20296,13373,4196,19414,11346,23299,53940,62597,64287,45578,30619,35054,41241,35523,33592,44479,59953,53318,50871,52803,52337,39641,22511,8980
8,1,2,3,1,1,1,86379,54126,25819,13023,5867,3420,26233,50364,44655,36728,30044,19134,9227,24715,39141,43189,41297,37595,22180,9286,22179,55906,47597,43318,27572,13456,6475,20543,55131,29344,39483,42076,34417,13641,775,54181,84271,51926,18480,4230,1611,168,54337,84826,51733,17956,4247,1609,159,44036,27046,35449,41650,38725,25721,2240,57701,45904,37362,26127,15930,9121,22722,10755,17027,31502,48276,46798,45208,15301,6526,29534,49756,36097,22350,16670,53934,47541,23507,36856,42010,37956,20134,6863
10,3,2,3,3,2,2,72160,19085,9430,5188,3158,2176,18018,53979,23051,13323,9716,6967,4761,17418,40174,28890,18013,12951,8144,5382,15661,49045,26380,19052,12050,6309,3338,13041,46811,23364,18668,16264,15925,7770,413,50503,45444,16748,10897,4751,869,3,50207,45982,16525,10843,4788,863,7,34903,25283,21513,17866,16063,12618,969,55885,22352,15204,9420,6008,4541,15805,10900,7874,15694,25533,29662,29614,9938,15826,16837,15171,12406,13347,15113,40515,32629,20577,21499,17555,16686,12602,7667
12,3,2,3,2,1,1,27501,19716,12767,6634,3031,1140,3305,19394,17250,13248,10031,7645,3611,2915,13344,16115,16056,12955,9066,4002,2556,21491,19098,15324,9156,4928,1770,2327,14325,9649,12913,14637,15455,6871,244,16959,24497,17955,10832,3654,197,0,17030,25050,17760,10439,3605,210,0,11368,8188,11860,13327,14297,14073,981,24357,16275,11902,7904,6747,4179,2730,3475,3532,12955,21334,17180,13285,2333,4419,13712,20103,11899,7383,5090,11488,7700,8241,13067,13624,15955,9565,5942
14,1,2,3,1,1,1,121726,47450,20562,11075,7012,7239,164393,104703,53609,28904,17496,10733,10509,153503,84112,50636,44077,27844,16453,14182,142153,133541,53439,30364,15780,10088,10069,126176,229498,51841,40225,28504,19393,8805,1191,321820,40489,10679,4991,1416,62,0,323304,40850,9615,4353,1266,69,0,178293,68670,51812,36796,26899,14823,2164,134335,40110,27586,14307,10732,11420,140967,119352,41785,49982,57093,55999,40193,15053,12576,21430,24033,24424,25573,26708,244713,230244,33406,35249,28822,21833,16458,13445
16,3,1,2,1,1,1,154827,20923,17692,14348,10216,9218,21687,157200,22514,13655,12660,13545,11951,17386,136891,28591,17827,15328,18751,16598,14925,155236,23358,14810,15336,14581,11825,13765,161993,17848,13468,12717,13441,16675,12769,236679,11290,915,27,0,0,0,237849,10328,723,11,0,0,0,147604,23797,16821,14650,15241,19213,11585,160056,16941,14949,10531,13509,16348,16577,45142,20878,39441,44953,35903,36016,26578,30442,17174,13930,11998,12257,18779,144331,131470,25103,19347,19041,17041,14697,22212
19,1,1,2,1,2,1,165674,50873,30353,15013,5663,2609,16357,151620,49151,31415,22265,13684,4351,14056,112574,53720,41693,32397,23698,9900,12560,129338,45380,32426,26700,21313,15340,16045,122902,38215,35394,35489,29586,19175,5781,184604,89286,11890,753,9,0,0,190243,86113,9679,500,7,0,0,102437,43685,39649,38145,34779,24652,3195,147110,39494,32519,19854,19544,14480,13541,21667,9288,22358,68164,72725,57391,34949,29914,38336,42228,33718,25746,28491,88109,79866,41125,49845,57436,39009,15516,3745
21,3,2,3,3,2,2,28652,57307,51776,40831,34922,20965,4969,34476,65804,46541,35794,30974,22191,3642,34850,70372,45129,35028,31659,20571,1813,32570,42023,44711,54791,46674,15660,2993,23505,59051,55409,43730,37862,19538,327,16084,81401,21852,57141,40933,19832,2179,19661,80172,19901,56476,41292,19707,2213,19066,56612,48109,40832,37717,33535,3551,35533,33893,56967,56614,38206,17013,1196,8724,10750,24506,43784,53109,65772,32777,1500,22696,43592,44560,56954,55511,14609,15089,64046,55451,50823,38380,13795,1838
