census_code,MSW_2001,BF_2001,MSL_2001,FC_2001,CHH_2001,ASSET_2001,band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8
1,1,2,2,1,1,1,126848,41403,18496,9174,5089,4196,6189,33024,101601,33676,24032,20731,15855,10533,9508,28483,83901,34434,28915,26628,22315,14555,9871,23800,104465,43486,30634,20168,13121,7749,5465,19331,116705,24646,24520,27011,23184,19321,8457,575,112963,79611,37498,10410,3040,798,99,0,115122,80147,35284,10239,2777,759,91,0,99962,29499,25677,28274,24461,22090,13732,724,114945,30711,24203,19038,13459,9697,8449,23917,19078,15927,24058,37023,40063,38399,46777,23094,13448,22416,23811,19780,16096,16212,23622,109034,93714,34131,24816,26195,25101,21314,13894,5254
2,3,2,3,2,1,1,41393,32706,20543,11832,7226,4819,2951,33694,24539,20999,21231,18372,16039,12272,9101,32611,18381,17954,21258,22305,20284,15321,9235,30426,32604,28369,25289,17514,10482,6497,4503,29906,40378,17942,19593,22882,24199,21315,8403,452,52778,31244,41937,17347,8579,2816,463,0,53201,32338,40510,17593,8292,2819,411,0,28925,18341,18148,20330,22931,24006,20186,2297,31717,22202,19880,17945,13398,9881,8682,31459,8847,10934,23491,36238,31312,25702,15918,2722,4759,14405,26224,23268,16162,11183,9746,49417,40861,12980,15602,19229,22120,23587,15277,5508
3,1,2,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,3,13,11,14,22,0,2,4,19,16,21,18,25,88,12,8,10,8,6,6,9,51,49,19,17,20,14,9,3,0,0,31,29,0,0,0,0,0,0,38,26,0,0,0,0,0,0,9,74,30,48,38,39,75,38,13,12,14,19,30,51,113,4,3,2,1,0,0,60,170,0,0,0,0,0,4,67,0,0,5,97,52,7,2,51
4,1,2,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,0,0,0,3,5,3,5,5,14,4,0,3,3,2,0,2,11,10,5,5,7,2,2,0,0,0,0,0,11,3,0,0,0,0,0,0,14,2,0,0,0,0,3,17,6,10,15,5,23,6,5,3,4,4,14,11,19,4,3,0,0,0,0,10,50,0,0,0,0,0,1,8,0,0,4,27,4,0,0,20
5,1,1,2,1,1,1,174261,68246,20495,6315,3230,2482,2691,11207,129227,64125,43261,24764,9548,4493,3426,10083,89143,64655,53086,43123,21445,5870,3011,8594,92559,49192,39967,35549,31531,22251,9410,8468,84181,48679,45319,43253,37001,24030,6386,78,64442,68315,69668,56652,25404,4309,137,0,65416,69073,68527,57605,23864,4329,113,0,64299,49789,49049,49805,45012,26069,4858,46,119068,43807,36684,35587,27940,13006,3819,9016,4982,5642,7077,16076,49576,99169,83002,23403,19355,38239,46719,42822,33321,29065,29679,49727,33747,47490,77438,82401,35793,9538,2063,457
6,1,1,2,1,1,1,123064,61354,28266,11044,4625,1647,673,797,99448,54304,35066,23004,12298,5360,1280,710,59555,57489,39735,37233,26878,9017,974,589,60449,63633,42782,30888,18404,11078,3566,670,48913,46108,41077,38867,32470,18950,4878,207,8846,25818,58816,84945,47082,5851,112,0,9016,26112,56759,88588,45439,5456,100,0,30629,44856,40173,39445,39916,28495,7790,166,93159,47277,33036,28035,18466,8814,2066,617,696,1778,4321,21378,53723,75266,64875,9433,7104,24616,47246,48147,34605,28581,29217,11954,5022,38503,63746,71942,36835,11883,2913,626
7,3,1,3,1,2,1,103476,70856,40191,23257,18754,11992,7758,4177,113898,65688,32260,25247,17674,14153,8691,2850,94405,60317,37768,30816,27575,17500,9818,2262,100268,47677,41060,27896,24543,15153,15326,8538,80648,49860,40894,36010,31129,23117,11738,7065,119120,145744,14285,1106,177,29,0,0,124615,142432,12291,961,139,23,0,0,70285,51819,41616,37020,31765,27907,16127,3922,108819,44831,38156,34663,25965,13809,11043,3175,17444,10552,14066,35698,53935,54041,57703,37022,26878,29359,35879,33575,28727,31208,40889,53946,45939,46379,44153,48003,41511,30061,17530,6885
8,1,2,3,1,1,1,77096,53446,28156,15291,8118,4016,3100,25644,44793,39803,33795,29515,22705,13085,7551,23620,34042,38041,36201,35307,28153,14790,7113,21220,49917,40935,41523,30317,17826,9405,4960,19984,51951,24073,32198,37271,35133,25518,8306,417,49693,59943,67797,25071,8594,2486,1186,97,50144,61688,64909,26228,8143,2510,1165,80,41100,22322,28752,35113,36100,31848,18425,1207,51301,41793,35456,26408,19157,11637,7304,21811,9636,12827,22600,37731,43019,39457,39400,10197,5143,20279,41565,39297,25159,17137,14852,51435,44815,19118,28879,35919,36707,29220,14959,5250
10,3,2,3,3,2,2,68249,19642,9869,5810,3626,2341,2041,17637,49903,22796,12878,10104,7374,5302,4134,16724,35594,27850,17455,13172,9479,6231,4555,14879,45013,24238,19050,13082,8078,4331,2829,12594,43117,21998,17067,14849,14205,12890,4875,214,45142,42129,20650,10794,7445,2620,434,1,45634,42387,19575,11250,7257,2713,398,1,31633,22607,19818,17008,14577,13898,9252,422,52042,21442,15199,9907,6749,4807,3804,15265,9988,6536,10730,18848,24934,26103,25365,6711,13717,14848,13962,11630,10758,12680,13013,38607,30100,17585,19329,16665,15119,13732,10526,6159
12,3,2,3,2,1,1,24109,18814,12859,8118,4207,1948,818,3221,17160,15217,12852,10141,7686,5843,2447,2748,11635,13532,14609,12636,10035,6647,2594,2406,19038,16634,15149,10542,5952,3332,1234,2213,13378,7807,10646,12344,13068,13077,3648,126,14920,18723,21157,10235,7485,1509,65,0,15158,19129,20549,10485,7234,1489,50,0,10572,6535,9623,11320,11751,13058,10780,455,21987,15191,10976,8614,6483,5291,3007,2545,3258,2379,7708,17402,17449,13983,10556,1359,3467,10101,17866,13677,8180,5680,4378,10745,6812,6720,10254,11974,13275,12455,7561,5043
14,1,2,3,1,1,1,110730,48192,24416,13088,7750,5300,6956,163025,98607,46402,32153,20532,11551,8313,11093,150806,78973,42749,43575,28750,19642,12478,14311,138979,124464,49847,33594,18280,11354,7848,9617,124453,220847,48982,37663,30062,20864,14208,6154,677,315529,37915,17133,5370,2825,654,31,0,316733,38877,15575,5210,2527,515,20,0,170128,61470,50260,37479,27632,20264,10955,1269,127656,38774,24822,18534,11448,7909,11686,138628,114762,34726,41515,48762,49807,45855,33149,10881,10367,17820,20670,21478,21416,22875,24326,240505,224517,30985,30026,29071,22081,17324,14103,11350
16,3,1,2,1,1,1,144834,29583,13013,13857,11672,7797,7555,20600,151434,22703,13211,12882,10916,11280,10557,15928,133928,27064,16838,13111,14310,15823,14386,13451,151037,21523,15864,12254,14642,10616,10217,12758,158332,17596,12628,11366,10787,12656,14920,10626,232097,14932,1751,131,0,0,0,0,233034,14237,1547,93,0,0,0,0,144634,22349,15526,13795,12094,14369,16839,9305,158486,16849,10546,10986,11049,11498,14593,14904,42159,17884,28149,41112,35325,30268,32457,21557,27648,16296,12829,10760,10193,11761,19110,140314,125857,25798,16809,17067,16154,14034,13102,20090
19,1,1,2,1,2,1,148833,58321,33152,16239,8711,3138,2150,15998,141606,50990,28511,24452,15476,8590,3341,13576,105893,49963,38852,30539,25332,17185,6717,12061,121061,41399,33046,25327,22743,15113,13199,14654,116809,35714,30440,32049,29162,23322,14678,4368,166714,95785,21876,2078,89,0,0,0,169958,95044,19807,1674,59,0,0,0,97947,38457,35138,34515,31062,29091,18552,1780,142428,38091,25008,23385,18683,14522,11596,12829,20017,8430,12634,41093,69179,57254,50130,27805,25884,31805,37238,33638,25184,22656,26632,83505,73333,37757,38659,50351,46000,26556,11229,2657
21,3,2,3,3,2,2,20298,50742,51774,37672,32756,27586,15250,3344,29309,57154,45389,34840,27534,26084,17182,1930,24407,66933,44208,32889,29403,26114,14605,863,26610,36105,38008,44611,49697,31992,10115,2284,18792,48241,51991,42071,35692,30582,11933,120,6014,79759,25620,33622,49612,29279,14093,1423,7597,80401,23882,34725,48693,29347,13287,1490,14460,47386,45297,37658,33673,33197,26119,1632,31450,30212,37453,55005,46105,26833,11999,365,7611,8415,16244,31816,42665,49144,58852,24675,824,14395,35675,38984,41439,54438,42378,11289,8615,54872,51131,46042,41252,27302,9010,1198
23,3,1,3,1,2,1,262685,64383,34442,29745,26157,20580,26764,306601,270973,56715,35094,33124,30370,35111,47104,262866,235419,67178,46207,39425,42855,49129,59424,231720,323040,46701,35305,30457,36304,34174,44068,221308,479310,75130,48721,38906,33825,36307,38066,21092,701695,58158,9846,1503,152,3,0,0,704528,56175,9193,1334,124,3,0,0,393515,101325,74635,60058,44204,43648,44044,9928,309253,44979,30410,31500,33560,37617,58338,225700,342095,55680,47883,71332,87325,71689,58548,36805,68177,38877,28584,22874,19994,23365,37359,532127,485153,63296,48964,49409,44855,36472,26975,16233
24,3,1,3,1,3,2,336411,150604,71849,36705,21246,15865,15378,28957,340722,137459,68187,36333,26697,21890,20567,25160,259216,166521,88375,58532,38970,28462,15379,21560,309599,142167,78812,47845,36370,23919,16610,21693,204113,127494,109333,90997,68024,45363,23408,8283,270649,371258,30259,3513,1085,224,27,0,281447,363926,27265,3195,962,196,24,0,166878,143674,110301,89907,71045,52830,35870,6510,352522,115549,71503,49595,34669,21523,11058,20596,83991,22815,30442,62227,115205,143734,137045,81556,67419,68986,95696,99246,79192,71333,71333,123810,91153,91096,110831,121828,98290,68031,45975,49811
25,3,2,3,1,2,1,0,0,0,0,0,2,0,5,0,0,0,0,3,14,14,32,0,0,0,4,20,18,25,38,65,19,12,12,8,15,7,16,23,61,28,26,26,24,13,9,0,0,10,62,24,0,0,0,0,0,23,101,34,2,0,0,5,9,6,96,146,111,137,113,79,154,36,40,46,60,112,159,125,5,0,2,0,0,0,70,210,0,0,0,0,3,6,72,0,0,4,122,57,7,3,81
