census_code,MSW_2001,BF_2001,MSL_2001,FC_2001,CHH_2001,ASSET_2001,band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9
1,1,2,2,1,1,1,121353,40499,20571,10008,6093,4032,3522,6712,31629,97573,31656,23094,19444,15625,12674,8386,9207,26760,79545,31578,27035,24786,21802,17054,11081,9939,21599,98234,40999,29931,21646,14929,8725,6283,5150,18522,112398,23934,21202,23952,21995,19737,15547,5252,402,97093,73837,50837,15876,4537,1785,405,49,0,101057,75683,47476,13389,4845,1470,457,42,0,95688,27591,23391,24314,23387,20983,19395,9226,444,110166,29695,22734,18081,14565,10499,8244,7814,22621,17346,13945,18162,28979,35996,34681,34174,43968,17168,11507,18811,21626,19322,15419,13938,15141,24891,103764,86922,35150,22178,22902,23089,21477,17205,11418,4078
2,3,2,3,2,1,1,37043,30684,20738,13351,8269,5552,3586,2682,33259,22514,18514,18775,17324,15636,13002,10169,7425,31805,16837,15151,18271,19892,19188,16584,12131,7660,29450,29401,25478,23362,18616,12233,7665,5180,3815,29414,38054,16074,17070,18987,21457,21294,16453,5517,258,49768,20121,44712,23225,9852,5672,1551,263,0,50491,20537,45606,20741,10853,5145,1558,233,0,26820,16433,16083,16781,19553,20879,21680,15610,1325,29078,19827,18640,16785,13832,10529,8482,7389,30602,8049,8709,16804,29137,31878,25224,22004,11245,2114,4020,10628,21987,22573,17431,12157,9433,9113,47822,39230,11869,12640,16138,18020,21240,19518,12149,4360
3,1,2,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,10,8,10,15,19,0,1,2,10,19,15,18,19,21,85,10,8,11,8,4,10,2,9,32,62,21,14,18,13,14,7,1,0,0,5,51,4,0,0,0,0,0,0,11,49,4,0,0,0,0,0,0,3,37,61,25,37,48,27,67,40,11,11,13,17,15,41,37,112,4,3,3,0,1,0,0,60,170,0,0,0,0,0,1,3,67,0,0,4,42,98,13,4,2,51
4,1,2,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,2,0,0,0,1,4,4,2,5,5,13,3,2,0,4,3,1,0,2,6,12,7,3,5,6,2,1,0,0,0,0,0,5,8,1,0,0,0,0,0,0,6,8,2,0,0,0,0,0,12,13,3,9,14,5,23,6,2,6,2,3,3,18,7,19,4,3,0,0,0,0,0,10,50,0,0,0,0,0,0,2,7,0,0,3,15,16,1,0,0,20
5,1,1,2,1,1,1,161146,72131,25232,8595,3839,2455,2155,2625,10749,119894,62223,42464,28116,14073,5985,3344,3343,9485,81402,59417,49265,42864,29548,11867,3580,2957,8027,85736,45663,37291,33574,29977,25271,16661,6751,8003,77553,44879,40683,39547,36052,29756,16854,3575,28,54719,60496,61235,63110,33553,13943,1822,49,0,56238,61107,63853,56798,36965,12117,1805,44,0,58973,43512,44221,44266,43144,35247,17124,2423,17,113118,41107,33251,32326,28577,20600,8285,3088,8575,4419,4958,5508,9565,25012,63562,91220,67203,17480,16193,31798,40594,40738,33421,27666,25319,28019,45179,28346,41221,58652,81222,52490,19875,5320,1460,341
6,1,1,2,1,1,1,111792,63132,30740,14042,6668,2729,1112,503,752,89991,54525,34274,24044,15446,8303,3391,840,656,50984,55819,37273,34036,30230,17273,4741,566,548,50862,61142,42188,31848,21281,13315,7904,2308,622,42101,43592,36957,35393,32692,24829,12839,2975,92,6916,19182,40387,78051,60529,24689,1679,37,0,7124,19364,42590,71359,68126,20847,2030,30,0,26044,39685,36767,35023,35655,33208,20580,4437,71,86794,45312,30693,27119,20704,13052,6181,1031,584,542,1480,2584,10514,32876,57963,67989,51318,6204,5697,18499,37341,45969,36344,27437,25450,26325,8408,2921,30233,49515,67862,49320,22083,6999,2076,461
7,3,1,3,1,2,1,100485,54542,45081,30266,16931,14025,8654,7020,3457,109037,56774,34704,25627,20346,14287,10493,6955,2238,90973,53542,36169,26997,29699,20150,13794,7182,1955,93055,45052,38996,28682,22293,17970,14752,12219,7442,73931,46756,37973,32255,30213,26227,17611,9365,6130,92313,151997,33296,2445,308,94,8,0,0,99011,153142,26195,1727,303,76,7,0,0,64566,47500,37639,34402,31270,27314,22838,12025,2907,103567,36036,39491,33256,26970,18712,11332,8561,2536,15798,10152,9767,23295,41859,49094,48052,51650,30794,24029,24935,30687,32211,26466,25527,30056,37727,48823,40287,42237,38628,41462,41598,33490,22795,14688,5276
8,1,2,3,1,1,1,69010,52259,29608,17265,10303,5338,2924,3041,25119,40217,36343,30626,28121,23816,16954,9537,6496,22757,30282,33383,32489,32217,29302,20334,10465,6057,20338,45291,36637,37050,31561,21355,12450,6978,4009,19536,49325,20614,26807,31913,32982,29094,18805,5062,265,45890,35603,78834,34986,11946,4996,1652,918,42,46688,35696,80023,32226,13270,4269,1787,879,29,38635,19343,24065,29075,32313,31388,26320,13048,680,47280,36897,33323,26315,20819,14122,8846,6195,21070,8836,10038,17279,27843,38265,37229,34551,33924,6902,4228,14296,33675,38620,28002,19102,13806,13867,49271,42412,16759,22790,30671,32486,31725,22019,11959,4046
10,3,2,3,3,2,2,64719,20062,10066,6613,3970,2730,1797,1993,17265,45882,23103,12651,9921,7688,5771,4189,3850,16160,31988,26158,17614,13020,10111,6985,5003,4468,13868,41808,22556,18250,13497,9332,5732,3243,2519,12278,40062,20723,15940,13896,12689,12791,9887,3125,102,40230,36469,25735,12480,7150,5352,1558,241,0,40834,36075,26022,11487,8061,4913,1628,195,0,29095,20311,18506,15976,13790,12564,12248,6524,201,49388,19910,14785,10489,7459,5043,4048,3316,14777,9281,5730,7740,14111,19879,22971,23092,21638,4773,12029,13196,12758,11321,9604,9812,11909,11855,36731,27968,15715,16956,16211,13484,13438,11214,9246,4983
12,3,2,3,2,1,1,21817,17160,12529,9281,5506,2653,1339,711,3098,15402,13712,12258,9928,7817,6147,4486,1709,2635,10509,11378,13201,12011,10011,7974,4992,1682,2336,17236,14909,13970,11034,7168,4430,2257,958,2132,12633,6484,9009,10288,11473,12018,10079,2036,74,12836,13947,22015,12510,7324,4770,678,14,0,13241,13897,22693,11296,8016,4273,661,17,0,9863,5514,7818,9667,10348,10746,12131,7759,248,19838,14183,10804,8596,6244,5533,4404,2048,2444,3094,1744,4952,12482,16765,14164,11765,8303,825,2782,7699,14527,14976,9133,6251,4558,4157,10011,6081,5787,8053,10650,10397,12950,9608,6266,4302
14,1,2,3,1,1,1,104060,42813,28630,15026,9805,5540,4763,7705,161115,91931,44373,31725,22137,13505,8581,7039,12339,147827,75998,36093,39889,30072,21903,14491,10155,14715,136141,116776,48765,33003,20387,13032,7929,7575,8799,123191,213012,47708,35421,28955,22760,16338,10332,4503,428,308036,34946,24462,6599,3421,1758,226,9,0,310431,36227,22274,5416,3500,1398,201,10,0,160720,58146,47698,36595,28959,22479,16134,7942,784,120036,38358,25698,18716,12381,8873,7280,11992,136123,110805,29492,36455,40540,44600,43935,37656,27941,8033,8742,15067,18033,18961,18787,19709,20384,23388,236386,219032,30368,25835,27392,22439,17893,14203,12567,9728
16,3,1,2,1,1,1,144080,21296,18790,11248,12298,6790,7854,7240,19315,149493,21907,10764,12420,11372,9516,9151,9760,14528,130989,25647,14767,12228,14173,11800,15587,11259,12461,147334,21914,13371,13250,10899,11262,11295,7421,12165,155313,17841,11608,9971,9971,9722,11842,13646,8997,226631,18852,3049,370,9,0,0,0,0,228680,17411,2580,233,7,0,0,0,0,140607,22719,14217,12327,11722,11304,13459,14866,7690,154630,15660,11786,9984,9457,10421,10857,12574,13542,40245,15364,20764,34915,34786,29135,26279,29567,17856,25305,15203,12144,10502,8758,9351,11518,20320,135810,121113,26199,15641,14720,15147,13955,11614,12307,18215
19,1,1,2,1,2,1,144893,45181,37709,23259,10589,4735,2529,2230,15417,135884,46251,29158,24656,18177,10855,5597,3004,12960,102228,44993,34625,27905,27968,19307,13282,4608,11626,114501,41552,27957,26427,20825,16405,15084,9850,13941,110909,34688,27685,27214,28103,23848,19190,11450,3455,150816,95667,34413,5229,395,22,0,0,0,156083,96385,30105,3630,329,10,0,0,0,92013,36325,31323,29827,30926,27426,24136,13558,1008,135287,34361,28115,21591,17591,16197,12588,8526,12286,18978,7580,8760,23349,53618,60345,47132,44103,22677,22744,27009,32694,32705,25317,20791,20540,25942,78800,68030,35369,32179,41279,45802,34754,18595,8619,1915
21,3,2,3,3,2,2,15863,38833,50083,38335,31961,28366,21307,12781,1893,23779,47680,46850,34839,27390,22910,21853,13258,863,19073,60543,43662,30415,28067,25486,21372,10624,180,22693,32766,30922,37838,43573,40665,22395,6752,1818,15526,39093,48391,40078,34242,30372,24723,6932,65,1536,68967,35295,20537,39924,41781,20018,10372,992,2574,73384,31931,16661,45274,36923,22010,9665,1000,11304,39145,42588,35029,32195,29252,29617,19522,770,27495,25364,31717,45380,47034,34084,20335,7953,60,6646,7179,11595,22737,34191,39576,46432,52094,18972,483,9342,28084,34910,34155,41212,50153,32194,8889,4928,46067,47667,41732,39919,33007,18875,6445,782
23,3,1,3,1,2,1,258281,52865,39627,28397,25592,18067,20018,28074,300436,264929,53673,31540,30744,29705,27774,31285,48483,253224,227118,63054,42237,35642,39847,37787,47491,53687,224494,314948,46641,31638,29397,28007,30276,36181,36964,217305,466416,75836,46580,36455,32138,29591,33591,33267,17483,684907,67582,15413,3029,385,41,0,0,0,690318,64328,13917,2390,373,31,0,0,0,378810,97112,70492,57511,46360,37980,39621,36866,6605,301439,41024,31842,27889,28157,31839,36578,53965,218624,334116,53327,41268,52758,74939,74024,59279,50667,30979,62570,36626,27617,22240,18196,18291,22564,39530,523723,474243,62563,44125,43645,43160,37514,29408,23138,13561
24,3,1,3,1,3,2,306333,163766,72078,39387,24481,16499,13430,13738,27303,314447,139785,72981,40416,30266,19623,19318,16778,23401,235420,157779,93930,59350,45146,30032,22655,12365,20338,287478,137452,86924,47863,36800,26585,19962,13660,20291,187647,120095,95750,88147,73064,53571,34096,17895,6750,206394,396936,65196,6220,1512,647,95,15,0,221663,390879,57475,4876,1530,486,87,19,0,150860,128864,105314,88151,71762,57360,43008,27659,4037,339434,100487,77499,53326,35919,26582,15034,9132,19602,80988,21034,20919,42469,79347,116533,129189,118188,68348,61437,57186,80224,91779,77026,67031,62245,66166,113921,81208,80195,92021,106622,102640,76637,53156,39580,44956
25,3,2,3,1,2,1,0,0,0,0,0,0,2,1,4,0,0,0,0,0,6,15,18,24,0,0,0,0,8,21,15,30,31,64,15,13,10,6,15,8,7,16,14,61,27,25,20,23,20,12,8,0,0,6,28,51,11,0,0,0,0,0,16,46,94,4,0,0,0,5,9,5,21,164,101,94,126,98,66,143,47,31,43,39,63,125,129,124,5,1,1,1,0,0,0,70,210,0,0,0,0,1,2,9,69,0,0,0,47,121,20,3,2,81
26,3,1,3,1,3,1,0,1,4,0,4,0,6,1,12,1,1,4,5,4,6,9,8,18,0,1,3,8,9,16,2,20,11,48,16,6,1,2,4,5,2,0,18,29,8,13,8,12,3,0,0,0,0,24,8,0,0,0,0,0,0,0,28,8,0,0,0,0,0,0,0,2,38,35,11,35,25,1,53,26,14,6,12,9,20,28,14,89,1,0,0,0,0,0,0,20,50,0,0,0,0,0,1,2,69,0,0,0,12,60,23,7,3,13
27,3,1,3,1,3,2,354724,81622,15179,7510,3816,1649,779,550,114,288977,93094,43138,16831,14127,4899,4062,775,40,231328,105341,55004,29855,22997,12188,7597,1629,4,132922,62674,51407,40418,41062,38431,52149,35496,11384,154096,65818,45236,53521,46738,42116,34089,20494,3835,80282,144558,121202,68971,29161,16149,4671,909,40,87890,151119,120930,57422,30102,13025,4325,1083,47,145134,82981,68646,49989,47438,32942,25311,12897,605,221034,49187,52524,49998,28903,39191,17150,7861,95,1031,1279,2206,7256,17223,36322,73446,155935,171245,105065,64836,52513,44854,35343,31501,30565,44578,56688,71299,114878,92076,70719,54333,32167,18466,9467,2538
28,3,1,3,1,3,2,45208,55605,17413,6678,3060,1429,1115,1442,452,49824,43032,21184,8049,4855,1866,1796,1691,105,34450,45690,26718,12522,7002,2973,1811,1230,6,37421,28102,21953,14229,12863,9958,6538,1233,105,24082,24406,21648,24099,19451,12211,5410,1060,35,7533,77519,25120,15443,5418,1292,77,0,0,10734,78272,23835,13321,5256,912,72,0,0,18687,26784,27219,23425,17898,11348,5590,1414,37,52164,23234,21174,17483,8835,6589,1996,925,2,1461,1646,2105,5065,13468,25789,33315,35345,14208,5728,12637,20626,23463,19148,14856,13451,14670,7823,6209,16949,25196,28994,24887,14854,8340,5006,1967
29,3,1,3,1,2,2,60317,56265,28055,14369,9764,5887,3267,3008,446,68204,44707,26623,16389,11426,7109,3763,3034,123,46964,54417,32367,19749,15083,7374,3715,1697,12,51170,41974,32796,17377,14309,10954,7017,4563,1218,25634,34173,32580,31362,26964,20122,9494,1032,17,4707,118633,50188,7524,313,13,0,0,0,5897,125664,44409,5138,268,2,0,0,0,22701,39514,33936,29801,22732,18710,10921,2994,69,74864,28344,24185,18266,17268,11111,6019,1314,7,4546,3110,3771,7884,20399,36459,45888,45558,13763,4645,17030,26510,35290,32734,26418,18135,12568,8048,6920,20806,33805,38247,33452,21549,14107,9043,3449
30,3,1,3,1,3,2,49030,60493,13252,7156,3809,1979,1113,393,29,57866,43742,18273,6879,5893,2111,2048,416,26,54059,44029,19522,8788,6058,2972,1579,220,27,20012,12718,16550,18215,19989,16813,17358,10089,5510,31802,25810,22043,24851,17760,10347,4075,551,15,1814,31960,62608,29783,7705,2784,558,42,0,2040,39575,61419,23912,7603,2134,506,65,0,32595,34135,27703,18000,13173,6763,3670,1174,41,37832,18141,23367,24619,13063,14556,4602,1045,29,10020,770,825,2109,4742,8975,18046,43819,47948,4219,10572,20254,25210,19732,14339,13894,12434,16600,23555,40129,34468,20478,11197,4687,1822,534,384
31,3,1,3,1,2,2,144012,41920,16322,10817,8443,5025,1951,833,59,125802,51403,21492,12480,9536,5247,2825,562,35,98120,61072,29078,16827,11989,7768,3888,622,18,52412,37735,28582,22753,25424,22011,19597,14321,6547,54695,47289,36601,35566,27772,17477,7455,2284,243,43394,87161,59844,27727,7418,2902,872,63,1,47518,89733,59342,22276,7295,2309,811,97,1,52352,58589,43078,29681,22908,14322,7096,1307,49,81125,35706,31455,29963,20596,20734,8055,1722,26,174,1075,1687,4324,10904,22180,43245,79550,66243,23063,27828,27225,27494,26020,25740,26662,29801,15549,20280,59037,59247,47640,27597,11058,3441,966,116
32,3,1,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,14,22,38,0,0,0,0,2,14,14,17,30,34,12,5,5,4,8,4,6,13,1,30,11,9,7,18,2,11,2,0,0,0,2,23,3,0,0,0,0,0,0,6,25,5,0,0,0,0,0,0,17,50,19,32,37,34,44,55,10,7,11,24,20,55,54,97,0,0,0,0,0,0,0,20,20,0,0,1,1,0,0,1,96,0,0,1,33,70,9,0,0,0
33,3,1,3,3,3,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,6,8,10,0,1,1,1,5,5,10,2,48,7,1,3,0,2,2,0,0,34,20,9,5,6,1,1,1,0,28,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,76,9,20,38,53,40,30,17,11,180,29,15,9,13,10,16,31,19,35,0,0,0,0,0,0,0,40,80,0,0,0,0,0,0,2,22,0,3,8,8,24,13,9,2,23
34,3,1,3,3,2,2,23254,7468,6438,4757,5924,6252,8059,19951,679201,32345,9363,5536,5769,6456,7141,9916,30134,654644,29375,12215,8813,9203,9103,11189,15807,37640,627959,77304,19881,14616,13938,14183,15213,19677,32229,554263,564827,83452,34650,21074,15305,12743,11156,10274,7823,748435,9690,2058,855,213,53,0,0,0,749263,9152,1931,712,214,32,0,0,0,391597,144123,83115,48122,29453,20745,17227,16163,10759,54979,9377,7576,7184,7483,8653,13186,33101,619765,601440,73844,29360,22478,8940,7777,7433,7182,2850,3275,3733,3059,2895,3390,4443,6260,12762,721487,678220,22064,12480,10557,8745,7078,6030,7153,8977
35,2,1,3,3,2,3,34283,191411,91789,44714,27254,18343,13804,6483,63,129040,157353,59038,32382,20710,16068,10469,3069,15,204818,104292,46681,27477,21069,15854,6832,1112,9,37795,30298,29603,30126,33345,40371,55151,88355,83100,146895,138623,60635,36538,22902,13969,6872,1645,65,188725,214711,23407,1236,65,0,0,0,0,199745,205077,22258,1004,60,0,0,0,0,164679,106438,54317,35854,27527,21227,13397,4418,287,36332,28219,52753,91659,116081,73706,26190,3196,8,8493,6228,9799,16550,22970,28211,36430,58957,240506,1572,6929,11561,16322,23537,40723,85301,222013,20186,214243,75624,39642,31319,25846,19156,11263,7368,3683
36,2,2,3,3,3,3,5633,94574,38939,20645,15204,9995,6758,3161,250,62257,66745,25510,15371,10564,7727,5114,1783,88,104471,42105,17893,11062,8670,6601,3365,971,21,6767,8301,9904,10878,12541,15716,24239,49937,56876,85737,52294,24001,14580,9724,5628,2526,648,21,94668,88828,10370,1246,47,0,0,0,0,97293,86333,10314,1157,62,0,0,0,0,88776,42531,20596,13452,10509,9281,6957,2783,274,5717,6807,18706,40834,62032,42163,15810,3056,34,2056,2377,4320,6546,8232,9160,11612,21178,129678,12,518,1735,4166,8565,17071,34784,109273,19035,119687,29929,13932,9906,8584,7321,3474,1683,643
