band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_1_12,band_1_13,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_2_12,band_2_13,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_3_12,band_3_13,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_4_12,band_4_13,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_5_12,band_5_13,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_6_12,band_6_13,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_7_12,band_7_13,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_8_12,band_8_13,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_9_12,band_9_13,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_10_12,band_10_13,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_11_12,band_11_13,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11,band_12_12,band_12_13,census_code
0,3,283,2098,4985,10771,22594,34187,66971,93700,117523,111983,17891,0,84,897,1972,6025,18419,37052,48178,79201,87169,94389,83093,26510,4,1374,7190,16329,30416,39520,50096,63489,72647,65163,56773,58739,21249,634,644,807,1366,2178,3791,7276,13222,32298,75383,177117,156168,12105,733,2383,7125,16801,36062,61152,73277,76426,68762,52661,36447,34960,16200,4,1763,14561,69602,98322,84700,90355,44854,45469,23124,7708,2016,511,6,1703,17716,58272,111307,97983,66956,58857,39127,20067,8384,2145,466,348,3495,19893,35059,41495,45795,51848,50730,52831,54441,49716,41652,35686,236,284,329,539,705,1839,3198,10381,32811,115716,203907,95164,17880,9957,37296,21519,19772,22639,29255,41917,59689,74939,74434,58916,28840,3816,34,173,800,3345,15999,48449,83375,95803,83910,67836,47906,29915,5444,3924,34864,79919,93267,76764,52541,34467,25178,21351,22821,24694,12714,482,80
0,0,1,9,126,2551,8052,20958,37787,50851,83004,53473,2803,0,13,424,3622,17321,27073,31863,44361,47548,54875,25165,6422,928,0,1339,21592,36725,45538,49917,46131,30693,15035,7368,3235,1857,185,4630,2707,3192,5026,7746,10010,13504,20419,29608,50755,68743,41863,1412,4206,14682,30207,35674,40424,41394,37665,27030,16362,7651,3242,1054,24,86,2384,16596,57594,75708,56622,38885,7241,2297,1427,698,70,7,76,2173,18513,49834,82956,65610,27481,9103,1668,1392,727,76,6,3027,18129,35302,37792,38754,36720,31974,24228,16389,10320,4787,1735,458,1736,1758,3245,7565,13696,19444,24491,43159,68716,61143,12493,2007,162,5053,1350,1333,1848,2972,5512,9878,18369,37938,70634,66844,34764,3120,114,279,750,1985,4616,8951,14502,21213,28014,38476,53768,64673,22274,15758,50530,63825,50869,32183,18931,10903,6690,4254,2645,1801,1102,124,178
0,2,0,1,2,1,1,0,0,0,1,1,5,2,4,4,1,0,2,6,2,5,1,2,11,9,0,0,4,5,4,10,6,7,3,6,11,15,6,56,2,3,7,2,0,4,3,5,0,0,0,2,18,26,12,4,5,10,7,5,5,3,2,1,0,0,1,10,17,8,0,0,0,0,0,0,0,0,0,6,11,16,9,0,0,0,0,0,0,0,0,0,0,0,7,16,37,13,13,12,14,33,9,7,47,23,4,5,5,6,5,6,5,7,17,23,15,80,10,4,2,1,0,0,0,0,0,0,0,10,70,0,0,1,0,0,1,1,0,0,2,2,53,0,0,0,0,2,9,44,27,7,1,3,1,20,339
472,6225,37373,84061,109763,111691,109546,100101,106342,97740,105700,240375,65113,1801,7697,11004,28555,66708,84895,106423,90516,111656,124000,155400,339572,46275,1409,5479,18949,43240,60835,68870,79047,86433,103030,136270,177969,339645,53326,9996,7349,7718,9416,12443,16355,22454,31203,42410,73791,179913,446095,315359,4363,3704,3651,6109,15159,34454,61785,91099,121949,159036,222204,333501,117488,34,2376,3087,10371,40040,78702,180427,159044,209653,202980,212309,69626,5853,55,2276,3594,8756,36917,104305,142675,203992,188928,191642,215627,70655,5080,2674,2846,5555,15920,29687,46162,58727,73494,94908,132963,196376,338006,177184,10769,6695,6551,7449,9781,11914,20091,27596,63914,148614,292179,484226,84723,13318,40354,93832,137633,146646,126051,107605,93188,89846,99474,116489,96187,13879,98249,138032,162735,215215,234786,164050,78591,36511,18653,10829,7651,5098,4102,4351,38097,79076,93056,94268,93324,99591,129432,166725,147835,96757,77213,54777,469
0,12,4833,32061,40182,35347,58506,31986,13603,10603,7527,5815,2543,0,1856,32576,32438,33796,46811,32551,20890,14694,13190,8539,4277,1400,9,9989,54878,45721,47976,26300,23052,14975,10143,4912,2747,1638,678,18302,34024,38602,46594,33734,24731,22771,10341,7784,3911,1974,241,9,11571,6327,11231,18290,29583,41596,47787,33431,22672,12828,6214,1341,147,1421,26677,22493,55486,52052,46850,32675,4363,959,41,1,0,0,2719,22313,30243,41435,69370,48991,21924,5418,573,30,2,0,0,9266,5777,14684,27402,40705,47545,37442,23949,16145,11441,5928,1609,1125,19196,32017,33991,26802,31094,31112,29383,16988,9837,7866,2817,1521,394,10545,3168,3294,3823,6575,14032,31363,52404,60120,41063,15057,1564,10,18,1231,9346,24195,37682,40584,33886,26728,19161,15570,11839,7964,14814,5897,5919,4942,10116,19155,30115,42672,44995,39295,23495,10529,4942,946,352
3151,11276,12194,6559,10062,6406,6263,11189,8278,14490,7602,1526,14,6070,19675,10482,8283,7889,5457,9402,8598,9897,8287,4050,917,3,7355,24916,10439,6750,6870,6102,8577,9628,8774,5691,3156,749,3,5517,7647,7912,8742,10050,12053,11350,10868,9001,6510,4171,3577,1612,10915,14049,11542,11030,9858,10098,10017,8772,6901,4557,1221,50,0,5240,27568,16531,19806,10996,7621,7124,2482,1405,236,1,0,0,6256,24005,21908,14803,14654,7915,5045,3205,1048,167,4,0,0,9569,18164,12141,8057,6635,7252,7739,8790,8189,7422,3995,1049,8,10415,8684,8491,8902,9864,8405,12363,12496,9462,6471,2953,502,2,258,1594,2616,4237,6028,7518,8781,8990,8821,9164,12336,17813,10854,69,528,1777,4015,7037,9118,9580,9916,10080,10872,12682,14717,8619,6304,20468,15092,11113,10192,9941,9566,7779,5387,2491,582,83,12,69
0,0,0,11,46,134,338,712,1877,5457,20898,934319,621004,0,0,1,8,22,30,108,205,720,2690,12100,159743,1409169,0,0,1,16,58,113,209,381,1162,3339,13050,114058,1452409,13,22,34,31,70,120,185,411,862,3165,19501,258560,1301822,36,22,23,38,77,160,370,1069,3164,10504,26645,109891,1432797,0,24,47,157,272,588,6793,20368,68219,108656,124072,170574,1085026,0,24,58,134,287,870,5637,28611,65809,95878,124606,184151,1078731,1,18,16,34,68,133,281,625,1475,3796,16050,55380,1506919,4,4,1,1,3,7,13,15,36,216,6924,148149,1429423,1045935,454774,37641,13508,10423,8953,6588,3851,1873,825,361,64,0,8,304,2224,36205,475743,661937,321649,72695,10966,2076,645,209,135,38,161,595,1802,4009,7699,11461,13412,21574,119441,674784,726141,3676,102
822,11947,17209,23279,18629,15014,9133,7948,5061,3336,2182,1911,409,2495,11800,14856,16843,17701,13076,10469,8853,7194,6385,4219,2882,107,1144,11938,23776,19257,15304,11449,9781,8318,6826,4857,2533,1687,10,6039,8330,8121,8698,9176,10896,11414,13947,11958,11030,10620,5998,653,2854,7517,12071,15235,16742,15369,13850,13024,10728,7754,1683,53,0,360,1600,2886,14131,17701,18550,27506,14686,12400,5011,1678,335,36,381,1486,3706,11668,20803,22612,20628,19356,10012,3940,1904,359,25,779,5732,14358,15246,15058,15293,13331,11915,10379,9316,4695,776,2,10292,10178,8950,9293,9293,9225,10040,12629,15363,13411,6683,1516,7,1302,1794,1452,1985,3332,5555,9173,13721,17420,20016,21510,17587,2033,3,125,1503,6068,12908,17325,18355,17281,14509,12413,10120,4659,1611,1212,12507,15816,16522,17249,15860,13552,10354,7325,4230,1348,610,295,22
182543,174589,108731,75414,49342,37847,27751,23773,11132,8222,2996,919,165,116733,94563,78754,57705,51785,53890,47255,47873,47185,47366,43736,16424,155,96566,53608,56403,46308,43089,40229,41137,50128,58448,70619,83237,63090,562,13991,9836,12589,19344,24389,34913,47244,77336,91728,112523,132687,107626,19218,45518,56517,28719,26602,26967,24867,30604,34956,46538,67628,95006,117348,102154,2,39535,51730,70469,66707,83726,160205,101511,70899,24508,20555,12650,927,7,28869,70460,52720,85263,100758,122799,132573,53476,19957,22817,13134,591,69108,45245,35977,33685,32361,34260,34354,41879,52679,71096,109741,121379,21660,40391,42868,43983,48339,52595,49837,47083,57700,66848,74518,91995,85522,1745,5184,1424,8994,30334,53894,69043,73264,72196,69220,68584,71648,71113,108526,370730,81945,51601,39902,32962,28516,23248,18387,14218,12007,10318,8806,10784,76267,48136,36913,33697,33631,35121,37012,40415,45079,49554,52701,83745,131153,574
0,37,3376,20964,46041,69105,93266,119954,128513,149864,138749,89954,13444,5,536,13157,35676,57054,77563,109377,107992,121853,121445,134979,88299,5331,0,835,8813,27193,59003,89988,113557,122862,122028,130324,125661,69947,3056,115726,99673,65259,53926,52182,57449,58807,66275,78558,90710,90665,41415,2622,18462,31258,43227,50188,62036,72603,88408,105494,122820,125671,100754,46763,5583,0,1367,2044,2614,7763,19992,53068,55459,99341,134889,200474,184818,111438,0,1141,2494,2132,8544,26669,41594,73607,93246,114408,210636,195290,103506,9185,6937,13764,30578,52924,74809,90245,107413,126267,147564,135340,72608,5633,42336,56103,53490,50221,52071,53107,79932,83785,107159,118581,111259,62411,2812,58134,117911,123765,117314,105049,87241,71108,60208,51122,43335,28609,9137,334,1757,20785,61933,96683,106654,94995,80879,73233,69574,71598,77546,78606,39024,7233,8578,25376,41134,60468,79107,99053,114742,125046,122387,99014,72176,18951,474
