band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,census_code
0,236,2799,12926,29889,68032,135288,167327,66492,0,950,3069,17688,50115,87745,130384,128082,64956,243,6889,26838,51974,74494,98773,94490,77225,52063,891,1121,1962,4449,10441,29531,102563,274000,58031,1300,7590,29511,69449,106967,106358,78789,50131,32894,189,16139,80251,169969,94010,77736,35567,8135,993,246,17516,100125,149188,100357,72783,33835,7944,995,1109,18083,51502,67044,71832,73463,79097,66476,54383,356,483,716,1396,5851,24979,145465,246586,57157,29544,37035,29033,37558,60815,97038,107758,72095,12113,78,800,6421,47155,118100,133391,100296,60265,16483,13390,95164,131690,91252,50424,33335,32564,32476,2691,80
0,1,16,2002,14493,38054,73104,120619,11326,0,381,8374,28913,48786,72025,71832,26671,2633,13,18163,54253,71845,65330,33581,11754,3651,1025,5870,4318,7385,12784,21222,33402,71837,89285,13512,7705,38003,51631,60012,53939,31886,12612,3585,242,723,18343,68048,119387,41829,8612,2101,555,17,761,17164,83154,106583,42313,7044,2008,572,16,7155,44674,55158,54988,45911,29908,15663,5093,1065,2488,3734,12153,23836,39545,72751,93874,10391,843,5753,1823,2842,6120,14448,37263,95498,80559,15309,194,810,3350,9888,21050,35074,53855,83504,51890,34861,88693,70013,35102,16097,8018,4049,2353,429,178
1,1,3,1,1,0,0,1,6,4,5,2,1,7,5,3,7,15,0,4,7,8,11,7,10,16,14,57,4,8,1,5,6,1,0,2,35,20,6,14,8,6,6,3,0,0,11,20,5,0,0,0,0,0,0,17,23,2,0,0,0,0,0,0,0,14,36,25,22,20,34,10,65,9,5,11,5,11,8,30,24,87,6,3,1,0,0,0,0,10,70,0,1,0,1,1,0,2,55,0,0,0,7,56,24,3,3,21,339
1931,34068,128082,160365,155376,146717,147585,208753,191625,4414,15197,45754,118112,143125,141209,179423,278933,248335,3596,18255,65396,98428,109296,137060,187670,309766,245035,13286,10638,14322,20980,33114,51208,98967,376840,555147,6001,5184,10235,36022,89749,152791,222404,382991,269125,619,4878,14605,107013,197234,300395,284945,243003,21810,674,4965,18227,103227,212049,289153,286913,237878,21416,3781,6266,25544,55867,85581,117508,186634,340261,353060,14044,9273,11158,16365,26703,62643,199603,499394,335319,26170,108279,201016,196348,155193,131106,141952,166674,47764,157840,220665,317119,289402,117017,39774,16763,9953,5969,14272,97434,134703,134643,146328,213015,218296,129386,86425,469
0,4682,49737,52527,70417,35297,15026,10788,4544,75,31198,48490,65828,36193,28045,20706,9725,2758,417,57721,66876,55227,31153,18979,8039,3094,1512,32842,55271,58477,48626,25128,14351,6512,1765,46,14138,14604,27969,51175,66876,39606,22030,5834,786,11251,39340,56412,97841,32845,5183,146,0,0,12461,42655,68298,81786,33906,3806,106,0,0,11749,14211,41155,67334,55423,28089,17396,6021,1640,39689,38407,44507,47129,34627,24529,9600,3245,1285,11931,4660,5959,14752,45619,83375,63026,13523,173,167,8751,37147,58337,49868,33022,22584,14895,18247,9123,6919,16315,38650,58381,62310,36558,11896,2866,352
7852,18101,11902,10609,12528,13078,16628,8044,268,14234,21723,12085,9675,11025,14474,11180,4480,134,19197,22500,9581,10318,11918,12939,9187,3283,87,9184,10929,13603,15744,17215,13882,9241,6253,2959,16846,18477,14844,15593,14330,11451,6445,1020,4,14551,34788,20039,18358,7160,3587,526,1,0,16244,35789,21501,14409,7584,3036,446,1,0,17995,20335,11503,10195,11483,12667,10395,4254,183,15398,12092,12386,14021,15001,16299,10942,2828,43,898,3233,6457,9866,12525,12898,13298,20478,19357,210,1876,6322,11835,14102,14567,15457,19188,15453,15306,25141,15924,14845,13338,9830,4070,532,24,69
0,0,26,109,435,1699,8138,83092,1491297,0,1,11,43,170,470,3642,34910,1545549,0,1,28,122,329,929,4791,33647,1544949,20,38,60,135,300,865,4030,85246,1494102,46,32,65,161,564,2607,14101,56635,1510585,3,68,192,761,7159,64364,143136,206885,1162228,3,76,228,696,8955,65661,141360,200746,1167071,11,23,48,146,433,1348,5284,35543,1541960,8,1,1,7,20,30,291,34384,1550054,1401763,134517,19186,13990,9447,4158,1362,365,8,56,1953,112446,942604,470079,52797,3984,658,219,82,590,2965,8556,16361,22536,164933,1250881,117889,102
4719,23071,34122,21605,14567,9643,5296,2585,1272,6887,20205,25716,21681,14452,11794,9675,5058,1412,4326,29841,27277,19033,14209,10927,7371,3307,589,9885,11763,12103,14738,18072,18142,16554,13339,2284,5882,14767,23395,22202,20432,17381,11502,1318,1,892,3954,15783,34300,28025,23931,8037,1861,97,945,4313,19805,30192,30610,21864,7343,1716,92,2111,17076,21664,22290,19560,15965,13569,4529,116,14892,13921,13677,12673,14920,20267,20039,6133,358,2210,2169,3127,6465,13333,22214,28654,30279,8429,19,1273,9924,22668,26557,23065,18415,11728,3231,5460,22301,24109,24180,19210,13091,6526,1473,530,22
261942,195015,108040,60832,38738,22515,12564,3356,422,157586,125320,85685,72005,72284,67614,70548,49871,2511,116434,85735,64875,59129,61260,78969,98337,122936,15749,18546,17785,24096,45872,71771,117649,162837,191216,53652,77347,51709,37034,37288,44201,59021,89880,153361,153583,762,90505,72991,146764,162301,157332,39064,29394,4311,1254,97737,83366,128302,181396,141976,36615,28882,3896,91310,54216,49971,45717,52370,65077,106148,167325,71290,57423,69358,73731,58982,86006,84662,101627,146206,25429,5715,8080,47398,91575,105708,102365,99360,103798,139425,413815,85286,56919,43943,33780,23446,17517,14216,14502,100015,57524,48449,49329,54048,61447,70725,87444,174443,574
1,2235,35481,87924,139159,178441,204174,183628,42224,45,10963,55087,96478,153843,162142,181939,183054,29716,96,7625,44479,112724,163119,177594,182035,164257,21338,165608,109283,78140,77541,86610,106819,125875,110596,12795,30861,56407,75483,98467,127782,164798,178238,123132,18099,70,3341,3067,25998,56467,119657,177820,300247,186600,83,3484,3893,25559,62659,117098,178686,297006,184799,12846,14337,47614,95325,131445,164456,211394,169111,26739,70927,77444,70938,78154,106148,143968,160858,145665,19165,109745,176039,167980,137877,103326,80555,63738,31623,2384,6945,68715,141119,146200,117261,103352,103052,113322,73301,9488,28042,62713,102481,142500,173217,176698,132447,45679,474
309508,18966,2342,1473,506,180,44,11,3,313546,16847,1838,427,196,89,49,35,6,324529,6957,845,339,183,80,56,38,6,30281,16664,15970,16099,18918,22082,30778,54183,128058,134143,84350,54333,36705,17711,4332,1129,310,20,278334,52154,1977,477,82,8,1,0,0,286039,44768,1802,342,76,5,1,0,0,237108,87638,5139,1719,787,383,211,45,3,93931,47017,40893,34389,32386,31136,32275,20047,959,6,12,24,45,179,357,1125,6064,325221,72833,53607,44011,35019,28018,21590,19876,22717,35362,299455,28388,3500,1086,341,139,73,27,24,281
0,149,1173,4383,15724,40483,64331,42481,1306,10,439,1102,2410,6433,21427,59796,74793,3620,36,969,1730,4243,10522,29453,62649,58495,1933,929,1012,1444,3355,7780,21085,68082,63097,3246,660,1517,3028,5760,14392,38859,72511,32496,807,337,2785,5036,19760,28873,45398,46004,20573,1264,414,2939,6332,17144,33179,45197,44210,19398,1217,340,1678,2761,5140,9966,21348,49657,70380,8760,383,467,739,1445,3059,9966,64894,87386,1691,666,9607,25605,43507,44790,28090,13099,4021,645,81,1397,23043,60513,43700,20516,10785,7339,2656,903,5179,15064,33253,48364,40585,20382,5988,312,85
274732,101482,14509,4217,1724,981,930,808,578,262542,105608,17967,6141,2868,1828,1336,1060,611,240877,107666,26933,11543,5952,3467,2004,1134,385,17386,19786,42548,78578,103686,78635,39198,16341,3803,127895,87868,50806,39565,33040,27746,20958,10234,1849,120,11874,29903,84478,108444,109980,41393,11919,1850,153,13280,37303,76064,118375,102627,38890,11451,1818,174339,94541,51700,30198,21007,14183,8947,4179,867,90903,153389,93946,37915,14445,5688,2363,949,363,4626,1015,1839,3126,5860,11724,28060,85409,258302,68590,48681,44268,40730,39583,40237,44516,45128,28228,148647,87109,49553,34744,24831,17886,12893,9788,14510,569
107,842,7254,64339,121362,53824,9783,1257,264,666,3840,43568,131169,60656,14695,3285,903,250,1344,68535,116126,49313,17277,4583,1193,481,180,13854,16560,18512,29874,53830,67971,40453,16056,1922,5478,61724,97192,57215,24327,8851,3073,889,283,7427,196260,48730,5508,715,364,28,0,0,10470,202200,41975,3275,765,324,23,0,0,5374,84333,88080,45808,21990,8950,3203,972,322,5299,17712,28265,54521,75227,58492,18052,1279,185,684,1773,3288,6657,14988,33800,74985,107096,15761,255,1589,4269,9002,18531,37176,70385,96223,21602,17758,94605,76951,40083,17641,6834,2947,1501,712,229
826,35929,17727,33082,91213,67251,22179,5174,1192,22241,28024,24274,71184,75106,33743,13024,5638,1339,34548,32445,60007,63317,48633,22846,8276,3443,1058,9199,19047,26423,37181,58114,62961,44584,15949,1115,15854,29035,49227,62699,53416,35331,18557,8069,2385,832,94334,118554,45478,6307,3721,4408,908,31,1027,109484,117210,31658,6387,3508,4278,989,32,22578,35640,53280,58552,45737,31688,17550,7182,2366,22110,22911,28500,58774,68595,49139,17282,6249,1013,2046,2039,3548,10171,28554,57233,72531,65171,33280,4941,13265,24830,37532,48686,51775,50066,34409,9069,10718,61964,63496,55538,37993,21616,11746,6407,5095,237
9050,135822,163410,120477,83388,54742,33604,15409,1693,858,45599,87195,96647,98743,99469,100410,80160,8514,321,24216,39201,52980,64409,85610,128453,182066,40339,40198,43819,43227,50611,64606,90551,126995,125610,31978,5922,14239,14421,18409,31474,59162,105245,164185,204538,0,1022,1370,9197,16213,40532,75121,274362,199778,0,956,1757,8754,17055,39064,75863,265184,208962,5984,18944,17605,19891,30390,56670,110276,197945,159890,19855,31073,35329,51391,76768,104990,124929,142000,31260,7183,115692,189010,111417,61292,42228,37349,39625,13799,400745,98363,47725,23288,13659,10169,9403,8394,5849,15577,22168,19944,21739,24163,29875,41589,65838,376702,567
187318,134963,35052,33268,37960,52963,56041,7507,143,241733,142719,86628,55058,12209,4314,2014,456,84,268774,239731,24049,6901,3223,1608,591,283,55,97982,122200,83398,63471,48916,37737,34001,31849,25661,220942,155677,86976,48583,19968,7798,4126,1093,52,526487,16802,1340,426,98,42,9,11,0,528687,14859,1202,308,100,40,9,10,0,315477,176329,30563,10484,6336,3697,1994,311,24,220320,147722,74662,47929,32004,13064,7393,1956,165,3939,1624,2488,5357,10830,26284,80583,171077,243033,17271,33702,41859,41912,42558,43997,55075,93087,175754,192036,196598,90754,31863,12828,8002,5261,3569,4304,315
0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,10,9,66,0,0,0,2,27,17,7,26,82,95,19,22,11,3,8,20,25,35,62,17,21,33,19,12,44,17,20,0,0,0,0,0,2,53,21,0,0,0,0,0,0,1,61,18,0,0,0,0,72,14,35,41,56,76,84,9,13,14,6,3,27,43,109,198,0,0,0,0,0,0,0,110,200,0,0,0,0,0,0,0,135,0,0,5,40,191,47,13,0,12,582
0,2887,5510,3736,4234,13625,59507,39236,494,1080,8004,4878,4271,11626,42155,46269,10771,175,3142,9486,5724,15370,27150,38357,25224,4684,92,4752,12563,19712,29084,31366,19832,8760,2884,276,5575,11443,15671,26420,31768,26053,11080,1208,11,6780,27301,37375,43299,11031,3334,109,0,0,7707,29617,44458,33312,11454,2600,81,0,0,5333,10179,9635,14560,21762,30071,28959,8559,171,4109,6290,8651,13575,22698,40595,29167,4069,75,1082,9864,19502,26070,26385,20489,12925,9425,3487,5,269,2518,8881,18852,24842,29190,30857,13815,3131,17034,20504,25900,27030,21961,11159,2350,160,52
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,0,0,0,1,2,5,4,6,10,30,4,2,5,3,2,3,5,2,15,21,6,8,11,2,11,2,1,4,8,6,10,2,10,2,0,0,7,13,28,9,14,5,0,0,0,0,2,14,41,85,32,46,59,57,104,56,20,8,14,17,33,53,94,33,2,0,0,0,0,0,0,40,100,0,0,0,0,0,0,0,9,0,1,6,16,21,7,5,4,34,164
100522,209808,178262,85866,35639,9953,1832,123,0,65469,160693,153487,124273,71763,30738,13147,2427,8,21401,125202,103922,112148,116783,92686,42032,7809,22,119236,209457,144256,83162,46005,16173,3296,415,5,14099,62062,126864,167704,145481,74206,25407,6058,124,2246,7297,4677,32382,50152,89002,124345,189523,122381,2549,7355,5552,27676,54660,89100,116567,192121,126425,11783,49525,82175,119804,151038,132741,60431,14182,326,49046,165930,177870,130703,69367,22149,5665,1269,6,12410,67247,119330,110751,77533,61342,64900,85826,22666,19665,58262,100946,133229,126682,94595,59477,23697,5452,8202,40662,57526,69294,118371,163679,111922,41809,10540,453
7,15620,27306,39865,71987,100629,89292,68167,2248,5,5916,29442,57447,98453,113542,82898,26724,694,12,19589,67774,101922,109192,74947,34683,6768,234,4207,15443,38026,67770,113861,120081,48417,7144,172,2211,18764,58795,97531,107385,82572,39889,7737,237,57,9460,36805,183071,112564,55005,14811,3086,262,73,10500,47230,174372,116963,49244,13582,2910,247,854,17275,58027,83777,93109,83395,56792,20560,1332,977,4900,17804,43307,95720,139309,98306,14427,371,2140,8501,19567,40182,74682,111520,111746,45666,1117,165,3648,20056,51448,81349,94645,89276,61317,13217,1423,38622,98351,111330,82631,48238,23656,9018,1852,135
32384,59656,65082,73970,102901,114433,88044,41096,14142,73045,63746,83114,146407,120514,61302,23136,13587,6857,93121,112455,187787,119032,46489,15932,7493,6984,2415,76754,156598,178900,99295,46353,20247,9223,3643,695,118458,147273,162057,90963,43420,18632,7676,3023,206,2423,113757,200494,221476,45031,6801,1272,408,46,2941,116262,224071,195038,45875,5832,1242,400,47,119147,155028,147390,91009,43978,18654,8771,5717,2014,93078,152164,174656,111859,37882,11309,4516,5042,1202,26339,13123,19066,37631,78274,130187,117047,82858,87183,565,2429,7684,19696,38794,64866,106844,202251,148579,85648,104670,138025,126507,75898,34767,15052,8799,2341,203
53023,129471,100575,71646,49940,36135,25260,10444,4162,58318,110006,80901,72388,67830,49077,25766,10673,5697,85531,108667,79224,70091,59176,44056,20002,9586,4323,15802,25458,64568,95197,101786,86147,50842,26706,14150,58862,86603,75319,72882,67148,56428,41284,17235,4895,7463,130724,166548,128357,30487,11066,3648,2034,329,9517,134138,185346,104696,31137,9938,3572,2003,309,108732,97696,78526,66650,50630,36046,26186,11838,4352,23493,60482,93578,119475,87793,57904,27360,6990,3581,12620,6531,13231,27483,55460,76716,80383,93356,114876,14862,40507,55735,65212,67947,66603,66202,66253,37335,93085,86584,75071,69711,54936,39251,25541,18327,18150,383
116998,6234,1388,600,343,192,128,34,0,110452,9966,2686,1125,632,444,330,267,15,103088,14910,3536,1726,1043,703,510,358,43,14255,10306,8961,9734,10008,11766,15581,23457,21849,37668,25672,19785,17900,13430,6317,3448,1400,297,104666,14487,3299,2206,696,427,112,23,1,105707,13335,3678,1866,792,400,115,22,2,51945,47439,13475,5004,3241,2426,1717,662,8,43961,19537,14966,13784,13374,10961,6579,2412,343,3,22,92,535,1119,1864,3696,12051,106535,35509,24515,16654,11889,8961,7231,6485,7092,7581,54404,41584,13979,6986,3941,2260,1299,689,775,285
0,4,546,5244,23107,60424,151618,222533,65742,0,127,1010,6824,19311,42983,102390,254413,102160,11,931,7793,17859,29132,52258,110221,215674,95339,1100,1534,2866,6541,12162,31080,103835,309044,61056,1035,3186,12778,20792,39510,71940,157536,159840,62601,13,4545,23061,48505,79307,158964,152673,61927,223,15,5678,27532,42563,89303,157364,148803,57709,251,676,7892,17921,22577,28025,40710,91402,198726,121289,503,637,816,2116,6341,16684,83587,321451,97083,44240,77166,78068,103322,95535,67409,44235,18334,909,202,2174,70680,193893,119865,71007,39930,23449,8018,2804,26140,51963,85097,113023,97573,72310,71861,8445,81
