band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_1_12,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_2_12,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_3_12,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_4_12,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_5_12,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_6_12,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_7_12,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_8_12,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_9_12,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_10_12,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_11_12,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11,band_12_12,census_code
0,2,147,909,2547,11492,40458,120933,139114,101930,64330,1127,0,37,453,2451,14178,56397,96110,93166,73861,74090,71875,371,0,1160,20076,53674,68039,70402,60622,51693,49815,54100,52849,559,1382,1884,2714,4208,6604,10395,19491,43695,94478,164586,125196,8356,1746,9985,26317,37756,64779,83439,72551,58880,48991,42294,32952,3299,1,2231,52408,115511,98477,77954,53585,40291,25314,13025,3633,559,0,2154,53952,112579,98084,76233,56547,39459,29122,11067,3235,557,1138,18465,46693,62539,66767,56721,45744,40776,40730,43865,45975,13576,674,813,1256,2480,6797,15566,35299,71374,127360,142641,77477,1252,297,10253,25126,27329,29904,34198,42293,56518,80074,102862,69916,4219,4,40,515,4018,27480,69392,95708,99213,81371,51753,48932,4563,4617,58406,109922,97330,65195,45354,34923,29431,22374,12129,3266,42,80
0,0,0,4,71,1004,4972,19004,74324,107238,51015,1983,0,2,129,1372,9961,29896,51587,65528,56034,36480,7790,836,0,1462,23449,43582,47679,45275,39354,29792,18811,7537,2481,193,4047,2881,2788,4514,6921,11195,17862,27462,49534,85321,46717,373,4360,10092,23322,33220,38867,41378,38554,31970,22360,11854,3461,177,0,9790,79053,102012,31725,17297,6815,4951,3258,2945,1701,68,0,10228,82212,99757,30018,15912,8683,4743,3646,2700,1634,82,3777,16090,31116,35578,35071,34843,31414,27318,22735,15784,5139,750,1410,1681,2680,5740,12408,17750,33626,60573,87437,32718,3455,137,4754,1241,1513,2432,4552,8965,17633,34029,57825,78816,46553,1302,146,745,2325,6552,14100,21916,28519,34098,43002,51015,49277,7920,4807,42596,64251,55383,38372,23999,14204,7855,3994,2116,1646,392,178
0,0,0,0,1,2,1,2,0,1,0,7,0,0,2,1,4,5,5,6,2,2,10,12,0,0,0,0,8,10,15,4,0,13,20,7,49,9,3,1,4,0,5,6,4,1,0,2,1,40,13,9,4,5,10,5,8,1,2,0,0,0,0,4,4,12,10,4,1,1,0,0,0,0,0,2,10,15,9,2,4,0,0,0,0,0,0,2,24,38,13,12,19,16,31,6,16,47,10,5,4,5,6,8,8,10,33,16,81,15,0,0,0,0,0,0,0,0,0,10,70,0,0,0,0,0,0,0,1,1,7,53,0,0,0,0,1,40,47,6,5,0,1,20,339
91,2732,8938,27006,67719,113370,154488,171076,154121,148274,280996,45691,507,3955,6710,11993,27841,70385,111301,138449,172857,219047,369193,42264,525,3585,8194,21304,38707,61030,88646,112709,153564,243823,389969,52446,3839,3852,5113,6871,9784,14780,22699,37066,60467,143237,499573,367221,2481,2269,2894,3942,8054,20473,48239,95713,154122,236018,389393,210904,0,458,1802,4266,7379,18581,45648,113519,215513,344685,293393,129258,0,464,1789,4164,7180,17306,46573,107499,255662,331986,270159,131720,1909,1992,4285,10751,22563,38691,60552,86599,130887,207393,369039,239841,4488,3824,4443,5668,7456,11322,19994,38197,105588,331617,582497,59408,8208,80491,143867,130157,130798,117971,110675,112423,121169,130181,80714,7848,62985,187559,231309,245431,225473,132934,49902,19053,9927,5188,2646,2095,1447,16417,68858,107937,115499,116020,119816,141910,179139,156216,114792,36450,469
0,1875,15146,33361,24776,31906,45842,43019,30490,11694,3349,1560,385,22204,37592,27724,32175,41641,44188,21223,9694,3562,1807,823,5203,53064,39198,34334,36666,34255,22233,11732,3702,1142,1109,380,17837,20733,44980,53387,42299,28120,16609,9427,5551,2930,1104,41,17941,26538,33676,35722,34042,31614,26021,18276,11672,6184,941,391,0,91819,120908,23535,5486,1130,135,5,0,0,0,0,0,90574,121524,24629,4859,1250,177,5,0,0,0,0,21943,38836,37717,31858,31154,29626,23307,13943,9421,3634,766,813,16474,26698,52353,51207,39480,27406,15785,8240,3371,874,835,295,11453,2379,2469,5566,17105,29140,34013,29542,26697,31887,43702,9065,274,3286,9577,16118,23094,26712,26762,26522,30412,33438,29774,17049,10989,20590,37178,35286,30591,27167,26000,22591,15465,8653,6566,1942,352
17208,21745,11267,9105,9878,10541,8542,5267,3317,1714,422,4,22766,17054,10563,9239,9976,9372,7092,5965,4102,2257,623,1,22555,17933,11072,9525,8767,7923,6891,6051,4673,3049,569,2,4457,6617,6865,8493,10215,11740,13265,13193,10161,6743,4642,2619,10892,15487,14719,14799,12915,10436,8376,6102,3697,1457,129,1,173,20951,28068,28176,16207,4343,785,248,48,11,0,0,128,20221,29304,29121,14158,4785,998,231,59,5,0,0,13524,19074,13387,10588,9861,8937,7869,6577,5023,3232,924,14,10570,8141,8396,9363,11673,13086,13509,11539,8354,3796,582,1,91,975,1788,2630,3825,4961,6772,8954,10887,12805,20031,25291,86,1150,4157,8365,11352,12531,12276,12023,12601,11696,10274,2499,7696,26460,18286,14316,12070,9664,6134,3143,1068,156,14,3,69
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256
0,0,0,0,0,0,0,0,0,0,0,0,14,5,3,3,2,0,1,1,1,4,4,4,33,14,12,11,7,3,3,2,3,4,4,2,205,2,2,1,0,0,3,1,3,0,0,0,308,32,10,1,2,2,3,6,7,0,0,0,0,0,0,80,48,11,1,0,0,0,0,0,0,0,2,96,65,27,2,0,0,0,0,0,175,199,144,146,49,44,40,25,17,24,26,0,827,51,21,24,11,5,5,3,9,15,43,1,118,0,0,0,0,1,0,0,0,1,0,170,470,0,0,0,0,0,0,0,0,0,0,54,4,3,3,12,18,79,45,9,9,4,3,237,598
1061,9306,15448,14374,15990,20130,16783,11567,6478,3282,2087,319,2469,13070,15094,14785,15548,18687,15524,10188,5521,3472,2445,33,2825,22587,23716,17656,15848,11850,8828,5404,3975,2645,1510,0,4208,6275,6206,7401,8417,10521,13250,16743,18917,15954,8155,799,3966,11772,15891,20221,21110,17953,12027,7418,4555,1758,175,0,782,17923,30600,31388,18888,11441,4238,1217,331,47,1,0,775,17949,30641,30869,19155,11274,4564,1240,361,28,0,0,2909,14887,21737,21388,18296,13447,9051,6460,4664,3048,948,11,7636,8451,8751,9203,10949,12178,15656,20932,16172,5608,1294,3,360,1848,1561,1986,2894,4255,6365,10238,17225,28060,36376,5672,24,294,1335,3871,7901,12559,16601,20200,22830,18820,10413,1982,993,23422,31703,22267,14741,9567,6363,4254,2356,819,258,97,22
168665,168343,121436,88832,59553,44253,27336,14709,7021,2424,723,129,109317,102680,84610,81086,73608,67561,59262,52380,41496,25483,5861,80,89011,67845,66289,54908,52347,56734,61497,68526,76690,79837,29609,131,18258,19653,26265,38126,52828,69883,95924,118868,122927,94474,42034,4184,32651,61441,33673,29180,28834,31354,35863,44828,60340,95200,139931,110129,95,3608,56349,55062,50145,68860,79985,102428,97214,100962,58122,30594,93,3812,55523,56650,46798,63179,88461,91645,116363,97377,53014,30509,61602,48725,37368,33884,33802,36025,41123,51420,70477,112214,140250,36534,31065,52589,70189,68709,77153,68800,67523,78540,81525,77862,29234,235,6181,2436,19882,53294,77160,80460,75817,70460,66653,70149,75200,105732,396974,81693,47991,34840,28794,24303,20045,17105,15006,13509,12757,10407,62356,51958,35967,31029,29797,30774,32279,36051,39332,41142,70948,241791,574
