band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,census_code
2,1056,14039,161391,241044,65457,37,2904,70575,189276,147951,72246,1160,73750,138441,112315,103915,53408,3266,6922,16999,63186,259064,133552,11731,64073,148218,131431,91285,36251,2232,167919,176431,93876,38339,4192,2154,166531,174317,96006,40189,3792,19603,109232,123488,86520,84595,59551,1487,3736,22363,106673,270001,78729,10550,52455,64102,98811,182936,74135,44,4533,96872,194921,133124,53495,63023,207252,110549,64354,34503,3308,80
0,4,1075,23976,181562,52998,2,1501,39857,117115,92514,8626,1462,67031,92954,69146,26348,2674,6928,7302,18116,45324,134855,47090,14452,56542,80245,70524,34214,3638,9790,181065,49022,11766,6203,1769,10228,181969,45930,13426,6346,1716,19867,66694,69914,58732,38519,5889,3091,8420,30158,94199,120155,3592,5995,3945,13517,51662,136641,47855,891,8877,36016,62617,94017,57197,47403,119634,62371,22059,6110,2038,178
0,0,3,3,1,7,0,3,9,11,4,22,0,0,18,19,13,27,58,4,4,11,5,2,41,22,9,15,9,2,0,4,16,14,2,0,0,2,25,11,4,0,0,2,62,25,35,37,63,15,9,14,18,49,96,0,0,0,0,10,70,0,0,0,2,60,0,0,41,53,5,21,339
2823,35944,181089,325564,302395,326687,4462,18703,98226,249750,391904,411457,4110,29498,99737,201355,397387,442415,7691,11984,24564,59765,203704,866794,4750,6836,28527,143952,390140,600297,458,6068,25960,159167,560198,422651,464,5953,24486,154072,587648,401879,3901,15036,61254,147151,338280,608880,8312,10111,18778,58191,437205,641905,88699,274024,248769,223098,251350,88562,250544,476740,358407,68955,15115,4741,17864,176795,231519,261726,335355,151242,469
1875,48507,56682,88861,42184,4909,22589,65316,73816,65411,13256,2630,58267,73532,70921,33965,4844,1489,38570,98367,70419,26036,8481,1145,44479,69398,65656,44297,17856,1332,91819,144443,6616,140,0,0,90574,146153,6109,182,0,0,60779,69575,60780,37250,13055,1579,43172,103560,66886,24025,4245,1130,13832,8035,46245,63555,58584,52767,3560,25695,49806,53284,63850,46823,31579,72464,57758,48591,24118,8508,352
38953,20372,20419,13809,5031,426,39820,19802,19348,13057,6359,624,40488,20597,16690,12942,7722,571,11074,15358,21955,26458,16904,7261,26379,29518,23351,14478,5154,130,21124,56244,20550,1033,59,0,20349,58425,18943,1229,64,0,32598,23975,18798,14446,8255,938,18711,17759,24759,25048,12150,583,1066,4418,8786,15726,23692,45322,1236,12522,23883,24299,24297,12773,34156,32602,21734,9277,1224,17,69
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256
0,0,0,0,0,0,19,6,2,2,5,8,47,23,10,5,7,6,207,3,0,4,3,0,340,11,4,9,7,0,0,80,59,1,0,0,0,98,92,2,0,0,374,290,93,65,41,26,878,45,16,8,24,44,118,0,1,0,1,170,470,0,0,0,0,54,7,15,97,54,13,240,598
10367,29822,36120,28350,9760,2406,15539,29879,34235,25712,8993,2478,25412,41372,27698,14232,6620,1510,10483,13607,18938,29993,34871,8954,15738,36112,39063,19445,6313,175,18705,61988,30329,5455,378,1,18724,61510,30429,5804,389,0,17796,43125,31743,15511,7712,959,16087,17954,23127,36588,21780,1297,2208,3547,7149,16603,45285,42048,318,5206,20460,36801,41650,12395,24415,53970,24308,10617,3175,355,22
337008,210268,103806,42045,9445,852,211997,165696,141169,111642,66979,5941,156856,121197,109081,130023,156527,29740,37911,64391,122711,214792,217401,46218,94092,62853,60188,80691,155540,250060,3703,111411,119005,182413,198176,88716,3905,112173,109977,180106,213740,83523,110327,71252,69827,92543,182691,176784,83654,138898,145953,146063,159387,29469,8617,73176,157620,146277,136802,180932,478667,82831,53097,37150,28515,23164,114314,66996,60571,68330,80474,312739,574
591,26225,163586,305695,296754,80416,4402,64289,197753,270426,258313,78084,7057,70676,197708,263439,264225,70162,187209,155438,135637,159543,191488,43952,48843,133333,171187,234790,224618,60496,624,20335,93544,193899,357691,207174,678,19866,90015,192019,372799,197890,20030,82655,181197,225889,271318,92178,79476,116793,150497,218884,250680,56937,133057,287639,192958,125012,106918,27683,15815,161895,226321,167334,187894,114008,22509,102401,197091,262418,214529,74319,474
272727,34132,2647,1014,1246,2714,301123,7797,1545,1065,1184,2085,305897,4497,1503,962,1026,1308,48852,30503,30616,39885,56389,109400,177440,82700,41213,10787,3036,1821,317162,571,29,3,0,0,317150,588,24,3,0,0,283412,24028,4216,2086,1549,1179,135043,65279,44658,41915,27142,4682,181,474,778,1859,6947,304488,53105,51982,45410,39308,48521,73792,287234,19567,3885,1152,484,360,281
302338,69091,20569,5296,1524,1143,301936,72943,17268,4929,1783,1102,308012,63252,18303,6830,2721,843,21297,35666,95862,148804,82304,16028,167657,98513,61830,40491,25062,6408,2542,80661,148661,138149,27668,2280,2551,80327,142296,143113,29647,2027,232585,93001,40036,21157,11255,1927,125728,168435,79019,21161,4796,822,4778,2093,5227,13738,49589,324536,84459,74852,71656,67732,67225,34037,205042,95639,44359,25266,14124,15531,569
5,413,3633,21393,210805,22783,43,2037,9458,98265,142708,6521,180,4826,52152,139514,59777,2583,15222,48251,89180,79735,25798,846,863,13099,68448,100303,66007,10312,92,34281,114532,91523,18115,489,114,34768,110320,94019,19570,241,821,13047,66018,99707,68646,10793,2413,16759,62396,124015,50980,2469,2298,48782,114639,78111,15022,180,2495,30692,65377,76968,72223,11277,362,18909,67143,87887,60303,24428,229
0,6092,37677,25828,161189,43787,1840,33763,19336,48670,148556,22408,3838,36614,30555,102366,93933,7267,13230,35555,47853,99550,73691,4694,4505,16006,54996,87163,82439,29464,202,16835,107078,106906,42115,1437,203,17059,102392,109144,44653,1122,3748,21434,53118,82231,86584,27458,9617,29336,27818,104131,96296,7375,2884,28665,101646,100038,39449,1891,12408,59304,74670,63913,53422,10856,1700,33060,70421,75898,57861,35633,237
123400,213407,159702,87433,30460,3193,78810,141958,131385,131649,111691,22102,65561,78318,75807,101898,191016,104995,76288,89012,100175,131280,156464,64376,57885,36583,37796,67407,137350,280574,14,30275,66217,85950,241024,194115,17,31912,61519,82964,251884,189299,65684,37430,38670,70491,165422,239898,66684,98426,105958,116234,153654,76639,13008,271144,128189,66071,63435,75748,437162,66099,26118,20009,33572,34635,63613,39842,29090,36682,55725,392643,567
372919,100663,27303,6917,1468,5075,451360,49661,5964,1724,1058,4240,487674,16096,3858,1664,1143,3285,77538,61779,60651,73549,113378,126529,271634,170984,52468,11370,4271,2099,495790,15339,1654,75,7,0,493878,16994,1901,84,8,0,444101,51366,9642,3991,2005,1917,211316,137326,92096,51448,21848,5086,3602,2529,3973,7861,24696,469862,31840,75805,96924,93602,109089,100549,394175,86802,16840,6190,2653,1429,315
0,0,0,0,0,0,0,0,8,20,3,74,0,0,25,21,22,93,116,24,11,30,20,37,78,41,30,47,21,28,0,0,0,0,76,0,0,0,0,0,80,0,0,6,80,40,64,104,95,25,10,27,27,124,183,0,0,0,0,110,200,0,0,0,0,126,1,10,166,85,5,13,582
9809,12472,56652,38907,10573,816,12692,19916,52735,31541,11408,937,14325,30309,45019,27319,11573,684,5705,25346,42495,40604,14305,774,11192,42441,46433,22755,6193,215,6526,82757,38683,1236,27,0,6069,86064,35731,1336,29,0,12536,33406,41956,27531,12865,935,6808,12737,39910,54901,14307,566,1210,7915,20571,40124,41043,18366,154,5388,21766,41393,49091,11437,13143,53583,42278,17630,2523,72,52
0,0,0,0,0,0,0,0,0,1,3,10,0,5,6,8,8,29,49,9,2,5,11,22,49,23,13,9,16,37,68,16,2,0,0,0,101,23,2,0,0,0,118,89,51,49,49,120,259,18,24,13,42,155,65,2,0,1,0,60,190,0,0,0,0,18,4,14,63,36,0,75,26
0,0,0,0,0,0,4,2,1,1,1,5,12,9,11,10,20,36,106,8,4,20,8,8,99,35,13,27,12,3,6,10,26,16,2,8,5,16,23,18,5,7,32,68,53,56,30,48,162,30,22,18,15,68,120,1,0,0,0,80,250,0,0,0,0,18,0,10,110,62,1,50,180
388524,216560,16156,704,60,1,314949,259402,42754,4460,435,5,254916,215999,117574,30330,3165,21,156170,223682,143547,71931,24095,2580,179763,212676,153783,58631,16178,974,99939,157336,192790,160109,11423,408,103413,152189,188785,165137,12101,380,182705,192252,159128,70329,17059,532,221011,255963,111741,29431,3820,39,2321,9933,85862,169342,128386,226161,46082,132483,172363,137163,109409,24505,145477,140231,174376,125480,31810,4631,453
0,159,8996,85170,237952,82844,47,2706,33374,133098,224499,21397,488,25933,91585,167319,124862,4934,4213,17483,58470,155623,167352,11980,5165,34325,96323,156747,109546,13015,4249,129723,186864,83399,10682,204,4602,131209,181266,86393,11467,184,5589,36969,83741,127778,131461,29583,1434,9890,50666,149412,196832,6887,3985,35285,102734,156567,112237,4313,1021,31766,101068,135351,114407,31508,8715,103631,147040,98862,44731,12142,135
31181,60996,32041,99146,281749,86595,46332,56268,57054,148989,234523,48542,82639,70018,128414,187355,102719,20563,43028,108422,170461,187485,75872,6440,80040,132626,174807,127707,66646,9882,20462,206409,171318,116835,57800,18884,21500,206387,153703,132066,62858,15194,89664,117588,155556,133108,78975,16817,48903,82621,157426,185362,99940,17456,30630,73711,140975,156207,105188,84997,3347,13575,53827,112065,232280,176614,72395,173980,186132,100100,44646,14455,203
64757,129343,135341,106276,38128,6811,73242,115940,121496,105098,54174,10706,85863,97105,103967,110412,72857,10452,35760,135996,170384,100577,31015,6924,31852,67608,78867,114637,142052,45640,431,17526,72330,220692,166823,2854,425,17728,67433,218604,174103,2363,56907,85767,82822,109625,114213,31322,60766,133062,140287,93369,44983,8189,14954,60783,115872,107437,95695,85915,127049,169113,97756,44539,25810,16389,25870,77907,62200,79856,101697,133126,383
178426,428010,229918,32856,725,47,203630,435295,197762,32524,727,44,151050,306893,240098,147965,23872,104,216668,394450,169198,58842,24753,6071,62221,108961,158317,232689,277861,29933,28,14499,88782,271078,372446,123149,27,14785,83715,268404,385137,117914,81535,174321,190220,243746,177532,2628,245640,386351,182771,47122,7878,220,18353,113005,190616,209865,227832,110311,462372,205353,91039,49125,34791,27302,39713,100200,118554,131169,136535,343811,528
119338,3853,1048,474,255,949,114315,6876,1976,959,598,1193,110599,9083,2640,1314,1036,1245,21926,16270,16843,18678,26397,25803,46391,34838,26397,11760,4736,1795,98378,20843,4386,1690,505,115,97238,21943,4265,1818,551,102,72216,37268,8359,4257,2873,944,57755,27853,20494,13088,5229,1498,272,573,2011,3348,8680,111033,47782,29475,17434,10957,10170,10099,67285,37050,11891,5356,2519,1816,285
0,4,1151,81407,366295,80361,14,557,11887,78570,280765,157425,118,19469,44520,83958,243929,137224,3255,8091,18978,76992,293383,128519,5989,23219,44545,105625,244443,105397,558,43270,100034,241155,138583,5618,559,41731,97238,241463,143814,4413,7936,34582,45430,76697,183755,180818,1456,4129,16459,53910,275022,178242,20500,143925,167323,118862,67539,11069,183,62698,250520,126694,64379,24744,15351,69339,136542,176788,112242,18956,81
2640,12268,10195,14865,7680,496,10151,12834,13414,9119,2374,252,13749,14433,11793,6464,1563,142,38493,6526,1823,669,345,288,23686,15527,6550,1918,434,29,51,8888,14567,15003,8555,1080,58,8970,14075,15230,8920,891,17480,13744,9978,5557,1339,46,32555,11029,2884,1111,501,64,16775,9597,6053,4936,6185,4598,260,1457,2965,3958,9072,30432,12912,9072,10897,7773,4423,3067,518
0,0,0,3,2,2,0,0,1,2,8,3,0,4,4,10,7,3,24,2,2,0,0,0,24,12,4,2,0,0,0,0,0,6,2,4,0,0,0,3,9,4,1,18,37,33,12,4,80,16,24,10,14,10,36,0,0,0,0,0,40,0,0,0,0,18,0,3,22,6,4,20,501
6531,264458,390742,305836,208840,39352,36360,329676,307505,244479,245321,52418,21145,179862,294532,301321,349233,69666,406412,312867,231357,160394,88037,16692,54985,312450,367272,288101,156858,36093,705,7401,34420,211873,453691,507669,696,7205,32130,206649,481644,487435,17579,152096,379684,412436,217769,36195,170844,280571,283191,252417,189353,39383,228717,499350,233299,127179,93481,33733,23909,110915,316933,387907,292504,83591,27757,121929,247683,453139,279166,86085,476
79353,49627,26166,16856,8922,33943,44539,51176,44499,28819,13733,32101,45859,60341,41058,25440,12324,29845,90307,35842,26242,20682,11909,29885,95528,40223,39842,25827,12451,996,195018,17604,1928,315,2,0,195547,16963,2008,349,0,0,84170,34617,38701,31717,22976,2686,66150,38215,43799,22142,13493,31068,41428,32555,36737,39313,42811,22023,3873,18347,29364,29355,35050,98878,82863,34998,36782,34294,19453,6477,8
2,3,2,1,0,6,0,4,8,9,6,22,0,6,15,16,11,22,54,4,13,6,0,0,45,15,10,13,1,0,0,2,20,2,0,0,0,1,19,4,0,0,0,11,37,18,22,10,45,7,6,12,1,27,75,0,0,0,0,10,50,0,0,0,0,54,0,7,49,28,4,11,458
6651,147622,165761,242387,67249,1185,66085,246957,201107,94810,21732,164,263708,246476,92417,26009,2202,43,197099,206027,148155,64876,13980,718,392543,126660,65265,40243,6119,25,2386,285884,281745,58928,1875,37,2533,288747,273201,64338,2008,28,375787,139849,74405,36475,4126,213,297389,187508,98756,44117,3067,18,57429,20259,38729,101491,215294,197653,21,2853,21510,47740,120382,438349,335617,165971,81492,37771,8402,1602,337
20676,114468,129041,38701,2535,86,23120,88577,121462,63350,8917,81,20292,60383,76506,94786,52997,543,51316,78349,87070,63272,23587,1913,30469,53705,78136,83284,54068,5845,269,19434,46063,99052,103607,37082,247,19242,44351,98741,108665,34261,28363,57819,81512,87249,49333,1231,42457,66421,94402,75492,26251,484,15911,54051,91737,78423,52919,12466,44776,67421,66350,58093,42360,26507,20330,55502,75529,77588,52959,23599,487
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,640
23756,106707,79885,65218,19135,698,36542,99862,60214,58947,36621,3213,54213,78126,47364,50002,57324,8370,14492,54551,89506,88236,45210,3404,25682,39635,43523,49850,73918,62791,20741,118579,73559,50198,26076,6246,20683,117768,69375,53580,28869,5124,30511,46775,44116,47173,74194,52630,37748,75148,62912,56959,55386,7246,1301,23165,60351,68845,87364,54373,134883,65571,34792,22729,21932,15492,21473,45023,43360,45978,50503,89062,365
