band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,census_code
7,795,15463,231804,234920,32,2026,38529,257792,184610,435,15062,138572,219541,109379,2547,9060,47363,253195,170824,9492,68207,178258,157484,69548,882,179934,133945,97280,70948,730,180027,134263,99351,68618,8438,86194,148015,136396,103946,978,6007,54268,240818,180918,29609,104193,173436,164388,11363,199,34643,151799,226280,70068,40854,203382,143509,84117,11127,80
0,381,16677,169621,72936,156,7646,67623,165766,18424,1886,73990,122430,57958,3351,8369,22070,69899,137569,21708,11606,71042,123321,50507,3139,14604,155503,83396,5943,169,14130,154484,84933,5941,127,11766,76114,109696,57018,5021,4139,20628,72016,157268,5564,7410,12573,63792,149591,26249,509,12422,62219,127769,56696,28932,135520,74627,17282,3254,178
3,3,1,0,7,8,8,10,2,21,7,12,19,14,25,62,5,12,1,4,51,19,16,9,3,0,25,11,0,0,0,30,12,0,0,0,39,45,36,41,76,13,16,15,48,97,0,0,0,10,70,0,0,1,61,0,0,84,15,22,339
33480,178944,324203,368749,269126,33009,109528,278497,354786,398682,28068,109963,233162,366071,437238,24187,19423,40817,154527,935548,18126,21565,137580,441251,555980,6419,16851,161132,607543,382557,6495,16511,162224,624679,364593,17352,38417,164540,407823,546370,26011,23320,55052,340546,729573,54119,271550,304822,346967,197044,386649,621890,125494,23296,17173,40373,282447,358722,369122,123838,469
13176,63470,96342,53673,16357,22544,70682,85891,55931,7970,41153,87354,81575,31272,1664,37619,81234,94912,27258,1995,43232,81933,76996,36267,4590,14273,200922,27600,223,0,14657,199646,28518,197,0,59093,80672,68076,31143,4034,29506,89022,88646,33999,1845,14225,20937,73170,95210,39476,4356,42008,66327,74716,55611,37603,88458,78682,29815,8460,352
48173,20909,18345,10481,1102,45363,20390,20818,11167,1272,42522,23672,18904,12418,1494,23618,24674,26711,19729,4278,31884,33452,23183,10072,419,29710,62009,7192,99,0,31181,60312,7415,102,0,31726,27463,22753,14990,2078,33029,26466,23218,14875,1422,2402,8385,17675,27563,42985,2344,18730,28557,30863,18516,32379,37584,22686,6085,276,69
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256
0,0,0,0,0,21,7,0,1,13,50,19,7,7,8,187,1,2,5,0,312,12,6,10,0,0,99,23,0,0,0,114,58,0,0,330,291,111,39,32,772,68,13,13,47,95,0,0,0,152,417,0,0,0,54,7,24,104,16,217,598
27789,31327,31201,21563,4556,30720,31912,31796,18010,4050,34372,34216,28653,16491,2800,16756,24332,39351,32544,3583,23428,37720,36281,18676,573,30834,45006,29196,10692,966,30605,45035,29369,10814,871,24829,38519,30198,20332,2758,22060,24262,35997,31927,2256,3664,9046,22642,43185,37985,1618,20217,40516,38458,15645,25701,45678,31180,12676,1301,22
469260,157633,60983,14390,1158,282520,177861,136884,90429,15730,206643,142213,126461,161063,67044,41989,70106,155544,284579,151206,119462,84110,92220,156157,251475,75297,135802,250922,214693,26710,71347,139864,250515,218046,23652,139548,98601,101545,174302,189428,114878,155637,156092,193473,83344,10605,94313,171702,176232,250572,462887,99656,64530,46274,30077,152198,90195,89214,101936,269881,574
