band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_1_12,band_1_13,band_1_14,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_2_12,band_2_13,band_2_14,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_3_12,band_3_13,band_3_14,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_4_12,band_4_13,band_4_14,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_5_12,band_5_13,band_5_14,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_6_12,band_6_13,band_6_14,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_7_12,band_7_13,band_7_14,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_8_12,band_8_13,band_8_14,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_9_12,band_9_13,band_9_14,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_10_12,band_10_13,band_10_14,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_11_12,band_11_13,band_11_14,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11,band_12_12,band_12_13,band_12_14,census_code
0,0,0,3,23,114,427,1415,5796,21069,88571,250015,115341,215,0,0,5,23,223,1051,2982,9577,27293,56489,100935,192053,92285,73,0,56,948,2588,4476,9606,17209,33243,45887,67445,102093,128059,71281,98,514,611,1083,1987,3832,6675,13817,25186,47682,83265,125650,136618,35569,500,481,1807,4124,6039,11217,23479,39062,54419,67983,82502,84416,66630,37311,3519,0,1308,6428,12857,28188,38943,68546,63251,66502,65512,54714,43792,22828,10120,0,1284,6522,12623,33109,47793,55626,60560,75800,52916,60622,44854,22764,8516,221,1466,3591,6775,11826,17045,23693,32034,43585,63707,88394,98993,75602,16057,144,204,229,355,525,1006,2486,6745,20061,50064,135693,200379,65019,79,132,19202,68120,57872,57389,57241,52458,47642,42854,36698,25505,13163,4325,388,4,70,625,3820,19708,47106,67586,80115,81724,76497,56516,31830,16795,593,216,6208,19408,40370,54350,61481,64760,63119,56075,48249,35919,23016,9508,310,80
0,0,0,63,964,5670,19174,41494,59383,51771,41486,30879,6194,2537,0,67,515,2371,9777,22616,37207,51019,50355,37907,30690,12939,3196,956,0,1212,9890,24197,33398,38952,42194,39892,32545,21928,9739,3075,2569,24,3964,1861,2580,4516,6592,9512,13251,20535,33966,54190,65352,40394,2872,30,3595,5211,12988,21811,28989,34403,39599,38922,32427,24387,11723,3818,1607,135,0,2376,34196,37401,47403,53378,50273,20210,8938,4501,894,42,3,0,0,2409,34648,36809,55531,58642,37444,20249,9242,3479,1117,42,3,0,2987,4824,14646,24372,30614,34968,37221,34637,29126,23032,13838,6045,1843,1462,1893,1874,2367,5378,9655,16479,25080,36026,57193,62336,32863,6132,2311,28,4168,2891,1368,1675,2683,5266,11028,21013,36547,52650,58055,43794,17429,1048,51,309,967,3038,7903,16163,25086,33024,38910,43772,40260,31159,15389,3584,2135,13245,36419,51387,52188,41553,27575,16304,9050,4359,2070,1356,1732,242,178
1,3,1,0,0,1,1,0,0,0,1,0,3,3,2,2,1,3,4,1,2,3,6,0,2,6,14,3,0,1,2,3,5,5,6,7,6,7,4,10,15,6,52,7,5,4,4,1,1,0,2,5,0,1,0,2,5,37,10,10,4,10,4,4,4,5,2,2,1,0,0,0,0,4,8,3,3,2,2,7,7,0,0,0,0,0,0,5,7,3,1,2,8,12,4,0,0,0,0,0,0,0,5,21,34,17,13,13,12,28,10,8,28,28,13,7,1,6,10,5,4,6,3,26,17,14,80,12,3,0,0,0,1,0,0,0,0,0,0,10,70,0,0,0,0,1,0,0,0,0,2,0,54,4,0,0,0,0,0,1,40,43,9,3,2,1,1,23,339
551,8547,36502,77726,84396,103350,106742,105270,100728,89152,99041,172627,172608,17262,1439,6336,7648,18607,39420,65594,79045,98332,96942,113662,141921,220615,272496,12445,2044,5504,14936,26275,35560,48037,63009,72198,89217,115330,150851,241882,298821,10838,3379,2429,3025,4844,6050,8659,12675,17409,25040,37558,67419,173070,482823,330122,2474,1727,2699,3594,4568,9494,20411,41162,75935,121091,178476,249012,331191,132668,0,2,1233,822,2156,3277,8801,18769,40585,125488,214296,272898,220958,265217,0,2,1244,810,2498,4123,7619,18539,46381,103488,233133,272329,236415,247921,2265,1820,3957,9493,17716,28261,39668,54658,74326,101218,149137,217051,347115,127817,3268,2200,3340,4024,5306,6737,9239,12994,20632,45581,127870,417690,499528,16093,3300,33048,128599,89831,88081,94261,98971,97450,95174,93455,96901,103221,105221,46989,66628,178529,218643,249400,227503,130803,53067,21792,10663,7148,4653,2149,1332,2192,1415,20192,52161,82042,97002,104094,106640,112029,118726,132655,139410,118411,67188,22537,469
0,680,8532,15666,25722,15854,17281,20222,27958,35307,36086,26511,11115,2084,0,495,7364,23799,21003,16929,14669,21131,25299,37940,36698,32259,4401,1031,28,2944,12555,24633,23751,21918,20899,31381,38402,34714,23249,6547,1677,320,17378,26595,29336,37043,41439,31878,25011,14280,9700,5880,2442,1516,517,3,12127,11201,15656,21991,27273,26235,26638,28467,25988,20076,14311,9219,3339,497,0,17040,50335,56224,44334,34513,26220,9240,3220,1481,348,54,8,1,0,16664,50674,52654,56654,33724,18037,9156,3790,1179,423,55,7,1,11056,8795,18980,20724,27632,27341,26848,26763,23733,20489,14918,11062,3320,1357,11040,18832,24024,21800,19171,23849,20005,29948,31319,24377,13633,3061,1631,328,9622,3649,12264,27468,39102,41651,36083,29407,21844,13718,6116,1863,227,4,9,426,2611,7201,13371,17653,20591,23750,25620,30225,31272,30801,28156,11332,3092,9547,10382,16881,21645,24697,27267,28988,28495,24432,18402,13546,12422,3222,352
6458,13337,9723,8808,5170,5615,5638,7421,7667,9463,10769,7735,1195,11,1727,8793,9424,8344,6570,5476,4934,5232,6196,8800,12520,18459,2530,5,441,3507,7307,8079,8072,7349,6595,6523,7498,9528,14455,17155,2501,0,2720,12077,11434,8807,8110,7845,8005,9308,10200,10119,7266,2585,457,77,100,1545,4839,9206,11840,11679,10502,10727,11343,12496,10494,3989,247,3,0,52,385,714,1703,2511,5967,8949,11317,17862,20114,18867,9481,1088,0,50,378,692,1740,3184,5212,8439,12720,15471,21348,18655,10161,960,82,880,3275,7091,10356,10473,9215,9202,9750,11551,13314,10993,2808,20,2955,10616,9511,8453,6210,4906,4985,5725,7678,9876,14102,12715,1276,2,82,1853,9926,14333,14091,12953,11333,9402,7859,6563,4832,3264,1889,630,9,116,415,1706,5097,12536,18447,20542,16834,11697,6530,3750,1266,65,11,331,1726,3888,7795,12861,17928,20063,18776,11819,3369,399,37,7,69
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,5,19,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,13,0,1,0,0,0,0,6,256
0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,6,0,0,3,3,1,1,0,1,7,1,4,31,11,14,4,6,10,6,1,4,3,2,2,4,0,207,2,0,1,0,3,1,0,3,0,0,0,0,0,262,75,12,4,2,3,3,2,5,3,0,0,0,0,0,0,0,69,66,5,0,0,0,0,0,0,0,0,0,0,0,67,118,7,0,0,0,0,0,0,0,0,157,138,136,112,108,69,44,49,18,12,13,21,12,0,826,40,40,28,10,3,5,3,6,6,11,16,21,0,112,1,0,0,0,0,0,0,0,0,0,0,0,170,470,0,0,0,0,0,0,0,0,0,0,0,20,34,0,4,2,6,9,14,78,45,18,10,3,4,2,233,598
4465,13137,11318,9317,7838,10557,12076,13550,11448,10035,6231,4428,2191,90,10158,17818,11318,7384,6868,10364,9092,11332,11486,9103,6229,3879,1660,11,11598,19241,10971,8964,8279,9266,9643,10719,9834,8042,5928,3250,975,7,7983,7555,7295,7601,7606,7947,9491,12492,14028,14697,11029,6404,2330,283,5737,10125,9429,10741,11947,11430,11600,11347,11861,10922,8713,2776,206,8,756,16826,15416,20253,16059,13243,15044,8826,5049,3563,1464,360,17,0,892,16392,15763,20046,17720,14843,12064,8928,5357,2786,1711,364,10,0,5188,11892,11889,11527,10683,10454,9845,10044,10139,9865,8363,5736,1136,41,12695,9599,8490,7618,6608,7559,7461,12200,16281,14140,9838,3535,680,17,95,1556,1951,2277,3388,5128,7285,9984,12323,14286,15884,17433,18761,6366,200,1469,4477,7795,10820,13056,13477,13045,12918,13309,11239,7586,6218,1089,601,7744,15179,17088,15608,14778,12999,11344,8948,6808,3473,1226,582,359,22
254318,240018,96129,49350,25002,18492,8378,5533,2546,1468,807,502,453,428,146412,139856,106300,75623,64115,46237,43471,32231,23048,14304,7535,3267,766,259,122220,99461,74857,57584,52060,49168,48811,47376,45604,46933,38089,19537,1551,173,22178,16511,22183,30741,43910,63645,71982,90744,99890,82770,77753,53502,24226,3389,30678,77245,46561,35367,31750,31634,32456,37439,45181,55803,72601,88164,79437,39108,2,26797,105775,96258,102416,99502,130105,80020,36664,19945,5301,627,12,0,3,23489,108121,97277,104604,119593,108917,76964,42140,15414,6314,578,10,0,63619,70573,48832,42211,38907,37903,40693,42118,50188,60827,75856,81441,46911,3345,41948,68820,71958,80911,68116,67706,63990,56425,55067,50961,45857,28141,3253,271,8015,1712,2248,6514,17208,33053,50485,62338,67061,69199,71226,75367,88379,150619,314200,77155,49988,38479,33201,29839,26631,24321,22571,21701,19671,17848,15223,12596,36965,88145,46991,38189,34745,34881,35750,37523,39958,42862,40725,40510,62918,123262,574
