band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,census_code
0,3,137,1842,26865,338586,115556,0,28,1274,12559,83782,292988,92358,56,3536,14082,50452,113332,230152,71379,1125,3070,10507,39003,130947,262268,36069,2288,10163,34696,93481,150485,151046,40830,1308,19285,67131,131797,132014,98506,32948,1284,19145,80902,116186,128716,105476,31280,1687,10366,28871,55727,107292,187387,91659,348,584,1531,9231,70125,336072,65098,19334,125992,114630,100100,79552,38668,4713,74,4445,66814,147701,158221,88346,17388,6424,59778,115831,127879,104324,58935,9818,80
0,63,6634,60668,111154,72365,8731,67,2886,32393,88226,88262,43629,4152,1212,34087,72350,82086,54473,12814,2593,5825,7096,16104,33786,88156,105746,2902,8806,34799,63392,78521,56814,15541,1742,2376,71597,100781,70483,13439,936,3,2409,71457,114173,57693,12721,1159,3,7811,39018,65582,71858,52158,19883,3305,3767,7745,26134,61106,119529,38995,2339,7059,3043,7949,32041,89197,101849,18477,360,4005,24066,58110,82682,71419,18973,15380,87806,93741,43879,13409,3426,1974,178
4,1,1,1,0,1,6,4,4,5,5,6,8,17,1,5,10,13,13,14,21,59,9,5,1,7,1,2,42,20,14,8,9,4,1,0,4,11,5,9,7,0,0,5,10,3,20,4,0,0,0,26,51,26,40,18,56,20,7,15,10,29,31,92,3,0,1,0,0,10,70,0,1,0,0,2,58,0,0,1,83,12,3,24,339
9098,114228,187746,212012,189880,271668,189870,7775,26255,105014,177377,210604,362536,284941,7548,41211,83597,135207,204547,392733,309659,5808,7869,14709,30084,62598,240489,812945,4201,6293,14062,61573,197026,427488,463859,2,2055,5433,27570,166073,487194,486175,2,2054,6621,26158,149869,505462,484336,4085,13450,45977,94326,175544,366188,474932,5468,7364,12043,22233,66213,545560,515621,36348,218430,182342,196421,188629,200122,152210,245157,468043,358306,74859,17811,6802,3524,21607,134203,201096,218669,251381,257821,89725,469
680,24198,41576,37503,63265,62597,13199,495,31163,37932,35800,63239,68957,5432,2972,37188,45669,52280,73116,29796,1997,43973,66379,73317,39291,15580,3958,520,23328,37647,53508,55105,46064,23530,3836,17040,106559,78847,35460,4701,402,9,16664,103328,90378,27193,4969,478,8,19851,39704,54973,53611,44222,25980,4677,29872,45824,43020,49953,55696,16694,1959,13271,39732,80753,65490,35562,7979,231,435,9812,31024,44341,55845,62073,39488,12639,27263,46342,56255,52927,31948,15644,352
19795,18531,10785,13059,17130,18504,1206,10520,17768,12046,10166,14996,30979,2535,3948,15386,15421,13118,17026,31610,2501,14797,20241,15955,17313,20319,9851,534,1645,14045,23519,21229,23839,14483,250,52,1099,4214,14916,29179,38981,10569,50,1070,4924,13651,28191,40003,11121,962,10366,20829,18417,21301,24307,2828,13571,17964,11116,10710,17554,26817,1278,1935,24259,27044,20735,14422,8096,2519,125,2121,17633,38989,28531,10280,1331,342,5614,20656,37991,30595,3768,44,69
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,2,0,0,0,0,0,14,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,12,0,0,0,0,0,5,19,0,0,0,0,0,2,0,0,0,13,1,0,6,256
0,0,0,0,0,0,0,15,6,3,4,1,8,5,42,18,16,7,7,4,4,209,1,3,1,3,0,0,337,16,5,5,8,0,0,0,69,71,0,0,0,0,0,67,125,0,0,0,0,295,248,177,93,30,34,12,866,68,13,8,12,27,21,113,0,0,0,0,0,170,470,0,0,0,0,0,54,4,8,23,123,28,7,235,598
17602,20635,18395,25626,21483,10659,2281,27976,18702,17232,20424,20589,10108,1671,30839,19935,17545,20362,17876,9178,982,15538,14896,15553,21983,28725,17433,2613,15862,20170,23377,22947,22783,11489,214,17582,35669,29302,23870,8612,1824,17,17284,35809,32563,20992,8143,2075,10,17080,23416,21137,19889,20004,14099,1177,22294,16108,14167,19661,30421,13373,697,1651,4228,8516,17269,26609,33317,25127,1669,12272,23876,26522,26227,18825,7307,8345,32267,30386,24343,15756,4699,941,22
494336,145479,43494,13911,4014,1309,881,286268,181923,110352,75702,37352,10802,1025,221681,132441,101228,96187,92537,57626,1724,38689,52924,107555,162726,182660,131255,27615,107923,81928,63384,69895,100984,160765,118545,26799,202033,201918,210125,56609,5928,12,23492,205398,224197,185881,57554,6892,10,134192,91043,76810,82811,111015,157297,50256,110768,152869,135822,120415,106028,73998,3524,9727,8762,50261,112823,136260,146593,238998,391355,88467,63040,50952,44272,37519,27819,125110,85180,69626,73273,82820,81235,186180,574
