band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,census_code
0,0,40,527,5448,52979,369691,54304,0,11,413,3860,29650,103957,303788,41310,15,2004,7904,24960,63430,130326,216762,37588,943,2079,6075,19422,57025,156644,223608,17193,1574,7533,18956,58146,103213,145560,120312,27695,606,10578,52582,92504,117735,99972,84046,24966,660,11726,51789,92782,118549,103390,80252,23841,1026,7048,19445,37098,63007,116332,169255,69778,307,432,880,3330,18820,107761,319698,31761,6648,110284,100209,95273,80250,61217,26116,2992,38,1792,31766,105323,142155,127639,62461,11815,4024,39654,91675,111440,106099,81122,43356,5619,80
0,13,1627,24231,82986,91472,53572,5714,16,1256,17030,54251,86598,70206,27084,3174,579,21232,55967,72065,65020,35457,7269,2026,5254,5198,10796,21028,44059,98356,73907,1017,6768,25089,49400,65339,64636,38469,8661,1253,512,51511,92291,80713,28329,5872,386,1,615,54878,89468,80522,27874,5960,298,0,5763,27557,52999,63313,57351,37389,12504,2739,3265,5092,17373,36996,75846,100216,19108,1719,6724,2480,4554,15321,46879,93043,78917,11697,239,2220,12958,38100,61627,75434,55738,13299,9861,66566,90532,57543,23621,7319,2741,1432,178
3,2,0,2,0,0,1,6,3,3,7,2,7,3,10,14,1,3,7,11,11,11,20,13,58,9,6,1,2,5,1,2,37,19,12,12,7,7,3,1,0,2,12,4,2,14,2,0,0,1,11,4,6,20,0,0,0,0,10,50,23,24,38,16,54,20,3,16,8,9,34,24,90,5,0,1,0,0,0,10,70,0,1,0,0,1,2,57,0,0,1,40,51,5,3,23,339
6420,70045,154313,187036,179747,167146,288224,121571,5864,16960,63495,131770,172351,211832,399049,173181,5498,28967,61397,99503,138429,203969,421535,215204,5145,5923,11020,18973,34641,74930,299930,723940,3679,4949,8095,28244,94239,224636,427198,383462,1,1500,3911,10879,48057,223540,465450,421164,1,1598,3800,10897,48791,233011,454722,421682,3484,8055,29563,62078,107999,190452,366321,406550,4852,6030,8860,14372,27466,97687,656881,358354,19426,192353,154240,170072,169138,164763,179372,125138,194842,390985,397474,141272,30207,12013,4539,3170,14085,98166,166034,185261,200139,233549,211065,66203,469
100,19342,34575,29718,44454,61103,46218,7508,180,18110,39978,25991,37757,64149,54148,2705,1720,24565,43465,36978,60396,57379,16922,1593,36926,55426,68453,47875,22518,8839,2682,299,19507,29794,42765,49055,47867,34779,16990,2261,9920,76718,99036,42992,12116,2059,171,6,10547,85204,91130,41526,12399,2054,153,5,17016,33101,40691,50568,44709,33864,19974,3095,25900,37794,36189,38838,54328,39439,9008,1522,12219,25483,65550,66587,46478,22272,4314,115,212,5795,21623,34232,41999,53371,54290,31496,10985,19819,36729,45978,50388,41759,24753,12607,352
15852,18190,11523,9184,12696,16725,14411,429,8051,16181,12279,8757,9451,16169,27502,620,2685,12776,13844,12045,12028,18113,26961,558,11819,18952,14219,14008,17111,16969,5602,330,920,9759,19891,19141,19361,20952,8919,67,15,629,2947,7741,17348,31068,32484,6778,22,662,2795,7777,17467,30999,31768,7520,575,6741,17127,16929,16522,20700,19108,1308,10635,16835,11403,8763,11354,18731,20986,303,1045,17788,24834,20904,15394,11031,6093,1921,77,1046,8654,28549,33604,19342,6999,739,159,3487,12765,28129,34484,18587,1369,30,69
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,14,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,5,19,0,0,0,0,0,0,2,0,0,0,13,1,0,0,6,256
0,0,0,0,0,0,0,0,14,7,0,6,2,0,8,5,42,17,10,13,3,7,4,2,208,2,0,4,3,0,0,0,333,18,4,6,7,3,0,0,0,16,124,0,0,0,0,0,0,27,162,3,0,0,0,0,251,254,169,90,64,22,34,5,860,59,27,6,5,18,31,9,113,0,0,0,0,0,0,170,470,0,0,0,0,0,0,54,4,6,14,89,61,14,5,235,598
13527,20662,14133,20386,22146,16029,8150,1648,25469,17504,13234,16795,20704,14653,7342,1001,27155,18667,15752,16388,17874,14149,6348,384,13558,13177,12939,15804,22939,24324,12236,1764,13126,17186,19817,20880,20342,18893,6491,107,14793,26648,33461,22695,13229,4993,1056,1,14969,28758,30874,23119,13189,5015,951,1,14116,20719,18925,17718,17914,16328,10484,598,20469,13732,13216,12613,22631,25963,7815,282,1147,3496,5713,11324,19007,25215,30401,20414,1091,8533,18280,23390,22670,22550,14216,5968,5599,26476,27930,23992,18285,11015,2680,760,22
443327,176068,53499,18793,7594,2438,969,736,253934,180179,109011,78890,50486,23312,6926,686,199323,126904,93422,84512,81180,80009,37375,699,34021,40907,76431,119791,161999,151461,100664,18150,91709,81287,56308,56387,69506,101990,151123,95114,2426,170706,191297,196426,112309,27325,2932,3,3291,173837,186133,198743,111193,27995,2229,3,119924,84640,68334,69840,79139,109556,139232,32759,90861,133243,125620,113725,97248,89521,51670,1536,9217,4933,28161,76924,112252,121609,131453,218875,375633,85979,59154,48727,41367,37291,31536,23737,109949,81762,61963,61992,67205,73944,72953,173656,574
