band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,census_code
786096,186984,42536,21372,13114,6562,2431,681,307,166,796319,155426,39490,21812,17103,14447,9237,5015,1226,174,740042,159611,54594,30430,24042,19197,15844,12250,4090,149,125753,216066,172030,147371,125276,90135,76860,59012,35971,11775,315539,316100,114184,68987,51036,45232,42166,42166,41580,23259,0,26474,338059,267954,170063,94681,65004,50842,39817,7355,0,47991,318560,260193,165440,105444,61375,60118,33783,7345,449894,255817,106767,58087,40208,35063,33315,33564,35931,11603,591376,236600,95176,51326,35721,22693,14549,9480,3188,140,20319,3500,12104,20151,26601,33518,43257,68487,173737,658575,193015,105609,97367,92785,87063,98414,113985,118329,107253,46429,283240,291256,114960,69816,50991,43313,38742,35495,36026,96410,563
1,5211,20424,34004,64819,122945,133954,82782,37932,2061,12,2010,11017,36150,75959,121750,118086,94319,42742,2088,27,4391,16572,39906,88553,123825,133854,72857,22047,2101,6678,22888,36314,42995,60314,93382,114818,87716,35979,3049,4668,2494,8153,31469,81350,132085,132826,81447,25897,3744,0,621,5834,20686,34234,42628,49301,66704,121925,162200,0,757,5627,20150,31555,44620,46985,79020,110180,165239,3690,2791,10817,29013,65632,109634,120223,103340,52006,6987,4617,2971,11567,33066,74302,100331,131802,111797,31652,2028,5502,13507,47965,73854,96030,105276,88759,54038,18080,1122,876,8725,53466,113120,119194,92628,64256,34243,11804,5821,1789,10372,40352,78562,99285,96983,78426,52839,33350,12175,170
321,23437,54566,62567,57487,46599,41220,30287,15297,5094,280,19992,46188,65394,64801,50606,38153,27996,18387,5008,1862,34456,61491,54042,53453,39848,35440,28464,22196,5563,23590,22532,21148,22244,27531,33198,47445,58001,53807,27344,13707,9991,15640,25272,37250,46692,54612,61465,47659,25200,0,177,127,1028,6134,13936,26958,54328,100084,135216,0,194,116,1073,4901,14715,24214,66605,89926,136244,13964,14272,26463,36474,40170,44393,49360,50442,43984,17658,14975,21990,24990,25741,44512,54015,56183,58729,34845,5628,8490,18038,27984,30598,31680,35680,42126,54070,63855,23471,41798,67878,64522,49590,35328,22872,15506,10290,9398,14906,15269,22426,32154,36536,37408,36525,35779,34912,34878,46758,617
360317,44438,7694,3263,1572,1001,550,427,685,3468,331505,57832,12996,6482,4730,2937,1829,1163,1058,2883,297102,74741,20447,10207,6417,5124,3564,2238,1313,2262,24386,29962,27815,33306,37846,60190,69226,77034,47013,16637,100900,144882,54592,35323,25149,19263,15300,13064,10214,4728,2212,65514,158639,104898,46859,21898,10359,6717,4759,1560,2299,75398,150582,102773,45324,23411,10172,7483,4303,1670,175170,113066,47117,27784,18094,13151,10388,8729,7035,2881,124982,124544,75700,43158,23107,15338,7662,4211,1902,2811,951,1043,1234,2656,4645,7644,12984,23691,55256,313311,61661,61937,62393,57914,49999,41926,34307,25884,20531,6863,158621,119232,39470,25448,19792,16234,13263,10536,8891,11928,576
0,266,3792,9443,21628,34112,38378,28205,15824,886,0,970,3693,15964,29712,44163,33001,16374,8433,224,46,4690,35359,48372,26080,15559,10818,7616,3986,8,1276,2542,5273,9337,17017,33068,44564,28913,9736,808,969,5127,46565,49216,26917,13041,5707,3247,1672,73,0,48815,62509,27162,11119,2584,288,54,3,0,0,53480,57332,27445,11062,2886,270,56,3,0,513,20994,47097,34215,20058,12133,8151,5343,3460,570,640,831,1098,2398,8023,34066,73171,27883,4410,14,969,4057,6143,6778,8561,12904,24269,49410,37836,1607,5,103,299,1033,4024,9985,25619,56402,52693,2371,730,38958,55499,27055,12695,7521,5584,3309,1002,181,139
20603,252359,178992,130448,66193,62379,38035,25673,17301,3286,7792,157860,136988,121046,112107,94400,82430,53148,27319,2179,4751,53650,110673,99579,105260,128585,115597,112306,62625,2243,38902,88313,98066,95797,106071,94403,112095,93608,54549,13465,7585,15334,49558,81274,87786,100339,108679,139551,144402,60761,2,192,3413,7221,20518,62986,122400,166519,266437,145581,2,232,3364,6791,17660,62909,112174,204552,237914,149671,6561,12930,49930,84467,105120,104443,132313,151091,123917,24497,22111,83054,117840,115540,96015,98983,116825,92522,49908,2471,7674,37600,87422,123446,129727,122914,112130,96604,64758,12994,247983,162126,113302,85489,63857,44218,31890,22550,16072,7782,7275,19196,41169,64068,81802,97446,114389,120201,118860,130863,537
10,21047,66834,76004,93793,91162,80868,52231,11224,350,1109,26651,66652,73539,86561,100919,80849,45233,11830,180,8033,27581,63531,73717,71316,70375,77071,70801,30802,296,41050,47833,43786,49011,61302,75779,82358,65682,25004,1718,21013,19705,45382,61377,71756,67616,65201,63084,56258,22131,0,1508,14866,22775,72330,122669,119260,77918,49030,13167,0,3106,13371,23333,67807,128798,114300,87018,42249,13541,18122,14001,46170,60346,67559,75885,77398,70419,51116,12507,24232,19218,45652,69027,85600,89944,75656,58575,25196,423,16864,45661,60161,50718,52772,64825,80264,80318,40298,1642,44339,66377,60577,56820,55862,57413,56921,45521,26706,22987,14794,19771,47188,61735,66842,73390,80155,60232,37465,31951,125
1897,6726,2746,6592,15743,32127,59201,218790,402887,130690,319,22568,32089,30720,39463,75507,148624,268210,230968,28931,2454,70907,54892,52403,91720,157634,196809,172475,67286,10819,20558,51273,86814,129412,161415,200883,148562,65867,11763,852,80680,66453,97413,116625,114458,126520,130669,95890,40920,7771,2328,267612,194355,137689,126443,75684,39571,21759,11283,675,2266,283992,178571,133817,120071,84116,38826,26163,8892,685,91849,72878,106549,102147,109930,119618,119637,90061,48708,16022,6859,33041,56461,63532,75423,136655,238738,197399,61609,7682,36915,46220,107712,154230,156121,134238,96574,71334,68129,5926,574,8742,30835,54935,70629,84094,103643,127558,198408,197981,52283,88428,115585,140979,136419,125753,104090,64654,34294,14914,153
3387,19435,21961,23335,25158,24939,25205,28784,16408,5779,14300,42354,27821,24900,23922,23523,21228,8492,6207,1644,21209,51082,36909,28812,27431,15975,5372,3183,3985,433,18153,38739,45149,42032,28660,14165,5153,1947,363,30,10789,44954,33519,27304,24262,22485,19670,9080,2040,288,1054,101053,69445,15758,4903,1545,510,110,13,0,1070,111708,59167,15282,4786,1738,511,117,12,0,18874,39760,34924,29210,26283,23000,12618,5210,3121,1391,17127,56840,35555,31295,26608,17346,5686,1941,1768,225,5510,5382,6231,11253,20451,26964,29911,32332,36960,19397,256,3768,12966,19068,21728,25640,32468,36581,35865,6051,5421,28784,30102,28424,25119,23000,21183,16934,9679,5745,320
0,0,0,18,1851,12496,38829,83301,112956,12015,0,0,0,350,6326,21317,37839,79136,113720,2778,0,470,9278,18805,23938,39813,62134,77881,28087,1060,3801,5747,10045,10380,11866,16743,25729,61164,101500,14491,3472,4419,14458,28524,44504,55183,62640,37938,9191,1137,0,112,13848,68072,58640,46410,32699,20646,15119,5920,0,151,13512,68413,55187,49229,31423,24396,12957,6198,2706,8721,15417,29775,40083,49146,52044,42440,19093,2041,2619,745,2312,4971,9597,13433,34913,115858,75680,1338,3919,4019,12039,28585,48347,61140,57487,33571,11227,1132,1,5,232,3071,15661,38177,62891,78080,54985,8363,3565,23539,56357,64148,50867,33111,19235,8033,2202,409,161
