band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_1_12,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_2_12,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_3_12,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_4_12,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_5_12,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_6_12,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_7_12,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_8_12,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_9_12,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_10_12,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_11_12,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11,band_12_12,census_code
669205,277653,51003,26597,14666,10978,5573,2854,965,409,241,105,723689,203976,46843,24297,17842,13503,12445,8435,5937,2604,566,112,667846,200924,64409,32156,23714,19670,16044,13841,11881,8205,1465,94,92155,184394,163214,129391,106939,110403,79732,64043,55060,41159,25722,8037,205110,365120,125659,78976,49156,41825,36886,35061,35863,35900,33540,17153,0,7896,147611,312117,176250,158676,74787,64784,40891,51035,21717,4485,0,8446,175703,291515,187444,129076,91770,53528,50478,44313,23733,4243,364030,285977,119761,64633,43372,33000,30233,28418,25997,29536,28076,7216,508371,269730,96293,69160,38699,27946,17648,14967,9997,6159,1186,93,19943,2173,6335,13509,18023,22692,27359,33656,44625,76141,204481,591312,172293,92090,83998,79064,76458,71936,82763,90260,99423,95273,84219,32472,195207,316087,129941,74485,52789,41754,36369,33253,30659,28344,33122,88239,563
0,1614,13517,21213,28496,59619,105688,107685,87847,57737,19294,1423,0,720,5469,13361,35505,70093,97741,104357,89543,67779,18228,1337,5,1777,9325,19827,42550,75965,105273,111038,84964,40981,11032,1396,5508,14252,26836,32077,36066,54450,77923,93262,87227,55903,19101,1528,4344,1659,4036,11880,33418,72797,108219,117468,88048,46208,13401,2655,0,291,1903,8989,18071,32121,31858,42296,41113,84351,105325,137815,0,286,2192,8704,20595,26312,37652,35015,50853,74724,109765,138035,3463,1555,5395,13827,30294,57409,88779,106012,91895,71351,29782,4371,4284,1995,5202,17314,36400,61328,81650,102813,111741,66166,13840,1400,4505,6549,28373,49341,66289,81801,88019,79460,58654,31451,9314,377,537,3809,23518,68779,100393,98345,79202,59526,38824,19501,6723,4976,1228,5459,20649,47526,72015,83483,81548,70513,53144,35584,25326,7658,170
64,12303,34979,52346,42419,56267,45504,33271,26528,19431,10227,3536,94,8629,29211,51300,56409,51012,39450,36950,27289,19868,13248,3345,480,20001,45708,49545,49421,40149,32983,30754,26121,22176,15802,3675,19549,21445,15467,18649,16329,25606,24018,42419,39370,52234,42286,19468,11623,8540,10170,16383,23425,31719,36834,47277,48698,48172,35157,19490,0,59,152,280,1247,5728,10145,19090,28770,75333,80820,116364,0,67,159,210,1422,4426,12310,14946,36607,64824,87735,115282,11626,10620,17543,26173,30984,34397,34858,41540,43104,40927,32638,12770,12168,14945,17961,26383,26053,34698,38130,53637,47447,42848,23487,3851,7250,11475,20782,25092,25732,26459,29265,33471,39727,50961,50889,14889,31831,55157,56013,49237,38439,28439,19769,13925,10302,7644,8939,12393,12348,16837,23854,28729,30913,31112,30544,29738,29730,28231,30505,40104,617
337448,61671,10574,4300,2031,1260,764,622,349,443,649,3304,303063,76548,17773,7766,4658,3737,2550,1684,1225,723,1052,2636,273654,84276,26916,11460,7131,5477,4287,3379,2196,1529,1150,1960,18596,26733,22517,24416,27676,33377,48481,56525,63026,55944,34563,11561,64202,148979,64813,36036,26426,20390,16075,13469,11674,10309,7349,3693,826,38515,101462,129492,67633,40194,18684,10730,5954,5751,3067,1107,767,39303,113067,119207,70240,33792,21081,9359,6978,5257,3240,1124,136114,128461,50997,30777,20382,14500,11303,9107,7694,6882,4928,2270,98767,111941,81414,50736,28379,20254,12829,8087,4620,2409,1412,2567,752,910,832,1393,2630,4012,6046,9493,14861,26774,59592,296120,51426,50849,52753,51069,47212,40595,34755,30773,24389,19530,15958,4106,112061,143996,44306,26275,19725,16200,13665,11619,9842,7834,7636,10256,576
0,42,1295,4063,12519,17210,28365,30719,29947,19198,8745,431,0,414,2041,5058,15040,27786,38274,30318,17242,11379,4933,49,0,1832,15723,39711,36991,20290,13671,9461,7709,4719,2427,0,974,1733,3287,5615,9595,14241,26110,37291,30298,18446,4518,426,649,2462,18892,50677,35218,20896,11576,5799,3035,2480,814,36,0,28629,54776,39607,17086,9507,2424,400,78,25,2,0,0,29403,57276,35961,18547,8132,2765,330,98,20,2,0,315,7643,37578,36178,24822,16341,10480,7281,5535,3543,2532,286,477,688,817,1077,2522,7409,25700,59677,41929,10434,1801,3,714,2417,4957,5207,5898,7315,10255,16955,31297,46898,20006,615,2,52,183,363,1265,3599,7590,16568,35431,56190,30223,1068,236,18794,52604,35086,18276,9941,6473,4987,3662,1796,552,127,139
4001,177209,182562,146129,77555,61139,59519,28219,27037,18872,10944,2083,3051,108291,123808,118042,111721,70880,91309,63334,52998,34821,15895,1119,2309,29760,81168,85494,96922,78260,101858,110480,93627,84096,30253,1042,27539,66212,74402,91708,80234,87054,77036,91423,87175,68315,35466,8705,6680,8887,26524,52686,74679,72081,79140,91785,106422,120573,113435,42377,1,60,691,4697,6058,19839,40649,97234,105675,215187,195878,109300,0,64,830,4639,7024,15492,48646,77221,133782,184086,214748,108737,5885,6842,26853,58892,71083,89453,86750,101233,124197,123798,86373,13910,15648,58590,95218,81667,91819,91618,94756,81664,83686,72059,27392,1152,6152,20414,55394,89380,106669,107860,103003,96014,86285,73213,43166,7719,212609,151328,106617,84017,66700,51486,38395,28264,21509,16828,10915,6601,5610,12313,26041,43031,57269,69246,80024,91913,100528,97412,104272,107610,537
0,6624,45256,59500,66660,79648,75303,72217,56183,28173,3745,214,448,12646,44353,63053,58527,75485,84197,74142,49243,27425,3879,125,6397,14289,43687,59778,61906,58121,58658,61501,65603,49057,14402,124,33393,40859,36668,37254,42873,51935,61952,68785,63634,42500,12844,826,19578,11514,29566,44180,54931,59464,56367,54732,53685,52589,40947,15970,0,136,9672,11437,22415,67819,93759,111539,73178,63911,30975,8682,0,138,10698,10486,26600,59695,107479,96655,85517,56145,31645,8465,17337,6814,27664,46468,51245,56670,62950,66373,61216,53165,36381,7240,22178,12811,26825,49385,60938,71592,74520,66173,57038,39869,12024,170,15828,24334,54598,45315,41602,44499,52948,64124,70119,58265,21360,531,33366,55753,52541,48923,46950,46442,47931,47872,43430,31963,18038,20314,13184,11154,31266,45617,53134,55975,60501,66616,60853,39377,30020,25826,125
521,6877,2600,3218,5235,15253,25085,41159,93014,314257,283774,86406,43,8801,32821,23917,27482,32095,65217,112441,179903,224352,151560,18767,545,48941,55581,38020,51929,77360,125263,155677,179370,96835,42493,5385,15805,34917,61381,86092,109811,141466,169595,143044,80919,28460,5453,456,55954,72643,60179,96678,94226,95949,104901,110276,97044,59947,25034,4568,0,226273,143449,142431,98114,118160,60178,44619,19820,19952,4010,393,0,225903,157636,130825,108621,95732,75157,35765,25528,17007,4847,378,74044,60120,84801,84934,88371,91083,99378,99849,88357,61988,33128,11346,4097,21543,40207,49466,52080,67923,107423,183838,206272,106379,34775,3396,32033,30079,66638,111013,132300,129135,113923,88821,65273,57448,48342,2394,285,4241,17046,34867,49601,59675,68820,81514,98488,116703,235560,110599,26869,87172,78775,109671,118309,112898,105793,93074,68973,39624,26288,9953,153
2149,14096,17577,19029,20349,20076,19721,21732,22863,23140,9145,4514,7982,37094,27455,20202,19387,21177,19240,19367,12016,4136,5598,737,14071,42076,35770,27329,24051,22146,14561,5593,2678,2991,2942,183,12834,31053,36140,36739,33932,22035,12281,5822,2531,852,158,14,4063,37846,31752,25766,21093,20308,18826,17520,11980,3868,1222,147,5,68603,79079,31534,8748,4244,1316,635,170,56,1,0,2,70372,81950,27160,9149,3380,1592,534,202,49,1,0,12196,32788,31841,26654,23302,22270,19753,12881,6120,3245,2345,996,8490,50398,34336,26744,26121,21336,15690,6282,2116,1452,1305,121,4078,5263,4304,6343,11201,17638,22060,24648,25849,28792,30571,13644,134,1766,7500,13697,16457,18232,21005,25498,29610,30717,27637,2138,1969,22326,24920,24992,22872,20771,19218,18122,16162,11474,7022,4543,320
0,0,0,0,52,1817,7850,26532,51448,92632,75009,6126,0,0,0,16,802,5858,16342,25570,46964,98263,66525,1126,0,16,3476,12864,17053,19082,31769,45666,63627,56929,10484,500,3573,3713,6914,8710,9676,9253,12857,19234,34223,72574,75047,5692,3207,1971,8014,16440,27108,38637,44898,53708,42435,19925,4391,732,0,48,880,34928,52810,52006,37435,32305,18414,18958,9310,4372,0,44,1069,33241,58849,44060,42645,27880,22722,16431,10018,4507,2443,4430,10905,17262,27877,33785,40162,43563,40612,29142,9919,1366,2343,740,1106,2711,5540,7804,10403,20972,62092,117722,29467,566,3095,3159,6035,15129,27670,41821,50804,49860,40136,15080,8488,189,1,3,47,585,4000,14334,30294,47281,62374,62331,35368,4848,1790,13755,37946,51336,52588,41061,28696,18696,10129,3823,1437,209,161
