band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,census_code
973080,63908,19676,3112,473,951745,61302,31550,14252,1400,899653,85024,43239,28094,4239,341819,319401,215411,135872,47746,631639,183171,96268,84332,64839,26474,606013,264744,115846,47172,47991,578753,270884,121493,41128,705711,164854,75271,66879,47534,827976,146502,58414,24029,3328,23819,32255,60119,111744,832312,298624,190152,185477,232314,153682,574496,184776,94304,74237,132436,563
5212,54428,187764,216736,39993,2022,47167,197709,212405,44830,4418,56478,212378,206711,24148,29566,79309,153696,202534,39028,7162,39622,213435,214273,29641,621,26520,76862,116005,284125,757,25777,76175,126005,275419,6481,39830,175266,223563,58993,7588,44633,174633,243599,33680,19009,121819,201306,142797,19202,9601,166586,211822,98499,17625,12161,118914,196268,131265,45525,170
23758,117133,104086,71507,20391,20272,111582,115407,66149,23395,36318,115533,93301,63904,27759,46122,43392,60729,105446,81151,23698,40912,83942,116077,72859,177,1155,20070,81286,235300,194,1189,19616,90819,226170,28236,62937,84563,99802,61642,36965,50731,98527,114912,40473,26528,58582,67360,96196,87326,109676,114112,58200,25796,24304,37695,68690,73933,70691,81636,617
404755,10957,2573,977,4153,389337,19478,7667,2992,3941,371843,30654,11541,5802,3575,54348,61121,98036,146260,63650,245782,89915,44412,28364,14942,67726,263537,68757,17076,6319,77697,253355,68735,17655,5973,288236,74901,31245,19117,9916,249526,118858,38445,11873,4713,1994,3890,12289,36675,368567,123598,120307,91925,60191,27394,277853,64918,36026,23799,20819,576
266,13235,55740,66583,16710,970,19657,73875,49375,8657,4736,83731,41639,18434,3994,3818,14610,50085,73477,10544,6096,95781,39958,8954,1745,48815,89671,13703,342,3,53480,84777,13948,326,3,21507,81312,32191,13494,4030,1471,3496,42089,101054,4424,5026,12921,21465,73679,39443,108,1332,14009,82021,55064,39688,82554,20216,8893,1183,139
272962,309440,128572,63708,20587,165652,258034,206507,135578,29498,58401,210252,233845,227903,64868,127215,193863,200474,205703,68014,22919,130832,188125,248230,205163,194,10634,83504,288919,412018,234,10155,80569,316726,387585,19491,134397,209563,283404,148414,105165,233380,194998,209347,52379,45274,210868,252641,208734,77752,410109,198791,108075,54440,23854,26471,105237,179248,234590,249723,537
21057,142838,184955,133099,11574,27760,140191,187480,126082,12010,35614,137248,141691,147872,31098,88883,92797,137081,148040,26722,40718,106759,139372,128285,78389,1508,37641,194999,197178,62197,3106,36704,196605,201318,55790,32123,106516,143444,147817,63623,43450,114679,175544,134231,25619,62525,110879,117597,160582,41940,110716,117397,113275,102442,49693,34565,108923,140232,140387,69416,125
8623,9338,47870,277991,533577,22887,62809,114970,416834,259899,73361,107295,249354,369284,78105,71831,216226,362298,214429,12615,147133,214038,240978,226559,48691,269940,332044,202127,61330,11958,286258,312388,204187,64989,9577,164727,208696,229548,209698,64730,39900,119993,212078,436137,69291,83135,261942,290359,167908,74055,9316,85770,154723,231201,396389,140711,256564,262172,168744,49208,153
22822,45296,50097,53989,22187,56654,52721,47445,29720,7851,72291,65721,43406,8555,4418,56892,87181,42825,7100,393,55743,60823,46747,28750,2328,102107,85203,6448,620,13,112778,74449,6524,628,12,58634,64134,49283,17828,4512,73967,66850,43954,7627,1993,10892,17484,47415,62243,56357,4024,32034,47368,69049,41916,34205,58526,48119,38117,15424,320
0,18,14347,122130,124971,0,350,27643,116975,116498,470,28083,63751,140015,29147,9548,20425,28609,86893,115991,7891,42982,99687,100578,10328,112,81920,105050,53345,21039,151,81925,104416,55819,19155,11427,45192,89229,94484,21134,3364,7283,23030,150771,77018,7938,40624,109487,91058,12359,6,3303,53838,140971,63348,27104,120505,83978,27268,2611,161
0,1977,9502,32366,52050,130,6051,13961,41065,34688,1822,10764,24762,45913,12634,10290,12237,17016,42001,14351,11201,32518,31500,16706,3970,12976,60768,19978,2142,31,14885,58608,20221,2155,26,8811,23845,29701,25267,8271,1511,4526,12935,63280,13643,14636,19818,31522,23290,6629,69,4501,14976,27088,49261,22439,31197,25885,14304,2070,88
23218,163269,297391,293592,106973,18150,179202,259535,279155,148401,33530,135799,219871,279198,216045,149110,154546,176409,236969,167409,69620,75849,182822,261910,294242,495,48395,176695,245824,413034,617,46650,177907,265104,394165,79829,87637,186942,273943,256092,66976,166028,223537,247161,180741,160327,359596,157151,122937,84432,282922,289169,163652,66914,81786,90323,75276,117396,218536,382912,559
100831,336272,363464,201165,14296,143019,360141,313810,183289,15769,135849,330118,291164,196636,62261,354895,336092,202405,98933,23703,180088,241676,246933,233747,113584,796,73258,281156,391097,269721,962,72651,283844,410393,248178,180995,258058,258818,253959,64198,302697,374099,201697,100555,36980,114235,304557,295227,227990,74019,185298,261142,205226,191962,172400,92291,195338,242091,276146,210162,517
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,587
146146,42438,10020,2851,956,167912,27228,5440,1087,744,163954,29634,6410,1784,629,12105,17733,36839,76903,58831,76910,68295,35550,18878,2778,705,30835,114265,45518,11088,802,30149,114696,46952,9812,124791,49830,19224,7959,607,47736,91879,48622,12858,1316,2015,3658,7386,18797,170555,51231,48711,40075,39941,22453,128743,39872,14597,8671,10528,588
15250,98982,87068,104294,50368,42494,131796,95246,67755,18671,141361,123820,60722,29057,1002,29974,53773,103490,133586,35139,112421,188048,48588,6491,414,23249,283636,48431,639,7,24528,286831,43956,640,7,122678,160899,58120,12997,1268,22598,73092,151152,107400,1720,11016,28447,45092,90310,181097,68,3286,22093,157332,173183,176891,131138,35583,10907,1443,216
