band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,census_code
946858,77600,25644,8427,1374,346,927665,71140,31345,20880,8541,678,868770,96565,43384,29885,20086,1559,276549,292605,217342,143775,96219,33759,570230,204635,90981,71947,71763,50693,7896,459728,334926,139571,91926,26202,8446,467218,316520,145298,94791,27976,650007,184394,76372,58651,55533,35292,778101,165453,66645,32615,16156,1279,22116,19844,40715,61015,120766,795793,264383,163062,148394,173023,194696,116691,511294,204426,94543,69622,59003,121361,563
1614,34730,88115,213373,145584,20717,720,18830,105598,202098,157322,19565,1782,29152,118515,216311,125945,12428,19760,58913,90516,171185,143130,20629,6003,15916,106215,225687,134256,16056,291,10892,50192,74154,125464,243140,286,10896,46907,72667,125577,247800,5018,19222,87703,194791,163246,34153,6279,22516,97728,184463,177907,15240,11054,77714,148090,167479,90105,9691,4346,92297,198738,138728,58325,11699,6687,68175,155498,152061,88728,32984,170
12367,87325,98686,78775,45959,13763,8723,80511,107421,76400,47157,16593,20481,95253,89570,63737,48297,19477,40994,34116,41935,66437,91604,61754,20163,26553,55144,84111,96870,54647,59,432,6975,29235,104103,197184,67,369,5848,27256,101431,203017,22246,43716,65381,76398,84031,45408,27113,44344,60751,91767,90295,27338,18725,45874,52191,62736,90688,65778,86988,105250,66878,33694,17946,21332,29185,52583,62025,60282,57961,70609,617
399119,14874,3291,1386,792,3953,379611,25539,8395,4234,1948,3688,357930,38376,12608,7666,3725,3110,45329,46933,61053,105006,118970,46124,213181,100849,46816,29544,21983,11042,39341,230954,107827,29414,11705,4174,40070,232274,104032,30440,12235,4364,264575,81774,34882,20410,14576,7198,210708,132150,48633,20916,7029,3979,1662,2225,6642,15539,41635,355712,102275,103822,87807,65528,43919,20064,256057,70581,35925,25284,17676,17892,576
42,5358,29729,59084,49145,9176,414,7099,42826,68592,28621,4982,1832,55434,57281,23132,12428,2427,2707,8902,23836,63401,48744,4944,3111,69569,56114,17375,5515,850,28629,94383,26593,2824,103,2,29403,93237,26679,3095,118,2,7958,73756,41163,17761,9078,2818,1165,1894,9931,85377,52363,1804,3131,10164,13213,27210,78195,20621,54,546,4864,24158,91621,31291,19030,87690,28217,11460,5458,679,139
181210,328691,138694,87738,45909,13027,111342,241850,182601,154643,87819,17014,32069,166662,175182,212338,177723,31295,93751,166110,167288,168459,155490,44171,15567,79210,146760,170925,226995,155812,61,5388,25897,137883,320862,305178,64,5469,22516,125867,317868,323485,12727,85745,160536,187983,247995,100283,74238,176885,183437,176420,155745,28544,26566,144774,214529,199017,159498,50885,363937,190634,118186,66659,38337,17516,17923,69072,126515,171937,197940,211882,537
6624,104756,146308,147520,84356,3959,13094,107406,134012,158339,76668,4004,20686,103465,120027,120159,114660,14526,74252,73922,94808,130737,106134,13670,31092,73746,114395,111099,106274,56917,136,21109,90234,205298,137089,39657,138,21184,86295,204134,141662,40110,24151,74132,107915,129323,114381,43621,34989,76210,132530,140693,96907,12194,40162,99913,86101,117072,128384,21891,89119,101464,93392,95803,75393,38352,24338,76883,109109,127117,100230,55846,125
7398,5818,20488,66244,407271,370180,8844,56738,59577,177658,404255,170327,49486,93601,129289,280940,276205,47878,50722,147473,251277,312639,109379,5909,128597,156857,190175,215177,156991,29602,226273,285880,216274,104797,39772,4403,225903,288461,204353,110922,42535,5225,134164,169735,179454,199227,150345,44474,25640,89673,120003,291261,312651,38171,62112,177651,261435,202744,122721,50736,4526,51913,109276,150334,215191,346159,114041,188446,231207,198867,108597,36241,153
16245,36606,40425,41453,46003,13659,45076,47657,40564,38607,16152,6335,56147,63099,46197,20154,5669,3125,43887,72879,55967,18103,3383,172,41909,57518,41401,36346,15848,1369,68608,110613,12992,1951,226,1,70374,109110,12529,2126,251,1,44984,58495,45572,32634,9365,3341,58888,61080,47457,21972,3568,1426,9341,10647,28839,46708,54641,44215,1900,21197,34689,46503,60327,29775,24295,49912,43643,37340,27636,11565,320
0,0,1869,34382,144080,81135,0,16,6660,41912,145227,67651,16,16340,36135,77435,120556,10984,7286,15624,18929,32091,106797,80739,5178,24454,65745,98606,62360,5123,48,35808,104816,69740,37372,13682,44,34310,102909,70525,39153,14525,6873,28167,61662,83725,69754,11285,3083,3817,13344,31375,179814,30033,6254,21164,69491,100664,55216,8677,4,632,18334,77575,124705,40216,15545,89282,93649,47392,13952,1646,161
0,736,4603,12599,38782,39175,26,3442,7905,18646,44576,21300,984,6773,14043,31219,36681,6195,8043,10651,10476,21992,37156,7577,6627,25292,29154,21466,11064,2292,7278,51440,27994,8555,617,11,7245,51074,27552,9297,711,16,5497,18707,22619,25331,18175,5566,1223,2569,7144,20441,58303,6215,11874,14410,22910,26993,15272,4436,16,1850,9224,15354,27598,41853,16089,28716,21489,19817,8642,1142,88
10668,110136,205915,260347,226874,70503,8032,114857,201061,215888,247671,96934,16410,103846,150385,205116,254450,154236,125387,131557,129053,163962,207870,126614,57914,56899,102886,192853,231505,242386,44,15529,114737,161894,270464,321775,62,15614,108286,158749,269018,332714,64292,70751,106022,196092,244329,202957,46902,117647,181619,194909,213036,130330,65443,375104,168383,108521,104535,62457,230550,254505,186281,92668,48773,71666,77527,61169,75880,128863,201844,339160,559
