band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,census_code
841958,141214,41286,19480,10436,4155,1132,391,197,837928,126213,34664,23126,17280,11819,7117,1876,226,771726,143768,49841,30655,23824,18790,15125,6319,201,153272,238004,177878,150167,115670,95280,71438,43647,14893,375083,289855,109927,63896,52298,46734,47702,47794,26960,0,72411,395213,242891,136539,95067,56928,49787,11413,0,87195,388469,226430,151776,83612,67561,45779,9427,490889,246949,96563,56052,40794,38177,35418,40335,15072,634998,217390,91166,48827,30158,20275,12271,4972,192,20596,5024,16340,25208,33115,43407,64636,158942,692981,206062,114210,107173,102685,101237,117495,130941,122971,57475,333865,273438,108417,67892,51472,44801,40422,38678,101264,563
7,9545,26792,50451,98393,152644,111641,51761,2899,35,3637,15878,51257,117402,139037,113659,60215,3013,99,6738,24097,61416,125379,148031,103181,32282,2910,7768,29536,41369,53521,86807,121373,109046,50160,4553,4892,3277,13750,54808,123802,153292,108262,37324,4726,0,1228,9955,28990,38703,56653,62235,119191,187178,0,1311,9871,27094,42352,50128,74437,119939,179001,3860,3983,16397,45681,98325,138488,118144,69842,9413,4856,3835,20104,49643,98771,133777,139787,50808,2552,6157,21274,61337,91926,114971,108672,72150,25857,1789,1157,14695,80791,134796,118955,83715,47111,16460,6453,2272,15465,57125,99307,111568,96684,66715,39680,15317,170
1139,30657,67896,63566,65848,48047,32565,21086,6071,720,26968,61546,75835,59237,48749,34574,22566,6610,3567,47965,64202,61199,49873,42235,34646,25808,7320,26479,24433,24198,24659,36956,46757,60369,60602,32387,14783,12408,19525,32559,47552,59144,65408,56894,29215,0,196,295,2471,9954,23785,46558,99486,155243,0,209,227,2081,10915,20108,56880,100461,147107,14849,19379,31734,40744,47593,53442,54782,52929,21728,18035,20252,33170,31058,50777,70683,59740,50275,7618,9285,23142,32172,34381,36815,43731,55782,70843,29841,48936,75967,67335,48941,31714,19917,12997,10059,16222,17247,27021,37500,41278,41401,39628,39444,37576,51550,617
373247,33694,7052,2503,1418,756,471,687,3587,346524,46842,11784,6164,3958,2507,1495,1105,3036,310191,68271,17844,9157,6385,4732,2804,1600,2431,28612,32486,31164,39781,53753,72525,84597,60029,20468,123929,137521,52580,33997,23750,18613,15264,12189,5572,4281,96448,169566,86202,33953,17086,7921,5841,2117,4263,102365,165716,80823,38102,15547,9048,5570,1981,194495,107557,44297,25400,17200,12692,10011,8316,3447,140895,127529,74434,37563,20965,11021,5607,2431,2970,1063,1151,1673,3812,6543,11826,21800,52892,322655,68313,69100,68684,61086,51568,40681,31466,23407,9110,183589,105100,37949,25479,19827,15903,12645,9947,12976,576
0,387,5013,17929,28610,42274,37891,18821,1609,1,1611,5901,23469,43916,44033,21473,11613,517,153,9115,47998,45255,21613,13545,9687,5084,84,1508,3188,6913,12810,27413,47014,38177,14321,1190,1260,9031,62389,43537,20877,9075,3900,2350,115,23,66009,56980,21992,6465,960,92,12,1,24,67786,54830,21570,7339,865,113,6,1,704,30961,50049,31464,17040,10420,6951,4109,836,734,946,1379,4178,19420,71710,47342,6778,47,1130,5287,6878,8147,11466,20810,46487,49544,2785,6,151,443,2076,7219,19727,52732,66020,4160,1590,53099,52031,22366,10454,6857,4481,1425,231,139
27793,271319,210789,93369,81271,51792,33798,21003,4135,16152,196241,140799,126949,109729,100566,66664,34889,3280,7042,71130,120559,127712,117238,142570,126702,78121,4195,48309,100688,110864,100452,113881,121414,110665,71833,17163,8304,21876,64597,99347,99343,118995,144326,165009,73472,6,381,5062,11041,33389,119350,159293,274696,192051,5,399,5129,9904,36656,101823,193585,273367,174401,7110,19979,71383,100155,114211,134153,163930,150905,33443,30741,106705,113677,133807,104757,121293,109283,70946,4060,9126,51775,110439,142819,140351,130376,113034,79925,17424,270226,168494,115851,85062,59920,39863,27471,19555,8827,8544,24960,53491,79106,99406,119940,133972,130135,145715,537
134,30403,80843,95473,100607,97748,68618,19176,521,2217,36651,81632,81278,106323,104750,60937,19490,245,9130,38793,76228,81156,76587,82443,84577,43896,713,46346,52787,49041,58157,77184,90204,82082,34953,2769,22044,27073,55721,74289,78059,73146,71255,64715,27221,0,5812,15433,42380,99313,153839,96108,61392,19246,0,6611,14711,39428,110781,140220,108865,56168,16739,18720,21358,58205,69932,78908,88398,79755,61697,16550,25368,26748,59083,84990,98841,89392,72261,36063,777,17934,59109,63032,55918,64338,82917,92226,54878,3171,51855,72765,65963,62471,62919,63805,55378,33521,24846,15700,27519,58002,71719,76983,87524,76201,44062,35813,125
3206,6031,3979,9026,26602,51104,176347,436677,164427,911,27810,36861,38180,55768,143287,261088,273203,40291,6091,83474,53522,71315,142546,196368,220099,88545,15439,23545,60980,113670,159726,202076,202114,94899,19126,1263,90674,71758,123022,124484,139463,141405,121180,55067,10346,33759,281773,196621,143549,108924,68598,26570,16429,1176,25986,298274,190104,135178,119973,60124,32532,14288,940,99590,88795,115514,116322,131619,130740,112317,62821,19681,8627,42189,64497,72059,111424,227781,252692,86738,11392,39997,61154,138612,176442,163490,124247,84598,78738,10121,858,13142,42439,68659,85618,105333,134479,193354,233517,67235,94819,140433,156336,147017,126721,85033,41427,18378,153
4437,23180,25234,26725,27336,27817,30385,22670,6607,18818,45851,28064,26286,27355,25530,13583,6282,2622,26470,54995,37781,31779,24931,9641,3617,4424,753,21785,45029,49952,41920,23134,9016,2899,617,39,15863,48051,35513,28333,25467,23947,13878,2934,405,7142,120471,51608,10862,2986,1095,203,24,0,6412,125531,47541,10360,3320,975,232,20,0,22974,44054,36451,30993,28472,18741,7326,3736,1644,26809,56237,36922,31401,27395,10633,2573,2056,365,6264,5733,7991,16402,26826,32319,35007,40449,23400,399,5688,17010,22228,26104,32860,39963,40420,9719,8335,32556,33316,30010,26495,24478,20653,11901,6647,320
0,0,0,232,5674,30345,75956,130321,18938,0,0,16,1749,16718,30105,71413,136078,5387,0,1479,14877,23223,31907,58440,88195,41735,1610,4055,7621,11234,12088,14965,23967,52489,112123,22924,3624,6515,19493,39589,55510,69252,51902,14084,1497,0,283,35573,73591,53875,47090,24758,18529,7767,0,310,34044,71384,59319,42731,29397,17066,7215,2938,11044,21058,38628,49325,57434,51878,26336,2825,2692,974,3234,7276,13175,24268,98718,109018,2111,4335,5138,17945,40185,62485,67485,47806,13793,2294,2,20,614,7210,29372,59327,84571,68271,12079,5212,32811,66804,67654,46423,26964,11939,3067,592,161
0,5,731,2598,4745,9859,20791,43426,13740,1,526,2941,4687,7882,13982,23601,39692,2583,16,2503,5238,8899,12352,24011,25704,16407,765,3711,8032,6951,6533,9292,16643,25361,17653,1719,1254,12796,17869,19804,17579,13237,8189,4686,481,126,19793,38799,21774,9683,5092,566,59,3,104,20745,37470,21328,11006,4515,676,49,2,939,10476,12789,14480,16711,16759,13313,8487,1941,806,946,2040,4225,6711,16649,42904,20778,836,6825,9561,9898,14324,17755,17824,11536,6463,1709,1,167,1698,5350,8354,10874,15886,30312,23253,5426,21208,18171,14268,14792,12246,6816,2694,274,88
1391,39532,79881,129479,162100,174683,163093,108121,26163,766,29894,92229,116968,153803,146178,163404,157306,23895,2707,42652,74897,92171,121208,142122,155126,214408,39152,74034,94867,88043,85355,95899,111761,136447,137649,60388,31153,45474,38186,58882,98884,137973,148569,171595,153727,0,1025,14548,65736,87637,123258,130112,249326,212801,0,1146,14530,61532,98142,107361,156017,249083,196632,36989,52253,45801,59375,105629,137110,154005,180258,113023,22816,53091,88642,113428,128580,134520,136009,163372,43985,9728,216406,214413,122341,85506,69057,68268,71972,26752,141074,176464,167517,135671,90601,52677,32609,42237,45593,52617,45709,40370,47117,63784,93842,129701,152795,258508,559
7962,129018,180087,197167,204347,186216,90187,19391,1653,18064,172794,192621,201169,171886,147829,85652,25556,457,19494,150514,188556,174574,167331,132127,102759,77546,3127,183085,211733,200999,154325,109032,75034,51097,25898,4825,81081,124833,132424,138073,136583,134237,129203,113337,26257,0,1376,33775,72767,137996,241453,205319,210012,113330,7,1528,34704,68371,156189,212942,240626,196850,104811,80122,129449,143753,145216,146045,140336,139327,90312,1468,132696,211172,219729,170847,111038,71311,53344,42625,3266,49084,94295,169940,175206,164807,145576,122148,82867,12105,66137,149854,148596,131172,113288,106000,106465,113144,81372,38757,72342,105929,120781,134468,148600,155932,139118,100101,517
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,587
64687,90778,25305,10614,5670,2802,1474,396,685,91519,83196,16765,5782,2564,1329,463,359,434,105706,64732,17969,7307,3445,1690,802,519,241,6966,6604,8865,13105,19926,31112,46121,47548,22164,26408,60615,39608,28800,19019,14186,9723,3653,399,14,1632,15308,31821,63590,56595,18800,12371,2280,11,1745,14963,28617,71154,50241,22451,11459,1770,55237,80669,28991,14935,10591,7541,3532,805,110,17337,40651,53013,43994,25829,14008,5832,1265,482,1512,709,1830,2920,4120,6026,11090,32616,141588,26728,30478,27832,24243,22380,21681,22274,20061,6734,60582,76420,23537,12177,7974,5869,4523,3746,7583,588
19,26139,56424,49543,49139,55188,59803,42103,17604,347,59297,75484,64815,50168,43977,36010,25342,522,24834,136333,71415,49629,32534,27329,12410,1307,171,16458,18090,26991,39535,54847,79222,75292,39269,6258,17742,123980,115871,62136,24626,8845,2182,556,24,0,37724,173252,128580,14801,1432,160,13,0,4,38723,161725,136048,17847,1423,179,13,0,24915,122116,97794,58197,31422,14532,5241,1433,312,11296,15607,35600,55732,85898,107228,41545,2877,179,4361,9246,14659,19860,24936,32089,54696,106432,89683,1,143,1332,3887,10869,34788,101607,158392,44943,44738,158833,80417,35393,19113,10421,5018,1792,237,216
6265,40338,57611,61038,72921,85265,77038,54279,20635,3733,50691,85796,78267,79626,68841,57947,37220,13794,14816,102698,97745,67631,58089,49012,44801,31190,10515,34651,28177,27162,32669,49402,77122,103927,82369,41589,30610,28655,58984,76996,73195,74498,70065,48802,17239,5854,18554,48578,92626,107428,115869,53751,32721,4157,5677,19208,48223,83616,118299,107126,64573,29397,3419,32054,70954,81264,80850,71414,59968,48323,25616,7919,27086,28044,35641,52629,79616,90627,92419,55251,14118,10182,19464,35137,41785,49465,66002,89858,109214,55375,12780,55850,81308,82226,68802,52253,42827,37877,41977,32304,76414,78981,75120,67514,57962,44827,28502,15405,547
257437,38061,4666,1893,678,299,98,92,27,244127,49575,6398,1691,834,351,160,99,16,229484,55342,10547,3887,1832,1110,625,408,16,15625,13119,16469,28101,39454,50260,68233,45649,26341,68983,101603,60342,35922,17001,11024,5974,2079,323,89,5692,12802,32829,99976,120582,19354,9806,2121,85,6138,12993,30223,114125,103938,25314,8673,1762,103919,135073,34936,13458,8177,4937,2104,598,49,67747,108587,66599,31774,15289,8392,4132,710,21,3833,1360,2007,2316,2872,4225,8263,30236,248139,43911,52035,42882,36617,35557,29804,29525,20704,12216,113314,115775,35469,14173,7634,4856,3650,2801,5579,589
52,32160,182743,220909,192800,140084,53810,7541,158,911,9222,86755,227919,234267,147239,98789,25077,78,1212,3534,29849,89296,175137,220990,200741,109313,185,166130,233226,183208,136987,73848,27469,7622,1564,203,7014,77679,226346,211054,153854,91673,50943,11465,229,0,1471,1765,2268,10788,54905,90974,179582,488504,0,1488,1752,2018,12209,49044,106774,182325,474647,3106,12274,114116,243503,221672,143456,84004,8099,27,33915,128695,182450,190454,143291,93920,45167,12263,102,20951,353793,224629,113679,61032,32904,17301,5692,276,494,6779,25155,58997,107628,178657,257288,182100,13159,2794,13685,68593,153360,226145,211137,113102,36070,5371,514
36181,186000,97605,128459,181134,192660,71091,11919,786,121618,115483,106262,154492,167055,121534,81399,36586,1406,116808,102519,119966,147561,132310,120569,104828,59047,2227,32410,88302,148426,182498,190972,150154,86119,24679,2275,45687,87562,67824,85325,108983,140402,156560,156875,56617,279,97319,184154,136562,110500,159420,97525,65125,54951,295,103658,179663,126988,121048,147036,112155,63040,51952,60608,94003,80296,106930,126665,126308,138671,133076,39278,93466,118724,129151,161833,154214,124072,79148,42428,2799,11247,22996,75433,128521,167453,158311,117453,118420,106001,150517,225317,171508,111805,80740,63988,49058,31990,20912,17254,95013,78221,81185,105683,135609,149194,124037,119638,406
3,5107,20364,23703,28992,35762,42474,47132,19934,133,20235,33324,34058,32531,32943,34071,30499,5677,6258,58233,47240,35276,27207,22841,16729,6220,3467,14873,14240,22583,34914,42612,45600,32260,14015,2374,17056,72763,68497,38152,14226,5307,2816,2372,2282,27,25582,71031,93792,25655,5332,1413,606,33,13,25702,66647,94682,29181,4996,1650,572,28,16091,57364,61315,42299,23299,10778,5160,3151,4014,10473,12098,21666,31395,49900,57446,29245,8341,2907,11468,10218,13607,16875,20154,27017,41610,56407,26115,0,36,307,1025,3428,11653,45355,110754,50913,23087,88145,58816,25946,11949,6359,3789,3017,2363,220
0,1799,9684,14881,24223,43307,56291,23541,2074,18,3767,12130,21153,32082,47045,45842,13459,304,211,10521,23880,28524,39431,42410,25608,5028,187,1000,4349,9785,18734,33076,43939,40616,18715,5586,1409,13708,32079,49121,46646,23827,7385,1569,56,1,3115,57681,84685,24512,5066,592,134,14,1,3508,54490,83728,28719,4554,680,107,13,1140,14911,26878,34258,39026,33087,20533,5470,497,317,2394,6913,15854,30581,53320,52081,14095,245,585,4698,11710,21167,28277,34926,40415,31268,2754,14,611,3159,8371,17494,33894,57841,50265,4151,1899,37394,53588,42499,24867,11869,3248,389,47,70
139,10133,32861,54386,72796,137170,194066,231056,36612,57,11974,31024,64077,111765,162359,216564,164289,7110,1461,28952,84119,123183,151083,166680,140395,67891,5455,78756,152553,155160,131296,107273,79577,43028,16228,5348,51119,147524,121474,114095,102178,97958,85881,41027,7963,725,121028,273301,183346,104364,50224,25927,9618,686,651,130352,265518,166454,120965,45979,30945,7796,559,40623,125543,133263,118022,97188,90188,95210,58470,10712,27877,57432,84835,129545,143880,144215,111152,65095,5188,18289,110926,175101,159812,121589,90186,66383,23811,3122,248,6915,29018,58477,79050,91049,115921,225191,163350,16420,110395,143669,121148,101011,92021,94284,66607,23664,335
0,0,32,771,8526,54833,139700,190477,37697,0,1,517,11295,46717,80778,132222,155179,5327,0,1231,30672,80764,87558,96479,91441,42490,1401,4691,5290,11500,30191,96832,129048,100538,49803,4143,3274,17805,55467,79572,88407,89938,71106,23898,2569,0,188,49425,215261,98280,50611,13932,4133,206,0,193,52694,204870,108283,44830,17397,3602,167,2573,32210,57366,65708,73658,82489,72045,40242,5745,1154,3828,19330,40457,85102,93790,123363,63472,1540,4078,13137,32422,59545,89906,118295,97360,17268,25,5,589,5191,21360,56220,96403,116528,114635,21105,2012,41212,100890,107055,86516,56717,25391,9231,3012,150
214,3795,10640,25012,55363,140160,332493,479183,143346,585,2871,4166,9047,25438,74525,212980,654768,205826,551,2961,5905,13381,29005,71884,199792,641286,225441,4200,5993,8668,12372,18767,36843,106206,429752,567405,2578,3247,3906,6111,13386,45864,172862,516792,425460,0,155,1802,6083,23214,114276,289564,482482,272630,0,158,1800,5436,25705,101919,339219,470066,245903,1618,3426,5727,11188,25097,58394,173637,470534,440585,3125,2796,3512,5285,8048,19290,87355,645918,414877,24319,207019,242697,252318,207059,138251,82785,32907,2851,29271,268344,429452,310999,99614,25254,12285,11092,3895,1263,8144,41875,104838,185410,256713,264331,209932,117700,116
0,53,508,1224,1704,5807,27941,95612,27961,6,653,2071,3093,8657,22113,51761,66003,6453,71,3101,5386,12133,22255,46608,41200,28042,2014,5776,10527,11770,16581,23258,28113,37238,25282,2265,2028,21875,30618,31376,28456,23063,14626,7950,818,526,51341,70495,31631,5461,1147,176,33,0,483,53875,68199,30655,6352,986,232,28,0,1541,16945,25144,25649,26521,24238,22026,15174,3572,1000,1254,2417,4748,9032,29993,76337,34623,1406,10953,21140,20593,22482,24241,30299,22208,7264,1630,1,64,792,4406,10108,18654,30402,57105,39278,5051,37227,36202,24242,19508,18341,12619,6312,1308,141
628,11618,31857,70963,122667,157975,197809,190985,26523,1476,11400,10813,38159,95742,149894,211134,266913,25494,8511,8261,17059,40193,86790,154426,220899,248656,26230,27285,11635,16709,28890,56793,120103,209464,274467,65679,23501,5390,6238,13411,38728,111852,230069,242977,138859,0,17072,17597,25578,73914,179178,236761,229141,31784,0,17232,17325,22933,79991,173255,259046,218341,22902,20481,7043,9344,19185,40363,79780,174605,297775,162449,21229,5484,7383,13747,27852,85581,233530,377455,38764,20291,53801,153199,182179,164155,123615,76744,34224,2817,42847,217558,237119,158691,74767,29586,13564,9122,27771,17602,13903,39377,73860,118924,158411,154556,129257,105135,120
351920,24830,5783,2224,1180,440,124,28,9,324745,42670,9033,5235,3101,1250,395,103,6,293581,55480,16235,8604,5960,4651,1795,221,11,88951,42185,33032,24954,27975,28460,33079,45142,62760,140576,70691,49967,40770,32457,22495,18295,10048,1239,210253,161092,12249,1926,617,300,79,22,0,209045,164157,10449,1828,689,261,91,18,0,177245,99298,47645,23347,15608,11065,8390,3811,129,169301,61023,39502,38787,28520,23477,17627,7901,400,105,467,2571,4852,6269,8714,15465,46938,301157,115568,69955,43582,29757,23557,21100,21671,28213,33135,147165,116628,46082,24695,16189,12153,9133,6968,7525,272
