band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_1_12,band_1_13,band_1_14,band_1_15,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_2_12,band_2_13,band_2_14,band_2_15,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_3_12,band_3_13,band_3_14,band_3_15,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_4_12,band_4_13,band_4_14,band_4_15,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_5_12,band_5_13,band_5_14,band_5_15,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_6_12,band_6_13,band_6_14,band_6_15,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_7_12,band_7_13,band_7_14,band_7_15,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_8_12,band_8_13,band_8_14,band_8_15,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_9_12,band_9_13,band_9_14,band_9_15,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_10_12,band_10_13,band_10_14,band_10_15,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_11_12,band_11_13,band_11_14,band_11_15,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11,band_12_12,band_12_13,band_12_14,band_12_15,census_code
83434,630420,190267,58908,33947,24828,16959,9992,5670,3494,1314,509,237,241,29,211782,611020,97928,36586,31255,18543,15344,13080,8897,6914,5196,2620,805,251,28,335341,445725,106813,41738,30916,21738,19135,16167,14226,11849,8611,5926,1830,208,26,54596,146695,147191,117131,104920,94213,87636,74066,61010,50228,41617,33282,26733,16894,4037,73338,397717,150979,91625,64039,48685,42638,32963,30396,27002,27279,25564,22968,17062,7994,0,1940,69980,375048,265398,115778,76695,52807,39797,36778,15620,6295,3473,587,53,0,1949,52568,391451,261237,122507,80301,56433,40638,27253,15939,6443,2908,560,62,232698,319925,145722,91543,54819,40520,31787,25371,22747,21837,20652,20687,18689,11366,1886,298483,321341,154492,79670,65731,43257,35313,20238,17898,11486,7616,3512,1035,148,29,20106,2448,3283,6433,9906,13435,17420,21846,27037,34762,49490,79598,144960,315908,313617,90990,61661,51366,48745,48731,49965,48645,52607,56198,66784,90806,126737,152427,93031,21556,65203,302187,159840,97127,68491,54364,46525,40098,34601,29920,25368,21597,22015,29285,63628,563
0,15,324,1712,6739,16266,34083,50378,65682,74642,75482,91468,78217,8271,854,0,42,761,4905,22150,28231,33443,39331,46802,59589,81968,100591,77798,7956,566,0,414,14593,29943,28797,27302,33895,42300,53659,61107,79304,85911,41926,4480,502,4599,3801,8477,13875,19749,28430,43393,61176,78823,88044,75887,55490,19515,2832,42,3631,1656,9320,19604,27391,35982,53698,65289,73726,75603,67131,45589,19666,4309,1538,0,0,10463,31925,41311,43804,48692,47457,46328,76626,65180,44995,31649,14411,1292,0,1,8758,33211,41130,43474,51619,52777,53244,60665,67870,48475,27121,13371,2417,2959,2101,14425,20311,22847,32759,40890,54912,64713,67260,69285,63988,36913,8574,2196,3555,1067,1347,2406,4911,14242,26461,51415,76630,106802,106830,79073,25778,3192,424,3211,6240,27297,44829,50557,52494,52907,50729,46710,42587,39491,37434,34476,14962,209,64,504,2596,8279,20587,36533,51460,63828,70580,72351,70203,57431,36774,9881,3062,370,7428,22766,34532,47958,58797,65628,64634,59287,50021,38742,26920,16461,9057,1531,170
1175,22333,54280,54889,38586,31427,27209,20939,22622,14769,11429,9331,10108,8693,10173,1103,11044,24135,31729,38665,33492,40149,28388,31034,24340,21544,18518,14982,12519,6364,771,22180,38190,33420,35055,30948,28923,27885,26352,22721,20877,17296,17692,11407,4408,11622,9505,7514,9214,8527,10786,13269,17780,18966,21950,25025,29080,43219,54862,57053,9926,14275,13925,13214,17618,22436,27584,34480,36675,39169,37472,28646,20927,13546,9587,5091,8504,5074,6029,22260,27399,37811,40083,40158,44666,21671,14523,18024,19714,28991,5142,8672,4527,6546,19919,29867,41217,44421,43169,33059,22340,15823,16220,18185,30891,10126,19939,24073,26174,28915,29556,34392,30590,31256,29377,24189,20842,16442,9267,3877,10451,8260,10263,11234,14889,12783,17853,21659,24661,28197,43143,57192,56341,19167,6352,6088,7128,9980,9882,13007,15440,17950,19951,21556,23961,28519,34680,43285,49649,36306,12582,20781,29576,34539,33902,32515,27677,24440,20584,18626,17294,15644,17444,22301,5571,4833,40738,33251,33909,34429,32323,28530,24698,21852,19066,16903,14099,12576,11071,6067,617
330884,73292,10466,4449,1758,952,627,260,188,75,56,37,55,100,216,313872,73121,16430,7672,3744,3181,1937,1434,737,519,269,124,86,148,141,293962,74627,21821,11034,7071,4251,3647,2433,1845,1315,706,328,166,123,86,10355,22995,28277,24567,26583,29905,23873,37300,39476,42230,46708,41995,31409,14790,2952,39736,160333,81940,39435,23734,17146,12962,11035,9787,8117,7413,5710,3891,1768,408,27,9319,229295,119127,37316,12719,7177,4057,2332,1465,465,96,20,0,0,62,9720,214494,133671,36916,13082,7411,4251,2196,1034,464,100,14,0,0,107700,153957,63796,29735,17246,12045,9202,7591,6112,5130,4268,3556,2367,635,75,110700,128816,64353,44540,24170,19333,11598,8767,4949,2705,1889,869,398,172,156,483,145,144,298,444,842,1618,2498,3231,4422,6615,11336,22757,61937,306645,30812,27517,29070,32083,34769,36935,36719,36295,32192,31039,28857,24466,22276,19660,725,24135,204383,65571,35928,22990,16318,12278,9521,7307,5825,4591,3433,3186,3454,4495,576
0,9,185,851,2384,5245,11721,20678,27105,26754,24558,19905,11608,1478,53,0,14,186,676,1497,3973,10873,16297,26754,27553,28691,23314,11099,1599,8,0,104,1321,7043,11045,14938,17158,21541,23966,21081,16858,11622,5028,829,0,515,425,465,727,1420,2967,5244,8913,14243,21321,33663,38483,21682,2451,15,240,519,1176,4549,13742,19065,23512,26955,24596,19331,10781,4811,2438,745,74,0,0,0,1,41,1045,13880,37868,47945,37653,11089,2290,645,74,3,0,0,0,1,38,963,14336,44973,51442,27419,10473,2284,532,69,4,86,330,3820,11306,15805,17790,19605,20523,18317,15686,13060,9058,4599,2220,329,170,363,352,393,624,1116,2007,5931,20891,43859,50477,19989,5444,915,3,218,1201,3216,4630,5920,7442,9411,12043,15816,19746,23207,24852,19708,5101,23,4,64,189,422,1383,4173,9131,15130,21342,27114,30525,27022,13548,2394,93,4,1011,14827,26919,28648,24627,18587,12870,9533,6948,4642,2435,1075,362,46,139
0,283,5450,29708,70712,90407,100527,103732,117627,103176,77484,50082,31503,13654,924,0,182,8098,39188,73734,70673,73146,72961,84134,94844,100471,98057,69244,10139,398,0,384,4856,18739,43949,70107,75247,77914,82417,83669,93115,111238,115342,18026,266,33203,74381,61278,53678,48845,48579,47356,48779,62424,68257,80594,86122,60198,18890,2685,3698,2300,11161,27191,43157,51911,54453,59338,63206,69660,74740,88694,101006,92376,52378,0,3,37,1798,2491,3700,5976,11973,28788,86528,129543,127422,179675,138380,78955,0,3,23,1668,2693,3569,6278,14221,36587,77031,121164,141275,166250,138981,85526,3315,1919,4786,14514,41367,62028,65524,65872,67567,72206,80411,96955,112128,88836,17841,9813,39601,46101,50144,49507,54282,49862,54338,59199,69555,92629,108698,96449,14765,326,2819,18544,64101,100319,114903,108975,98810,84706,68815,52521,37846,24486,12209,4609,1606,78233,115185,94820,74511,62157,54957,51154,50231,49407,49374,46916,36370,22912,5914,3128,1827,5858,6349,11235,19298,30401,42720,59202,77294,90498,92832,86952,87824,104274,78705,537
0,7081,22320,50145,60728,65372,65710,63332,61529,51435,28473,13190,3462,619,127,1732,6553,18624,31092,41632,50998,58675,67079,65671,58573,48380,33040,10744,623,107,5148,6403,16725,24832,30310,32865,36748,41393,49057,60512,73959,70043,42070,3354,104,24913,37092,32298,27462,26060,29353,33494,38878,48835,54647,59343,50883,25008,4953,304,13877,4968,14099,22361,28645,38594,44365,46339,45102,44802,45676,46384,46252,34490,17569,0,3,5617,8282,11987,18113,27342,37508,49702,79516,64666,46564,51442,43197,49584,0,3,5081,8633,12107,18068,28869,43575,57027,65139,63698,50828,46863,40626,53006,12399,2228,7006,16582,24810,31558,39422,46177,55684,59265,56406,54552,47708,32234,7492,16944,8206,12765,21639,29163,41983,47913,58713,64667,59960,55492,45102,27861,2997,118,11585,36892,50074,40746,42095,42938,42150,40408,38096,36259,34811,33601,27642,15007,1219,41855,56765,45774,39235,35695,35612,35243,35405,35521,35207,33588,25964,16917,9238,11504,3735,11658,18334,25483,29533,31590,33657,37277,44674,54165,54717,42969,35637,39064,31030,125
0,124,7406,36870,40355,29556,24207,27931,66691,142082,233493,174268,65049,22527,6840,0,26696,74407,27340,16665,26708,58418,111170,165129,159266,110249,59410,26234,13293,2414,46,76527,51965,40489,71840,117437,137713,135348,108127,66851,35317,17176,10575,7666,322,22954,39918,60621,65460,74473,87695,109220,119138,123970,87460,54913,23838,6612,1056,71,11902,85635,47364,63350,93956,114352,121472,113805,92504,64091,38052,18000,8258,4002,656,0,2484,123579,178291,179734,185084,107561,54840,26439,13693,3570,1099,693,270,62,0,2345,116151,177641,196477,175110,111927,57828,24623,9635,3595,1127,618,246,76,30309,60539,47349,69010,88894,101583,107333,107218,92047,73439,50134,26100,12323,6890,4231,20255,89918,36427,30368,41332,68594,106851,141998,143261,109165,55699,19702,7703,5979,147,16301,15663,9736,13302,21251,34297,57295,89158,123986,151406,139244,96521,77597,31363,279,124,1310,4453,9189,16819,27325,41060,57746,76343,100147,131322,149061,145154,108717,8629,2116,43434,72752,92698,125048,133373,121497,97997,72172,48257,29067,16825,11268,9074,1821,153
8091,45626,25357,20570,16480,17461,14801,14549,9537,8882,4030,2348,1941,3131,1587,32040,39556,31825,21178,14913,17646,11617,8407,5517,3298,1878,1592,2131,2369,424,43605,41467,33426,21275,14546,12391,9827,6474,3583,1898,1400,1472,1661,1239,127,5854,11965,15691,20392,25907,27870,26624,21556,15799,10168,6014,3604,1967,845,135,1730,40489,31541,24342,21504,18456,15607,12880,10743,8315,5190,1919,839,566,270,3,59797,103632,22679,5715,1367,643,313,125,101,13,3,0,0,0,3,60191,100854,24740,5985,1444,652,313,121,73,12,3,0,0,0,15483,40983,29862,25267,20324,16776,14727,11538,8397,4922,2325,1146,991,903,747,12256,52060,38943,26374,20716,16753,10548,6500,3738,2434,1397,869,920,777,106,1706,5095,1858,1948,2533,3648,5626,7922,9439,10836,13154,17708,26236,38355,48327,445,1996,5414,10019,12773,14534,15488,18102,19250,22750,25064,23105,17362,7356,733,564,31004,31748,25865,20592,17016,14215,12395,10882,9445,7444,5138,3591,3058,1434,320
0,0,31,238,2328,7316,15527,28992,32566,43987,47391,47738,27658,7041,653,0,2,126,1669,4042,8351,12698,24258,24456,41694,42374,55933,38362,6990,511,0,268,2393,8205,14093,17676,24301,23077,28748,33865,39099,41877,23614,3869,381,3231,637,2319,5078,6633,7468,7921,9780,14651,20036,34544,58330,65107,24832,899,2603,1301,6956,11416,15440,16973,18868,22306,26206,35573,41202,37169,18954,5126,1373,0,0,0,111,1125,3630,10050,33043,32217,47095,48692,41257,33556,9453,1237,0,0,0,100,1006,3827,11930,38336,34285,37615,50050,44794,29015,8912,1596,1888,1722,13609,16131,15125,16479,18236,20959,23476,28722,34418,35117,24949,8767,1868,2581,493,781,2532,4169,5665,6545,9925,16082,28784,45099,70019,60965,7343,483,1794,3367,3478,8108,13372,18211,23945,29570,34664,37175,35270,29108,18309,4681,414,20,350,1600,4712,12163,26170,38208,41754,35619,28281,22680,18980,18994,9997,1938,23,9069,20684,21873,25515,31211,35056,35240,31260,24024,15424,7551,3145,1315,76,161
