band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,census_code
29,3545,28858,57139,75793,88861,90944,66838,61979,9003,27,3123,36992,63999,68606,83235,76844,63781,74637,11745,243,58047,64168,63251,66696,65144,53976,49905,51899,9660,1880,3188,5454,9350,15935,33127,76777,169836,141731,25711,9466,51621,36281,61092,91985,83690,62070,43387,33807,9590,3,5572,58278,118347,109906,61207,58934,36263,22621,11858,3,7748,59880,124600,97547,71934,50893,36328,23296,10760,14963,55151,50699,61254,68380,60732,51735,49211,45544,25320,943,1409,4431,11973,26328,55822,110956,157004,101379,12744,1703,28287,28180,29823,36488,50638,69822,87416,93297,57335,103,1765,13822,44368,69002,99447,105502,64482,61300,23198,51159,61758,85131,92653,70517,45614,32907,25775,16329,1146,80
0,0,20,577,4404,18941,50379,111413,67470,6411,0,25,641,4982,23556,70641,89191,52113,15943,2523,0,761,9699,33445,66494,73634,49276,19966,5116,1224,3711,3104,5665,13215,26835,47066,67111,61800,28562,2546,2758,5884,18495,36731,57600,62699,47704,21115,5698,931,9,1967,12650,50940,100952,44148,38764,8450,1577,158,10,2620,12870,56409,91772,52468,32977,8749,1637,103,1994,5267,20248,39314,55124,58037,46183,24648,7037,1763,1817,1235,5219,16149,33959,57811,77821,55844,8721,1039,4989,2873,4132,10612,29727,61507,85166,52754,7769,86,176,1966,7992,22989,38575,47840,52973,49635,31026,6443,1589,13548,43996,67966,64589,40724,17479,6130,2847,747,178
2,1,2,0,1,1,0,0,1,6,3,6,4,1,5,4,3,5,6,12,0,4,8,5,9,8,6,11,10,16,58,7,5,4,3,2,2,1,0,2,24,30,10,5,11,8,4,3,2,1,0,2,7,23,4,0,0,0,0,0,0,4,10,22,6,0,0,0,0,0,0,0,2,24,44,11,22,15,32,11,55,26,4,6,12,5,2,9,22,27,90,5,1,1,0,0,0,0,0,10,70,1,0,0,1,0,0,0,2,59,0,0,0,0,11,55,16,6,5,24,339
683,24879,65751,125309,156293,205691,163480,162110,195257,75049,2422,13627,28415,59511,119152,166584,183379,215513,312748,73151,2789,12816,38585,81017,114835,154679,196838,236220,269488,67235,11647,9409,11661,17006,27735,49363,85534,178226,413088,370833,7006,6362,10143,23284,69193,148562,232452,277443,278561,121496,0,3589,13410,71089,256558,276328,263584,138552,94461,56931,0,4106,12800,81433,235232,319183,229995,140865,98750,52138,5818,8095,19478,50574,90736,132277,183745,245926,300161,137692,9343,7892,11079,16966,27353,47575,113936,281941,538304,120113,19276,51220,89201,140379,175258,188018,189434,180100,126912,14704,47633,140976,242121,310992,225493,118500,53072,20349,8056,7310,4747,29958,111017,173889,210954,214958,188951,128239,80108,31681,469
0,208,3805,13578,25686,26727,32934,63720,68708,7652,23,6476,27971,29274,24651,30485,46647,52835,22594,2062,302,28475,34466,34005,38368,45745,35866,20817,4233,741,19858,47866,59545,47618,32376,19297,9737,4703,1765,253,18820,34181,43684,42144,36816,28781,19638,12974,5406,574,144,68803,130956,36274,5674,1024,143,0,0,0,209,74433,128633,33815,4648,1191,88,1,0,0,21221,44777,43008,39609,33487,25747,18097,12046,4077,949,10317,19811,42152,49418,45696,34090,23025,14284,3607,618,11402,9256,25370,42732,44597,36163,31635,26167,14637,1059,11,467,3204,11239,18627,25326,36597,50083,63003,34461,10711,17968,40562,47140,42954,34387,24118,13903,8377,2898,352
9721,26144,14597,10120,9103,10360,8276,6861,3600,228,12610,26492,13073,9533,10100,11151,8975,4940,2055,81,11282,29194,12656,10986,12101,11194,7820,3034,721,22,7340,14458,11169,12753,14435,15105,12300,6747,3321,1382,7375,22574,22022,20218,14393,8130,3327,860,99,12,4,5630,36382,39397,14815,2473,294,12,3,0,5,6657,39282,35638,14522,2675,215,13,3,0,13870,23652,14637,13785,13455,10663,5826,2531,549,42,8247,17342,12928,9830,12782,16489,14436,5932,990,34,222,1649,2480,4290,7402,11962,15182,18821,24066,12936,52,664,2803,6313,9361,13004,19311,24660,19859,2983,2219,21067,31353,22196,13783,6502,1641,224,18,7,69
0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,7,30,0,0,0,0,0,0,0,0,0,0,1,2,1,3,9,1,1,0,8,256
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,598
7442,36181,21351,15665,12690,8910,6875,3826,2646,1294,7589,31239,19878,17930,13729,10657,7229,4859,3016,754,12035,35606,21415,14305,11347,9093,6591,4183,2032,273,3747,7114,8369,11523,16577,19000,21425,16856,9828,2441,6068,17177,22128,21942,18557,14501,10100,5341,1049,17,0,3768,22218,35256,30981,13964,7423,2326,844,100,0,4707,20595,39093,27449,15991,5852,2253,865,75,8618,26318,20820,17105,13843,11941,8989,6524,2493,229,5268,10637,13948,17907,21623,21546,16954,6903,1928,166,1073,2220,2748,4090,6144,8711,12479,19121,33254,27040,182,2469,7237,12245,17362,22116,24926,18584,9084,2675,3776,33205,23013,17774,14856,11506,7826,3948,806,170,22
213360,267216,96320,55205,31220,20918,11041,5613,2116,415,139437,155002,115430,80508,67319,58101,41952,29639,15351,685,112594,85410,77785,75892,71474,77141,76777,76609,47575,2167,30593,58305,75685,96821,93425,122947,103805,79148,35670,7025,48813,59991,37566,36652,40877,51014,66236,95640,133051,133584,2,22474,92271,49467,93895,110197,172876,112023,42598,7621,2,37319,74416,61325,83650,140228,148247,108983,43315,5939,70363,49996,40496,40286,45440,49546,69612,97734,149524,90427,58169,117734,113903,95541,85732,67948,66979,56108,38567,2743,3453,18223,76886,101754,90174,75903,68666,66368,70679,131318,401145,87687,52721,38647,31068,27853,24220,19058,13328,7697,71936,49773,34289,31836,34035,37980,43441,48699,66464,284971,574
