band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11,census_code
21,2147,20996,43678,61034,75390,89259,69723,59334,56414,4993,19,1633,23660,54599,60918,69199,73491,64835,59025,69668,5942,134,44386,61885,57070,59683,58549,55561,47798,45569,46920,5434,1661,2771,4226,7255,11342,20944,41330,92162,168181,113436,19681,4386,49592,32595,45029,76604,82714,67583,50814,36674,29805,7193,0,4854,30031,107282,102440,80972,55321,42839,26795,23132,9323,0,4680,37581,97146,110336,74723,57692,41892,29829,19748,9362,8810,52570,44738,52633,61006,59075,51424,45895,44923,40397,21518,862,1134,3133,8097,17584,34643,67414,120929,140110,81811,7272,1006,23558,25914,26419,29678,38641,52702,69512,81307,86659,47593,68,1148,8122,31500,53002,77177,97869,87272,51210,61594,14027,44506,56030,72199,85478,74502,51632,35323,27830,21932,12906,651,80
0,0,6,147,2154,9180,26536,60781,106365,49638,4808,0,12,301,2492,11073,43397,76841,72439,39177,11889,1994,0,388,5746,21379,48800,67159,63432,34167,13681,3921,942,3487,2740,4181,9279,18752,32310,50370,64247,51842,20790,1617,2569,4105,13606,28053,45545,58061,52787,35253,14783,4195,658,0,1683,6576,33144,79434,71610,38805,22013,4653,1645,52,0,1650,8405,29263,85181,65888,40887,21952,5044,1292,53,1867,3572,15243,29785,45254,53238,51073,34735,18333,4954,1561,1701,1054,3299,11614,23972,39327,63053,72337,36667,5833,758,4677,2661,3156,6947,17783,40559,68126,75409,35812,4442,43,136,1367,5427,15738,30018,39932,45361,48992,42635,24940,5069,1332,9261,33394,56756,63716,49053,27245,11578,4255,2515,510,178
2,1,2,0,0,2,0,0,0,1,6,2,5,6,1,3,6,1,5,2,7,11,0,4,6,6,1,11,9,5,11,10,14,58,4,8,1,6,0,2,3,0,0,2,19,32,11,6,3,13,5,4,2,2,1,0,0,8,17,7,4,0,0,0,0,0,0,2,12,13,11,4,0,0,0,0,0,0,0,0,16,28,32,12,18,15,30,10,52,25,7,2,13,5,5,4,7,26,22,86,7,3,1,0,0,0,0,0,0,10,70,1,0,0,1,0,0,0,0,7,54,0,0,0,0,2,33,41,10,5,2,24,339
169,17482,49903,89629,146820,160752,167342,151965,150409,181756,58275,1691,10355,22242,39868,85800,137710,160675,169489,202325,294883,49464,2309,9591,28616,61034,91496,123032,158837,187654,225975,237255,48703,10712,8419,9788,13363,20503,32996,57303,95151,192904,417039,316324,6584,5458,8170,14815,41573,96700,167827,229719,258307,244162,101187,0,3197,5592,43185,144285,289129,262532,181915,102492,98351,43824,0,3250,7310,38862,155304,275958,271732,174396,116281,87066,44343,5429,6447,13569,35493,67773,98954,140092,179242,243031,269865,114607,8601,6873,9371,13359,20253,31586,59550,138920,306661,496991,82337,16422,42336,71421,113825,148663,167216,172798,171057,158652,102593,9519,39090,117274,195598,280411,246733,152834,78678,35703,14830,6575,6776,4304,19436,84367,142912,180725,197788,189719,157087,103263,69472,25429,469
0,47,2348,8203,19193,26220,24159,35118,65074,57021,5635,4,4074,21921,29299,21566,22615,35598,46688,42778,16963,1512,122,21096,33329,29465,34014,38272,39911,27457,16442,2287,623,17217,39892,54569,47690,35040,23251,13378,7040,3463,1262,216,16626,28791,39260,39208,35751,30281,22435,15725,10859,3603,479,3,59123,103901,68468,8757,2322,415,29,0,0,0,6,57875,115595,56738,10199,2094,484,27,0,0,0,18431,38906,41051,36752,31960,27986,20227,14446,9811,2560,888,9554,14769,34695,43953,44727,36333,26320,18609,11089,2478,491,10956,7041,19190,34849,41867,36792,30735,27513,22124,11335,616,8,302,1991,7506,14625,19604,26449,37359,48263,58469,28442,10156,13348,33209,42686,41252,35411,27797,18774,10806,7352,2227,352
7582,24906,14519,10237,8151,8977,9020,7181,5240,3041,156,9808,25674,13499,9098,8828,9855,9254,7263,4225,1468,38,8262,29013,12566,10200,10508,10737,9336,5808,2085,480,15,5835,13670,10556,10936,12471,13557,13111,9888,4940,2887,1159,5650,19985,20614,19184,15324,10233,5359,2074,509,68,10,0,4416,20469,47973,18372,6854,840,79,4,3,0,0,4554,25539,41638,19835,6593,771,72,6,2,0,10453,23558,14577,12321,12503,11444,7728,4290,1701,405,30,6299,16729,12009,9736,9956,13850,14722,11232,3835,616,26,173,1336,2035,3189,5558,8621,12276,14522,18481,22026,10793,36,479,1900,4734,7376,10148,13613,19683,22519,16591,1931,1553,16449,28776,23183,15391,9117,3586,832,105,11,7,69
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,7,30,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,10,0,1,1,0,8,256
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,598
5196,34205,19729,16228,12150,10029,7782,4885,3245,2364,1067,5483,28707,19350,16260,14575,11567,8027,5936,3742,2750,483,8213,34553,21352,14485,11230,9498,7135,5290,3328,1639,157,3077,6278,7309,9232,13415,16413,18636,18788,13678,8214,1840,4860,14769,19360,20586,18405,15145,11219,8154,3730,643,9,0,2941,9679,38686,26783,23539,8826,4034,1518,822,52,0,2987,12360,35231,29275,20974,9713,4031,1571,687,51,6124,24630,19972,16171,13732,11827,9744,7373,5403,1755,149,4313,9289,12673,16359,18057,18424,19355,12536,4240,1547,87,810,2082,2302,3273,4735,6725,9105,12813,19246,33339,22450,127,1808,5471,9742,13747,18196,21415,22175,14592,7544,2063,2149,29281,23106,17213,14537,12080,9046,6009,2764,548,147,22
189383,253980,104298,64561,39443,23320,13570,8998,3934,1603,334,125436,137520,114908,80127,69813,56119,47317,34355,25888,11537,404,106118,75098,72702,68761,68208,63978,71553,73943,66008,35938,1117,25945,51138,65706,80880,87543,105166,99873,90614,63364,27676,5519,39747,61266,36587,31690,33943,42243,50344,68338,94229,125604,119433,2,22164,58861,65613,58374,114965,127921,131281,77494,42429,4320,2,17986,74456,53608,65085,101141,136982,134058,81614,34234,4258,61461,51248,37793,35422,38054,43522,52546,69099,97758,138888,77633,49100,104030,103120,93026,85729,70722,58886,58387,48017,30830,1577,3317,10872,57304,92223,87388,75190,65888,61096,60305,65600,124241,389140,87886,51720,38263,30549,26505,24077,21060,15824,11697,6703,64589,50023,32331,29341,29715,32794,36007,41398,45348,66264,275614,574
