band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_1_12,band_1_13,band_1_14,band_1_15,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_2_12,band_2_13,band_2_14,band_2_15,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_3_12,band_3_13,band_3_14,band_3_15,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_4_12,band_4_13,band_4_14,band_4_15,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_5_12,band_5_13,band_5_14,band_5_15,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_6_12,band_6_13,band_6_14,band_6_15,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_7_12,band_7_13,band_7_14,band_7_15,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_8_12,band_8_13,band_8_14,band_8_15,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_9_12,band_9_13,band_9_14,band_9_15,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_10_12,band_10_13,band_10_14,band_10_15,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_11_12,band_11_13,band_11_14,band_11_15,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11,band_12_12,band_12_13,band_12_14,band_12_15,census_code
1,263,3310,16854,30312,38831,45770,57494,61390,60017,50695,47070,40440,29818,724,6,129,3015,20686,36296,44009,42889,54422,54530,51077,48550,40998,47298,38841,243,18,7543,50729,44787,41329,41303,44503,45094,42243,38470,31605,33806,34436,26821,302,1119,1677,2272,3257,4781,6766,9666,14496,24900,44350,77593,124670,109580,49929,7933,961,28874,31252,23400,27993,45980,60292,61862,53521,42814,35142,27501,23381,17439,2577,0,447,5128,29310,68600,78715,80727,51682,38704,43854,26572,24771,17435,10284,6760,0,545,7206,30139,62777,91564,71629,49346,48506,35699,27760,23762,16925,11117,6014,806,36127,33181,32311,38372,41270,45365,44041,39706,34953,33162,32831,30832,28623,11409,578,689,1085,2430,4819,9155,15614,23823,42713,65321,96753,105886,76563,37090,470,258,8777,20955,18741,19163,20099,23088,28377,35661,44265,53307,59666,60491,70934,19207,26,287,1555,6408,19009,32773,42329,56617,69503,73279,58866,37839,35323,48101,1074,22217,49064,41636,54304,62780,60700,50294,37481,28356,22711,19534,16437,12686,4687,102,80
0,0,0,5,101,491,2228,7455,13662,31277,46936,83579,56770,14498,2613,0,0,25,231,1083,4309,10092,28512,55593,64372,45645,31287,12959,4425,1082,0,14,747,4535,12447,26162,41007,51295,47826,35888,22098,11256,4054,2098,188,2818,1856,2141,3332,5497,10051,16109,23780,34012,41045,48090,39776,23702,7020,386,2061,1736,4845,10861,18027,26338,35995,43333,40971,35260,22278,11281,4587,1824,218,0,226,1750,6283,17344,39963,74525,43892,26683,30896,11703,4615,1376,353,6,0,295,2335,6728,15014,47537,67198,43504,33538,25135,12276,4315,1312,426,2,1557,1231,4473,11393,19619,28550,36136,39887,37138,33889,23047,13895,5867,1861,1072,1271,885,896,2682,6503,12183,22793,27956,41021,52059,52986,28620,7435,2157,168,3571,2370,1921,2350,4226,8168,16475,29824,44935,56870,52534,28516,7235,617,3,52,443,1647,4195,9528,17258,24365,29418,32632,35047,35697,31864,23716,10884,2869,811,2568,11758,25837,39120,47005,45197,35775,24341,13402,6926,3281,1909,1564,121,178
1,2,0,2,0,0,1,1,0,0,0,0,0,4,3,2,2,5,4,1,0,4,1,4,2,4,2,0,10,8,0,0,4,5,4,4,2,8,7,4,4,9,8,14,4,58,3,4,5,1,3,3,0,2,1,2,0,0,0,2,6,32,16,7,4,4,5,8,6,2,4,1,2,1,0,0,0,2,6,7,17,1,3,0,0,0,0,0,0,0,0,0,4,10,3,19,4,2,0,0,0,0,0,0,0,0,0,0,0,7,19,30,19,6,16,12,9,21,17,5,36,33,12,3,1,6,9,4,4,1,5,5,5,31,13,84,7,4,1,1,0,0,0,0,0,0,0,0,0,10,70,0,1,0,0,0,1,0,0,0,0,0,0,48,13,0,0,0,0,0,0,2,17,47,10,11,1,4,3,22,339
4,4993,20565,38208,54855,97997,105466,121527,134991,105369,111579,108642,125659,117061,27586,68,4723,11258,15976,22915,49035,70171,94125,121440,120445,127501,150946,190948,176011,18940,1088,4424,10093,22901,40606,56095,70258,95143,104113,127941,141844,163273,181179,136407,19137,8357,6505,6194,7421,8852,12394,16234,25357,35507,52686,77275,133799,227326,389985,166610,5404,3448,4516,6028,9708,17691,39377,70983,107395,146497,174769,188629,194392,146181,59484,0,174,3415,5200,21282,58017,156577,197680,178629,198863,109998,93275,68685,53884,28823,0,358,3748,5806,18626,69801,146494,185917,222004,164563,115439,90858,67574,58666,24648,4681,2972,6260,10420,21751,37881,56982,75387,90644,116574,139126,173971,202105,176618,59130,6810,4908,5517,7069,8332,12644,15810,22037,37081,63532,118886,213459,345779,287180,25458,9328,22867,38301,53280,77552,98748,114290,123020,125966,126536,124890,118108,96179,43706,1731,20346,64944,103319,147202,199590,206321,163112,111814,69067,40609,21484,11328,5981,4142,5243,3043,4765,26897,65676,97896,121334,138351,145143,142418,131109,108235,77846,56280,44080,11429,469
0,2,206,1792,5461,10130,15865,17865,18683,19227,28734,48693,51036,22477,2847,0,311,6188,17900,22679,16666,16420,16395,22321,29667,36041,33774,18624,5243,789,8,4104,24665,23389,21374,23708,24687,29284,30142,25996,17777,12910,3801,922,251,12302,20378,35044,40474,36338,30351,23156,17109,11408,7273,4484,2683,1381,534,103,11988,16718,24295,28683,29092,28053,25112,22272,18213,13902,10474,8236,4831,870,279,0,14903,54044,94080,58783,14367,4888,1253,557,135,8,0,0,0,0,0,16738,57904,89771,55951,16726,3851,1331,657,81,8,0,0,0,0,12626,22043,31329,29545,27757,25315,23298,19644,16292,12813,9879,7451,3623,685,718,7895,6213,16020,26248,33328,31994,31417,26490,21879,15938,12230,9141,3146,919,160,9821,3409,7428,14658,23571,29873,30495,27034,23231,21417,19626,16759,11655,3960,81,1,69,408,1559,4323,8561,11895,14196,17862,22703,29119,34858,41038,43044,13382,8996,5129,14554,25359,31010,31333,29446,25932,21963,17329,12552,8140,5860,4495,920,352
3204,15509,17152,10142,7911,6664,6084,6457,6922,6211,4604,4322,2804,968,56,4145,19069,15888,9120,6945,6541,6049,7931,7271,6176,4416,3323,1720,408,8,3229,20945,16302,8666,7688,7288,7970,8004,7321,5643,3568,1643,640,100,3,1970,10811,9017,7413,7797,8712,9653,9936,9951,8775,6361,3911,2335,1744,624,2005,12656,15288,14855,14282,13103,10349,7294,4880,2559,1227,401,87,20,4,0,665,4969,19251,35754,20774,11511,4884,893,275,27,4,3,0,0,0,742,5920,18841,34712,21367,11791,4337,1069,198,26,4,3,0,0,4324,18724,14474,10180,8976,9266,9251,8348,6519,4259,2708,1390,455,118,18,2617,11813,11159,8908,7381,6469,8274,9524,11473,10376,7009,2983,878,142,4,126,542,1203,1502,2137,3131,4579,6273,8512,9812,10987,13204,15961,15746,5295,13,143,560,1485,3026,4605,5897,7418,9050,11937,15358,16676,14401,8016,425,578,6064,16644,21626,18384,13539,10086,6691,3508,1372,410,83,15,6,4,69
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,7,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,3,0,9,0,1,1,0,0,8,256
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,598
761,22614,20248,14644,11895,10477,7969,6994,6637,5159,3045,2497,1731,1771,438,1036,18429,19363,12172,15043,10593,9362,9190,5834,5073,4009,3006,2040,1671,59,1521,25748,20372,14840,11659,9221,7809,6983,5648,4794,3509,2471,1474,822,9,1587,4385,4889,5536,5871,8485,10274,11788,13515,14929,13003,10349,7190,4318,761,1783,9417,12045,14638,15451,13981,12850,10966,9242,7127,5383,2931,998,67,1,0,197,3571,8852,27276,21346,22922,14079,7944,6109,2192,1448,705,218,21,0,259,4448,9540,23897,26251,19731,14107,9602,4456,2334,1315,692,236,12,2192,15773,16971,14523,12431,10971,9695,8576,7513,6274,5328,3911,2118,580,24,2298,6095,7512,9236,10744,11875,14931,13818,14420,12305,8417,3135,1462,621,11,221,1638,1434,1720,2249,2869,3845,4856,6154,7717,10254,13629,19252,31444,9598,40,566,2045,4227,6575,8680,10930,13373,15175,16725,15629,11156,6659,4574,526,248,13503,23230,16273,13043,11471,10193,8893,7276,5601,3949,2224,676,208,92,22
118937,203329,158310,64900,57503,29122,22680,16270,13188,8372,5166,3116,1659,702,170,99619,88200,106620,79574,62142,54222,48330,42134,34956,28911,25134,17546,12588,3316,132,86770,51524,59710,52224,52645,48808,43747,51210,53658,51194,52084,50108,38452,11114,176,15237,33151,40510,48833,57215,66458,60901,70103,85368,72551,61640,48762,27962,12160,2573,16917,56939,34948,25888,22989,25341,25661,31101,35129,40909,53242,67725,86845,89418,90372,0,286,22190,58551,49919,33268,62127,65794,76171,125758,85117,74024,35298,12901,2020,0,476,36845,54582,37077,44082,52169,67394,104315,99928,89030,68272,34163,13775,1316,38765,51079,30515,27531,26226,27025,28587,31407,34992,43023,54379,69944,96490,98830,44631,24915,70542,80446,78361,70323,60760,61001,48846,43833,45833,39237,38017,29907,11068,335,3058,1686,16932,45293,65531,67816,61582,54987,49508,46307,44490,44237,45954,51583,104460,348922,88926,50984,36906,29605,24857,20953,19921,18047,16608,14602,12068,9337,7254,4434,38611,53775,29323,23224,21569,21332,22196,24105,25714,28036,31266,32838,38692,68329,244414,574
