band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11,census_code
734199,222989,52675,24253,12561,7268,3748,1535,563,372,86,760432,185124,42561,25777,18219,13203,7829,4884,1684,466,70,683011,206358,73805,32595,21038,16442,13302,9017,4033,610,38,108008,218565,171481,135741,114888,100404,78085,57180,42154,27161,6582,328827,267140,106814,72503,63264,57754,51963,41789,31250,24161,14784,0,200575,506819,151421,85905,60394,35774,13805,5233,321,2,0,181736,525569,150874,82599,61580,36758,17018,3901,212,2,474122,208257,95705,63047,51041,46922,37708,29974,26893,21569,5011,537667,249452,117391,69049,36500,23146,13625,8529,4088,750,52,20154,1962,2268,5539,13221,27529,47376,70273,101395,219501,551031,182364,81177,63291,58992,59104,62355,74932,112127,172678,153312,39917,260663,244120,140258,81696,52521,38962,34251,32609,28934,43655,102580,563
19,559,2813,5495,9736,22462,54819,126503,199876,79746,2105,104,1079,3190,4744,8915,18019,50711,109292,185618,120643,1818,202,2822,4899,9525,17038,28482,51783,105814,173554,108227,1787,4928,4476,10405,21344,40749,68097,112782,134009,85918,20748,677,3733,1281,3202,8996,16599,31331,64455,117068,159300,89730,8438,10,133,2658,6832,12197,20212,27735,36444,64314,158870,174728,112,125,2695,7097,11344,19677,30128,39278,64729,149957,178991,2854,1727,4860,11195,17499,25784,46597,94252,159582,126563,13220,3665,1710,2495,5256,15359,37588,88269,119639,148569,79691,1892,5844,56176,111221,102017,74177,58021,43117,32188,16560,4458,354,1957,9748,33237,102866,155463,101776,46382,24079,16267,7697,4661,229,4420,14466,25811,37059,52845,88511,124398,97824,52776,5794,170
3453,18997,20192,31251,43275,31284,59444,38650,45148,42655,4818,2105,18591,35755,37921,40355,57802,46998,34315,41997,20079,3133,1633,32265,48889,48767,42931,37708,35927,31767,35227,21322,2565,21532,15549,15323,16504,22113,37293,44218,58364,56089,38099,13888,18378,20137,23651,31433,38590,44366,45844,38815,34871,31635,11814,239,4013,58965,99207,67300,36121,25382,15756,17840,11140,3636,316,4562,58779,98989,64545,36038,27121,18769,16897,10236,3389,18753,28236,37507,41931,46664,41666,39579,36500,33770,12138,2465,15602,13376,20115,25379,27803,44384,57561,63733,45661,27352,2939,8965,8802,13799,25715,36027,36372,38966,45834,55083,48542,20106,11954,22941,41845,48601,42526,35447,30923,29489,26812,23291,20638,12885,36110,39247,49016,41983,37963,35916,35007,25833,14272,6679,617
400810,15289,3027,1177,658,323,219,155,211,307,800,381997,24421,7151,3442,2185,1214,799,489,315,444,516,337624,56043,13713,6257,3686,2221,1431,821,450,493,265,20758,36439,33368,40755,51309,59883,60159,48794,38597,24662,8279,129879,126670,52533,36480,27950,18605,12361,8353,6172,3204,809,1095,104858,211903,74722,21707,6204,1933,449,123,26,6,1190,102460,215219,73999,20861,6550,2157,481,102,23,6,207280,91439,49466,29385,16925,10117,7217,5635,3831,1540,173,189071,121058,55296,28516,14756,7154,3467,1732,951,731,538,962,206,237,355,693,1744,3967,10437,26874,56627,320846,74984,47984,45258,44764,43058,36783,33659,33630,32725,24985,4856,140240,130663,43755,26773,19196,14517,12039,9943,7540,8848,9218,576
87,13878,41870,36706,23667,13398,8960,6444,5454,1932,138,403,12843,29813,36320,26982,16872,11679,8247,6884,2489,2,1747,29513,51821,27842,14836,9024,6999,6008,3557,1187,0,827,685,1703,4412,9746,20168,34919,43025,27978,8399,672,1236,7575,25911,46373,35038,19953,9856,4008,1840,708,36,12,1983,18855,54234,34747,18221,12361,6459,3663,1779,220,12,2258,18708,53867,33814,18268,13427,6992,3404,1601,183,1086,11815,37653,35943,23970,15583,11183,8382,4512,2058,349,862,959,2882,8894,25539,44229,41485,20108,6030,1542,4,530,1088,2045,2797,3089,4393,6798,14364,37744,67296,12390,397,810,1762,4079,9168,17923,32285,47341,31014,6675,1080,1528,31579,58543,32888,14480,7697,3902,1422,366,116,13,139
4,4109,59363,95575,105079,115828,146067,126151,92939,47022,3132,44,34301,109885,93699,102928,110941,115898,111180,87095,28379,919,1430,10668,73699,104026,103421,109175,113975,127999,116778,33584,514,192890,120914,91325,85885,90880,83358,64844,39573,17739,5359,2502,9560,51096,65992,72614,80072,85693,89928,95772,107283,99586,37673,10,2335,10239,62717,148238,180861,173718,129289,76734,11052,76,9,2278,10543,61367,136544,186976,185639,132683,69902,9278,50,5457,12253,64683,81997,87012,91930,95194,101083,124788,112319,18553,101771,96591,81205,77453,77146,91007,93899,89245,66674,19717,561,23115,154551,197981,162247,100893,64029,40726,27006,15136,6190,3395,70404,124113,105900,83131,68845,60279,58162,67063,81967,67613,7792,4698,7463,12401,25770,48657,74253,89442,91785,86180,139535,215085,537
580,27111,50020,80768,99459,95613,79605,43944,12960,3092,371,5131,15713,24316,37984,62377,89111,97774,87297,63193,10384,243,7068,12733,16130,20055,29597,48017,84043,122151,116163,37343,223,23338,37647,37948,37106,41145,50454,69197,85014,80707,29164,1803,11333,7281,18790,39422,58589,63571,59098,60119,67361,71913,36046,0,829,10804,11320,17221,30211,55193,65157,87959,98167,116662,0,876,10881,11436,15991,29078,55138,74959,85007,96622,113535,9877,6833,16415,25384,44546,77216,81715,74749,72432,67852,16504,14011,6951,15750,35918,57174,72787,80806,88937,88225,32701,263,13547,67518,61539,72530,71872,65006,47138,37839,30423,20253,5858,70396,74074,54199,47645,46866,47567,48745,46341,32788,13108,11794,1516,20183,27654,37826,50788,68398,82863,66293,47328,56596,34078,125
146,3510,61975,46729,32950,62048,123390,173697,237748,108018,12467,158,4700,60456,73712,42400,83357,133900,190227,196399,72602,4594,463,84518,76684,83950,112281,137194,139696,127433,75765,23819,525,19814,18967,33617,53085,99375,193546,224358,152510,52751,12657,1424,15817,45327,69919,74791,105649,140138,153909,127412,91517,34577,2501,161,1897,11947,53701,225064,199353,152533,94202,68765,39864,13818,202,2242,12159,53622,212201,205320,154886,108163,63539,37066,11905,12871,66478,73638,78409,99707,112581,118638,118056,112130,61773,7430,7425,14350,36661,71268,81039,134769,214149,183544,97538,24805,497,22644,15919,26331,49535,77817,115561,153428,171220,126208,85530,17609,871,6317,32644,70751,101285,118995,131059,152281,147118,74246,23667,8973,59933,93103,142137,154158,136224,105388,75585,45231,30188,8246,153
7223,24173,32322,24136,14492,14026,16902,18597,18166,18714,5640,23270,51118,28660,23374,19421,15700,13994,8441,5044,4734,635,40650,61061,38064,23321,13914,8575,2911,1956,2042,1796,100,19061,38714,38693,32878,23754,17944,11112,6618,3204,1657,755,23847,55286,36497,25053,19601,15502,11077,5091,1679,672,78,60167,124156,9377,643,25,0,0,0,0,0,0,52474,131533,9728,610,23,0,0,0,0,0,0,34810,56647,38911,24524,18741,10526,4417,2093,1469,1587,661,49348,34098,27588,25823,23023,18560,8606,3692,2153,1409,91,4284,4703,2448,2787,4444,8367,14712,25458,40619,63082,23486,375,2606,6996,9460,10968,13591,17105,25597,38260,54657,14768,6076,45867,43631,30889,24108,17598,12024,7003,3527,2811,848,320
0,108,1580,6277,9786,13899,18294,40823,80177,85420,5102,0,147,1451,4908,8434,12369,16213,31925,80480,103223,2316,0,1326,7751,9116,11666,18933,35079,49182,72174,55391,848,3286,867,3909,9295,16644,24447,44757,61471,63156,31403,2231,3019,929,5854,13610,22616,32946,38389,48735,49435,39262,6671,0,1974,9812,12141,12353,19392,38216,32868,36858,51524,46328,0,2139,9286,12465,11683,18143,38627,38166,36324,51508,43125,2268,3024,8480,15111,23529,25748,29184,39393,50356,52994,11379,2655,505,1313,5433,10483,14847,24499,47647,83180,69157,1747,2449,13241,36275,37243,34973,43824,46090,31948,12466,2896,61,7,55,732,9613,45555,52950,55092,47113,35161,11526,3662,91,3013,18956,41774,51102,43530,34941,29623,25822,12419,194,161
