band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_1_12,band_1_13,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_2_12,band_2_13,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_3_12,band_3_13,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_4_12,band_4_13,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_5_12,band_5_13,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_6_12,band_6_13,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_7_12,band_7_13,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_8_12,band_8_13,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_9_12,band_9_13,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_10_12,band_10_13,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_11_12,band_11_13,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11,band_12_12,band_12_13,census_code
627064,300901,61709,29586,18705,9910,5676,3488,1812,712,338,301,47,684167,238705,48675,26973,19235,15575,10919,7803,4631,2424,771,349,22,623188,218292,96456,39360,23901,17166,14152,11472,8901,5291,1741,317,12,77269,183609,160840,128396,114650,93048,83554,67285,55902,40966,31229,19042,4459,245077,297362,118848,71294,58876,51499,48187,45446,38116,30632,23805,19326,11781,0,9785,556456,212955,102180,63344,58297,31037,17155,7445,1480,114,1,0,13141,547960,215432,104556,69360,51243,33037,16095,8052,1309,63,1,417832,219832,102590,63660,50228,43077,38104,34132,25970,24205,21609,15888,3122,460497,273024,123308,79639,46557,29871,19482,11732,8591,5033,2153,335,27,19769,1816,1543,2777,6406,12443,23072,37032,53795,70704,104741,240444,485707,166154,75493,56802,51194,49698,50212,52511,60879,80702,125209,152626,110092,28677,193448,253364,141232,93983,59022,41587,32878,29242,28145,25190,26883,41872,93403,563
19,241,1500,3419,5103,8941,19234,36629,82672,156161,150976,37964,1274,54,571,1953,3171,4672,8363,16034,33887,77735,124754,164373,67726,840,85,1712,3492,5735,9307,16106,22931,38183,72242,122017,156279,55324,720,4552,3058,6313,12335,22067,35929,60507,87058,115707,97628,48916,9820,243,3542,986,1766,4534,9253,15474,26853,47504,83369,125983,127852,52026,4991,9,29,671,4226,6961,9934,17339,24184,29437,41118,60603,172480,137142,111,38,663,4345,7121,11139,17240,23382,27749,43387,70202,150931,147825,2663,1273,2624,6708,10814,15798,22271,33705,64601,108711,146986,80664,7315,3477,1223,1885,2592,5490,15767,32651,66611,95882,120125,117837,39793,800,4618,28106,88042,95482,79597,58665,49248,37931,30073,20923,8653,2670,125,1351,5813,17477,48631,109985,130331,86195,43983,23477,16745,11002,5126,4017,114,2305,8514,16865,24811,32785,44393,68941,100258,98433,70706,33041,2967,170
1986,13044,16110,21217,24895,43402,27360,43279,38735,41786,36580,27265,3508,1114,11734,24395,34399,36420,43893,39860,35202,36175,27591,33675,12746,1847,900,20071,42484,38224,40647,32807,36582,29702,28489,27187,28998,11264,1646,19115,14034,11328,13250,16974,21222,25450,37498,44379,53731,44936,27579,9476,15204,16317,19009,23160,27339,32408,36488,41787,35081,31097,30103,22575,8966,226,1101,20708,78891,81629,47169,33070,22867,16586,14140,11954,8628,2630,306,1500,22526,81621,78402,48868,29782,22729,15866,15470,12534,7302,2735,16135,23274,28044,34449,32995,40037,33715,34985,31080,33527,22066,7203,1699,13603,11033,14139,19345,20388,31850,35558,54185,52763,35087,37623,16509,1822,8039,6537,9891,14873,26340,30027,31341,32222,36325,43600,46850,38740,13426,9663,16256,29532,39670,40866,35006,29876,26675,24822,24760,20273,20318,16750,7545,30740,30410,37424,39382,36940,31994,30409,30534,25927,18305,9852,5449,617
393274,20871,3986,1546,824,478,275,207,146,156,178,301,734,369070,33370,8670,4127,2370,1660,1095,719,443,315,275,418,441,319745,65347,17465,7539,4688,2735,1937,1283,820,476,363,397,209,14437,32124,27553,30251,37491,43643,51728,50630,46218,36680,28225,18181,5842,94855,137718,55660,36496,28481,22042,15778,10943,8057,5915,4376,2132,563,369,26846,212377,116879,43960,13854,5818,2031,649,165,57,19,2,544,30775,209152,116072,43843,14617,5192,1991,613,176,56,14,3,178335,100292,50350,32656,20822,12851,8762,6297,5140,3997,2539,852,115,160742,122993,59653,35408,19638,10741,6480,3077,1738,1093,664,580,463,930,183,171,245,343,656,1464,2953,6417,14653,31203,56427,307303,66866,42043,38265,38740,37555,35723,31179,28690,27708,28821,25818,18625,2653,106137,140695,51133,28161,20211,15593,12237,10448,8964,7093,6499,7782,7779,576
7,5184,32538,33593,27788,17973,11606,7678,6409,5087,3615,1012,44,120,7150,19556,30653,27651,22210,15187,9995,7666,6543,4580,1223,0,709,15193,45134,35443,18771,11496,7398,6148,5325,4198,2187,532,0,754,484,1018,2094,5002,9329,16843,27520,35740,32134,16795,4476,345,829,4835,13090,33559,38437,27884,16592,9130,4464,2072,1250,374,18,2,319,9084,28754,47749,23923,16266,11993,7226,3828,1906,1362,122,3,408,9236,28752,47167,25857,15092,11452,7002,4300,2028,1113,124,668,5704,24998,34041,27402,19340,13122,9674,7748,5578,2578,1494,187,725,738,1385,4165,10321,25991,37252,35621,23568,9051,3022,695,0,409,771,1437,2063,2491,2662,3723,5202,9227,19849,45149,53179,6372,326,554,1065,2257,4390,8642,14958,25242,37088,38175,15456,3642,739,562,16601,48952,41703,21110,10841,6519,3655,1739,570,206,66,10,139
2,942,27110,73195,75515,92582,104365,125053,111791,92024,62615,28145,1930,7,12803,79556,88526,80597,91164,93336,95553,95314,85548,61086,11261,518,347,5893,36599,82186,89531,86901,91083,97644,102403,110551,78811,13064,256,166741,115983,82385,72886,75579,74820,71628,57473,39420,23588,9398,3307,2061,6338,35592,54155,57089,63461,69311,72254,75295,79174,86564,92076,77181,26779,2,101,6767,18480,76537,121652,161390,156319,127023,88885,32714,5386,13,2,110,6826,18021,73988,133139,157413,152972,124950,90474,33606,3754,14,4486,6823,35037,68254,69611,72323,79035,80653,83128,94484,110140,81146,10149,83262,87377,74770,65551,63686,72001,68784,77994,80043,69922,43204,8378,297,12551,108468,165057,158449,121911,78561,53889,36592,26287,17164,9389,4217,2734,52599,104651,97459,79855,66054,56563,51057,49112,52331,64730,71660,44207,4991,2942,6810,7962,14685,26997,44331,62948,74718,78647,73225,80941,137642,183421,537
90,17495,31059,55076,72472,90918,77427,69942,50003,20927,6046,1809,259,2810,12225,18369,23925,36594,55703,77184,82986,79517,66641,33987,3394,188,5796,9695,12686,14990,18688,27179,37652,66167,98575,103682,85340,12899,174,19883,27849,34426,30992,32292,34886,41813,57396,69861,72753,54809,15548,1015,10777,4538,11362,22571,39038,51795,54204,49914,50244,53631,59524,59075,26850,0,171,6165,9270,10723,13845,27816,41310,57860,68332,63402,99985,94644,0,248,6419,9005,10820,15631,25344,42964,55117,71207,70468,89098,97202,9420,4304,10831,17197,23926,42617,64664,68813,66063,62730,61816,52002,9140,13095,5270,9288,20154,35555,52708,59937,69863,71076,77080,67136,12145,216,10455,49034,54599,55103,64121,59398,54852,41900,33805,28775,22769,14937,3775,56177,68858,50016,42269,39775,39604,40417,41069,40267,35390,20440,8699,10542,558,14040,20699,27166,35447,44574,57833,69995,62909,44666,40979,49389,25268,125
145,903,19846,50775,42690,41600,39426,88580,140606,202719,161628,65037,8723,150,1211,30199,66097,44494,48730,64556,110774,157381,162391,137213,37357,1952,172,38936,86783,64488,78469,99015,113435,123301,115022,85154,44242,13274,37,18138,12658,23324,34342,55791,99120,153071,192450,164763,74626,25767,7312,742,13560,25142,62456,58289,63854,96778,122609,124207,119806,94385,59586,19529,1356,151,508,6277,15646,83230,186958,188025,129457,102018,66192,40232,33015,9596,191,800,6429,16318,82162,205084,170586,132019,96149,71529,42737,27650,9651,8648,41625,68211,59198,72553,88722,96429,96686,103462,99076,85567,37242,4292,5928,9991,23402,54867,56192,79206,101041,178574,176504,118301,49136,12820,83,20027,13257,17148,30924,49135,67026,101030,124361,144896,131690,88651,62137,11520,583,3255,15786,43421,68345,88885,101294,109086,120770,136845,103667,49539,17758,4850,40342,69395,95654,128012,131333,114776,93704,72162,48836,32430,22501,5171,153
3621,17598,28364,25988,15108,12101,12516,14233,14959,16460,13449,16164,3830,14114,48880,27440,22591,17085,16538,12480,13373,9122,4975,3640,3918,235,27496,60453,36553,25328,17283,10881,6732,3248,1813,1562,1765,1194,82,15358,28089,35239,30825,23805,20855,15131,10622,6867,3743,2062,1245,549,14772,50291,35676,25440,18777,16629,13012,10383,5744,2164,1053,391,51,15031,152215,24739,2168,202,13,0,0,0,0,0,0,0,18006,151917,22158,2085,190,12,0,0,0,0,0,0,0,26826,49209,38383,26187,19732,14486,8445,4686,2099,1334,1228,1348,423,38139,33986,25350,23700,21416,19381,15175,8635,4076,1826,1768,863,76,2976,4969,2414,2005,2643,4048,7065,11388,18314,27948,41529,54722,14369,242,1543,4365,7368,8328,9559,11425,13739,18526,27958,36487,49074,5769,2100,34071,41056,31539,24419,19036,14736,10901,7217,3955,2628,2167,557,320
0,37,489,3316,6841,7932,11737,16500,25760,53169,77469,56049,2167,0,42,604,2312,4464,7921,10463,13839,19796,44935,93390,62995,705,0,406,4276,7514,8664,10617,15998,27422,36967,51580,65530,32266,226,3185,570,1899,5265,9815,13754,22563,33140,45665,61791,45608,17189,1022,2854,718,2644,7762,13775,20612,27209,32253,38956,42736,42859,25634,3454,0,203,6113,9999,10417,9548,17900,29167,33277,28232,28825,51959,35826,0,313,6032,9795,10592,10688,16079,30563,31225,30618,32550,46127,36884,1892,2033,5116,9495,15499,19711,22385,23930,29906,39533,45800,40602,5564,2547,471,610,2137,6425,8711,13811,17769,32373,52979,83916,39125,592,1867,6426,25792,32839,30864,29922,36823,39624,32420,16975,6568,1328,18,5,14,228,1901,15598,42498,44463,47052,41930,36202,22641,5753,3181,44,1188,9632,24560,40106,42988,36915,30597,26021,23261,20477,5593,83,161
