band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_1_12,band_1_13,band_1_14,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_2_12,band_2_13,band_2_14,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_3_12,band_3_13,band_3_14,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_4_12,band_4_13,band_4_14,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_5_12,band_5_13,band_5_14,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_6_12,band_6_13,band_6_14,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_7_12,band_7_13,band_7_14,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_8_12,band_8_13,band_8_14,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_9_12,band_9_13,band_9_14,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_10_12,band_10_13,band_10_14,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_11_12,band_11_13,band_11_14,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11,band_12_12,band_12_13,band_12_14,census_code
590560,318072,72931,32473,17969,12265,6352,4860,2469,1174,531,290,267,36,649896,255148,58049,29873,19291,14479,12592,8432,5999,3902,1740,544,291,13,589878,230067,104462,44159,23863,18863,14324,12459,9706,6848,4203,1165,245,7,69371,164053,159520,123430,108099,95734,82937,68899,58542,46526,36414,27422,15720,3582,206639,312650,120530,74149,58239,49763,45445,43352,40279,33774,26630,20805,17165,10829,0,1897,468202,264392,105233,83605,54488,38913,24534,13333,4870,747,34,1,0,2380,456821,271257,116881,71874,59259,37021,26844,12318,4673,894,27,0,393387,222094,107650,65450,47588,42751,37972,34199,28003,23937,21321,19736,13648,2513,411984,291229,133322,80085,50654,33330,23751,13630,9281,7312,3922,1492,240,17,19604,1770,1367,2155,4425,8878,16705,26909,40341,54649,70991,107341,248079,457035,159138,73145,55196,47603,46900,45829,47289,51795,61596,85580,127525,140125,92669,25859,161365,259627,141020,97891,62840,43378,33628,28634,26413,25656,22931,26538,40812,89516,563
19,142,1113,2913,4261,5919,12851,21891,49661,103684,148886,126752,25042,999,38,416,1595,2754,3978,5623,10848,20564,43989,89833,126677,151953,45373,492,56,1372,3047,4277,7561,12476,17865,27079,44931,82005,124538,140449,38143,334,4405,2598,5220,10646,16355,27955,42832,69365,93900,105472,81214,37058,6958,155,3455,899,1451,3253,7037,12072,18920,32508,54838,92237,124071,109402,39874,4116,9,15,408,3099,4527,9951,12458,19283,22969,29531,43179,77282,144280,137142,111,25,370,3017,5543,8602,13168,18156,24294,30593,40764,76042,155251,128197,2584,1099,2136,4668,9289,12605,17274,25284,39415,69776,115819,133495,65006,5683,3402,1101,1701,2116,4104,9977,20453,43810,73506,97955,113670,105347,26632,359,4201,18930,76991,89382,80122,59640,51539,40400,31982,25815,16399,6531,2116,85,1162,4671,13625,34355,83297,123581,102349,59019,31538,18958,14239,9229,4387,3723,92,1678,6754,13651,20781,27264,35236,50053,75887,98693,84685,60600,26479,2280,170
1817,10621,16948,16371,24572,29613,41015,28610,40634,35260,35718,34525,20360,3103,828,9568,23823,25813,32484,38569,41355,37107,30489,31913,26099,31055,8452,1496,709,15073,38492,36642,38720,33679,31060,32335,26437,22153,28843,24997,8521,1340,18671,12384,11711,12426,13076,18922,22084,31731,32445,44506,49820,35203,28048,7945,14248,14899,17808,19355,23920,29458,33946,36550,34177,32229,28205,26357,20620,7762,221,635,13575,67014,60550,74561,32782,24277,18799,14197,13935,10527,5896,2630,299,843,14150,58648,77296,61959,35762,23061,20516,14063,12991,11417,6368,2268,14229,21779,22991,31553,34557,33906,33337,31144,32284,29689,29466,16764,5994,1516,13280,10482,12723,14977,17458,27855,31494,36078,55102,46544,35460,27248,13760,1444,7622,5724,8776,12244,21157,28324,27801,28592,31357,35928,41819,42568,35158,11141,8842,14137,25028,35167,37659,35685,29752,26066,23996,23254,22141,18200,19864,14676,5611,28375,27807,33071,37253,35636,31057,28823,28070,27910,22132,15823,8307,5036,617
389135,23799,4746,1687,899,546,342,201,168,116,165,162,305,705,364336,35905,9553,4374,2668,1782,1241,845,560,369,256,273,394,417,308921,71181,19992,8259,4956,3116,2173,1490,976,642,410,322,369,197,12614,29425,27098,26213,31023,40117,46051,46503,47037,39489,32487,24525,15470,4951,80884,140042,58030,36236,28434,23203,16869,12470,8925,6768,5135,3759,1790,471,251,14484,185194,132969,51859,26014,7302,3199,1220,362,121,37,12,2,391,16613,182631,132204,56783,21508,8017,3087,1281,376,102,39,15,1,167226,102212,50137,33998,22342,14674,9547,6805,5341,4475,3387,2096,667,101,148211,124161,61299,37538,20696,13319,7859,4140,2295,1342,863,578,539,430,919,160,164,205,279,474,886,1924,3622,7726,16719,32122,56300,301448,63388,39730,36015,35771,35764,33833,30735,27796,25751,26311,26296,23389,15894,2013,92047,142546,55409,29145,20671,15819,12749,10433,9160,7864,6184,6178,7305,7222,576
2,4110,20944,38130,27361,20951,12647,8273,6665,5287,4458,2984,697,25,44,4829,17449,25415,28534,22969,16191,11527,8322,6863,5849,3672,870,0,579,11486,38663,37000,22163,12324,8413,6281,5294,4865,3357,1805,304,0,721,439,777,1667,3562,6757,12127,19311,29880,33134,27414,13013,3474,258,737,3869,10095,26262,36812,30282,19699,12202,6367,3256,1663,1010,266,14,2,144,6531,18731,40106,37334,16751,12705,8902,5388,3230,1674,914,122,3,194,6761,17782,45054,31917,17747,11936,9716,5523,3030,1865,915,91,531,4257,20060,30999,27952,20900,14658,10438,8112,6749,4336,2103,1304,135,696,603,1176,2739,7472,17628,30533,36594,29018,17048,6266,2314,447,0,379,667,1190,1772,2224,2248,3055,4018,5822,10736,22720,47011,45981,4711,303,477,896,1699,3261,6242,10907,17807,27702,37380,31199,11183,2866,612,362,12140,42530,43206,24903,12762,7532,4775,2565,1155,389,150,58,7,139
0,563,14957,61917,70577,81601,89314,110482,114715,95916,74758,58753,20116,1600,5,6452,64425,82162,80861,75902,88467,87503,88708,89194,75424,47949,7799,418,127,4871,24378,71672,80276,81064,84384,87575,89899,102048,97564,63120,8100,191,156518,112408,79193,69511,70973,64250,75061,57587,48126,31414,18185,7427,2694,1922,5511,29143,50001,51989,57176,62294,65285,68995,71228,75474,81015,85922,67861,23375,2,70,5344,9852,45404,109149,137233,152390,133461,103494,72486,24054,2317,13,1,76,5257,10045,50597,100513,142296,145200,137434,107877,69686,23975,2306,6,4265,5422,24519,60490,64116,66262,70839,74121,75557,79245,92131,102850,67598,7854,77148,84044,69226,61276,60457,63479,64842,69934,70011,74857,60027,34111,5602,255,9849,90300,148962,152620,126334,84980,61651,41419,29806,21588,14041,7579,3674,2466,45948,96171,92918,78676,64824,55218,49427,45825,46065,52017,62505,65939,35325,4411,2279,6627,6683,11611,20809,34464,50819,64483,71498,72686,66306,80954,135908,170142,537
22,13297,28714,42158,66124,73112,84491,68582,59256,36879,14820,4369,1466,233,2042,10601,16647,21456,31014,42663,60539,75920,78244,70609,57251,24499,1864,174,5397,8367,11363,13695,15833,21276,31537,44959,73964,94743,96785,68914,6530,160,18608,25176,31236,28993,29453,31942,34778,45886,57551,67751,65934,44455,10953,807,10577,3824,8960,17751,31046,44779,49738,48350,47269,47019,51022,55889,53758,23541,0,82,4382,8706,7373,14073,17904,30094,46308,56964,66112,66116,80765,94644,0,116,4459,8290,8834,12042,19127,28196,48935,56625,63609,67543,90890,84857,9212,3520,8934,14677,20435,30577,50334,66327,61823,59810,57485,58051,45389,6949,12690,4591,7538,14854,29186,43187,53380,59112,65166,69405,72187,55622,6415,190,9773,40367,52944,49151,57486,55935,56206,45078,35179,29936,25533,19799,13140,2996,50404,66340,48545,40358,37487,36593,37073,37724,38516,36611,30023,16344,7546,9959,381,11384,18691,23607,30179,37884,47105,60341,65308,52818,38587,39398,45819,22021,125
144,339,13794,51984,31219,38848,36004,57694,108958,153269,183681,130403,48879,7462,146,466,13702,81181,42414,37638,43868,78445,114088,150391,160452,112169,26278,1267,161,25962,86674,60219,62296,86895,101495,112662,111336,98694,72132,33717,10078,7,17098,12317,18228,29091,44349,80328,103204,183951,176127,118774,53809,18681,5513,634,12755,20400,51389,56004,57001,76031,104592,116925,117976,104149,79576,49803,13923,1033,149,351,4891,11479,30433,169560,181918,137263,115393,84197,57257,35354,23464,9596,186,521,4994,10861,39339,154942,192867,129255,121101,82578,53783,38623,24389,7866,7403,33708,66176,56390,60460,77372,83343,92668,93498,92030,92598,72189,30427,3449,4902,8183,17767,41396,52666,60357,90646,121719,177775,151900,91480,37630,9586,38,19050,12279,14701,24530,40706,54850,79136,103212,125321,135499,111976,78404,52800,9338,511,2532,11279,33144,56163,76673,89580,96263,105838,118407,125000,86678,41791,15375,3312,33309,61906,80504,111793,124107,114838,97820,78801,60405,40473,28038,19762,4098,153
1849,17434,24828,23286,19449,12162,11544,10734,12978,14488,14824,12845,14841,3129,11024,46123,29683,18500,19009,15022,12806,12680,11366,7503,3666,3367,3471,171,23394,57072,37254,25065,18348,13221,7602,4646,2064,1497,1584,1611,951,81,13142,25900,33384,30289,22245,21902,16047,11962,8180,4962,3047,1758,1083,489,11349,47036,35518,25669,18911,16354,13463,11216,7931,4146,1592,872,278,48,6418,151971,32399,3156,367,57,0,0,0,0,0,0,0,0,5349,156315,29209,2997,460,36,2,0,0,0,0,0,0,0,23493,46155,37764,26853,19531,15071,10962,6024,2980,1616,1216,1092,1301,328,37824,29832,26391,20978,19360,19572,17160,9519,6876,2657,2024,1483,639,76,2483,5039,2406,1848,2193,3167,5055,8172,12742,19656,28382,41678,50330,11239,199,1237,3546,6270,7560,8221,9886,11675,13897,19496,28110,35346,45627,3313,1281,28756,39235,31320,24417,19695,15377,12032,8774,5554,3172,2419,1882,468,320
0,28,394,2522,4495,8605,8233,13569,15033,28098,53031,81761,44172,1525,0,25,345,1716,3117,5833,9386,10889,13707,22975,52879,90365,49818,411,0,242,3005,6732,7763,8559,11952,18699,29072,38509,51090,64938,20779,126,3153,515,1288,4122,7719,11263,18097,22614,35699,47604,58757,37154,12746,735,2779,698,1501,6386,10962,16093,23740,26517,31974,38541,40508,36671,22409,2687,0,22,4398,8876,8094,11375,11115,20643,31659,28638,28047,31147,41626,35826,0,56,4440,8113,9877,9496,11971,19220,33035,29240,25652,33014,46231,31121,1723,1812,4093,7980,11937,16958,19820,21414,24048,30915,38385,44258,33635,4488,2491,448,470,1745,4447,7209,10070,14646,19769,34881,56704,77878,30326,382,1698,4732,21098,30340,29953,26064,31349,36405,35381,26034,12507,4966,932,7,4,9,146,1016,7180,32021,41920,42531,42760,37131,31312,18208,4253,2975,27,811,6741,18897,34220,39990,37144,31497,26469,23243,20643,18127,3600,56,161
